$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/granular7/{}/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/granular7/{}/x.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/granular7/{}/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction
2026-08-20 17:29:55 +0000: Memory Usage (130208K) : deep  mode is enabled.
2026-08-20 17:29:55 +0000: Memory Usage (130208K) : Applying implicit connections (case-sensitive, pattern supported) for nets: sub, sub!
2026-08-20 17:29:55 +0000: Memory Usage (131512K) : Netlist file: /workspace/layout/blocks/out/driver_stage/granular7/{}/x.cdl
2026-08-20 17:29:55 +0000: Memory Usage (131512K) : LVS extracted netlist at: /workspace/layout/blocks/out/driver_stage/granular7/{}/lvs/driver_dut_extracted.cir
2026-08-20 17:29:55 +0000: Memory Usage (131512K) : Applying SRAM integration support.
2026-08-20 17:29:55 +0000: Memory Usage (131512K) : Starting SG13G2 LVS runset
2026-08-20 17:29:55 +0000: Memory Usage (131512K) : Read in polygons from layers.
2026-08-20 17:29:55 +0000: Memory Usage (132664K) : activ_drw has 899 polygons
2026-08-20 17:29:55 +0000: Memory Usage (132664K) : activ_filler has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (132884K) : activ has 899 polygons
2026-08-20 17:29:55 +0000: Memory Usage (133396K) : activ_pin has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (133396K) : activ_mask has 4 polygons
2026-08-20 17:29:55 +0000: Memory Usage (133396K) : activ_nofill has 2 polygons
2026-08-20 17:29:55 +0000: Memory Usage (133396K) : activ_OPC has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (133396K) : activ_iOPC has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (133396K) : activ_noqrc has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (133396K) : biwind_drw has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (133396K) : biwind_OPC has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (133396K) : gatpoly_drw has 140 polygons
2026-08-20 17:29:55 +0000: Memory Usage (133396K) : gatpoly_filler has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (133396K) : gatpoly has 140 polygons
2026-08-20 17:29:55 +0000: Memory Usage (133396K) : gatpoly_pin has 119 polygons
2026-08-20 17:29:55 +0000: Memory Usage (133396K) : gatpoly_nofill has 2 polygons
2026-08-20 17:29:55 +0000: Memory Usage (133396K) : gatpoly_OPC has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (133396K) : gatpoly_iOPC has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (133396K) : gatpoly_noqrc has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (133524K) : cont_drw has 14577 polygons
2026-08-20 17:29:55 +0000: Memory Usage (133524K) : cont_OPC has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (133524K) : nsd_drw has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (133652K) : nsd_block has 4 polygons
2026-08-20 17:29:55 +0000: Memory Usage (133652K) : metal1_drw has 1566 polygons
2026-08-20 17:29:55 +0000: Memory Usage (133780K) : metal1_filler has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (133780K) : metal1_slit has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (133908K) : metal1 has 1566 polygons
2026-08-20 17:29:55 +0000: Memory Usage (133908K) : metal1_pin has 750 polygons
2026-08-20 17:29:55 +0000: Memory Usage (134036K) : metal1_mask has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (134036K) : metal1_nofill has 2 polygons
2026-08-20 17:29:55 +0000: Memory Usage (134292K) : metal1_text has 5 polygons
2026-08-20 17:29:55 +0000: Memory Usage (134420K) : metal1_OPC has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (134420K) : metal1_noqrc has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (134420K) : metal1_res has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (134548K) : metal1_iprobe has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (134548K) : metal1_diffprb has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (134548K) : passiv_drw has 2 polygons
2026-08-20 17:29:55 +0000: Memory Usage (134676K) : passiv_pin has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (134676K) : passiv_sbump has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (134676K) : passiv_pillar has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (134804K) : passiv_pdl has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (134804K) : metal2_drw has 587 polygons
2026-08-20 17:29:55 +0000: Memory Usage (134804K) : metal2_filler has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (134932K) : metal2_slit has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (134932K) : metal2 has 587 polygons
2026-08-20 17:29:55 +0000: Memory Usage (134932K) : metal2_pin has 10 polygons
2026-08-20 17:29:55 +0000: Memory Usage (134932K) : metal2_mask has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (135060K) : metal2_nofill has 2 polygons
2026-08-20 17:29:55 +0000: Memory Usage (135060K) : metal2_text has 3 polygons
2026-08-20 17:29:55 +0000: Memory Usage (135060K) : metal2_OPC has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (135060K) : metal2_noqrc has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (135188K) : metal2_res has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (135188K) : metal2_iprobe has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (135188K) : metal2_diffprb has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (135188K) : baspoly_drw has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (135316K) : baspoly_pin has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (135316K) : psd_drw has 515 polygons
2026-08-20 17:29:55 +0000: Memory Usage (135316K) : nldb_drw has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (135444K) : digibnd_drw has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (135444K) : via1_drw has 7666 polygons
2026-08-20 17:29:55 +0000: Memory Usage (135444K) : backmetal1_drw has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (135444K) : backmetal1_pin has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (135572K) : backmetal1_mask has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (135572K) : backmetal1_filler has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (135572K) : backmetal1_nofill has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (135572K) : backmetal1_slit has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (135700K) : backmetal1_text has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (135700K) : backmetal1_OPC has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (135700K) : backmetal1_noqrc has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (135700K) : backmetal1_res has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (135828K) : backmetal1_iprobe has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (135828K) : backmetal1_diffprb has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (135828K) : backpassiv_drw has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (135828K) : res_drw has 2 polygons
2026-08-20 17:29:55 +0000: Memory Usage (135956K) : sram_drw has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (135956K) : trans_drw has 2 polygons
2026-08-20 17:29:55 +0000: Memory Usage (135956K) : ind_drw has 2 polygons
2026-08-20 17:29:55 +0000: Memory Usage (136084K) : ind_pin has 4 polygons
2026-08-20 17:29:55 +0000: Memory Usage (136084K) : ind_text has 4 polygons
2026-08-20 17:29:55 +0000: Memory Usage (136084K) : salblock_drw has 12 polygons
2026-08-20 17:29:55 +0000: Memory Usage (136084K) : via2_drw has 856 polygons
2026-08-20 17:29:55 +0000: Memory Usage (136212K) : metal3_drw has 74 polygons
2026-08-20 17:29:55 +0000: Memory Usage (136212K) : metal3_filler has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (136212K) : metal3_slit has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (136212K) : metal3 has 74 polygons
2026-08-20 17:29:55 +0000: Memory Usage (136212K) : metal3_pin has 2 polygons
2026-08-20 17:29:55 +0000: Memory Usage (136212K) : metal3_mask has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (136212K) : metal3_nofill has 2 polygons
2026-08-20 17:29:55 +0000: Memory Usage (136212K) : metal3_text has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (136212K) : metal3_OPC has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (136212K) : metal3_noqrc has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (136212K) : metal3_res has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (136212K) : metal3_iprobe has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (136212K) : metal3_diffprb has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (136212K) : nwell_drw has 14 polygons
2026-08-20 17:29:55 +0000: Memory Usage (136212K) : nwell_pin has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (136212K) : nwell_text has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (136340K) : nbulay_drw has 1 polygons
2026-08-20 17:29:55 +0000: Memory Usage (136340K) : nbulay_pin has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (136340K) : nbulay_block has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (136340K) : emwind_drw has 4 polygons
2026-08-20 17:29:55 +0000: Memory Usage (136340K) : emwind_OPC has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (136468K) : deepco_drw has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (136468K) : mim_drw has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (136468K) : edgeseal_drw has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (136468K) : substrate_drw has 500 polygons
2026-08-20 17:29:55 +0000: Memory Usage (136468K) : substrate_text has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (136468K) : dfpad_drw has 2 polygons
2026-08-20 17:29:55 +0000: Memory Usage (136596K) : dfpad_pillar has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (136596K) : dfpad_sbump has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (136596K) : thickgateox_drw has 1 polygons
2026-08-20 17:29:55 +0000: Memory Usage (136596K) : pldb_drw has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (136596K) : pwell_drw has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (136724K) : pwell_pin has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (136724K) : pwell_block has 2 polygons
2026-08-20 17:29:55 +0000: Memory Usage (136724K) : ic_drw has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (136724K) : via3_drw has 1037 polygons
2026-08-20 17:29:55 +0000: Memory Usage (136724K) : metal4_drw has 31 polygons
2026-08-20 17:29:55 +0000: Memory Usage (136724K) : metal4_filler has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (136852K) : metal4_slit has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (136852K) : metal4 has 31 polygons
2026-08-20 17:29:55 +0000: Memory Usage (136852K) : metal4_pin has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (136852K) : metal4_mask has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (136980K) : metal4_nofill has 2 polygons
2026-08-20 17:29:55 +0000: Memory Usage (136980K) : metal4_text has 3 polygons
2026-08-20 17:29:55 +0000: Memory Usage (136980K) : metal4_OPC has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (136980K) : metal4_noqrc has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (136980K) : metal4_res has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (137108K) : metal4_iprobe has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (137108K) : metal4_diffprb has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (137108K) : heattrans_drw has 123 polygons
2026-08-20 17:29:55 +0000: Memory Usage (137108K) : heatres_drw has 2 polygons
2026-08-20 17:29:55 +0000: Memory Usage (137108K) : fbe_drw has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (137108K) : empoly_drw has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (137236K) : digisub_drw has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (137236K) : text_drw has 655 polygons
2026-08-20 17:29:55 +0000: Memory Usage (137236K) : via4_drw has 1031 polygons
2026-08-20 17:29:55 +0000: Memory Usage (137236K) : metal5_drw has 60 polygons
2026-08-20 17:29:55 +0000: Memory Usage (137236K) : metal5_filler has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (137236K) : metal5_slit has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (137364K) : metal5 has 60 polygons
2026-08-20 17:29:55 +0000: Memory Usage (137364K) : metal5_pin has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (137364K) : metal5_mask has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (137364K) : metal5_nofill has 2 polygons
2026-08-20 17:29:55 +0000: Memory Usage (137364K) : metal5_text has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (137364K) : metal5_OPC has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (137492K) : metal5_noqrc has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (137492K) : metal5_res has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (137492K) : metal5_iprobe has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (137492K) : metal5_diffprb has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (137492K) : radhard_drw has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (137620K) : memcap_drw has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (137620K) : varicap_drw has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (137620K) : intbondvia_drw has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (137620K) : intbondmet_drw has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (137620K) : devbondvia_drw has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (137748K) : devbondmet_drw has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (137748K) : devtrench_drw has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (137748K) : redist_drw has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (137748K) : graphbot_drw has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (137876K) : graphtop_drw has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (137876K) : antvia1_drw has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (137876K) : antmetal2_drw has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (137876K) : graphcont_drw has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (137876K) : siwg_drw has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (137876K) : siwg_filler has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (138004K) : siwg_nofill has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (138004K) : sigrating_drw has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (138004K) : singrating_drw has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (138004K) : graphpas_drw has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (138004K) : emwind3_drw has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (138004K) : emwihv3_drw has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (138132K) : redbulay_drw has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (138132K) : smos_drw has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (138132K) : graphpad_drw has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (138132K) : polimide_drw has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (138132K) : polimide_pin has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (138260K) : recog_drw has 1 polygons
2026-08-20 17:29:55 +0000: Memory Usage (138260K) : recog_pin has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (138260K) : recog_esd has 5 polygons
2026-08-20 17:29:55 +0000: Memory Usage (138260K) : recog_diode has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (138388K) : recog_tsv has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (138388K) : recog_iprobe has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (138388K) : recog_diffprb has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (138388K) : recog_pillar has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (138516K) : recog_sbump has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (138516K) : recog_otp has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (138516K) : recog_pdiode has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (138516K) : recog_mom has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (138644K) : recog_momf has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (138644K) : recog_pcm has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (138644K) : colopen_drw has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (138644K) : graphmetal1_drw has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (138772K) : graphmetal1_filler has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (138772K) : graphmetal1_nofill has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (138772K) : graphmetal1_slit has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (138772K) : graphmetal1_OPC has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (138900K) : graphmet1l_drw has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (138900K) : graphmet1l_filler has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (138900K) : graphmet1l_nofill has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (139028K) : graphmet1l_slit has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (139028K) : graphmet1l_OPC has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (139028K) : extblock_drw has 6 polygons
2026-08-20 17:29:55 +0000: Memory Usage (139028K) : nldd_drw has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (139028K) : pldd_drw has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (139156K) : next_drw has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (139156K) : pext_drw has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (139156K) : nexthv_drw has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (139156K) : pexthv_drw has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (139156K) : graphgate_drw has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (139156K) : sinwg_drw has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (139284K) : sinwg_filler has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (139284K) : sinwg_nofill has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (139284K) : mempad_drw has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (139284K) : topvia1_drw has 485 polygons
2026-08-20 17:29:55 +0000: Memory Usage (139284K) : topmetal1_drw has 58 polygons
2026-08-20 17:29:55 +0000: Memory Usage (139284K) : topmetal1_filler has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (139412K) : topmetal1_slit has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (139412K) : topmetal1 has 58 polygons
2026-08-20 17:29:55 +0000: Memory Usage (139412K) : topmetal1_pin has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (139412K) : topmetal1_mask has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (139412K) : topmetal1_nofill has 2 polygons
2026-08-20 17:29:55 +0000: Memory Usage (139540K) : topmetal1_text has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (139540K) : topmetal1_noqrc has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (139540K) : topmetal1_res has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (139540K) : topmetal1_iprobe has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (139668K) : topmetal1_diffprb has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (139668K) : inldpwl_drw has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (139668K) : polyres_drw has 2 polygons
2026-08-20 17:29:55 +0000: Memory Usage (139668K) : polyres_pin has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (139796K) : vmim_drw has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (139796K) : nbulaycut_drw has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (139796K) : antmetal1_drw has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (139924K) : topvia2_drw has 239 polygons
2026-08-20 17:29:55 +0000: Memory Usage (139924K) : topmetal2_drw has 76 polygons
2026-08-20 17:29:55 +0000: Memory Usage (139924K) : topmetal2_filler has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (140052K) : topmetal2_slit has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (140052K) : topmetal2 has 76 polygons
2026-08-20 17:29:55 +0000: Memory Usage (140052K) : topmetal2_pin has 4 polygons
2026-08-20 17:29:55 +0000: Memory Usage (140052K) : topmetal2_mask has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (140180K) : topmetal2_nofill has 2 polygons
2026-08-20 17:29:55 +0000: Memory Usage (140180K) : topmetal2_text has 8 polygons
2026-08-20 17:29:55 +0000: Memory Usage (140180K) : topmetal2_noqrc has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (140180K) : topmetal2_res has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (140308K) : topmetal2_iprobe has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (140308K) : topmetal2_diffprb has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (140308K) : snsring_drw has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (140308K) : sensor_drw has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (140436K) : snsarms_drw has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (140436K) : snscmosvia_drw has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (140564K) : colwind_drw has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (140564K) : flm_drw has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (140564K) : hafniumox_drw has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (140692K) : memvia_drw has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (140692K) : thinfilmres_drw has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (140692K) : rfmem_drw has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (140692K) : norcx_drw has 2 polygons
2026-08-20 17:29:55 +0000: Memory Usage (140692K) : norcx_m2m3 has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (140692K) : norcx_m2m4 has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (140692K) : norcx_m2m5 has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (140692K) : norcx_m2tm1 has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (140692K) : norcx_m2tm2 has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (140692K) : norcx_m3m4 has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (140692K) : norcx_m3m5 has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (140692K) : norcx_m3tm1 has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (140692K) : norcx_m3tm2 has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (140692K) : norcx_m4m5 has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (140692K) : norcx_m4tm1 has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (140692K) : norcx_m4tm2 has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (140692K) : norcx_m5tm1 has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (140692K) : norcx_m5tm2 has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (140692K) : norcx_tm1tm2 has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (140692K) : norcx_m1sub has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (140692K) : norcx_m2sub has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (140692K) : norcx_m3sub has 0 polygons
2026-08-20 17:29:55 +0000: Memory Usage (140692K) : norcx_m4sub has 0 polygons
