$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/probe11/no_esd/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/probe11/no_esd/t.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/probe11/no_esd/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction
2026-08-20 16:50:12 +0000: Memory Usage (130548K) : Selected DISABLE_TAP_EXTRACTION option: true
2026-08-20 16:50:12 +0000: Memory Usage (130548K) : deep  mode is enabled.
2026-08-20 16:50:12 +0000: Memory Usage (130548K) : Applying implicit connections (case-sensitive, pattern supported) for nets: sub, sub!
2026-08-20 16:50:12 +0000: Memory Usage (131780K) : Netlist file: /workspace/layout/blocks/out/driver_stage/probe11/no_esd/t.cdl
2026-08-20 16:50:12 +0000: Memory Usage (131780K) : LVS extracted netlist at: /workspace/layout/blocks/out/driver_stage/probe11/no_esd/lvs/driver_dut_extracted.cir
2026-08-20 16:50:12 +0000: Memory Usage (131780K) : Applying SRAM integration support.
2026-08-20 16:50:12 +0000: Memory Usage (131780K) : Starting SG13G2 LVS runset
2026-08-20 16:50:12 +0000: Memory Usage (131780K) : Read in polygons from layers.
2026-08-20 16:50:12 +0000: Memory Usage (132932K) : activ_drw has 875 polygons
2026-08-20 16:50:12 +0000: Memory Usage (132932K) : activ_filler has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (133060K) : activ has 875 polygons
2026-08-20 16:50:12 +0000: Memory Usage (133060K) : activ_pin has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (133060K) : activ_mask has 4 polygons
2026-08-20 16:50:12 +0000: Memory Usage (133060K) : activ_nofill has 2 polygons
2026-08-20 16:50:12 +0000: Memory Usage (133060K) : activ_OPC has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (133060K) : activ_iOPC has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (133060K) : activ_noqrc has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (133224K) : biwind_drw has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (133608K) : biwind_OPC has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (133608K) : gatpoly_drw has 140 polygons
2026-08-20 16:50:12 +0000: Memory Usage (133608K) : gatpoly_filler has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (133608K) : gatpoly has 140 polygons
2026-08-20 16:50:12 +0000: Memory Usage (133608K) : gatpoly_pin has 119 polygons
2026-08-20 16:50:12 +0000: Memory Usage (133608K) : gatpoly_nofill has 2 polygons
2026-08-20 16:50:12 +0000: Memory Usage (133608K) : gatpoly_OPC has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (133608K) : gatpoly_iOPC has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (133608K) : gatpoly_noqrc has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (133736K) : cont_drw has 10261 polygons
2026-08-20 16:50:12 +0000: Memory Usage (133736K) : cont_OPC has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (133736K) : nsd_drw has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (133736K) : nsd_block has 4 polygons
2026-08-20 16:50:12 +0000: Memory Usage (133736K) : metal1_drw has 1526 polygons
2026-08-20 16:50:12 +0000: Memory Usage (133736K) : metal1_filler has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (133736K) : metal1_slit has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (133736K) : metal1 has 1526 polygons
2026-08-20 16:50:12 +0000: Memory Usage (133736K) : metal1_pin has 746 polygons
2026-08-20 16:50:12 +0000: Memory Usage (133736K) : metal1_mask has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (133736K) : metal1_nofill has 2 polygons
2026-08-20 16:50:12 +0000: Memory Usage (133992K) : metal1_text has 5 polygons
2026-08-20 16:50:12 +0000: Memory Usage (133992K) : metal1_OPC has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (133992K) : metal1_noqrc has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (134120K) : metal1_res has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (134120K) : metal1_iprobe has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (134120K) : metal1_diffprb has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (134248K) : passiv_drw has 2 polygons
2026-08-20 16:50:12 +0000: Memory Usage (134248K) : passiv_pin has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (134248K) : passiv_sbump has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (134376K) : passiv_pillar has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (134376K) : passiv_pdl has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (134376K) : metal2_drw has 532 polygons
2026-08-20 16:50:12 +0000: Memory Usage (134504K) : metal2_filler has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (134504K) : metal2_slit has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (134632K) : metal2 has 532 polygons
2026-08-20 16:50:12 +0000: Memory Usage (134632K) : metal2_pin has 2 polygons
2026-08-20 16:50:12 +0000: Memory Usage (134632K) : metal2_mask has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (134760K) : metal2_nofill has 2 polygons
2026-08-20 16:50:12 +0000: Memory Usage (134760K) : metal2_text has 3 polygons
2026-08-20 16:50:12 +0000: Memory Usage (134760K) : metal2_OPC has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (134760K) : metal2_noqrc has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (134888K) : metal2_res has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (134888K) : metal2_iprobe has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (134888K) : metal2_diffprb has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (134888K) : baspoly_drw has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (135016K) : baspoly_pin has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (135016K) : psd_drw has 503 polygons
2026-08-20 16:50:12 +0000: Memory Usage (135016K) : nldb_drw has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (135016K) : digibnd_drw has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (135144K) : via1_drw has 6770 polygons
2026-08-20 16:50:12 +0000: Memory Usage (135144K) : backmetal1_drw has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (135144K) : backmetal1_pin has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (135272K) : backmetal1_mask has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (135272K) : backmetal1_filler has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (135272K) : backmetal1_nofill has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (135272K) : backmetal1_slit has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (135400K) : backmetal1_text has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (135400K) : backmetal1_OPC has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (135400K) : backmetal1_noqrc has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (135400K) : backmetal1_res has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (135528K) : backmetal1_iprobe has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (135528K) : backmetal1_diffprb has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (135528K) : backpassiv_drw has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (135528K) : res_drw has 2 polygons
2026-08-20 16:50:12 +0000: Memory Usage (135656K) : sram_drw has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (135656K) : trans_drw has 2 polygons
2026-08-20 16:50:12 +0000: Memory Usage (135656K) : ind_drw has 2 polygons
2026-08-20 16:50:12 +0000: Memory Usage (135656K) : ind_pin has 4 polygons
2026-08-20 16:50:12 +0000: Memory Usage (135784K) : ind_text has 4 polygons
2026-08-20 16:50:12 +0000: Memory Usage (135784K) : salblock_drw has 12 polygons
2026-08-20 16:50:12 +0000: Memory Usage (135784K) : via2_drw has 805 polygons
2026-08-20 16:50:12 +0000: Memory Usage (135784K) : metal3_drw has 49 polygons
2026-08-20 16:50:12 +0000: Memory Usage (135912K) : metal3_filler has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (135912K) : metal3_slit has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (135912K) : metal3 has 49 polygons
2026-08-20 16:50:12 +0000: Memory Usage (136040K) : metal3_pin has 2 polygons
2026-08-20 16:50:12 +0000: Memory Usage (136040K) : metal3_mask has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (136040K) : metal3_nofill has 2 polygons
2026-08-20 16:50:12 +0000: Memory Usage (136040K) : metal3_text has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (136040K) : metal3_OPC has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (136040K) : metal3_noqrc has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (136040K) : metal3_res has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (136040K) : metal3_iprobe has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (136040K) : metal3_diffprb has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (136040K) : nwell_drw has 4 polygons
2026-08-20 16:50:12 +0000: Memory Usage (136040K) : nwell_pin has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (136040K) : nwell_text has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (136040K) : nbulay_drw has 1 polygons
2026-08-20 16:50:12 +0000: Memory Usage (136040K) : nbulay_pin has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (136040K) : nbulay_block has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (136168K) : emwind_drw has 4 polygons
2026-08-20 16:50:12 +0000: Memory Usage (136168K) : emwind_OPC has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (136168K) : deepco_drw has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (136168K) : mim_drw has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (136168K) : edgeseal_drw has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (136168K) : substrate_drw has 500 polygons
2026-08-20 16:50:12 +0000: Memory Usage (136296K) : substrate_text has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (136296K) : dfpad_drw has 2 polygons
2026-08-20 16:50:12 +0000: Memory Usage (136296K) : dfpad_pillar has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (136296K) : dfpad_sbump has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (136296K) : thickgateox_drw has 1 polygons
2026-08-20 16:50:12 +0000: Memory Usage (136296K) : pldb_drw has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (136424K) : pwell_drw has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (136424K) : pwell_pin has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (136424K) : pwell_block has 2 polygons
2026-08-20 16:50:12 +0000: Memory Usage (136424K) : ic_drw has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (136424K) : via3_drw has 1014 polygons
2026-08-20 16:50:12 +0000: Memory Usage (136552K) : metal4_drw has 23 polygons
2026-08-20 16:50:12 +0000: Memory Usage (136552K) : metal4_filler has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (136552K) : metal4_slit has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (136552K) : metal4 has 23 polygons
2026-08-20 16:50:12 +0000: Memory Usage (136552K) : metal4_pin has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (136552K) : metal4_mask has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (136680K) : metal4_nofill has 2 polygons
2026-08-20 16:50:12 +0000: Memory Usage (136680K) : metal4_text has 3 polygons
2026-08-20 16:50:12 +0000: Memory Usage (136680K) : metal4_OPC has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (136680K) : metal4_noqrc has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (136680K) : metal4_res has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (136680K) : metal4_iprobe has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (136808K) : metal4_diffprb has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (136808K) : heattrans_drw has 123 polygons
2026-08-20 16:50:12 +0000: Memory Usage (136808K) : heatres_drw has 2 polygons
2026-08-20 16:50:12 +0000: Memory Usage (136808K) : fbe_drw has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (136808K) : empoly_drw has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (136808K) : digisub_drw has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (136808K) : text_drw has 639 polygons
2026-08-20 16:50:12 +0000: Memory Usage (136808K) : via4_drw has 1008 polygons
2026-08-20 16:50:12 +0000: Memory Usage (136936K) : metal5_drw has 28 polygons
2026-08-20 16:50:12 +0000: Memory Usage (136936K) : metal5_filler has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (136936K) : metal5_slit has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (136936K) : metal5 has 28 polygons
2026-08-20 16:50:12 +0000: Memory Usage (136936K) : metal5_pin has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (136936K) : metal5_mask has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (137064K) : metal5_nofill has 2 polygons
2026-08-20 16:50:12 +0000: Memory Usage (137064K) : metal5_text has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (137064K) : metal5_OPC has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (137064K) : metal5_noqrc has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (137064K) : metal5_res has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (137064K) : metal5_iprobe has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (137192K) : metal5_diffprb has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (137192K) : radhard_drw has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (137192K) : memcap_drw has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (137192K) : varicap_drw has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (137192K) : intbondvia_drw has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (137320K) : intbondmet_drw has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (137320K) : devbondvia_drw has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (137320K) : devbondmet_drw has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (137320K) : devtrench_drw has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (137448K) : redist_drw has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (137448K) : graphbot_drw has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (137448K) : graphtop_drw has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (137448K) : antvia1_drw has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (137448K) : antmetal2_drw has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (137576K) : graphcont_drw has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (137576K) : siwg_drw has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (137576K) : siwg_filler has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (137576K) : siwg_nofill has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (137576K) : sigrating_drw has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (137704K) : singrating_drw has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (137704K) : graphpas_drw has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (137704K) : emwind3_drw has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (137704K) : emwihv3_drw has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (137704K) : redbulay_drw has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (137704K) : smos_drw has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (137832K) : graphpad_drw has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (137832K) : polimide_drw has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (137832K) : polimide_pin has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (137832K) : recog_drw has 1 polygons
2026-08-20 16:50:12 +0000: Memory Usage (137832K) : recog_pin has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (137960K) : recog_esd has 1 polygons
2026-08-20 16:50:12 +0000: Memory Usage (137960K) : recog_diode has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (137960K) : recog_tsv has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (137960K) : recog_iprobe has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (137960K) : recog_diffprb has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (138088K) : recog_pillar has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (138088K) : recog_sbump has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (138088K) : recog_otp has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (138088K) : recog_pdiode has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (138088K) : recog_mom has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (138088K) : recog_momf has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (138216K) : recog_pcm has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (138216K) : colopen_drw has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (138216K) : graphmetal1_drw has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (138216K) : graphmetal1_filler has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (138344K) : graphmetal1_nofill has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (138344K) : graphmetal1_slit has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (138344K) : graphmetal1_OPC has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (138344K) : graphmet1l_drw has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (138472K) : graphmet1l_filler has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (138472K) : graphmet1l_nofill has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (138472K) : graphmet1l_slit has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (138472K) : graphmet1l_OPC has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (138600K) : extblock_drw has 6 polygons
2026-08-20 16:50:12 +0000: Memory Usage (138600K) : nldd_drw has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (138600K) : pldd_drw has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (138600K) : next_drw has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (138728K) : pext_drw has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (138728K) : nexthv_drw has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (138728K) : pexthv_drw has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (138728K) : graphgate_drw has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (138728K) : sinwg_drw has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (138728K) : sinwg_filler has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (138856K) : sinwg_nofill has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (138856K) : mempad_drw has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (138856K) : topvia1_drw has 477 polygons
2026-08-20 16:50:12 +0000: Memory Usage (138856K) : topmetal1_drw has 48 polygons
2026-08-20 16:50:12 +0000: Memory Usage (138856K) : topmetal1_filler has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (138984K) : topmetal1_slit has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (138984K) : topmetal1 has 48 polygons
2026-08-20 16:50:12 +0000: Memory Usage (138984K) : topmetal1_pin has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (138984K) : topmetal1_mask has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (138984K) : topmetal1_nofill has 2 polygons
2026-08-20 16:50:12 +0000: Memory Usage (138984K) : topmetal1_text has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (139112K) : topmetal1_noqrc has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (139112K) : topmetal1_res has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (139112K) : topmetal1_iprobe has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (139112K) : topmetal1_diffprb has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (139240K) : inldpwl_drw has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (139240K) : polyres_drw has 2 polygons
2026-08-20 16:50:12 +0000: Memory Usage (139240K) : polyres_pin has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (139240K) : vmim_drw has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (139368K) : nbulaycut_drw has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (139368K) : antmetal1_drw has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (139368K) : topvia2_drw has 231 polygons
2026-08-20 16:50:12 +0000: Memory Usage (139496K) : topmetal2_drw has 63 polygons
2026-08-20 16:50:12 +0000: Memory Usage (139496K) : topmetal2_filler has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (139624K) : topmetal2_slit has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (139752K) : topmetal2 has 63 polygons
2026-08-20 16:50:12 +0000: Memory Usage (139752K) : topmetal2_pin has 4 polygons
2026-08-20 16:50:12 +0000: Memory Usage (139752K) : topmetal2_mask has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (139752K) : topmetal2_nofill has 2 polygons
2026-08-20 16:50:12 +0000: Memory Usage (139752K) : topmetal2_text has 8 polygons
2026-08-20 16:50:12 +0000: Memory Usage (139880K) : topmetal2_noqrc has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (139880K) : topmetal2_res has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (139880K) : topmetal2_iprobe has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (140008K) : topmetal2_diffprb has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (140008K) : snsring_drw has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (140008K) : sensor_drw has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (140008K) : snsarms_drw has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (140136K) : snscmosvia_drw has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (140136K) : colwind_drw has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (140136K) : flm_drw has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (140136K) : hafniumox_drw has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (140264K) : memvia_drw has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (140264K) : thinfilmres_drw has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (140392K) : rfmem_drw has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (140392K) : norcx_drw has 2 polygons
2026-08-20 16:50:12 +0000: Memory Usage (140392K) : norcx_m2m3 has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (140392K) : norcx_m2m4 has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (140520K) : norcx_m2m5 has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (140520K) : norcx_m2tm1 has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (140520K) : norcx_m2tm2 has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (140520K) : norcx_m3m4 has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (140520K) : norcx_m3m5 has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (140520K) : norcx_m3tm1 has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (140520K) : norcx_m3tm2 has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (140520K) : norcx_m4m5 has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (140520K) : norcx_m4tm1 has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (140520K) : norcx_m4tm2 has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (140520K) : norcx_m5tm1 has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (140520K) : norcx_m5tm2 has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (140520K) : norcx_tm1tm2 has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (140520K) : norcx_m1sub has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (140520K) : norcx_m2sub has 0 polygons
2026-08-20 16:50:12 +0000: Memory Usage (140520K) : norcx_m3sub has 0 polygons
