$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/probe/esd_no_feed/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/probe/esd_no_feed/t.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/probe/esd_no_feed/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction
2026-08-20 16:31:08 +0000: Memory Usage (130444K) : Selected DISABLE_TAP_EXTRACTION option: true
2026-08-20 16:31:08 +0000: Memory Usage (130444K) : deep  mode is enabled.
2026-08-20 16:31:08 +0000: Memory Usage (130444K) : Applying implicit connections (case-sensitive, pattern supported) for nets: sub, sub!
2026-08-20 16:31:08 +0000: Memory Usage (131684K) : Netlist file: /workspace/layout/blocks/out/driver_stage/probe/esd_no_feed/t.cdl
2026-08-20 16:31:08 +0000: Memory Usage (131684K) : LVS extracted netlist at: /workspace/layout/blocks/out/driver_stage/probe/esd_no_feed/lvs/driver_dut_extracted.cir
2026-08-20 16:31:08 +0000: Memory Usage (131684K) : Applying SRAM integration support.
2026-08-20 16:31:08 +0000: Memory Usage (131684K) : Starting SG13G2 LVS runset
2026-08-20 16:31:08 +0000: Memory Usage (131684K) : Read in polygons from layers.
2026-08-20 16:31:08 +0000: Memory Usage (132836K) : activ_drw has 899 polygons
2026-08-20 16:31:08 +0000: Memory Usage (132836K) : activ_filler has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (133024K) : activ has 899 polygons
2026-08-20 16:31:08 +0000: Memory Usage (133536K) : activ_pin has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (133536K) : activ_mask has 4 polygons
2026-08-20 16:31:08 +0000: Memory Usage (133536K) : activ_nofill has 2 polygons
2026-08-20 16:31:08 +0000: Memory Usage (133536K) : activ_OPC has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (133536K) : activ_iOPC has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (133536K) : activ_noqrc has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (133536K) : biwind_drw has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (133536K) : biwind_OPC has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (133536K) : gatpoly_drw has 140 polygons
2026-08-20 16:31:08 +0000: Memory Usage (133536K) : gatpoly_filler has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (133536K) : gatpoly has 140 polygons
2026-08-20 16:31:08 +0000: Memory Usage (133536K) : gatpoly_pin has 119 polygons
2026-08-20 16:31:08 +0000: Memory Usage (133536K) : gatpoly_nofill has 2 polygons
2026-08-20 16:31:08 +0000: Memory Usage (133536K) : gatpoly_OPC has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (133536K) : gatpoly_iOPC has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (133536K) : gatpoly_noqrc has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (133664K) : cont_drw has 14577 polygons
2026-08-20 16:31:08 +0000: Memory Usage (133664K) : cont_OPC has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (133664K) : nsd_drw has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (133792K) : nsd_block has 4 polygons
2026-08-20 16:31:08 +0000: Memory Usage (133792K) : metal1_drw has 1566 polygons
2026-08-20 16:31:08 +0000: Memory Usage (133792K) : metal1_filler has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (133920K) : metal1_slit has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (134048K) : metal1 has 1566 polygons
2026-08-20 16:31:08 +0000: Memory Usage (134048K) : metal1_pin has 750 polygons
2026-08-20 16:31:08 +0000: Memory Usage (134048K) : metal1_mask has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (134176K) : metal1_nofill has 2 polygons
2026-08-20 16:31:08 +0000: Memory Usage (134432K) : metal1_text has 5 polygons
2026-08-20 16:31:08 +0000: Memory Usage (134432K) : metal1_OPC has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (134560K) : metal1_noqrc has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (134560K) : metal1_res has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (134560K) : metal1_iprobe has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (134688K) : metal1_diffprb has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (134688K) : passiv_drw has 2 polygons
2026-08-20 16:31:08 +0000: Memory Usage (134688K) : passiv_pin has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (134688K) : passiv_sbump has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (134688K) : passiv_pillar has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (134816K) : passiv_pdl has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (134816K) : metal2_drw has 588 polygons
2026-08-20 16:31:08 +0000: Memory Usage (134816K) : metal2_filler has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (134944K) : metal2_slit has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (134944K) : metal2 has 588 polygons
2026-08-20 16:31:08 +0000: Memory Usage (134944K) : metal2_pin has 10 polygons
2026-08-20 16:31:08 +0000: Memory Usage (134944K) : metal2_mask has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (135072K) : metal2_nofill has 2 polygons
2026-08-20 16:31:08 +0000: Memory Usage (135072K) : metal2_text has 3 polygons
2026-08-20 16:31:08 +0000: Memory Usage (135072K) : metal2_OPC has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (135072K) : metal2_noqrc has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (135200K) : metal2_res has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (135200K) : metal2_iprobe has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (135200K) : metal2_diffprb has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (135200K) : baspoly_drw has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (135328K) : baspoly_pin has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (135328K) : psd_drw has 515 polygons
2026-08-20 16:31:08 +0000: Memory Usage (135328K) : nldb_drw has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (135328K) : digibnd_drw has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (135456K) : via1_drw has 7666 polygons
2026-08-20 16:31:08 +0000: Memory Usage (135456K) : backmetal1_drw has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (135456K) : backmetal1_pin has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (135584K) : backmetal1_mask has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (135584K) : backmetal1_filler has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (135584K) : backmetal1_nofill has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (135584K) : backmetal1_slit has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (135712K) : backmetal1_text has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (135712K) : backmetal1_OPC has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (135712K) : backmetal1_noqrc has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (135712K) : backmetal1_res has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (135840K) : backmetal1_iprobe has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (135840K) : backmetal1_diffprb has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (135840K) : backpassiv_drw has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (135968K) : res_drw has 2 polygons
2026-08-20 16:31:08 +0000: Memory Usage (135968K) : sram_drw has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (135968K) : trans_drw has 2 polygons
2026-08-20 16:31:08 +0000: Memory Usage (136096K) : ind_drw has 2 polygons
2026-08-20 16:31:08 +0000: Memory Usage (136096K) : ind_pin has 4 polygons
2026-08-20 16:31:08 +0000: Memory Usage (136096K) : ind_text has 4 polygons
2026-08-20 16:31:08 +0000: Memory Usage (136096K) : salblock_drw has 12 polygons
2026-08-20 16:31:08 +0000: Memory Usage (136096K) : via2_drw has 853 polygons
2026-08-20 16:31:08 +0000: Memory Usage (136096K) : metal3_drw has 83 polygons
2026-08-20 16:31:08 +0000: Memory Usage (136096K) : metal3_filler has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (136096K) : metal3_slit has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (136224K) : metal3 has 83 polygons
2026-08-20 16:31:08 +0000: Memory Usage (136224K) : metal3_pin has 2 polygons
2026-08-20 16:31:08 +0000: Memory Usage (136224K) : metal3_mask has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (136224K) : metal3_nofill has 2 polygons
2026-08-20 16:31:08 +0000: Memory Usage (136224K) : metal3_text has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (136352K) : metal3_OPC has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (136352K) : metal3_noqrc has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (136352K) : metal3_res has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (136352K) : metal3_iprobe has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (136352K) : metal3_diffprb has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (136352K) : nwell_drw has 14 polygons
2026-08-20 16:31:08 +0000: Memory Usage (136480K) : nwell_pin has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (136480K) : nwell_text has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (136480K) : nbulay_drw has 1 polygons
2026-08-20 16:31:08 +0000: Memory Usage (136480K) : nbulay_pin has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (136480K) : nbulay_block has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (136480K) : emwind_drw has 4 polygons
2026-08-20 16:31:08 +0000: Memory Usage (136608K) : emwind_OPC has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (136608K) : deepco_drw has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (136608K) : mim_drw has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (136608K) : edgeseal_drw has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (136608K) : substrate_drw has 500 polygons
2026-08-20 16:31:08 +0000: Memory Usage (136608K) : substrate_text has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (136736K) : dfpad_drw has 2 polygons
2026-08-20 16:31:08 +0000: Memory Usage (136736K) : dfpad_pillar has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (136736K) : dfpad_sbump has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (136736K) : thickgateox_drw has 1 polygons
2026-08-20 16:31:08 +0000: Memory Usage (136736K) : pldb_drw has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (136736K) : pwell_drw has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (136864K) : pwell_pin has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (136864K) : pwell_block has 2 polygons
2026-08-20 16:31:08 +0000: Memory Usage (136864K) : ic_drw has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (136864K) : via3_drw has 1046 polygons
2026-08-20 16:31:08 +0000: Memory Usage (136992K) : metal4_drw has 31 polygons
2026-08-20 16:31:08 +0000: Memory Usage (136992K) : metal4_filler has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (136992K) : metal4_slit has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (136992K) : metal4 has 31 polygons
2026-08-20 16:31:08 +0000: Memory Usage (136992K) : metal4_pin has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (137120K) : metal4_mask has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (137120K) : metal4_nofill has 2 polygons
2026-08-20 16:31:08 +0000: Memory Usage (137120K) : metal4_text has 3 polygons
2026-08-20 16:31:08 +0000: Memory Usage (137120K) : metal4_OPC has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (137120K) : metal4_noqrc has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (137120K) : metal4_res has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (137120K) : metal4_iprobe has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (137248K) : metal4_diffprb has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (137248K) : heattrans_drw has 123 polygons
2026-08-20 16:31:08 +0000: Memory Usage (137248K) : heatres_drw has 2 polygons
2026-08-20 16:31:08 +0000: Memory Usage (137248K) : fbe_drw has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (137248K) : empoly_drw has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (137376K) : digisub_drw has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (137376K) : text_drw has 655 polygons
2026-08-20 16:31:08 +0000: Memory Usage (137376K) : via4_drw has 1040 polygons
2026-08-20 16:31:08 +0000: Memory Usage (137376K) : metal5_drw has 36 polygons
2026-08-20 16:31:08 +0000: Memory Usage (137376K) : metal5_filler has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (137376K) : metal5_slit has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (137504K) : metal5 has 36 polygons
2026-08-20 16:31:08 +0000: Memory Usage (137504K) : metal5_pin has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (137504K) : metal5_mask has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (137504K) : metal5_nofill has 2 polygons
2026-08-20 16:31:08 +0000: Memory Usage (137504K) : metal5_text has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (137504K) : metal5_OPC has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (137632K) : metal5_noqrc has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (137632K) : metal5_res has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (137632K) : metal5_iprobe has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (137632K) : metal5_diffprb has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (137632K) : radhard_drw has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (137632K) : memcap_drw has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (137760K) : varicap_drw has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (137760K) : intbondvia_drw has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (137760K) : intbondmet_drw has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (137760K) : devbondvia_drw has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (137760K) : devbondmet_drw has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (137760K) : devtrench_drw has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (137888K) : redist_drw has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (137888K) : graphbot_drw has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (137888K) : graphtop_drw has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (137888K) : antvia1_drw has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (138016K) : antmetal2_drw has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (138016K) : graphcont_drw has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (138016K) : siwg_drw has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (138016K) : siwg_filler has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (138016K) : siwg_nofill has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (138016K) : sigrating_drw has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (138144K) : singrating_drw has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (138144K) : graphpas_drw has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (138144K) : emwind3_drw has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (138144K) : emwihv3_drw has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (138144K) : redbulay_drw has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (138144K) : smos_drw has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (138272K) : graphpad_drw has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (138272K) : polimide_drw has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (138272K) : polimide_pin has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (138272K) : recog_drw has 1 polygons
2026-08-20 16:31:08 +0000: Memory Usage (138272K) : recog_pin has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (138400K) : recog_esd has 5 polygons
2026-08-20 16:31:08 +0000: Memory Usage (138400K) : recog_diode has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (138400K) : recog_tsv has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (138400K) : recog_iprobe has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (138400K) : recog_diffprb has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (138400K) : recog_pillar has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (138528K) : recog_sbump has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (138528K) : recog_otp has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (138528K) : recog_pdiode has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (138528K) : recog_mom has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (138656K) : recog_momf has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (138656K) : recog_pcm has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (138656K) : colopen_drw has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (138656K) : graphmetal1_drw has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (138784K) : graphmetal1_filler has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (138784K) : graphmetal1_nofill has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (138784K) : graphmetal1_slit has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (138784K) : graphmetal1_OPC has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (138912K) : graphmet1l_drw has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (138912K) : graphmet1l_filler has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (138912K) : graphmet1l_nofill has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (138912K) : graphmet1l_slit has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (139040K) : graphmet1l_OPC has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (139040K) : extblock_drw has 6 polygons
2026-08-20 16:31:08 +0000: Memory Usage (139040K) : nldd_drw has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (139040K) : pldd_drw has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (139168K) : next_drw has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (139168K) : pext_drw has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (139168K) : nexthv_drw has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (139168K) : pexthv_drw has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (139296K) : graphgate_drw has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (139296K) : sinwg_drw has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (139296K) : sinwg_filler has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (139296K) : sinwg_nofill has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (139424K) : mempad_drw has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (139424K) : topvia1_drw has 485 polygons
2026-08-20 16:31:08 +0000: Memory Usage (139424K) : topmetal1_drw has 56 polygons
2026-08-20 16:31:08 +0000: Memory Usage (139424K) : topmetal1_filler has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (139552K) : topmetal1_slit has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (139552K) : topmetal1 has 56 polygons
2026-08-20 16:31:08 +0000: Memory Usage (139552K) : topmetal1_pin has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (139680K) : topmetal1_mask has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (139680K) : topmetal1_nofill has 2 polygons
2026-08-20 16:31:08 +0000: Memory Usage (139680K) : topmetal1_text has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (139680K) : topmetal1_noqrc has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (139808K) : topmetal1_res has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (139808K) : topmetal1_iprobe has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (139936K) : topmetal1_diffprb has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (139936K) : inldpwl_drw has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (139936K) : polyres_drw has 2 polygons
2026-08-20 16:31:08 +0000: Memory Usage (140064K) : polyres_pin has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (140064K) : vmim_drw has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (140064K) : nbulaycut_drw has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (140064K) : antmetal1_drw has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (140192K) : topvia2_drw has 231 polygons
2026-08-20 16:31:08 +0000: Memory Usage (140192K) : topmetal2_drw has 63 polygons
2026-08-20 16:31:08 +0000: Memory Usage (140192K) : topmetal2_filler has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (140320K) : topmetal2_slit has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (140320K) : topmetal2 has 63 polygons
2026-08-20 16:31:08 +0000: Memory Usage (140320K) : topmetal2_pin has 4 polygons
2026-08-20 16:31:08 +0000: Memory Usage (140448K) : topmetal2_mask has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (140448K) : topmetal2_nofill has 2 polygons
2026-08-20 16:31:08 +0000: Memory Usage (140448K) : topmetal2_text has 8 polygons
2026-08-20 16:31:08 +0000: Memory Usage (140448K) : topmetal2_noqrc has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (140576K) : topmetal2_res has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (140576K) : topmetal2_iprobe has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (140704K) : topmetal2_diffprb has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (140704K) : snsring_drw has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (140704K) : sensor_drw has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (140704K) : snsarms_drw has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (140704K) : snscmosvia_drw has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (140704K) : colwind_drw has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (140704K) : flm_drw has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (140704K) : hafniumox_drw has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (140704K) : memvia_drw has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (140704K) : thinfilmres_drw has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (140704K) : rfmem_drw has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (140704K) : norcx_drw has 2 polygons
2026-08-20 16:31:08 +0000: Memory Usage (140704K) : norcx_m2m3 has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (140704K) : norcx_m2m4 has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (140704K) : norcx_m2m5 has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (140704K) : norcx_m2tm1 has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (140704K) : norcx_m2tm2 has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (140704K) : norcx_m3m4 has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (140704K) : norcx_m3m5 has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (140704K) : norcx_m3tm1 has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (140704K) : norcx_m3tm2 has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (140704K) : norcx_m4m5 has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (140704K) : norcx_m4tm1 has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (140704K) : norcx_m4tm2 has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (140704K) : norcx_m5tm1 has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (140704K) : norcx_m5tm2 has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (140704K) : norcx_tm1tm2 has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (140704K) : norcx_m1sub has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (140704K) : norcx_m2sub has 0 polygons
2026-08-20 16:31:08 +0000: Memory Usage (140704K) : norcx_m3sub has 0 polygons
