$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/bisect_run/_probe9_vss_only/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/bisect_run/_probe9_vss_only/driver_dut.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/bisect_run/_probe9_vss_only/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction
2026-08-20 19:07:46 +0000: Memory Usage (129956K) : Selected DISABLE_TAP_EXTRACTION option: true
2026-08-20 19:07:46 +0000: Memory Usage (129956K) : deep  mode is enabled.
2026-08-20 19:07:46 +0000: Memory Usage (129956K) : Applying implicit connections (case-sensitive, pattern supported) for nets: sub, sub!
2026-08-20 19:07:46 +0000: Memory Usage (131260K) : Netlist file: /workspace/layout/blocks/out/driver_stage/bisect_run/_probe9_vss_only/driver_dut.cdl
2026-08-20 19:07:46 +0000: Memory Usage (131260K) : LVS extracted netlist at: /workspace/layout/blocks/out/driver_stage/bisect_run/_probe9_vss_only/lvs/driver_dut_extracted.cir
2026-08-20 19:07:46 +0000: Memory Usage (131260K) : Applying SRAM integration support.
2026-08-20 19:07:46 +0000: Memory Usage (131260K) : Starting SG13G2 LVS runset
2026-08-20 19:07:46 +0000: Memory Usage (131260K) : Read in polygons from layers.
2026-08-20 19:07:46 +0000: Memory Usage (132540K) : activ_drw has 893 polygons
2026-08-20 19:07:46 +0000: Memory Usage (132540K) : activ_filler has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (132796K) : activ has 893 polygons
2026-08-20 19:07:46 +0000: Memory Usage (132796K) : activ_pin has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (132796K) : activ_mask has 4 polygons
2026-08-20 19:07:46 +0000: Memory Usage (132796K) : activ_nofill has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (132796K) : activ_OPC has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (132796K) : activ_iOPC has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (132796K) : activ_noqrc has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (132896K) : biwind_drw has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (133408K) : biwind_OPC has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (133408K) : gatpoly_drw has 123 polygons
2026-08-20 19:07:46 +0000: Memory Usage (133408K) : gatpoly_filler has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (133408K) : gatpoly has 123 polygons
2026-08-20 19:07:46 +0000: Memory Usage (133408K) : gatpoly_pin has 119 polygons
2026-08-20 19:07:46 +0000: Memory Usage (133408K) : gatpoly_nofill has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (133408K) : gatpoly_OPC has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (133408K) : gatpoly_iOPC has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (133408K) : gatpoly_noqrc has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (133408K) : cont_drw has 13150 polygons
2026-08-20 19:07:46 +0000: Memory Usage (133408K) : cont_OPC has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (133408K) : nsd_drw has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (133408K) : nsd_block has 4 polygons
2026-08-20 19:07:46 +0000: Memory Usage (133408K) : metal1_drw has 1515 polygons
2026-08-20 19:07:46 +0000: Memory Usage (133408K) : metal1_filler has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (133408K) : metal1_slit has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (133536K) : metal1 has 1515 polygons
2026-08-20 19:07:46 +0000: Memory Usage (133536K) : metal1_pin has 746 polygons
2026-08-20 19:07:46 +0000: Memory Usage (133536K) : metal1_mask has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (133536K) : metal1_nofill has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (133792K) : metal1_text has 3 polygons
2026-08-20 19:07:46 +0000: Memory Usage (133792K) : metal1_OPC has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (133920K) : metal1_noqrc has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (133920K) : metal1_res has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (133920K) : metal1_iprobe has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (134048K) : metal1_diffprb has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (134048K) : passiv_drw has 2 polygons
2026-08-20 19:07:46 +0000: Memory Usage (134048K) : passiv_pin has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (134176K) : passiv_sbump has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (134176K) : passiv_pillar has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (134176K) : passiv_pdl has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (134304K) : metal2_drw has 519 polygons
2026-08-20 19:07:46 +0000: Memory Usage (134304K) : metal2_filler has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (134304K) : metal2_slit has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (134432K) : metal2 has 519 polygons
2026-08-20 19:07:46 +0000: Memory Usage (134432K) : metal2_pin has 10 polygons
2026-08-20 19:07:46 +0000: Memory Usage (134560K) : metal2_mask has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (134560K) : metal2_nofill has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (134560K) : metal2_text has 3 polygons
2026-08-20 19:07:46 +0000: Memory Usage (134688K) : metal2_OPC has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (134688K) : metal2_noqrc has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (134688K) : metal2_res has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (134816K) : metal2_iprobe has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (134816K) : metal2_diffprb has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (134816K) : baspoly_drw has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (134816K) : baspoly_pin has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (134816K) : psd_drw has 514 polygons
2026-08-20 19:07:46 +0000: Memory Usage (134944K) : nldb_drw has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (134944K) : digibnd_drw has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (134944K) : via1_drw has 6612 polygons
2026-08-20 19:07:46 +0000: Memory Usage (135072K) : backmetal1_drw has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (135072K) : backmetal1_pin has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (135072K) : backmetal1_mask has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (135072K) : backmetal1_filler has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (135200K) : backmetal1_nofill has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (135200K) : backmetal1_slit has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (135200K) : backmetal1_text has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (135200K) : backmetal1_OPC has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (135328K) : backmetal1_noqrc has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (135328K) : backmetal1_res has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (135328K) : backmetal1_iprobe has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (135328K) : backmetal1_diffprb has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (135456K) : backpassiv_drw has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (135456K) : res_drw has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (135456K) : sram_drw has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (135456K) : trans_drw has 2 polygons
2026-08-20 19:07:46 +0000: Memory Usage (135584K) : ind_drw has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (135584K) : ind_pin has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (135584K) : ind_text has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (135584K) : salblock_drw has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (135712K) : via2_drw has 23 polygons
2026-08-20 19:07:46 +0000: Memory Usage (135712K) : metal3_drw has 17 polygons
2026-08-20 19:07:46 +0000: Memory Usage (135712K) : metal3_filler has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (135712K) : metal3_slit has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (135840K) : metal3 has 17 polygons
2026-08-20 19:07:46 +0000: Memory Usage (135840K) : metal3_pin has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (135840K) : metal3_mask has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (135968K) : metal3_nofill has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (135968K) : metal3_text has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (135968K) : metal3_OPC has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (135968K) : metal3_noqrc has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (136096K) : metal3_res has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (136096K) : metal3_iprobe has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (136096K) : metal3_diffprb has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (136096K) : nwell_drw has 10 polygons
2026-08-20 19:07:46 +0000: Memory Usage (136096K) : nwell_pin has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (136096K) : nwell_text has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (136096K) : nbulay_drw has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (136096K) : nbulay_pin has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (136096K) : nbulay_block has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (136096K) : emwind_drw has 4 polygons
2026-08-20 19:07:46 +0000: Memory Usage (136096K) : emwind_OPC has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (136096K) : deepco_drw has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (136096K) : mim_drw has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (136096K) : edgeseal_drw has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (136096K) : substrate_drw has 500 polygons
2026-08-20 19:07:46 +0000: Memory Usage (136096K) : substrate_text has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (136224K) : dfpad_drw has 2 polygons
2026-08-20 19:07:46 +0000: Memory Usage (136224K) : dfpad_pillar has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (136224K) : dfpad_sbump has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (136224K) : thickgateox_drw has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (136224K) : pldb_drw has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (136224K) : pwell_drw has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (136352K) : pwell_pin has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (136352K) : pwell_block has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (136352K) : ic_drw has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (136352K) : via3_drw has 999 polygons
2026-08-20 19:07:46 +0000: Memory Usage (136352K) : metal4_drw has 17 polygons
2026-08-20 19:07:46 +0000: Memory Usage (136480K) : metal4_filler has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (136480K) : metal4_slit has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (136480K) : metal4 has 17 polygons
2026-08-20 19:07:46 +0000: Memory Usage (136480K) : metal4_pin has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (136480K) : metal4_mask has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (136608K) : metal4_nofill has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (136608K) : metal4_text has 3 polygons
2026-08-20 19:07:46 +0000: Memory Usage (136608K) : metal4_OPC has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (136608K) : metal4_noqrc has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (136608K) : metal4_res has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (136608K) : metal4_iprobe has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (136608K) : metal4_diffprb has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (136736K) : heattrans_drw has 123 polygons
2026-08-20 19:07:46 +0000: Memory Usage (136736K) : heatres_drw has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (136736K) : fbe_drw has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (136736K) : empoly_drw has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (136736K) : digisub_drw has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (136736K) : text_drw has 645 polygons
2026-08-20 19:07:46 +0000: Memory Usage (136864K) : via4_drw has 993 polygons
2026-08-20 19:07:46 +0000: Memory Usage (136864K) : metal5_drw has 16 polygons
2026-08-20 19:07:46 +0000: Memory Usage (136864K) : metal5_filler has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (136864K) : metal5_slit has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (136864K) : metal5 has 16 polygons
2026-08-20 19:07:46 +0000: Memory Usage (136864K) : metal5_pin has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (136992K) : metal5_mask has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (136992K) : metal5_nofill has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (136992K) : metal5_text has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (136992K) : metal5_OPC has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (136992K) : metal5_noqrc has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (136992K) : metal5_res has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (137120K) : metal5_iprobe has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (137120K) : metal5_diffprb has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (137120K) : radhard_drw has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (137120K) : memcap_drw has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (137120K) : varicap_drw has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (137120K) : intbondvia_drw has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (137248K) : intbondmet_drw has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (137248K) : devbondvia_drw has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (137248K) : devbondmet_drw has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (137248K) : devtrench_drw has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (137248K) : redist_drw has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (137248K) : graphbot_drw has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (137376K) : graphtop_drw has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (137376K) : antvia1_drw has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (137376K) : antmetal2_drw has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (137376K) : graphcont_drw has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (137376K) : siwg_drw has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (137376K) : siwg_filler has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (137504K) : siwg_nofill has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (137504K) : sigrating_drw has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (137504K) : singrating_drw has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (137504K) : graphpas_drw has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (137504K) : emwind3_drw has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (137632K) : emwihv3_drw has 0 polygons
2026-08-20 19:07:46 +0000: Memory Usage (137632K) : redbulay_drw has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (137632K) : smos_drw has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (137632K) : graphpad_drw has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (137632K) : polimide_drw has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (137632K) : polimide_pin has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (137760K) : recog_drw has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (137760K) : recog_pin has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (137760K) : recog_esd has 4 polygons
2026-08-20 19:07:47 +0000: Memory Usage (137760K) : recog_diode has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (137760K) : recog_tsv has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (137760K) : recog_iprobe has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (137888K) : recog_diffprb has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (137888K) : recog_pillar has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (137888K) : recog_sbump has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (137888K) : recog_otp has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (137888K) : recog_pdiode has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (137888K) : recog_mom has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (138016K) : recog_momf has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (138016K) : recog_pcm has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (138016K) : colopen_drw has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (138016K) : graphmetal1_drw has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (138016K) : graphmetal1_filler has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (138144K) : graphmetal1_nofill has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (138144K) : graphmetal1_slit has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (138144K) : graphmetal1_OPC has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (138144K) : graphmet1l_drw has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (138144K) : graphmet1l_filler has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (138144K) : graphmet1l_nofill has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (138272K) : graphmet1l_slit has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (138272K) : graphmet1l_OPC has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (138272K) : extblock_drw has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (138272K) : nldd_drw has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (138272K) : pldd_drw has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (138272K) : next_drw has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (138400K) : pext_drw has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (138400K) : nexthv_drw has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (138400K) : pexthv_drw has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (138400K) : graphgate_drw has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (138528K) : sinwg_drw has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (138528K) : sinwg_filler has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (138528K) : sinwg_nofill has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (138528K) : mempad_drw has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (138528K) : topvia1_drw has 475 polygons
2026-08-20 19:07:47 +0000: Memory Usage (138656K) : topmetal1_drw has 46 polygons
2026-08-20 19:07:47 +0000: Memory Usage (138656K) : topmetal1_filler has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (138656K) : topmetal1_slit has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (138656K) : topmetal1 has 46 polygons
2026-08-20 19:07:47 +0000: Memory Usage (138656K) : topmetal1_pin has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (138784K) : topmetal1_mask has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (138784K) : topmetal1_nofill has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (138784K) : topmetal1_text has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (138784K) : topmetal1_noqrc has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (138784K) : topmetal1_res has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (138784K) : topmetal1_iprobe has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (138912K) : topmetal1_diffprb has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (138912K) : inldpwl_drw has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (138912K) : polyres_drw has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (138912K) : polyres_pin has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (138912K) : vmim_drw has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (139040K) : nbulaycut_drw has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (139040K) : antmetal1_drw has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (139040K) : topvia2_drw has 227 polygons
2026-08-20 19:07:47 +0000: Memory Usage (139040K) : topmetal2_drw has 43 polygons
2026-08-20 19:07:47 +0000: Memory Usage (139168K) : topmetal2_filler has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (139168K) : topmetal2_slit has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (139168K) : topmetal2 has 43 polygons
2026-08-20 19:07:47 +0000: Memory Usage (139168K) : topmetal2_pin has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (139296K) : topmetal2_mask has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (139296K) : topmetal2_nofill has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (139296K) : topmetal2_text has 6 polygons
2026-08-20 19:07:47 +0000: Memory Usage (139424K) : topmetal2_noqrc has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (139424K) : topmetal2_res has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (139424K) : topmetal2_iprobe has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (139424K) : topmetal2_diffprb has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (139552K) : snsring_drw has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (139552K) : sensor_drw has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (139552K) : snsarms_drw has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (139552K) : snscmosvia_drw has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (139680K) : colwind_drw has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (139680K) : flm_drw has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (139680K) : hafniumox_drw has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (139808K) : memvia_drw has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (139808K) : thinfilmres_drw has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (139808K) : rfmem_drw has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (139808K) : norcx_drw has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (139936K) : norcx_m2m3 has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (139936K) : norcx_m2m4 has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (139936K) : norcx_m2m5 has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (140064K) : norcx_m2tm1 has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (140064K) : norcx_m2tm2 has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (140064K) : norcx_m3m4 has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (140192K) : norcx_m3m5 has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (140192K) : norcx_m3tm1 has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (140192K) : norcx_m3tm2 has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (140192K) : norcx_m4m5 has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (140192K) : norcx_m4tm1 has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (140192K) : norcx_m4tm2 has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (140192K) : norcx_m5tm1 has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (140192K) : norcx_m5tm2 has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (140192K) : norcx_tm1tm2 has 0 polygons
2026-08-20 19:07:47 +0000: Memory Usage (140192K) : norcx_m1sub has 0 polygons
