$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/lvs_cmp_full/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/lvs_cmp_full/x.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/lvs_cmp_full/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction
2026-08-20 17:35:13 +0000: Memory Usage (130564K) : Selected DISABLE_TAP_EXTRACTION option: true
2026-08-20 17:35:13 +0000: Memory Usage (130564K) : deep  mode is enabled.
2026-08-20 17:35:13 +0000: Memory Usage (130564K) : Applying implicit connections (case-sensitive, pattern supported) for nets: sub, sub!
2026-08-20 17:35:13 +0000: Memory Usage (131788K) : Netlist file: /workspace/layout/blocks/out/driver_stage/lvs_cmp_full/x.cdl
2026-08-20 17:35:13 +0000: Memory Usage (131788K) : LVS extracted netlist at: /workspace/layout/blocks/out/driver_stage/lvs_cmp_full/lvs/driver_dut_extracted.cir
2026-08-20 17:35:13 +0000: Memory Usage (131788K) : Applying SRAM integration support.
2026-08-20 17:35:13 +0000: Memory Usage (131788K) : Starting SG13G2 LVS runset
2026-08-20 17:35:13 +0000: Memory Usage (131788K) : Read in polygons from layers.
2026-08-20 17:35:13 +0000: Memory Usage (132940K) : activ_drw has 899 polygons
2026-08-20 17:35:13 +0000: Memory Usage (132940K) : activ_filler has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (133156K) : activ has 899 polygons
2026-08-20 17:35:13 +0000: Memory Usage (133668K) : activ_pin has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (133668K) : activ_mask has 4 polygons
2026-08-20 17:35:13 +0000: Memory Usage (133668K) : activ_nofill has 2 polygons
2026-08-20 17:35:13 +0000: Memory Usage (133668K) : activ_OPC has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (133668K) : activ_iOPC has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (133668K) : activ_noqrc has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (133668K) : biwind_drw has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (133668K) : biwind_OPC has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (133668K) : gatpoly_drw has 140 polygons
2026-08-20 17:35:13 +0000: Memory Usage (133668K) : gatpoly_filler has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (133668K) : gatpoly has 140 polygons
2026-08-20 17:35:13 +0000: Memory Usage (133668K) : gatpoly_pin has 119 polygons
2026-08-20 17:35:13 +0000: Memory Usage (133668K) : gatpoly_nofill has 2 polygons
2026-08-20 17:35:13 +0000: Memory Usage (133668K) : gatpoly_OPC has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (133668K) : gatpoly_iOPC has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (133668K) : gatpoly_noqrc has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (133668K) : cont_drw has 14577 polygons
2026-08-20 17:35:13 +0000: Memory Usage (133668K) : cont_OPC has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (133796K) : nsd_drw has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (133796K) : nsd_block has 4 polygons
2026-08-20 17:35:13 +0000: Memory Usage (133796K) : metal1_drw has 1566 polygons
2026-08-20 17:35:13 +0000: Memory Usage (133924K) : metal1_filler has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (133924K) : metal1_slit has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (134180K) : metal1 has 1566 polygons
2026-08-20 17:35:13 +0000: Memory Usage (134180K) : metal1_pin has 750 polygons
2026-08-20 17:35:13 +0000: Memory Usage (134308K) : metal1_mask has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (134308K) : metal1_nofill has 2 polygons
2026-08-20 17:35:13 +0000: Memory Usage (134436K) : metal1_text has 5 polygons
2026-08-20 17:35:13 +0000: Memory Usage (134564K) : metal1_OPC has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (134564K) : metal1_noqrc has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (134564K) : metal1_res has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (134692K) : metal1_iprobe has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (134692K) : metal1_diffprb has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (134692K) : passiv_drw has 2 polygons
2026-08-20 17:35:13 +0000: Memory Usage (134820K) : passiv_pin has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (134820K) : passiv_sbump has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (134820K) : passiv_pillar has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (134948K) : passiv_pdl has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (134948K) : metal2_drw has 587 polygons
2026-08-20 17:35:13 +0000: Memory Usage (134948K) : metal2_filler has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (134948K) : metal2_slit has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (135076K) : metal2 has 587 polygons
2026-08-20 17:35:13 +0000: Memory Usage (135076K) : metal2_pin has 10 polygons
2026-08-20 17:35:13 +0000: Memory Usage (135076K) : metal2_mask has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (135204K) : metal2_nofill has 2 polygons
2026-08-20 17:35:13 +0000: Memory Usage (135204K) : metal2_text has 3 polygons
2026-08-20 17:35:13 +0000: Memory Usage (135204K) : metal2_OPC has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (135204K) : metal2_noqrc has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (135332K) : metal2_res has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (135332K) : metal2_iprobe has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (135332K) : metal2_diffprb has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (135332K) : baspoly_drw has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (135460K) : baspoly_pin has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (135460K) : psd_drw has 515 polygons
2026-08-20 17:35:13 +0000: Memory Usage (135460K) : nldb_drw has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (135460K) : digibnd_drw has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (135588K) : via1_drw has 7666 polygons
2026-08-20 17:35:13 +0000: Memory Usage (135588K) : backmetal1_drw has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (135588K) : backmetal1_pin has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (135588K) : backmetal1_mask has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (135716K) : backmetal1_filler has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (135716K) : backmetal1_nofill has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (135716K) : backmetal1_slit has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (135716K) : backmetal1_text has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (135844K) : backmetal1_OPC has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (135844K) : backmetal1_noqrc has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (135844K) : backmetal1_res has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (135844K) : backmetal1_iprobe has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (135972K) : backmetal1_diffprb has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (135972K) : backpassiv_drw has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (135972K) : res_drw has 2 polygons
2026-08-20 17:35:13 +0000: Memory Usage (136100K) : sram_drw has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (136100K) : trans_drw has 2 polygons
2026-08-20 17:35:13 +0000: Memory Usage (136100K) : ind_drw has 2 polygons
2026-08-20 17:35:13 +0000: Memory Usage (136100K) : ind_pin has 4 polygons
2026-08-20 17:35:13 +0000: Memory Usage (136228K) : ind_text has 4 polygons
2026-08-20 17:35:13 +0000: Memory Usage (136228K) : salblock_drw has 12 polygons
2026-08-20 17:35:13 +0000: Memory Usage (136228K) : via2_drw has 856 polygons
2026-08-20 17:35:13 +0000: Memory Usage (136356K) : metal3_drw has 74 polygons
2026-08-20 17:35:13 +0000: Memory Usage (136356K) : metal3_filler has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (136356K) : metal3_slit has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (136356K) : metal3 has 74 polygons
2026-08-20 17:35:13 +0000: Memory Usage (136356K) : metal3_pin has 2 polygons
2026-08-20 17:35:13 +0000: Memory Usage (136356K) : metal3_mask has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (136356K) : metal3_nofill has 2 polygons
2026-08-20 17:35:13 +0000: Memory Usage (136356K) : metal3_text has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (136356K) : metal3_OPC has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (136356K) : metal3_noqrc has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (136356K) : metal3_res has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (136356K) : metal3_iprobe has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (136356K) : metal3_diffprb has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (136356K) : nwell_drw has 14 polygons
2026-08-20 17:35:13 +0000: Memory Usage (136356K) : nwell_pin has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (136356K) : nwell_text has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (136484K) : nbulay_drw has 1 polygons
2026-08-20 17:35:13 +0000: Memory Usage (136484K) : nbulay_pin has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (136484K) : nbulay_block has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (136484K) : emwind_drw has 4 polygons
2026-08-20 17:35:13 +0000: Memory Usage (136484K) : emwind_OPC has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (136484K) : deepco_drw has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (136612K) : mim_drw has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (136612K) : edgeseal_drw has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (136612K) : substrate_drw has 500 polygons
2026-08-20 17:35:13 +0000: Memory Usage (136612K) : substrate_text has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (136612K) : dfpad_drw has 2 polygons
2026-08-20 17:35:13 +0000: Memory Usage (136612K) : dfpad_pillar has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (136740K) : dfpad_sbump has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (136740K) : thickgateox_drw has 1 polygons
2026-08-20 17:35:13 +0000: Memory Usage (136740K) : pldb_drw has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (136740K) : pwell_drw has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (136740K) : pwell_pin has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (136868K) : pwell_block has 2 polygons
2026-08-20 17:35:13 +0000: Memory Usage (136868K) : ic_drw has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (136868K) : via3_drw has 1037 polygons
2026-08-20 17:35:13 +0000: Memory Usage (136868K) : metal4_drw has 31 polygons
2026-08-20 17:35:13 +0000: Memory Usage (136868K) : metal4_filler has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (136868K) : metal4_slit has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (136996K) : metal4 has 31 polygons
2026-08-20 17:35:13 +0000: Memory Usage (136996K) : metal4_pin has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (136996K) : metal4_mask has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (136996K) : metal4_nofill has 2 polygons
2026-08-20 17:35:13 +0000: Memory Usage (136996K) : metal4_text has 3 polygons
2026-08-20 17:35:13 +0000: Memory Usage (136996K) : metal4_OPC has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (137124K) : metal4_noqrc has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (137124K) : metal4_res has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (137124K) : metal4_iprobe has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (137124K) : metal4_diffprb has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (137124K) : heattrans_drw has 123 polygons
2026-08-20 17:35:13 +0000: Memory Usage (137124K) : heatres_drw has 2 polygons
2026-08-20 17:35:13 +0000: Memory Usage (137252K) : fbe_drw has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (137252K) : empoly_drw has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (137252K) : digisub_drw has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (137252K) : text_drw has 655 polygons
2026-08-20 17:35:13 +0000: Memory Usage (137252K) : via4_drw has 1031 polygons
2026-08-20 17:35:13 +0000: Memory Usage (137252K) : metal5_drw has 60 polygons
2026-08-20 17:35:13 +0000: Memory Usage (137380K) : metal5_filler has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (137380K) : metal5_slit has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (137380K) : metal5 has 60 polygons
2026-08-20 17:35:13 +0000: Memory Usage (137380K) : metal5_pin has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (137380K) : metal5_mask has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (137380K) : metal5_nofill has 2 polygons
2026-08-20 17:35:13 +0000: Memory Usage (137508K) : metal5_text has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (137508K) : metal5_OPC has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (137508K) : metal5_noqrc has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (137508K) : metal5_res has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (137508K) : metal5_iprobe has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (137636K) : metal5_diffprb has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (137636K) : radhard_drw has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (137636K) : memcap_drw has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (137636K) : varicap_drw has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (137636K) : intbondvia_drw has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (137764K) : intbondmet_drw has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (137764K) : devbondvia_drw has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (137764K) : devbondmet_drw has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (137764K) : devtrench_drw has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (137892K) : redist_drw has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (137892K) : graphbot_drw has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (137892K) : graphtop_drw has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (137892K) : antvia1_drw has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (137892K) : antmetal2_drw has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (137892K) : graphcont_drw has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (138020K) : siwg_drw has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (138020K) : siwg_filler has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (138020K) : siwg_nofill has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (138020K) : sigrating_drw has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (138020K) : singrating_drw has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (138148K) : graphpas_drw has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (138148K) : emwind3_drw has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (138148K) : emwihv3_drw has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (138148K) : redbulay_drw has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (138148K) : smos_drw has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (138148K) : graphpad_drw has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (138276K) : polimide_drw has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (138276K) : polimide_pin has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (138276K) : recog_drw has 1 polygons
2026-08-20 17:35:13 +0000: Memory Usage (138404K) : recog_pin has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (138404K) : recog_esd has 5 polygons
2026-08-20 17:35:13 +0000: Memory Usage (138404K) : recog_diode has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (138404K) : recog_tsv has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (138532K) : recog_iprobe has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (138532K) : recog_diffprb has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (138532K) : recog_pillar has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (138532K) : recog_sbump has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (138532K) : recog_otp has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (138660K) : recog_pdiode has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (138660K) : recog_mom has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (138660K) : recog_momf has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (138788K) : recog_pcm has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (138788K) : colopen_drw has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (138788K) : graphmetal1_drw has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (138788K) : graphmetal1_filler has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (138916K) : graphmetal1_nofill has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (138916K) : graphmetal1_slit has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (138916K) : graphmetal1_OPC has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (138916K) : graphmet1l_drw has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (139044K) : graphmet1l_filler has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (139044K) : graphmet1l_nofill has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (139044K) : graphmet1l_slit has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (139044K) : graphmet1l_OPC has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (139044K) : extblock_drw has 6 polygons
2026-08-20 17:35:13 +0000: Memory Usage (139044K) : nldd_drw has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (139172K) : pldd_drw has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (139172K) : next_drw has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (139172K) : pext_drw has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (139172K) : nexthv_drw has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (139172K) : pexthv_drw has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (139300K) : graphgate_drw has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (139300K) : sinwg_drw has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (139300K) : sinwg_filler has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (139300K) : sinwg_nofill has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (139300K) : mempad_drw has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (139428K) : topvia1_drw has 485 polygons
2026-08-20 17:35:13 +0000: Memory Usage (139428K) : topmetal1_drw has 60 polygons
2026-08-20 17:35:13 +0000: Memory Usage (139428K) : topmetal1_filler has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (139428K) : topmetal1_slit has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (139428K) : topmetal1 has 60 polygons
2026-08-20 17:35:13 +0000: Memory Usage (139428K) : topmetal1_pin has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (139556K) : topmetal1_mask has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (139556K) : topmetal1_nofill has 2 polygons
2026-08-20 17:35:13 +0000: Memory Usage (139556K) : topmetal1_text has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (139556K) : topmetal1_noqrc has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (139684K) : topmetal1_res has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (139684K) : topmetal1_iprobe has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (139684K) : topmetal1_diffprb has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (139684K) : inldpwl_drw has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (139812K) : polyres_drw has 2 polygons
2026-08-20 17:35:13 +0000: Memory Usage (139812K) : polyres_pin has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (139812K) : vmim_drw has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (139812K) : nbulaycut_drw has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (139812K) : antmetal1_drw has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (139940K) : topvia2_drw has 235 polygons
2026-08-20 17:35:13 +0000: Memory Usage (140196K) : topmetal2_drw has 70 polygons
2026-08-20 17:35:13 +0000: Memory Usage (140196K) : topmetal2_filler has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (140196K) : topmetal2_slit has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (140196K) : topmetal2 has 70 polygons
2026-08-20 17:35:13 +0000: Memory Usage (140324K) : topmetal2_pin has 4 polygons
2026-08-20 17:35:13 +0000: Memory Usage (140324K) : topmetal2_mask has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (140324K) : topmetal2_nofill has 2 polygons
2026-08-20 17:35:13 +0000: Memory Usage (140324K) : topmetal2_text has 8 polygons
2026-08-20 17:35:13 +0000: Memory Usage (140452K) : topmetal2_noqrc has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (140452K) : topmetal2_res has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (140452K) : topmetal2_iprobe has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (140580K) : topmetal2_diffprb has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (140580K) : snsring_drw has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (140580K) : sensor_drw has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (140708K) : snsarms_drw has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (140708K) : snscmosvia_drw has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (140708K) : colwind_drw has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (140836K) : flm_drw has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (140836K) : hafniumox_drw has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (140964K) : memvia_drw has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (140964K) : thinfilmres_drw has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (140964K) : rfmem_drw has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (140964K) : norcx_drw has 2 polygons
2026-08-20 17:35:13 +0000: Memory Usage (140964K) : norcx_m2m3 has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (140964K) : norcx_m2m4 has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (140964K) : norcx_m2m5 has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (140964K) : norcx_m2tm1 has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (140964K) : norcx_m2tm2 has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (140964K) : norcx_m3m4 has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (140964K) : norcx_m3m5 has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (140964K) : norcx_m3tm1 has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (140964K) : norcx_m3tm2 has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (140964K) : norcx_m4m5 has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (140964K) : norcx_m4tm1 has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (140964K) : norcx_m4tm2 has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (140964K) : norcx_m5tm1 has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (140964K) : norcx_m5tm2 has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (140964K) : norcx_tm1tm2 has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (140964K) : norcx_m1sub has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (140964K) : norcx_m2sub has 0 polygons
2026-08-20 17:35:13 +0000: Memory Usage (140964K) : norcx_m3sub has 0 polygons
