$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/bisect_extra11/full/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/bisect_extra11/full/x.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/bisect_extra11/full/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction
2026-08-20 17:11:46 +0000: Memory Usage (129964K) : Selected DISABLE_TAP_EXTRACTION option: true
2026-08-20 17:11:46 +0000: Memory Usage (129964K) : deep  mode is enabled.
2026-08-20 17:11:46 +0000: Memory Usage (129964K) : Applying implicit connections (case-sensitive, pattern supported) for nets: sub, sub!
2026-08-20 17:11:46 +0000: Memory Usage (131064K) : Netlist file: /workspace/layout/blocks/out/driver_stage/bisect_extra11/full/x.cdl
2026-08-20 17:11:46 +0000: Memory Usage (131064K) : LVS extracted netlist at: /workspace/layout/blocks/out/driver_stage/bisect_extra11/full/lvs/driver_dut_extracted.cir
2026-08-20 17:11:46 +0000: Memory Usage (131064K) : Applying SRAM integration support.
2026-08-20 17:11:46 +0000: Memory Usage (131064K) : Starting SG13G2 LVS runset
2026-08-20 17:11:46 +0000: Memory Usage (131064K) : Read in polygons from layers.
2026-08-20 17:11:46 +0000: Memory Usage (132276K) : activ_drw has 899 polygons
2026-08-20 17:11:46 +0000: Memory Usage (132276K) : activ_filler has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (132564K) : activ has 899 polygons
2026-08-20 17:11:46 +0000: Memory Usage (132948K) : activ_pin has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (132948K) : activ_mask has 4 polygons
2026-08-20 17:11:46 +0000: Memory Usage (132948K) : activ_nofill has 2 polygons
2026-08-20 17:11:46 +0000: Memory Usage (132948K) : activ_OPC has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (132948K) : activ_iOPC has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (132948K) : activ_noqrc has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (132948K) : biwind_drw has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (132948K) : biwind_OPC has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (132948K) : gatpoly_drw has 140 polygons
2026-08-20 17:11:46 +0000: Memory Usage (132948K) : gatpoly_filler has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (132948K) : gatpoly has 140 polygons
2026-08-20 17:11:46 +0000: Memory Usage (132948K) : gatpoly_pin has 119 polygons
2026-08-20 17:11:46 +0000: Memory Usage (132948K) : gatpoly_nofill has 2 polygons
2026-08-20 17:11:46 +0000: Memory Usage (132948K) : gatpoly_OPC has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (132948K) : gatpoly_iOPC has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (132948K) : gatpoly_noqrc has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (132948K) : cont_drw has 14577 polygons
2026-08-20 17:11:46 +0000: Memory Usage (133076K) : cont_OPC has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (133076K) : nsd_drw has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (133076K) : nsd_block has 4 polygons
2026-08-20 17:11:46 +0000: Memory Usage (133204K) : metal1_drw has 1558 polygons
2026-08-20 17:11:46 +0000: Memory Usage (133204K) : metal1_filler has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (133332K) : metal1_slit has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (133332K) : metal1 has 1558 polygons
2026-08-20 17:11:46 +0000: Memory Usage (133460K) : metal1_pin has 750 polygons
2026-08-20 17:11:46 +0000: Memory Usage (133460K) : metal1_mask has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (133460K) : metal1_nofill has 2 polygons
2026-08-20 17:11:46 +0000: Memory Usage (133844K) : metal1_text has 5 polygons
2026-08-20 17:11:46 +0000: Memory Usage (133844K) : metal1_OPC has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (133844K) : metal1_noqrc has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (133972K) : metal1_res has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (133972K) : metal1_iprobe has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (133972K) : metal1_diffprb has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (134100K) : passiv_drw has 2 polygons
2026-08-20 17:11:46 +0000: Memory Usage (134100K) : passiv_pin has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (134100K) : passiv_sbump has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (134228K) : passiv_pillar has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (134228K) : passiv_pdl has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (134228K) : metal2_drw has 577 polygons
2026-08-20 17:11:46 +0000: Memory Usage (134356K) : metal2_filler has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (134356K) : metal2_slit has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (134356K) : metal2 has 577 polygons
2026-08-20 17:11:46 +0000: Memory Usage (134484K) : metal2_pin has 10 polygons
2026-08-20 17:11:46 +0000: Memory Usage (134484K) : metal2_mask has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (134484K) : metal2_nofill has 2 polygons
2026-08-20 17:11:46 +0000: Memory Usage (134484K) : metal2_text has 3 polygons
2026-08-20 17:11:46 +0000: Memory Usage (134612K) : metal2_OPC has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (134612K) : metal2_noqrc has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (134612K) : metal2_res has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (134612K) : metal2_iprobe has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (134740K) : metal2_diffprb has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (134740K) : baspoly_drw has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (134740K) : baspoly_pin has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (134740K) : psd_drw has 515 polygons
2026-08-20 17:11:46 +0000: Memory Usage (134868K) : nldb_drw has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (134868K) : digibnd_drw has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (134868K) : via1_drw has 7650 polygons
2026-08-20 17:11:46 +0000: Memory Usage (134996K) : backmetal1_drw has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (134996K) : backmetal1_pin has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (134996K) : backmetal1_mask has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (134996K) : backmetal1_filler has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (135124K) : backmetal1_nofill has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (135124K) : backmetal1_slit has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (135124K) : backmetal1_text has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (135124K) : backmetal1_OPC has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (135252K) : backmetal1_noqrc has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (135252K) : backmetal1_res has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (135252K) : backmetal1_iprobe has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (135252K) : backmetal1_diffprb has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (135380K) : backpassiv_drw has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (135380K) : res_drw has 2 polygons
2026-08-20 17:11:46 +0000: Memory Usage (135380K) : sram_drw has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (135380K) : trans_drw has 2 polygons
2026-08-20 17:11:46 +0000: Memory Usage (135508K) : ind_drw has 2 polygons
2026-08-20 17:11:46 +0000: Memory Usage (135508K) : ind_pin has 4 polygons
2026-08-20 17:11:46 +0000: Memory Usage (135508K) : ind_text has 4 polygons
2026-08-20 17:11:46 +0000: Memory Usage (135508K) : salblock_drw has 12 polygons
2026-08-20 17:11:46 +0000: Memory Usage (135636K) : via2_drw has 840 polygons
2026-08-20 17:11:46 +0000: Memory Usage (135636K) : metal3_drw has 72 polygons
2026-08-20 17:11:46 +0000: Memory Usage (135636K) : metal3_filler has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (135764K) : metal3_slit has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (135764K) : metal3 has 72 polygons
2026-08-20 17:11:46 +0000: Memory Usage (135764K) : metal3_pin has 2 polygons
2026-08-20 17:11:46 +0000: Memory Usage (135764K) : metal3_mask has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (135764K) : metal3_nofill has 2 polygons
2026-08-20 17:11:46 +0000: Memory Usage (135764K) : metal3_text has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (135764K) : metal3_OPC has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (135764K) : metal3_noqrc has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (135764K) : metal3_res has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (135764K) : metal3_iprobe has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (135764K) : metal3_diffprb has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (135764K) : nwell_drw has 14 polygons
2026-08-20 17:11:46 +0000: Memory Usage (135764K) : nwell_pin has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (135764K) : nwell_text has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (135764K) : nbulay_drw has 1 polygons
2026-08-20 17:11:46 +0000: Memory Usage (135764K) : nbulay_pin has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (135892K) : nbulay_block has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (135892K) : emwind_drw has 4 polygons
2026-08-20 17:11:46 +0000: Memory Usage (135892K) : emwind_OPC has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (135892K) : deepco_drw has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (135892K) : mim_drw has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (136020K) : edgeseal_drw has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (136020K) : substrate_drw has 500 polygons
2026-08-20 17:11:46 +0000: Memory Usage (136020K) : substrate_text has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (136020K) : dfpad_drw has 2 polygons
2026-08-20 17:11:46 +0000: Memory Usage (136020K) : dfpad_pillar has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (136020K) : dfpad_sbump has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (136148K) : thickgateox_drw has 1 polygons
2026-08-20 17:11:46 +0000: Memory Usage (136148K) : pldb_drw has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (136148K) : pwell_drw has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (136148K) : pwell_pin has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (136148K) : pwell_block has 2 polygons
2026-08-20 17:11:46 +0000: Memory Usage (136148K) : ic_drw has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (136276K) : via3_drw has 1041 polygons
2026-08-20 17:11:46 +0000: Memory Usage (136276K) : metal4_drw has 35 polygons
2026-08-20 17:11:46 +0000: Memory Usage (136276K) : metal4_filler has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (136276K) : metal4_slit has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (136276K) : metal4 has 35 polygons
2026-08-20 17:11:46 +0000: Memory Usage (136404K) : metal4_pin has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (136404K) : metal4_mask has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (136404K) : metal4_nofill has 2 polygons
2026-08-20 17:11:46 +0000: Memory Usage (136404K) : metal4_text has 3 polygons
2026-08-20 17:11:46 +0000: Memory Usage (136404K) : metal4_OPC has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (136404K) : metal4_noqrc has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (136532K) : metal4_res has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (136532K) : metal4_iprobe has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (136532K) : metal4_diffprb has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (136532K) : heattrans_drw has 123 polygons
2026-08-20 17:11:46 +0000: Memory Usage (136532K) : heatres_drw has 2 polygons
2026-08-20 17:11:46 +0000: Memory Usage (136532K) : fbe_drw has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (136532K) : empoly_drw has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (136660K) : digisub_drw has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (136660K) : text_drw has 655 polygons
2026-08-20 17:11:46 +0000: Memory Usage (136660K) : via4_drw has 1035 polygons
2026-08-20 17:11:46 +0000: Memory Usage (136660K) : metal5_drw has 67 polygons
2026-08-20 17:11:46 +0000: Memory Usage (136660K) : metal5_filler has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (136660K) : metal5_slit has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (136788K) : metal5 has 67 polygons
2026-08-20 17:11:46 +0000: Memory Usage (136788K) : metal5_pin has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (136788K) : metal5_mask has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (136788K) : metal5_nofill has 2 polygons
2026-08-20 17:11:46 +0000: Memory Usage (136788K) : metal5_text has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (136788K) : metal5_OPC has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (136916K) : metal5_noqrc has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (136916K) : metal5_res has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (136916K) : metal5_iprobe has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (136916K) : metal5_diffprb has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (136916K) : radhard_drw has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (137044K) : memcap_drw has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (137044K) : varicap_drw has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (137044K) : intbondvia_drw has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (137044K) : intbondmet_drw has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (137172K) : devbondvia_drw has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (137172K) : devbondmet_drw has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (137172K) : devtrench_drw has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (137172K) : redist_drw has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (137300K) : graphbot_drw has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (137300K) : graphtop_drw has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (137300K) : antvia1_drw has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (137300K) : antmetal2_drw has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (137300K) : graphcont_drw has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (137300K) : siwg_drw has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (137428K) : siwg_filler has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (137428K) : siwg_nofill has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (137428K) : sigrating_drw has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (137428K) : singrating_drw has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (137428K) : graphpas_drw has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (137556K) : emwind3_drw has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (137556K) : emwihv3_drw has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (137556K) : redbulay_drw has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (137556K) : smos_drw has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (137556K) : graphpad_drw has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (137556K) : polimide_drw has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (137684K) : polimide_pin has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (137684K) : recog_drw has 1 polygons
2026-08-20 17:11:46 +0000: Memory Usage (137684K) : recog_pin has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (137684K) : recog_esd has 5 polygons
2026-08-20 17:11:46 +0000: Memory Usage (137812K) : recog_diode has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (137812K) : recog_tsv has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (137812K) : recog_iprobe has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (137812K) : recog_diffprb has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (137940K) : recog_pillar has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (137940K) : recog_sbump has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (137940K) : recog_otp has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (137940K) : recog_pdiode has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (138068K) : recog_mom has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (138068K) : recog_momf has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (138068K) : recog_pcm has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (138068K) : colopen_drw has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (138196K) : graphmetal1_drw has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (138196K) : graphmetal1_filler has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (138196K) : graphmetal1_nofill has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (138196K) : graphmetal1_slit has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (138324K) : graphmetal1_OPC has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (138324K) : graphmet1l_drw has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (138324K) : graphmet1l_filler has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (138324K) : graphmet1l_nofill has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (138452K) : graphmet1l_slit has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (138452K) : graphmet1l_OPC has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (138452K) : extblock_drw has 6 polygons
2026-08-20 17:11:46 +0000: Memory Usage (138452K) : nldd_drw has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (138580K) : pldd_drw has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (138580K) : next_drw has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (138580K) : pext_drw has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (138580K) : nexthv_drw has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (138580K) : pexthv_drw has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (138580K) : graphgate_drw has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (138708K) : sinwg_drw has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (138708K) : sinwg_filler has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (138708K) : sinwg_nofill has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (138708K) : mempad_drw has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (138708K) : topvia1_drw has 489 polygons
2026-08-20 17:11:46 +0000: Memory Usage (138836K) : topmetal1_drw has 78 polygons
2026-08-20 17:11:46 +0000: Memory Usage (138836K) : topmetal1_filler has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (138836K) : topmetal1_slit has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (138836K) : topmetal1 has 78 polygons
2026-08-20 17:11:46 +0000: Memory Usage (138836K) : topmetal1_pin has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (138836K) : topmetal1_mask has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (138964K) : topmetal1_nofill has 2 polygons
2026-08-20 17:11:46 +0000: Memory Usage (138964K) : topmetal1_text has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (138964K) : topmetal1_noqrc has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (138964K) : topmetal1_res has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (139092K) : topmetal1_iprobe has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (139092K) : topmetal1_diffprb has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (139092K) : inldpwl_drw has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (139092K) : polyres_drw has 2 polygons
2026-08-20 17:11:46 +0000: Memory Usage (139220K) : polyres_pin has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (139220K) : vmim_drw has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (139220K) : nbulaycut_drw has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (139220K) : antmetal1_drw has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (139348K) : topvia2_drw has 235 polygons
2026-08-20 17:11:46 +0000: Memory Usage (139476K) : topmetal2_drw has 71 polygons
2026-08-20 17:11:46 +0000: Memory Usage (139604K) : topmetal2_filler has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (139604K) : topmetal2_slit has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (139604K) : topmetal2 has 71 polygons
2026-08-20 17:11:46 +0000: Memory Usage (139604K) : topmetal2_pin has 4 polygons
2026-08-20 17:11:46 +0000: Memory Usage (139732K) : topmetal2_mask has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (139732K) : topmetal2_nofill has 2 polygons
2026-08-20 17:11:46 +0000: Memory Usage (139732K) : topmetal2_text has 8 polygons
2026-08-20 17:11:46 +0000: Memory Usage (139732K) : topmetal2_noqrc has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (139860K) : topmetal2_res has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (139860K) : topmetal2_iprobe has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (139860K) : topmetal2_diffprb has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (139860K) : snsring_drw has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (139988K) : sensor_drw has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (139988K) : snsarms_drw has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (139988K) : snscmosvia_drw has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (140116K) : colwind_drw has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (140116K) : flm_drw has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (140244K) : hafniumox_drw has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (140244K) : memvia_drw has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (140244K) : thinfilmres_drw has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (140244K) : rfmem_drw has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (140244K) : norcx_drw has 2 polygons
2026-08-20 17:11:46 +0000: Memory Usage (140244K) : norcx_m2m3 has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (140244K) : norcx_m2m4 has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (140244K) : norcx_m2m5 has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (140244K) : norcx_m2tm1 has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (140244K) : norcx_m2tm2 has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (140244K) : norcx_m3m4 has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (140244K) : norcx_m3m5 has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (140244K) : norcx_m3tm1 has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (140244K) : norcx_m3tm2 has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (140244K) : norcx_m4m5 has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (140244K) : norcx_m4tm1 has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (140244K) : norcx_m4tm2 has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (140244K) : norcx_m5tm1 has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (140244K) : norcx_m5tm2 has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (140244K) : norcx_tm1tm2 has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (140244K) : norcx_m1sub has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (140244K) : norcx_m2sub has 0 polygons
2026-08-20 17:11:46 +0000: Memory Usage (140244K) : norcx_m3sub has 0 polygons
