$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/bisect_extra3/no_feed/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/bisect_extra3/no_feed/driver_dut.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/bisect_extra3/no_feed/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction
2026-08-20 17:01:41 +0000: Memory Usage (129964K) : Selected DISABLE_TAP_EXTRACTION option: true
2026-08-20 17:01:41 +0000: Memory Usage (129964K) : deep  mode is enabled.
2026-08-20 17:01:41 +0000: Memory Usage (129964K) : Applying implicit connections (case-sensitive, pattern supported) for nets: sub, sub!
2026-08-20 17:01:41 +0000: Memory Usage (131124K) : Netlist file: /workspace/layout/blocks/out/driver_stage/bisect_extra3/no_feed/driver_dut.cdl
2026-08-20 17:01:41 +0000: Memory Usage (131124K) : LVS extracted netlist at: /workspace/layout/blocks/out/driver_stage/bisect_extra3/no_feed/lvs/driver_dut_extracted.cir
2026-08-20 17:01:41 +0000: Memory Usage (131124K) : Applying SRAM integration support.
2026-08-20 17:01:41 +0000: Memory Usage (131124K) : Starting SG13G2 LVS runset
2026-08-20 17:01:41 +0000: Memory Usage (131124K) : Read in polygons from layers.
2026-08-20 17:01:41 +0000: Memory Usage (132484K) : activ_drw has 899 polygons
2026-08-20 17:01:41 +0000: Memory Usage (132484K) : activ_filler has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (132572K) : activ has 899 polygons
2026-08-20 17:01:41 +0000: Memory Usage (133084K) : activ_pin has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (133084K) : activ_mask has 4 polygons
2026-08-20 17:01:41 +0000: Memory Usage (133084K) : activ_nofill has 2 polygons
2026-08-20 17:01:41 +0000: Memory Usage (133084K) : activ_OPC has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (133084K) : activ_iOPC has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (133084K) : activ_noqrc has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (133084K) : biwind_drw has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (133084K) : biwind_OPC has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (133084K) : gatpoly_drw has 140 polygons
2026-08-20 17:01:41 +0000: Memory Usage (133084K) : gatpoly_filler has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (133084K) : gatpoly has 140 polygons
2026-08-20 17:01:41 +0000: Memory Usage (133084K) : gatpoly_pin has 119 polygons
2026-08-20 17:01:41 +0000: Memory Usage (133084K) : gatpoly_nofill has 2 polygons
2026-08-20 17:01:41 +0000: Memory Usage (133084K) : gatpoly_OPC has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (133084K) : gatpoly_iOPC has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (133084K) : gatpoly_noqrc has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (133212K) : cont_drw has 14577 polygons
2026-08-20 17:01:41 +0000: Memory Usage (133212K) : cont_OPC has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (133212K) : nsd_drw has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (133340K) : nsd_block has 4 polygons
2026-08-20 17:01:41 +0000: Memory Usage (133340K) : metal1_drw has 1566 polygons
2026-08-20 17:01:41 +0000: Memory Usage (133340K) : metal1_filler has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (133468K) : metal1_slit has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (133596K) : metal1 has 1566 polygons
2026-08-20 17:01:41 +0000: Memory Usage (133596K) : metal1_pin has 750 polygons
2026-08-20 17:01:41 +0000: Memory Usage (133724K) : metal1_mask has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (133724K) : metal1_nofill has 2 polygons
2026-08-20 17:01:41 +0000: Memory Usage (133980K) : metal1_text has 5 polygons
2026-08-20 17:01:41 +0000: Memory Usage (133980K) : metal1_OPC has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (134108K) : metal1_noqrc has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (134108K) : metal1_res has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (134108K) : metal1_iprobe has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (134236K) : metal1_diffprb has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (134236K) : passiv_drw has 2 polygons
2026-08-20 17:01:41 +0000: Memory Usage (134364K) : passiv_pin has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (134364K) : passiv_sbump has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (134364K) : passiv_pillar has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (134492K) : passiv_pdl has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (134492K) : metal2_drw has 586 polygons
2026-08-20 17:01:41 +0000: Memory Usage (134492K) : metal2_filler has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (134492K) : metal2_slit has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (134620K) : metal2 has 586 polygons
2026-08-20 17:01:41 +0000: Memory Usage (134620K) : metal2_pin has 10 polygons
2026-08-20 17:01:41 +0000: Memory Usage (134620K) : metal2_mask has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (134748K) : metal2_nofill has 2 polygons
2026-08-20 17:01:41 +0000: Memory Usage (134748K) : metal2_text has 3 polygons
2026-08-20 17:01:41 +0000: Memory Usage (134748K) : metal2_OPC has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (134748K) : metal2_noqrc has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (134876K) : metal2_res has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (134876K) : metal2_iprobe has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (134876K) : metal2_diffprb has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (134876K) : baspoly_drw has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (135004K) : baspoly_pin has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (135004K) : psd_drw has 515 polygons
2026-08-20 17:01:41 +0000: Memory Usage (135004K) : nldb_drw has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (135004K) : digibnd_drw has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (135132K) : via1_drw has 7666 polygons
2026-08-20 17:01:41 +0000: Memory Usage (135132K) : backmetal1_drw has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (135132K) : backmetal1_pin has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (135132K) : backmetal1_mask has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (135260K) : backmetal1_filler has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (135260K) : backmetal1_nofill has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (135260K) : backmetal1_slit has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (135260K) : backmetal1_text has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (135388K) : backmetal1_OPC has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (135388K) : backmetal1_noqrc has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (135388K) : backmetal1_res has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (135388K) : backmetal1_iprobe has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (135516K) : backmetal1_diffprb has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (135516K) : backpassiv_drw has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (135516K) : res_drw has 2 polygons
2026-08-20 17:01:41 +0000: Memory Usage (135644K) : sram_drw has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (135644K) : trans_drw has 2 polygons
2026-08-20 17:01:41 +0000: Memory Usage (135644K) : ind_drw has 2 polygons
2026-08-20 17:01:41 +0000: Memory Usage (135644K) : ind_pin has 4 polygons
2026-08-20 17:01:41 +0000: Memory Usage (135772K) : ind_text has 4 polygons
2026-08-20 17:01:41 +0000: Memory Usage (135772K) : salblock_drw has 12 polygons
2026-08-20 17:01:41 +0000: Memory Usage (135772K) : via2_drw has 853 polygons
2026-08-20 17:01:41 +0000: Memory Usage (135900K) : metal3_drw has 77 polygons
2026-08-20 17:01:41 +0000: Memory Usage (135900K) : metal3_filler has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (135900K) : metal3_slit has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (135900K) : metal3 has 77 polygons
2026-08-20 17:01:41 +0000: Memory Usage (135900K) : metal3_pin has 2 polygons
2026-08-20 17:01:41 +0000: Memory Usage (135900K) : metal3_mask has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (135900K) : metal3_nofill has 2 polygons
2026-08-20 17:01:41 +0000: Memory Usage (135900K) : metal3_text has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (135900K) : metal3_OPC has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (135900K) : metal3_noqrc has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (135900K) : metal3_res has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (135900K) : metal3_iprobe has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (135900K) : metal3_diffprb has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (135900K) : nwell_drw has 14 polygons
2026-08-20 17:01:41 +0000: Memory Usage (135900K) : nwell_pin has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (135900K) : nwell_text has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (136028K) : nbulay_drw has 1 polygons
2026-08-20 17:01:41 +0000: Memory Usage (136028K) : nbulay_pin has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (136028K) : nbulay_block has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (136028K) : emwind_drw has 4 polygons
2026-08-20 17:01:41 +0000: Memory Usage (136028K) : emwind_OPC has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (136028K) : deepco_drw has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (136156K) : mim_drw has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (136156K) : edgeseal_drw has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (136156K) : substrate_drw has 500 polygons
2026-08-20 17:01:41 +0000: Memory Usage (136156K) : substrate_text has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (136156K) : dfpad_drw has 2 polygons
2026-08-20 17:01:41 +0000: Memory Usage (136156K) : dfpad_pillar has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (136284K) : dfpad_sbump has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (136284K) : thickgateox_drw has 1 polygons
2026-08-20 17:01:41 +0000: Memory Usage (136284K) : pldb_drw has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (136284K) : pwell_drw has 0 polygons
2026-08-20 17:01:41 +0000: Memory Usage (136284K) : pwell_pin has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (136412K) : pwell_block has 2 polygons
2026-08-20 17:01:42 +0000: Memory Usage (136412K) : ic_drw has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (136412K) : via3_drw has 1047 polygons
2026-08-20 17:01:42 +0000: Memory Usage (136412K) : metal4_drw has 32 polygons
2026-08-20 17:01:42 +0000: Memory Usage (136412K) : metal4_filler has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (136412K) : metal4_slit has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (136540K) : metal4 has 32 polygons
2026-08-20 17:01:42 +0000: Memory Usage (136540K) : metal4_pin has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (136540K) : metal4_mask has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (136540K) : metal4_nofill has 2 polygons
2026-08-20 17:01:42 +0000: Memory Usage (136540K) : metal4_text has 3 polygons
2026-08-20 17:01:42 +0000: Memory Usage (136668K) : metal4_OPC has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (136668K) : metal4_noqrc has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (136668K) : metal4_res has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (136668K) : metal4_iprobe has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (136668K) : metal4_diffprb has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (136668K) : heattrans_drw has 123 polygons
2026-08-20 17:01:42 +0000: Memory Usage (136796K) : heatres_drw has 2 polygons
2026-08-20 17:01:42 +0000: Memory Usage (136796K) : fbe_drw has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (136796K) : empoly_drw has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (136796K) : digisub_drw has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (136796K) : text_drw has 655 polygons
2026-08-20 17:01:42 +0000: Memory Usage (136796K) : via4_drw has 1041 polygons
2026-08-20 17:01:42 +0000: Memory Usage (136924K) : metal5_drw has 47 polygons
2026-08-20 17:01:42 +0000: Memory Usage (136924K) : metal5_filler has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (136924K) : metal5_slit has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (136924K) : metal5 has 47 polygons
2026-08-20 17:01:42 +0000: Memory Usage (136924K) : metal5_pin has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (136924K) : metal5_mask has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (137052K) : metal5_nofill has 2 polygons
2026-08-20 17:01:42 +0000: Memory Usage (137052K) : metal5_text has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (137052K) : metal5_OPC has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (137052K) : metal5_noqrc has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (137052K) : metal5_res has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (137052K) : metal5_iprobe has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (137180K) : metal5_diffprb has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (137180K) : radhard_drw has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (137180K) : memcap_drw has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (137180K) : varicap_drw has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (137180K) : intbondvia_drw has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (137308K) : intbondmet_drw has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (137308K) : devbondvia_drw has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (137308K) : devbondmet_drw has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (137308K) : devtrench_drw has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (137436K) : redist_drw has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (137436K) : graphbot_drw has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (137436K) : graphtop_drw has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (137436K) : antvia1_drw has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (137436K) : antmetal2_drw has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (137436K) : graphcont_drw has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (137564K) : siwg_drw has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (137564K) : siwg_filler has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (137564K) : siwg_nofill has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (137564K) : sigrating_drw has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (137564K) : singrating_drw has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (137692K) : graphpas_drw has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (137692K) : emwind3_drw has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (137692K) : emwihv3_drw has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (137692K) : redbulay_drw has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (137692K) : smos_drw has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (137692K) : graphpad_drw has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (137820K) : polimide_drw has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (137820K) : polimide_pin has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (137820K) : recog_drw has 1 polygons
2026-08-20 17:01:42 +0000: Memory Usage (137820K) : recog_pin has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (137948K) : recog_esd has 5 polygons
2026-08-20 17:01:42 +0000: Memory Usage (137948K) : recog_diode has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (137948K) : recog_tsv has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (137948K) : recog_iprobe has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (138076K) : recog_diffprb has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (138076K) : recog_pillar has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (138076K) : recog_sbump has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (138076K) : recog_otp has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (138204K) : recog_pdiode has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (138204K) : recog_mom has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (138204K) : recog_momf has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (138204K) : recog_pcm has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (138332K) : colopen_drw has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (138332K) : graphmetal1_drw has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (138332K) : graphmetal1_filler has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (138332K) : graphmetal1_nofill has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (138460K) : graphmetal1_slit has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (138460K) : graphmetal1_OPC has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (138460K) : graphmet1l_drw has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (138460K) : graphmet1l_filler has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (138588K) : graphmet1l_nofill has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (138588K) : graphmet1l_slit has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (138588K) : graphmet1l_OPC has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (138588K) : extblock_drw has 6 polygons
2026-08-20 17:01:42 +0000: Memory Usage (138588K) : nldd_drw has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (138716K) : pldd_drw has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (138716K) : next_drw has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (138716K) : pext_drw has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (138716K) : nexthv_drw has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (138716K) : pexthv_drw has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (138844K) : graphgate_drw has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (138844K) : sinwg_drw has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (138844K) : sinwg_filler has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (138844K) : sinwg_nofill has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (138844K) : mempad_drw has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (138844K) : topvia1_drw has 486 polygons
2026-08-20 17:01:42 +0000: Memory Usage (138972K) : topmetal1_drw has 57 polygons
2026-08-20 17:01:42 +0000: Memory Usage (138972K) : topmetal1_filler has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (138972K) : topmetal1_slit has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (138972K) : topmetal1 has 57 polygons
2026-08-20 17:01:42 +0000: Memory Usage (138972K) : topmetal1_pin has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (139100K) : topmetal1_mask has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (139100K) : topmetal1_nofill has 2 polygons
2026-08-20 17:01:42 +0000: Memory Usage (139100K) : topmetal1_text has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (139100K) : topmetal1_noqrc has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (139100K) : topmetal1_res has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (139228K) : topmetal1_iprobe has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (139228K) : topmetal1_diffprb has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (139228K) : inldpwl_drw has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (139228K) : polyres_drw has 2 polygons
2026-08-20 17:01:42 +0000: Memory Usage (139356K) : polyres_pin has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (139356K) : vmim_drw has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (139356K) : nbulaycut_drw has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (139356K) : antmetal1_drw has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (139484K) : topvia2_drw has 232 polygons
2026-08-20 17:01:42 +0000: Memory Usage (139612K) : topmetal2_drw has 64 polygons
2026-08-20 17:01:42 +0000: Memory Usage (139740K) : topmetal2_filler has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (139740K) : topmetal2_slit has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (139740K) : topmetal2 has 64 polygons
2026-08-20 17:01:42 +0000: Memory Usage (139868K) : topmetal2_pin has 4 polygons
2026-08-20 17:01:42 +0000: Memory Usage (139868K) : topmetal2_mask has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (139868K) : topmetal2_nofill has 2 polygons
2026-08-20 17:01:42 +0000: Memory Usage (139868K) : topmetal2_text has 8 polygons
2026-08-20 17:01:42 +0000: Memory Usage (139868K) : topmetal2_noqrc has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (139996K) : topmetal2_res has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (139996K) : topmetal2_iprobe has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (139996K) : topmetal2_diffprb has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (140124K) : snsring_drw has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (140124K) : sensor_drw has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (140124K) : snsarms_drw has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (140124K) : snscmosvia_drw has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (140252K) : colwind_drw has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (140380K) : flm_drw has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (140380K) : hafniumox_drw has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (140380K) : memvia_drw has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (140380K) : thinfilmres_drw has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (140380K) : rfmem_drw has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (140380K) : norcx_drw has 2 polygons
2026-08-20 17:01:42 +0000: Memory Usage (140380K) : norcx_m2m3 has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (140380K) : norcx_m2m4 has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (140380K) : norcx_m2m5 has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (140380K) : norcx_m2tm1 has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (140380K) : norcx_m2tm2 has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (140380K) : norcx_m3m4 has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (140380K) : norcx_m3m5 has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (140380K) : norcx_m3tm1 has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (140380K) : norcx_m3tm2 has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (140380K) : norcx_m4m5 has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (140380K) : norcx_m4tm1 has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (140380K) : norcx_m4tm2 has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (140380K) : norcx_m5tm1 has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (140380K) : norcx_m5tm2 has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (140380K) : norcx_tm1tm2 has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (140380K) : norcx_m1sub has 0 polygons
2026-08-20 17:01:42 +0000: Memory Usage (140380K) : norcx_m2sub has 0 polygons
