$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/vga_stage/vga_dut.gds --netlist=/workspace/layout/blocks/out/vga_stage/probe_arrays.cdl --run_dir=/workspace/layout/blocks/out/vga_stage/lvs_probe_arrays --run_mode=deep --topcell=vga_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction
2026-08-20 14:23:03 +0000: Memory Usage (138344K) : norcx_m5sub has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (138344K) : norcx_tm1sub has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (138344K) : norcx_tm2sub has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (138344K) : snsbotvia_drw has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (138344K) : snstopvia_drw has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (138344K) : deepvia_drw has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (138344K) : fgetch_drw has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (138344K) : ctrgat_drw has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (138344K) : fgimp_drw has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (138344K) : emwihv_drw has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (138344K) : lbe_drw has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (138344K) : alcustop_drw has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (138344K) : nometfiller_drw has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (138344K) : prboundary_drw has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (138344K) : exchange0_drw has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (138344K) : exchange0_pin has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (138344K) : exchange0_text has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (138344K) : exchange1_drw has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (138344K) : exchange1_pin has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (138344K) : exchange1_text has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (138344K) : exchange2_drw has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (138344K) : exchange2_pin has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (138344K) : exchange2_text has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (138344K) : exchange3_drw has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (138344K) : exchange3_pin has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (138344K) : exchange3_text has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (138344K) : exchange4_drw has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (138344K) : exchange4_pin has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (138344K) : exchange4_text has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (138344K) : isonwell_drw has 0 polygons
2026-08-20 14:23:03 +0000: Memory Usage (138344K) : Total no. of polygons in the design is 26421
2026-08-20 14:23:03 +0000: Memory Usage (138344K) : Starting base layers derivations
2026-08-20 14:23:03 +0000: Memory Usage (138344K) : Starting general LVS derivations
2026-08-20 14:23:03 +0000: Memory Usage (142864K) : Starting MOSFET DERIVATIONS
2026-08-20 14:23:03 +0000: Memory Usage (142864K) : Starting NMOS DERIVATIONS
2026-08-20 14:23:03 +0000: Memory Usage (142864K) : Starting PMOS DERIVATIONS
2026-08-20 14:23:03 +0000: Memory Usage (142864K) : Starting RF-MOSFET DERIVATIONS
2026-08-20 14:23:03 +0000: Memory Usage (142864K) : Starting RF-NMOS DERIVATIONS
2026-08-20 14:23:03 +0000: Memory Usage (142864K) : Starting RF-PMOS DERIVATIONS
2026-08-20 14:23:03 +0000: Memory Usage (142864K) : Starting BJT DERIVATIONS
2026-08-20 14:23:03 +0000: Memory Usage (142864K) : Starting NPN-BJT DERIVATIONS
2026-08-20 14:23:03 +0000: Memory Usage (142864K) : Starting PNP-BJT DERIVATIONS
2026-08-20 14:23:03 +0000: Memory Usage (142864K) : Starting DIODE DERIVATIONS
2026-08-20 14:23:03 +0000: Memory Usage (142864K) : Starting RESISTOR DERIVATIONS
2026-08-20 14:23:03 +0000: Memory Usage (142864K) : Starting CAP DERIVATIONS
2026-08-20 14:23:03 +0000: Memory Usage (142864K) : Starting CAP_CMOM DERIVATIONS
2026-08-20 14:23:03 +0000: Memory Usage (142864K) : Starting CAP_CMOMF DERIVATIONS
2026-08-20 14:23:03 +0000: Memory Usage (142864K) : Starting ESD DERIVATIONS
2026-08-20 14:23:03 +0000: Memory Usage (142864K) : Starting Inductor DERIVATIONS
2026-08-20 14:23:03 +0000: Memory Usage (143120K) : Starting Taps DERIVATIONS
2026-08-20 14:23:03 +0000: Memory Usage (143120K) : Starting SG13G2 LVS connectivity setup
2026-08-20 14:23:03 +0000: Memory Usage (143120K) : Starting SG13G2 LVS connectivity setup (Inter-layer)
2026-08-20 14:23:03 +0000: Memory Usage (143248K) : Starting SG13G2 LVS connectivity setup (Global)
2026-08-20 14:23:03 +0000: Memory Usage (143248K) : Starting LVS MOSFET CONNECTIONS
2026-08-20 14:23:03 +0000: Memory Usage (143248K) : Starting LVS RF-MOSFET CONNECTIONS
2026-08-20 14:23:03 +0000: Memory Usage (143248K) : Starting LVS BJT CONNECTIONS
2026-08-20 14:23:03 +0000: Memory Usage (143248K) : Starting LVS DIODE CONNECTIONS
2026-08-20 14:23:03 +0000: Memory Usage (143248K) : Starting RESISTOR CONNECTIONS
2026-08-20 14:23:03 +0000: Memory Usage (143248K) : Starting LVS CAP CONNECTIONS
2026-08-20 14:23:03 +0000: Memory Usage (143248K) : Starting CAP_CMOM CONNECTIONS
2026-08-20 14:23:03 +0000: Memory Usage (143248K) : Starting CAP_CMOMF CONNECTIONS
2026-08-20 14:23:03 +0000: Memory Usage (143248K) : Starting ESD CONNECTIONS
2026-08-20 14:23:03 +0000: Memory Usage (143248K) : Starting Inductor CONNECTIONS
2026-08-20 14:23:03 +0000: Memory Usage (143248K) : Starting LVS Taps CONNECTIONS
2026-08-20 14:23:03 +0000: Memory Usage (143248K) : Starting SG13G2 LVS DEVICES EXTRACTION
2026-08-20 14:23:03 +0000: Memory Usage (143248K) : Starting MOSFET EXTRACTION
2026-08-20 14:23:03 +0000: Memory Usage (143248K) : Starting NMOS EXTRACTION
2026-08-20 14:23:03 +0000: Memory Usage (143248K) : Extraction of NMOS-LV transistor
2026-08-20 14:23:03 +0000: Memory Usage (143760K) : Extraction of NMOS-HV transistor
2026-08-20 14:23:03 +0000: Memory Usage (143760K) : Starting PMOS EXTRACTION
2026-08-20 14:23:03 +0000: Memory Usage (143760K) : Extraction of PMOS-LV transistor
2026-08-20 14:23:03 +0000: Memory Usage (143760K) : Extraction of PMOS-HV transistor
2026-08-20 14:23:03 +0000: Memory Usage (143760K) : Starting RF-MOSFET EXTRACTION
2026-08-20 14:23:03 +0000: Memory Usage (143760K) : Extraction of RF-NMOS-LV transistor
2026-08-20 14:23:03 +0000: Memory Usage (143760K) : Extraction of RF-NMOS-HV transistor
2026-08-20 14:23:03 +0000: Memory Usage (143760K) : Extraction of RF-PMOS-LV transistor
2026-08-20 14:23:03 +0000: Memory Usage (143760K) : Extraction of RF-PMOS-HV transistor
2026-08-20 14:23:03 +0000: Memory Usage (143760K) : Starting BJT EXTRACTION
2026-08-20 14:23:03 +0000: Memory Usage (143760K) : Starting NPN-BJT EXTRACTION
2026-08-20 14:23:03 +0000: Memory Usage (143760K) : Extraction of npn13G2 BJT transistor
2026-08-20 14:23:03 +0000: Memory Usage (143760K) : Extraction of npn13G2L BJT transistor
2026-08-20 14:23:03 +0000: Memory Usage (143760K) : Extraction of npn13G2V BJT transistor
2026-08-20 14:23:03 +0000: Memory Usage (143760K) : Starting PNP-BJT EXTRACTION
2026-08-20 14:23:03 +0000: Memory Usage (143760K) : Extracting pnpMPA BJT
2026-08-20 14:23:03 +0000: Memory Usage (143760K) : Starting DIODE EXTRACTION
2026-08-20 14:23:03 +0000: Memory Usage (143760K) : Extracting dantenna diode
2026-08-20 14:23:03 +0000: Memory Usage (143760K) : Extracting dpantenna diode
2026-08-20 14:23:03 +0000: Memory Usage (143760K) : Extracting schottky_nbl1 diode
2026-08-20 14:23:03 +0000: Memory Usage (143760K) : Extracting isolbox diode
2026-08-20 14:23:03 +0000: Memory Usage (143760K) : Starting RESISTOR EXTRACTION
2026-08-20 14:23:03 +0000: Memory Usage (143760K) : Extracting rsil resistor
2026-08-20 14:23:03 +0000: Memory Usage (143760K) : Extracting rppd resistor
2026-08-20 14:23:03 +0000: Memory Usage (143760K) : Extracting rhigh resistor
2026-08-20 14:23:03 +0000: Memory Usage (143760K) : Extracting res_metal1 resistor
2026-08-20 14:23:03 +0000: Memory Usage (143760K) : Extracting res_metal2 resistor
2026-08-20 14:23:03 +0000: Memory Usage (143760K) : Extracting res_metal3 resistor
2026-08-20 14:23:03 +0000: Memory Usage (143760K) : Extracting res_metal4 resistor
2026-08-20 14:23:03 +0000: Memory Usage (143760K) : Extracting res_metal5 resistor
2026-08-20 14:23:03 +0000: Memory Usage (143760K) : Extracting res_topmetal1 resistor
2026-08-20 14:23:03 +0000: Memory Usage (143760K) : Extracting res_topmetal2 resistor
2026-08-20 14:23:03 +0000: Memory Usage (143760K) : Starting CAP EXTRACTION
2026-08-20 14:23:03 +0000: Memory Usage (143760K) : Extracting cap_cmim device
2026-08-20 14:23:03 +0000: Memory Usage (143760K) : Extracting rfcmim device
2026-08-20 14:23:03 +0000: Memory Usage (143760K) : Extracting sg13_hv_svaricap varactor
2026-08-20 14:23:03 +0000: Memory Usage (143760K) : Extracting cap_cmomi device
2026-08-20 14:23:03 +0000: Memory Usage (143760K) : Extracting cap_cmomf device
2026-08-20 14:23:03 +0000: Memory Usage (143760K) : Extracting sg13_moscap_n capacitor
2026-08-20 14:23:03 +0000: Memory Usage (143760K) : Extracting sg13_moscap_p capacitor
2026-08-20 14:23:03 +0000: Memory Usage (143760K) : Starting ESD EXTRACTION
2026-08-20 14:23:03 +0000: Memory Usage (143760K) : Extracting diodevdd_2kv ESD device
2026-08-20 14:23:03 +0000: Memory Usage (143760K) : Extracting diodevdd_4kv ESD device
2026-08-20 14:23:03 +0000: Memory Usage (143760K) : Extracting diodevss_2kv ESD device
2026-08-20 14:23:03 +0000: Memory Usage (143760K) : Extracting diodevss_4kv ESD device
2026-08-20 14:23:03 +0000: Memory Usage (143760K) : Extracting idiodevdd_2kv ESD device
2026-08-20 14:23:03 +0000: Memory Usage (143760K) : Extracting idiodevdd_4kv ESD device
2026-08-20 14:23:03 +0000: Memory Usage (143760K) : Extracting idiodevss_2kv ESD device
2026-08-20 14:23:03 +0000: Memory Usage (143760K) : Extracting idiodevss_4kv ESD device
2026-08-20 14:23:03 +0000: Memory Usage (143760K) : Extracting nmoscl_2 ESD device
2026-08-20 14:23:03 +0000: Memory Usage (143760K) : Extracting nmoscl_4 ESD device
2026-08-20 14:23:03 +0000: Memory Usage (143760K) : Starting Inductor EXTRACTION
2026-08-20 14:23:03 +0000: Memory Usage (143760K) : Extracting Inductor2 device
2026-08-20 14:23:03 +0000: Memory Usage (143760K) : Extracting Inductor3 device
2026-08-20 14:23:03 +0000: Memory Usage (143760K) : Starting Taps EXTRACTION
2026-08-20 14:23:03 +0000: Memory Usage (143760K) : DISABLE_TAP_EXTRACTION is enabled: skipping ntap1/ptap1 device extraction.
2026-08-20 14:23:03 +0000: Memory Usage (143760K) : Starting SG13G2 LVS RF MOS Model Mapping
2026-08-20 14:23:03 +0000: Memory Usage (143760K) : [layout_netlist] Apply RF MOS model mapping and rfmode parameter.
2026-08-20 14:23:03 +0000: Memory Usage (143760K) : Starting SG13G2 LVS Options Preparations
2026-08-20 14:23:03 +0000: Memory Usage (143760K) : SG13G2 LVS flow: extraction -> alignment -> option preparation -> comparison.
2026-08-20 14:23:03 +0000: Memory Usage (143760K) : Starting SG13G2 LVS Alignment
2026-08-20 14:23:03 +0000: Memory Usage (143888K) : Starting SG13G2 LVS Simplification
2026-08-20 14:23:03 +0000: Memory Usage (143888K) : [layout_netlist] simplify: ENABLED
2026-08-20 14:23:03 +0000: Memory Usage (143888K) : [layout_netlist] make_top_level_pins: SKIPPED
2026-08-20 14:23:03 +0000: Memory Usage (143888K) : [layout_netlist] combine_devices: SKIPPED
2026-08-20 14:23:03 +0000: Memory Usage (143888K) : [layout_netlist] purge: SKIPPED
2026-08-20 14:23:03 +0000: Memory Usage (143888K) : [layout_netlist] purge_nets: SKIPPED
2026-08-20 14:23:03 +0000: Memory Usage (143888K) : [schematic_netlist] simplify: ENABLED
2026-08-20 14:23:03 +0000: Memory Usage (143888K) : [schematic_netlist] make_top_level_pins: SKIPPED
2026-08-20 14:23:03 +0000: Memory Usage (143888K) : [schematic_netlist] combine_devices: SKIPPED
2026-08-20 14:23:03 +0000: Memory Usage (143888K) : [schematic_netlist] purge: SKIPPED
2026-08-20 14:23:03 +0000: Memory Usage (143888K) : [schematic_netlist] purge_nets: SKIPPED
2026-08-20 14:23:03 +0000: Memory Usage (143888K) : Starting SG13G2 LVS Comparison
2026-08-20 14:23:03 +0000: Memory Usage (144016K) : xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
2026-08-20 14:23:03 +0000: Memory Usage (144016K) : ERROR : Netlists don't match
2026-08-20 14:23:03 +0000: Memory Usage (144016K) : xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
2026-08-20 14:23:03 +0000: Memory Usage (144016K) : LVS Total Run time 0.832027 seconds

--- stderr ---
20-Aug-2026 14:23:02 | INFO    | Your Klayout version is: KLayout 0.30.5 (required >= 0.30.5)
20-Aug-2026 14:23:02 | INFO    | Running SG13G2 LVS checks on design /workspace/layout/blocks/out/vga_stage/vga_dut.gds on cell vga_dut
20-Aug-2026 14:23:03 | INFO    | ==============================================================================
20-Aug-2026 14:23:03 | INFO    | Important Summary
20-Aug-2026 14:23:03 | INFO    | +------------------+--------------------------------------------------------------+
20-Aug-2026 14:23:03 | INFO    | | Status           | FAIL                                                         |
20-Aug-2026 14:23:03 | INFO    | | Mode             | COMPARE                                                      |
20-Aug-2026 14:23:03 | INFO    | | Outcome          | Comparison mode: FAIL (netlists do not match).               |
20-Aug-2026 14:23:03 | INFO    | | Layout           | vga_dut.gds                                                  |
20-Aug-2026 14:23:03 | INFO    | | Top Cell         | vga_dut                                                      |
20-Aug-2026 14:23:03 | INFO    | | Results Dir      | /workspace/layout/blocks/out/vga_stage/lvs_probe_arrays      |
20-Aug-2026 14:23:03 | INFO    | | Warnings         | 0                                                            |
20-Aug-2026 14:23:03 | INFO    | | Errors           | 1                                                            |
20-Aug-2026 14:23:03 | INFO    | | Run Time (s)     | 1.163                                                        |
20-Aug-2026 14:23:03 | INFO    | +------------------+--------------------------------------------------------------+
20-Aug-2026 14:23:03 | ERROR   | Key errors:
20-Aug-2026 14:23:03 | ERROR   |   - 2026-08-20 14:23:03 +0000: Memory Usage (144016K) : ERROR : Netlists don't match
20-Aug-2026 14:23:03 | INFO    | ==============================================================================

