$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/bisect_extra8/clamp_only/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/bisect_extra8/clamp_only/x.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/bisect_extra8/clamp_only/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction
2026-08-20 17:10:10 +0000: Memory Usage (130648K) : Selected DISABLE_TAP_EXTRACTION option: true
2026-08-20 17:10:10 +0000: Memory Usage (130648K) : deep  mode is enabled.
2026-08-20 17:10:10 +0000: Memory Usage (130648K) : Applying implicit connections (case-sensitive, pattern supported) for nets: sub, sub!
2026-08-20 17:10:10 +0000: Memory Usage (131936K) : Netlist file: /workspace/layout/blocks/out/driver_stage/bisect_extra8/clamp_only/x.cdl
2026-08-20 17:10:10 +0000: Memory Usage (131936K) : LVS extracted netlist at: /workspace/layout/blocks/out/driver_stage/bisect_extra8/clamp_only/lvs/driver_dut_extracted.cir
2026-08-20 17:10:10 +0000: Memory Usage (131936K) : Applying SRAM integration support.
2026-08-20 17:10:10 +0000: Memory Usage (131936K) : Starting SG13G2 LVS runset
2026-08-20 17:10:10 +0000: Memory Usage (131936K) : Read in polygons from layers.
2026-08-20 17:10:10 +0000: Memory Usage (133088K) : activ_drw has 899 polygons
2026-08-20 17:10:10 +0000: Memory Usage (133088K) : activ_filler has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (133216K) : activ has 899 polygons
2026-08-20 17:10:10 +0000: Memory Usage (133216K) : activ_pin has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (133380K) : activ_mask has 4 polygons
2026-08-20 17:10:10 +0000: Memory Usage (133764K) : activ_nofill has 2 polygons
2026-08-20 17:10:10 +0000: Memory Usage (133764K) : activ_OPC has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (133764K) : activ_iOPC has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (133764K) : activ_noqrc has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (133764K) : biwind_drw has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (133764K) : biwind_OPC has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (133764K) : gatpoly_drw has 140 polygons
2026-08-20 17:10:10 +0000: Memory Usage (133764K) : gatpoly_filler has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (133764K) : gatpoly has 140 polygons
2026-08-20 17:10:10 +0000: Memory Usage (133764K) : gatpoly_pin has 119 polygons
2026-08-20 17:10:10 +0000: Memory Usage (133764K) : gatpoly_nofill has 2 polygons
2026-08-20 17:10:10 +0000: Memory Usage (133764K) : gatpoly_OPC has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (133764K) : gatpoly_iOPC has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (133764K) : gatpoly_noqrc has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (133764K) : cont_drw has 14577 polygons
2026-08-20 17:10:10 +0000: Memory Usage (133764K) : cont_OPC has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (133764K) : nsd_drw has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (133764K) : nsd_block has 4 polygons
2026-08-20 17:10:10 +0000: Memory Usage (133892K) : metal1_drw has 1550 polygons
2026-08-20 17:10:10 +0000: Memory Usage (133892K) : metal1_filler has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (134020K) : metal1_slit has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (134148K) : metal1 has 1550 polygons
2026-08-20 17:10:10 +0000: Memory Usage (134276K) : metal1_pin has 750 polygons
2026-08-20 17:10:10 +0000: Memory Usage (134276K) : metal1_mask has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (134276K) : metal1_nofill has 2 polygons
2026-08-20 17:10:10 +0000: Memory Usage (134532K) : metal1_text has 5 polygons
2026-08-20 17:10:10 +0000: Memory Usage (134532K) : metal1_OPC has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (134532K) : metal1_noqrc has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (134660K) : metal1_res has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (134660K) : metal1_iprobe has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (134660K) : metal1_diffprb has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (134788K) : passiv_drw has 2 polygons
2026-08-20 17:10:10 +0000: Memory Usage (134788K) : passiv_pin has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (134788K) : passiv_sbump has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (134916K) : passiv_pillar has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (134916K) : passiv_pdl has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (134916K) : metal2_drw has 543 polygons
2026-08-20 17:10:10 +0000: Memory Usage (135044K) : metal2_filler has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (135044K) : metal2_slit has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (135044K) : metal2 has 543 polygons
2026-08-20 17:10:10 +0000: Memory Usage (135044K) : metal2_pin has 10 polygons
2026-08-20 17:10:10 +0000: Memory Usage (135172K) : metal2_mask has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (135172K) : metal2_nofill has 2 polygons
2026-08-20 17:10:10 +0000: Memory Usage (135172K) : metal2_text has 3 polygons
2026-08-20 17:10:10 +0000: Memory Usage (135172K) : metal2_OPC has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (135300K) : metal2_noqrc has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (135300K) : metal2_res has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (135300K) : metal2_iprobe has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (135428K) : metal2_diffprb has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (135428K) : baspoly_drw has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (135428K) : baspoly_pin has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (135428K) : psd_drw has 515 polygons
2026-08-20 17:10:10 +0000: Memory Usage (135556K) : nldb_drw has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (135556K) : digibnd_drw has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (135556K) : via1_drw has 7634 polygons
2026-08-20 17:10:10 +0000: Memory Usage (135556K) : backmetal1_drw has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (135684K) : backmetal1_pin has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (135684K) : backmetal1_mask has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (135684K) : backmetal1_filler has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (135684K) : backmetal1_nofill has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (135812K) : backmetal1_slit has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (135812K) : backmetal1_text has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (135812K) : backmetal1_OPC has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (135812K) : backmetal1_noqrc has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (135940K) : backmetal1_res has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (135940K) : backmetal1_iprobe has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (135940K) : backmetal1_diffprb has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (135940K) : backpassiv_drw has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (136068K) : res_drw has 2 polygons
2026-08-20 17:10:10 +0000: Memory Usage (136068K) : sram_drw has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (136068K) : trans_drw has 2 polygons
2026-08-20 17:10:10 +0000: Memory Usage (136196K) : ind_drw has 2 polygons
2026-08-20 17:10:10 +0000: Memory Usage (136196K) : ind_pin has 4 polygons
2026-08-20 17:10:10 +0000: Memory Usage (136196K) : ind_text has 4 polygons
2026-08-20 17:10:10 +0000: Memory Usage (136196K) : salblock_drw has 12 polygons
2026-08-20 17:10:10 +0000: Memory Usage (136324K) : via2_drw has 805 polygons
2026-08-20 17:10:10 +0000: Memory Usage (136324K) : metal3_drw has 44 polygons
2026-08-20 17:10:10 +0000: Memory Usage (136324K) : metal3_filler has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (136324K) : metal3_slit has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (136324K) : metal3 has 44 polygons
2026-08-20 17:10:10 +0000: Memory Usage (136324K) : metal3_pin has 2 polygons
2026-08-20 17:10:10 +0000: Memory Usage (136324K) : metal3_mask has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (136324K) : metal3_nofill has 2 polygons
2026-08-20 17:10:10 +0000: Memory Usage (136324K) : metal3_text has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (136324K) : metal3_OPC has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (136324K) : metal3_noqrc has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (136324K) : metal3_res has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (136324K) : metal3_iprobe has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (136324K) : metal3_diffprb has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (136452K) : nwell_drw has 14 polygons
2026-08-20 17:10:10 +0000: Memory Usage (136452K) : nwell_pin has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (136452K) : nwell_text has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (136452K) : nbulay_drw has 1 polygons
2026-08-20 17:10:10 +0000: Memory Usage (136452K) : nbulay_pin has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (136452K) : nbulay_block has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (136580K) : emwind_drw has 4 polygons
2026-08-20 17:10:10 +0000: Memory Usage (136580K) : emwind_OPC has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (136580K) : deepco_drw has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (136580K) : mim_drw has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (136580K) : edgeseal_drw has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (136708K) : substrate_drw has 500 polygons
2026-08-20 17:10:10 +0000: Memory Usage (136708K) : substrate_text has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (136708K) : dfpad_drw has 2 polygons
2026-08-20 17:10:10 +0000: Memory Usage (136708K) : dfpad_pillar has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (136708K) : dfpad_sbump has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (136708K) : thickgateox_drw has 1 polygons
2026-08-20 17:10:10 +0000: Memory Usage (136836K) : pldb_drw has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (136836K) : pwell_drw has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (136836K) : pwell_pin has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (136836K) : pwell_block has 2 polygons
2026-08-20 17:10:10 +0000: Memory Usage (136836K) : ic_drw has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (136836K) : via3_drw has 1015 polygons
2026-08-20 17:10:10 +0000: Memory Usage (136964K) : metal4_drw has 24 polygons
2026-08-20 17:10:10 +0000: Memory Usage (136964K) : metal4_filler has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (136964K) : metal4_slit has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (136964K) : metal4 has 24 polygons
2026-08-20 17:10:10 +0000: Memory Usage (136964K) : metal4_pin has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (137092K) : metal4_mask has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (137092K) : metal4_nofill has 2 polygons
2026-08-20 17:10:10 +0000: Memory Usage (137092K) : metal4_text has 3 polygons
2026-08-20 17:10:10 +0000: Memory Usage (137092K) : metal4_OPC has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (137092K) : metal4_noqrc has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (137220K) : metal4_res has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (137220K) : metal4_iprobe has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (137220K) : metal4_diffprb has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (137220K) : heattrans_drw has 123 polygons
2026-08-20 17:10:10 +0000: Memory Usage (137220K) : heatres_drw has 2 polygons
2026-08-20 17:10:10 +0000: Memory Usage (137220K) : fbe_drw has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (137220K) : empoly_drw has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (137348K) : digisub_drw has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (137348K) : text_drw has 655 polygons
2026-08-20 17:10:10 +0000: Memory Usage (137348K) : via4_drw has 1009 polygons
2026-08-20 17:10:10 +0000: Memory Usage (137348K) : metal5_drw has 31 polygons
2026-08-20 17:10:10 +0000: Memory Usage (137348K) : metal5_filler has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (137348K) : metal5_slit has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (137476K) : metal5 has 31 polygons
2026-08-20 17:10:10 +0000: Memory Usage (137476K) : metal5_pin has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (137476K) : metal5_mask has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (137476K) : metal5_nofill has 2 polygons
2026-08-20 17:10:10 +0000: Memory Usage (137476K) : metal5_text has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (137476K) : metal5_OPC has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (137604K) : metal5_noqrc has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (137604K) : metal5_res has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (137604K) : metal5_iprobe has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (137604K) : metal5_diffprb has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (137604K) : radhard_drw has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (137732K) : memcap_drw has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (137732K) : varicap_drw has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (137732K) : intbondvia_drw has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (137732K) : intbondmet_drw has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (137732K) : devbondvia_drw has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (137860K) : devbondmet_drw has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (137860K) : devtrench_drw has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (137860K) : redist_drw has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (137860K) : graphbot_drw has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (137988K) : graphtop_drw has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (137988K) : antvia1_drw has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (137988K) : antmetal2_drw has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (137988K) : graphcont_drw has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (137988K) : siwg_drw has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (137988K) : siwg_filler has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (138116K) : siwg_nofill has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (138116K) : sigrating_drw has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (138116K) : singrating_drw has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (138116K) : graphpas_drw has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (138116K) : emwind3_drw has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (138244K) : emwihv3_drw has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (138244K) : redbulay_drw has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (138244K) : smos_drw has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (138244K) : graphpad_drw has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (138244K) : polimide_drw has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (138244K) : polimide_pin has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (138372K) : recog_drw has 1 polygons
2026-08-20 17:10:10 +0000: Memory Usage (138372K) : recog_pin has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (138372K) : recog_esd has 5 polygons
2026-08-20 17:10:10 +0000: Memory Usage (138372K) : recog_diode has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (138500K) : recog_tsv has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (138500K) : recog_iprobe has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (138500K) : recog_diffprb has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (138500K) : recog_pillar has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (138628K) : recog_sbump has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (138628K) : recog_otp has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (138628K) : recog_pdiode has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (138628K) : recog_mom has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (138756K) : recog_momf has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (138756K) : recog_pcm has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (138756K) : colopen_drw has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (138756K) : graphmetal1_drw has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (138884K) : graphmetal1_filler has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (138884K) : graphmetal1_nofill has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (138884K) : graphmetal1_slit has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (138884K) : graphmetal1_OPC has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (139012K) : graphmet1l_drw has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (139012K) : graphmet1l_filler has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (139012K) : graphmet1l_nofill has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (139012K) : graphmet1l_slit has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (139140K) : graphmet1l_OPC has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (139140K) : extblock_drw has 6 polygons
2026-08-20 17:10:10 +0000: Memory Usage (139140K) : nldd_drw has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (139140K) : pldd_drw has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (139140K) : next_drw has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (139268K) : pext_drw has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (139268K) : nexthv_drw has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (139268K) : pexthv_drw has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (139268K) : graphgate_drw has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (139268K) : sinwg_drw has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (139396K) : sinwg_filler has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (139396K) : sinwg_nofill has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (139396K) : mempad_drw has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (139396K) : topvia1_drw has 476 polygons
2026-08-20 17:10:10 +0000: Memory Usage (139396K) : topmetal1_drw has 47 polygons
2026-08-20 17:10:10 +0000: Memory Usage (139396K) : topmetal1_filler has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (139524K) : topmetal1_slit has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (139524K) : topmetal1 has 47 polygons
2026-08-20 17:10:10 +0000: Memory Usage (139524K) : topmetal1_pin has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (139524K) : topmetal1_mask has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (139652K) : topmetal1_nofill has 2 polygons
2026-08-20 17:10:10 +0000: Memory Usage (139652K) : topmetal1_text has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (139652K) : topmetal1_noqrc has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (139652K) : topmetal1_res has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (139652K) : topmetal1_iprobe has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (139780K) : topmetal1_diffprb has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (139780K) : inldpwl_drw has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (139780K) : polyres_drw has 2 polygons
2026-08-20 17:10:10 +0000: Memory Usage (139780K) : polyres_pin has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (139908K) : vmim_drw has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (139908K) : nbulaycut_drw has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (139908K) : antmetal1_drw has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (140036K) : topvia2_drw has 230 polygons
2026-08-20 17:10:10 +0000: Memory Usage (140164K) : topmetal2_drw has 61 polygons
2026-08-20 17:10:10 +0000: Memory Usage (140164K) : topmetal2_filler has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (140292K) : topmetal2_slit has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (140292K) : topmetal2 has 61 polygons
2026-08-20 17:10:10 +0000: Memory Usage (140292K) : topmetal2_pin has 4 polygons
2026-08-20 17:10:10 +0000: Memory Usage (140420K) : topmetal2_mask has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (140420K) : topmetal2_nofill has 2 polygons
2026-08-20 17:10:10 +0000: Memory Usage (140420K) : topmetal2_text has 8 polygons
2026-08-20 17:10:10 +0000: Memory Usage (140420K) : topmetal2_noqrc has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (140420K) : topmetal2_res has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (140548K) : topmetal2_iprobe has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (140548K) : topmetal2_diffprb has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (140548K) : snsring_drw has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (140676K) : sensor_drw has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (140676K) : snsarms_drw has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (140676K) : snscmosvia_drw has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (140676K) : colwind_drw has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (140804K) : flm_drw has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (140932K) : hafniumox_drw has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (140932K) : memvia_drw has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (140932K) : thinfilmres_drw has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (140932K) : rfmem_drw has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (140932K) : norcx_drw has 2 polygons
2026-08-20 17:10:10 +0000: Memory Usage (140932K) : norcx_m2m3 has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (140932K) : norcx_m2m4 has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (140932K) : norcx_m2m5 has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (140932K) : norcx_m2tm1 has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (140932K) : norcx_m2tm2 has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (140932K) : norcx_m3m4 has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (140932K) : norcx_m3m5 has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (140932K) : norcx_m3tm1 has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (140932K) : norcx_m3tm2 has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (140932K) : norcx_m4m5 has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (140932K) : norcx_m4tm1 has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (140932K) : norcx_m4tm2 has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (140932K) : norcx_m5tm1 has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (140932K) : norcx_m5tm2 has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (140932K) : norcx_tm1tm2 has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (140932K) : norcx_m1sub has 0 polygons
2026-08-20 17:10:10 +0000: Memory Usage (140932K) : norcx_m2sub has 0 polygons
