$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/probe/pads_no_esd/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/probe/pads_no_esd/t.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/probe/pads_no_esd/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction
2026-08-20 16:31:05 +0000: Memory Usage (129976K) : Selected DISABLE_TAP_EXTRACTION option: true
2026-08-20 16:31:05 +0000: Memory Usage (129976K) : deep  mode is enabled.
2026-08-20 16:31:05 +0000: Memory Usage (129976K) : Applying implicit connections (case-sensitive, pattern supported) for nets: sub, sub!
2026-08-20 16:31:05 +0000: Memory Usage (131136K) : Netlist file: /workspace/layout/blocks/out/driver_stage/probe/pads_no_esd/t.cdl
2026-08-20 16:31:05 +0000: Memory Usage (131136K) : LVS extracted netlist at: /workspace/layout/blocks/out/driver_stage/probe/pads_no_esd/lvs/driver_dut_extracted.cir
2026-08-20 16:31:05 +0000: Memory Usage (131136K) : Applying SRAM integration support.
2026-08-20 16:31:05 +0000: Memory Usage (131136K) : Starting SG13G2 LVS runset
2026-08-20 16:31:05 +0000: Memory Usage (131136K) : Read in polygons from layers.
2026-08-20 16:31:05 +0000: Memory Usage (132496K) : activ_drw has 875 polygons
2026-08-20 16:31:05 +0000: Memory Usage (132496K) : activ_filler has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (132496K) : activ has 875 polygons
2026-08-20 16:31:05 +0000: Memory Usage (132496K) : activ_pin has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (132496K) : activ_mask has 4 polygons
2026-08-20 16:31:05 +0000: Memory Usage (132496K) : activ_nofill has 2 polygons
2026-08-20 16:31:05 +0000: Memory Usage (132496K) : activ_OPC has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (132496K) : activ_iOPC has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (132496K) : activ_noqrc has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (132584K) : biwind_drw has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (133096K) : biwind_OPC has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (133096K) : gatpoly_drw has 140 polygons
2026-08-20 16:31:05 +0000: Memory Usage (133096K) : gatpoly_filler has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (133096K) : gatpoly has 140 polygons
2026-08-20 16:31:05 +0000: Memory Usage (133096K) : gatpoly_pin has 119 polygons
2026-08-20 16:31:05 +0000: Memory Usage (133096K) : gatpoly_nofill has 2 polygons
2026-08-20 16:31:05 +0000: Memory Usage (133096K) : gatpoly_OPC has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (133096K) : gatpoly_iOPC has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (133096K) : gatpoly_noqrc has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (133224K) : cont_drw has 10261 polygons
2026-08-20 16:31:05 +0000: Memory Usage (133224K) : cont_OPC has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (133224K) : nsd_drw has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (133224K) : nsd_block has 4 polygons
2026-08-20 16:31:05 +0000: Memory Usage (133224K) : metal1_drw has 1526 polygons
2026-08-20 16:31:05 +0000: Memory Usage (133224K) : metal1_filler has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (133224K) : metal1_slit has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (133224K) : metal1 has 1526 polygons
2026-08-20 16:31:05 +0000: Memory Usage (133224K) : metal1_pin has 746 polygons
2026-08-20 16:31:05 +0000: Memory Usage (133224K) : metal1_mask has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (133224K) : metal1_nofill has 2 polygons
2026-08-20 16:31:05 +0000: Memory Usage (133480K) : metal1_text has 5 polygons
2026-08-20 16:31:05 +0000: Memory Usage (133480K) : metal1_OPC has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (133608K) : metal1_noqrc has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (133608K) : metal1_res has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (133736K) : metal1_iprobe has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (133736K) : metal1_diffprb has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (133736K) : passiv_drw has 2 polygons
2026-08-20 16:31:05 +0000: Memory Usage (133864K) : passiv_pin has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (133864K) : passiv_sbump has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (133864K) : passiv_pillar has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (133992K) : passiv_pdl has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (133992K) : metal2_drw has 532 polygons
2026-08-20 16:31:05 +0000: Memory Usage (133992K) : metal2_filler has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (134120K) : metal2_slit has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (134120K) : metal2 has 532 polygons
2026-08-20 16:31:05 +0000: Memory Usage (134120K) : metal2_pin has 2 polygons
2026-08-20 16:31:05 +0000: Memory Usage (134248K) : metal2_mask has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (134248K) : metal2_nofill has 2 polygons
2026-08-20 16:31:05 +0000: Memory Usage (134248K) : metal2_text has 3 polygons
2026-08-20 16:31:05 +0000: Memory Usage (134248K) : metal2_OPC has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (134376K) : metal2_noqrc has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (134376K) : metal2_res has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (134376K) : metal2_iprobe has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (134376K) : metal2_diffprb has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (134504K) : baspoly_drw has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (134504K) : baspoly_pin has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (134504K) : psd_drw has 503 polygons
2026-08-20 16:31:05 +0000: Memory Usage (134632K) : nldb_drw has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (134632K) : digibnd_drw has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (134632K) : via1_drw has 6770 polygons
2026-08-20 16:31:05 +0000: Memory Usage (134632K) : backmetal1_drw has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (134760K) : backmetal1_pin has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (134760K) : backmetal1_mask has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (134760K) : backmetal1_filler has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (134760K) : backmetal1_nofill has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (134888K) : backmetal1_slit has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (134888K) : backmetal1_text has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (134888K) : backmetal1_OPC has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (134888K) : backmetal1_noqrc has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (135016K) : backmetal1_res has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (135016K) : backmetal1_iprobe has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (135016K) : backmetal1_diffprb has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (135016K) : backpassiv_drw has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (135144K) : res_drw has 2 polygons
2026-08-20 16:31:05 +0000: Memory Usage (135144K) : sram_drw has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (135144K) : trans_drw has 2 polygons
2026-08-20 16:31:05 +0000: Memory Usage (135144K) : ind_drw has 2 polygons
2026-08-20 16:31:05 +0000: Memory Usage (135272K) : ind_pin has 4 polygons
2026-08-20 16:31:05 +0000: Memory Usage (135272K) : ind_text has 4 polygons
2026-08-20 16:31:05 +0000: Memory Usage (135272K) : salblock_drw has 12 polygons
2026-08-20 16:31:05 +0000: Memory Usage (135272K) : via2_drw has 805 polygons
2026-08-20 16:31:05 +0000: Memory Usage (135400K) : metal3_drw has 49 polygons
2026-08-20 16:31:05 +0000: Memory Usage (135400K) : metal3_filler has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (135400K) : metal3_slit has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (135528K) : metal3 has 49 polygons
2026-08-20 16:31:05 +0000: Memory Usage (135528K) : metal3_pin has 2 polygons
2026-08-20 16:31:05 +0000: Memory Usage (135528K) : metal3_mask has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (135528K) : metal3_nofill has 2 polygons
2026-08-20 16:31:05 +0000: Memory Usage (135528K) : metal3_text has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (135528K) : metal3_OPC has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (135528K) : metal3_noqrc has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (135528K) : metal3_res has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (135528K) : metal3_iprobe has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (135528K) : metal3_diffprb has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (135528K) : nwell_drw has 4 polygons
2026-08-20 16:31:05 +0000: Memory Usage (135528K) : nwell_pin has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (135528K) : nwell_text has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (135528K) : nbulay_drw has 1 polygons
2026-08-20 16:31:05 +0000: Memory Usage (135528K) : nbulay_pin has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (135656K) : nbulay_block has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (135656K) : emwind_drw has 4 polygons
2026-08-20 16:31:05 +0000: Memory Usage (135656K) : emwind_OPC has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (135656K) : deepco_drw has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (135656K) : mim_drw has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (135656K) : edgeseal_drw has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (135784K) : substrate_drw has 500 polygons
2026-08-20 16:31:05 +0000: Memory Usage (135784K) : substrate_text has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (135784K) : dfpad_drw has 2 polygons
2026-08-20 16:31:05 +0000: Memory Usage (135784K) : dfpad_pillar has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (135784K) : dfpad_sbump has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (135912K) : thickgateox_drw has 1 polygons
2026-08-20 16:31:05 +0000: Memory Usage (135912K) : pldb_drw has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (135912K) : pwell_drw has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (135912K) : pwell_pin has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (135912K) : pwell_block has 2 polygons
2026-08-20 16:31:05 +0000: Memory Usage (135912K) : ic_drw has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (136040K) : via3_drw has 1014 polygons
2026-08-20 16:31:05 +0000: Memory Usage (136040K) : metal4_drw has 23 polygons
2026-08-20 16:31:05 +0000: Memory Usage (136040K) : metal4_filler has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (136040K) : metal4_slit has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (136040K) : metal4 has 23 polygons
2026-08-20 16:31:05 +0000: Memory Usage (136040K) : metal4_pin has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (136168K) : metal4_mask has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (136168K) : metal4_nofill has 2 polygons
2026-08-20 16:31:05 +0000: Memory Usage (136168K) : metal4_text has 3 polygons
2026-08-20 16:31:05 +0000: Memory Usage (136168K) : metal4_OPC has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (136168K) : metal4_noqrc has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (136168K) : metal4_res has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (136296K) : metal4_iprobe has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (136296K) : metal4_diffprb has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (136296K) : heattrans_drw has 123 polygons
2026-08-20 16:31:05 +0000: Memory Usage (136296K) : heatres_drw has 2 polygons
2026-08-20 16:31:05 +0000: Memory Usage (136296K) : fbe_drw has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (136296K) : empoly_drw has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (136296K) : digisub_drw has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (136424K) : text_drw has 639 polygons
2026-08-20 16:31:05 +0000: Memory Usage (136424K) : via4_drw has 1008 polygons
2026-08-20 16:31:05 +0000: Memory Usage (136424K) : metal5_drw has 28 polygons
2026-08-20 16:31:05 +0000: Memory Usage (136424K) : metal5_filler has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (136424K) : metal5_slit has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (136424K) : metal5 has 28 polygons
2026-08-20 16:31:05 +0000: Memory Usage (136552K) : metal5_pin has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (136552K) : metal5_mask has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (136552K) : metal5_nofill has 2 polygons
2026-08-20 16:31:05 +0000: Memory Usage (136552K) : metal5_text has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (136552K) : metal5_OPC has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (136552K) : metal5_noqrc has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (136680K) : metal5_res has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (136680K) : metal5_iprobe has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (136680K) : metal5_diffprb has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (136680K) : radhard_drw has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (136680K) : memcap_drw has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (136808K) : varicap_drw has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (136808K) : intbondvia_drw has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (136808K) : intbondmet_drw has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (136808K) : devbondvia_drw has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (136936K) : devbondmet_drw has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (136936K) : devtrench_drw has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (136936K) : redist_drw has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (136936K) : graphbot_drw has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (137064K) : graphtop_drw has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (137064K) : antvia1_drw has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (137064K) : antmetal2_drw has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (137064K) : graphcont_drw has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (137064K) : siwg_drw has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (137064K) : siwg_filler has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (137192K) : siwg_nofill has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (137192K) : sigrating_drw has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (137192K) : singrating_drw has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (137192K) : graphpas_drw has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (137192K) : emwind3_drw has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (137320K) : emwihv3_drw has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (137320K) : redbulay_drw has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (137320K) : smos_drw has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (137320K) : graphpad_drw has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (137320K) : polimide_drw has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (137320K) : polimide_pin has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (137448K) : recog_drw has 1 polygons
2026-08-20 16:31:05 +0000: Memory Usage (137448K) : recog_pin has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (137448K) : recog_esd has 1 polygons
2026-08-20 16:31:05 +0000: Memory Usage (137448K) : recog_diode has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (137448K) : recog_tsv has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (137576K) : recog_iprobe has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (137576K) : recog_diffprb has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (137576K) : recog_pillar has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (137576K) : recog_sbump has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (137576K) : recog_otp has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (137704K) : recog_pdiode has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (137704K) : recog_mom has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (137704K) : recog_momf has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (137704K) : recog_pcm has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (137832K) : colopen_drw has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (137832K) : graphmetal1_drw has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (137832K) : graphmetal1_filler has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (137832K) : graphmetal1_nofill has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (137960K) : graphmetal1_slit has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (137960K) : graphmetal1_OPC has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (137960K) : graphmet1l_drw has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (137960K) : graphmet1l_filler has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (138088K) : graphmet1l_nofill has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (138088K) : graphmet1l_slit has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (138088K) : graphmet1l_OPC has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (138088K) : extblock_drw has 6 polygons
2026-08-20 16:31:05 +0000: Memory Usage (138088K) : nldd_drw has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (138216K) : pldd_drw has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (138216K) : next_drw has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (138216K) : pext_drw has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (138216K) : nexthv_drw has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (138216K) : pexthv_drw has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (138344K) : graphgate_drw has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (138344K) : sinwg_drw has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (138344K) : sinwg_filler has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (138344K) : sinwg_nofill has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (138344K) : mempad_drw has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (138344K) : topvia1_drw has 477 polygons
2026-08-20 16:31:05 +0000: Memory Usage (138472K) : topmetal1_drw has 48 polygons
2026-08-20 16:31:05 +0000: Memory Usage (138472K) : topmetal1_filler has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (138472K) : topmetal1_slit has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (138472K) : topmetal1 has 48 polygons
2026-08-20 16:31:05 +0000: Memory Usage (138472K) : topmetal1_pin has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (138600K) : topmetal1_mask has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (138600K) : topmetal1_nofill has 2 polygons
2026-08-20 16:31:05 +0000: Memory Usage (138600K) : topmetal1_text has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (138600K) : topmetal1_noqrc has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (138600K) : topmetal1_res has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (138728K) : topmetal1_iprobe has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (138728K) : topmetal1_diffprb has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (138728K) : inldpwl_drw has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (138728K) : polyres_drw has 2 polygons
2026-08-20 16:31:05 +0000: Memory Usage (138856K) : polyres_pin has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (138856K) : vmim_drw has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (138856K) : nbulaycut_drw has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (138856K) : antmetal1_drw has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (138984K) : topvia2_drw has 231 polygons
2026-08-20 16:31:05 +0000: Memory Usage (139112K) : topmetal2_drw has 63 polygons
2026-08-20 16:31:05 +0000: Memory Usage (139112K) : topmetal2_filler has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (139240K) : topmetal2_slit has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (139240K) : topmetal2 has 63 polygons
2026-08-20 16:31:05 +0000: Memory Usage (139240K) : topmetal2_pin has 4 polygons
2026-08-20 16:31:05 +0000: Memory Usage (139368K) : topmetal2_mask has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (139368K) : topmetal2_nofill has 2 polygons
2026-08-20 16:31:05 +0000: Memory Usage (139368K) : topmetal2_text has 8 polygons
2026-08-20 16:31:05 +0000: Memory Usage (139368K) : topmetal2_noqrc has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (139496K) : topmetal2_res has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (139496K) : topmetal2_iprobe has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (139496K) : topmetal2_diffprb has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (139496K) : snsring_drw has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (139624K) : sensor_drw has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (139624K) : snsarms_drw has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (139624K) : snscmosvia_drw has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (139752K) : colwind_drw has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (139752K) : flm_drw has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (139752K) : hafniumox_drw has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (139752K) : memvia_drw has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (139880K) : thinfilmres_drw has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (139880K) : rfmem_drw has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (140008K) : norcx_drw has 2 polygons
2026-08-20 16:31:05 +0000: Memory Usage (140008K) : norcx_m2m3 has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (140008K) : norcx_m2m4 has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (140008K) : norcx_m2m5 has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (140008K) : norcx_m2tm1 has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (140008K) : norcx_m2tm2 has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (140008K) : norcx_m3m4 has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (140008K) : norcx_m3m5 has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (140008K) : norcx_m3tm1 has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (140008K) : norcx_m3tm2 has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (140008K) : norcx_m4m5 has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (140008K) : norcx_m4tm1 has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (140008K) : norcx_m4tm2 has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (140008K) : norcx_m5tm1 has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (140008K) : norcx_m5tm2 has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (140008K) : norcx_tm1tm2 has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (140008K) : norcx_m1sub has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (140008K) : norcx_m2sub has 0 polygons
2026-08-20 16:31:05 +0000: Memory Usage (140008K) : norcx_m3sub has 0 polygons
