$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/granular3/with_channel_supplies_with_esd_ring_ties/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/granular3/with_channel_supplies_with_esd_ring_ties/x.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/granular3/with_channel_supplies_with_esd_ring_ties/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction
2026-08-20 17:24:58 +0000: Memory Usage (130200K) : Selected PARALLEL_RES option: true
2026-08-20 17:24:58 +0000: Memory Usage (130200K) : Selected DISABLE_TAP_EXTRACTION option: true
2026-08-20 17:24:58 +0000: Memory Usage (130200K) : deep  mode is enabled.
2026-08-20 17:24:58 +0000: Memory Usage (130200K) : Applying implicit connections (case-sensitive, pattern supported) for nets: sub, sub!
2026-08-20 17:24:58 +0000: Memory Usage (131284K) : Netlist file: /workspace/layout/blocks/out/driver_stage/granular3/with_channel_supplies_with_esd_ring_ties/x.cdl
2026-08-20 17:24:58 +0000: Memory Usage (131284K) : LVS extracted netlist at: /workspace/layout/blocks/out/driver_stage/granular3/with_channel_supplies_with_esd_ring_ties/lvs/driver_dut_extracted.cir
2026-08-20 17:24:58 +0000: Memory Usage (131284K) : Applying SRAM integration support.
2026-08-20 17:24:58 +0000: Memory Usage (131284K) : Starting SG13G2 LVS runset
2026-08-20 17:24:58 +0000: Memory Usage (131284K) : Read in polygons from layers.
2026-08-20 17:24:58 +0000: Memory Usage (132508K) : activ_drw has 899 polygons
2026-08-20 17:24:58 +0000: Memory Usage (132508K) : activ_filler has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (132508K) : activ has 899 polygons
2026-08-20 17:24:58 +0000: Memory Usage (132636K) : activ_pin has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (133020K) : activ_mask has 4 polygons
2026-08-20 17:24:58 +0000: Memory Usage (133020K) : activ_nofill has 2 polygons
2026-08-20 17:24:58 +0000: Memory Usage (133020K) : activ_OPC has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (133020K) : activ_iOPC has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (133020K) : activ_noqrc has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (133020K) : biwind_drw has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (133020K) : biwind_OPC has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (133020K) : gatpoly_drw has 140 polygons
2026-08-20 17:24:58 +0000: Memory Usage (133020K) : gatpoly_filler has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (133020K) : gatpoly has 140 polygons
2026-08-20 17:24:58 +0000: Memory Usage (133020K) : gatpoly_pin has 119 polygons
2026-08-20 17:24:58 +0000: Memory Usage (133020K) : gatpoly_nofill has 2 polygons
2026-08-20 17:24:58 +0000: Memory Usage (133020K) : gatpoly_OPC has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (133020K) : gatpoly_iOPC has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (133020K) : gatpoly_noqrc has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (133148K) : cont_drw has 14577 polygons
2026-08-20 17:24:58 +0000: Memory Usage (133148K) : cont_OPC has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (133276K) : nsd_drw has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (133276K) : nsd_block has 4 polygons
2026-08-20 17:24:58 +0000: Memory Usage (133276K) : metal1_drw has 1558 polygons
2026-08-20 17:24:58 +0000: Memory Usage (133404K) : metal1_filler has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (133404K) : metal1_slit has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (133532K) : metal1 has 1558 polygons
2026-08-20 17:24:58 +0000: Memory Usage (133532K) : metal1_pin has 750 polygons
2026-08-20 17:24:58 +0000: Memory Usage (133660K) : metal1_mask has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (133660K) : metal1_nofill has 2 polygons
2026-08-20 17:24:58 +0000: Memory Usage (133788K) : metal1_text has 5 polygons
2026-08-20 17:24:58 +0000: Memory Usage (133916K) : metal1_OPC has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (133916K) : metal1_noqrc has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (133916K) : metal1_res has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (134044K) : metal1_iprobe has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (134044K) : metal1_diffprb has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (134044K) : passiv_drw has 2 polygons
2026-08-20 17:24:58 +0000: Memory Usage (134172K) : passiv_pin has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (134172K) : passiv_sbump has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (134172K) : passiv_pillar has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (134172K) : passiv_pdl has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (134172K) : metal2_drw has 565 polygons
2026-08-20 17:24:58 +0000: Memory Usage (134300K) : metal2_filler has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (134300K) : metal2_slit has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (134300K) : metal2 has 565 polygons
2026-08-20 17:24:58 +0000: Memory Usage (134428K) : metal2_pin has 10 polygons
2026-08-20 17:24:58 +0000: Memory Usage (134428K) : metal2_mask has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (134428K) : metal2_nofill has 2 polygons
2026-08-20 17:24:58 +0000: Memory Usage (134428K) : metal2_text has 3 polygons
2026-08-20 17:24:58 +0000: Memory Usage (134556K) : metal2_OPC has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (134556K) : metal2_noqrc has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (134556K) : metal2_res has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (134556K) : metal2_iprobe has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (134684K) : metal2_diffprb has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (134684K) : baspoly_drw has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (134684K) : baspoly_pin has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (134684K) : psd_drw has 515 polygons
2026-08-20 17:24:58 +0000: Memory Usage (134812K) : nldb_drw has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (134812K) : digibnd_drw has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (134812K) : via1_drw has 7650 polygons
2026-08-20 17:24:58 +0000: Memory Usage (134940K) : backmetal1_drw has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (134940K) : backmetal1_pin has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (134940K) : backmetal1_mask has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (134940K) : backmetal1_filler has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (135068K) : backmetal1_nofill has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (135068K) : backmetal1_slit has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (135068K) : backmetal1_text has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (135068K) : backmetal1_OPC has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (135196K) : backmetal1_noqrc has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (135196K) : backmetal1_res has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (135196K) : backmetal1_iprobe has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (135196K) : backmetal1_diffprb has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (135324K) : backpassiv_drw has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (135324K) : res_drw has 2 polygons
2026-08-20 17:24:58 +0000: Memory Usage (135324K) : sram_drw has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (135324K) : trans_drw has 2 polygons
2026-08-20 17:24:58 +0000: Memory Usage (135452K) : ind_drw has 2 polygons
2026-08-20 17:24:58 +0000: Memory Usage (135452K) : ind_pin has 4 polygons
2026-08-20 17:24:58 +0000: Memory Usage (135452K) : ind_text has 4 polygons
2026-08-20 17:24:58 +0000: Memory Usage (135580K) : salblock_drw has 12 polygons
2026-08-20 17:24:58 +0000: Memory Usage (135580K) : via2_drw has 836 polygons
2026-08-20 17:24:58 +0000: Memory Usage (135580K) : metal3_drw has 56 polygons
2026-08-20 17:24:58 +0000: Memory Usage (135580K) : metal3_filler has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (135580K) : metal3_slit has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (135580K) : metal3 has 56 polygons
2026-08-20 17:24:58 +0000: Memory Usage (135580K) : metal3_pin has 2 polygons
2026-08-20 17:24:58 +0000: Memory Usage (135580K) : metal3_mask has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (135580K) : metal3_nofill has 2 polygons
2026-08-20 17:24:58 +0000: Memory Usage (135580K) : metal3_text has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (135580K) : metal3_OPC has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (135708K) : metal3_noqrc has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (135708K) : metal3_res has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (135708K) : metal3_iprobe has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (135708K) : metal3_diffprb has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (135708K) : nwell_drw has 14 polygons
2026-08-20 17:24:58 +0000: Memory Usage (135708K) : nwell_pin has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (135836K) : nwell_text has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (135836K) : nbulay_drw has 1 polygons
2026-08-20 17:24:58 +0000: Memory Usage (135836K) : nbulay_pin has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (135836K) : nbulay_block has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (135836K) : emwind_drw has 4 polygons
2026-08-20 17:24:58 +0000: Memory Usage (135836K) : emwind_OPC has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (135964K) : deepco_drw has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (135964K) : mim_drw has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (135964K) : edgeseal_drw has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (135964K) : substrate_drw has 500 polygons
2026-08-20 17:24:58 +0000: Memory Usage (135964K) : substrate_text has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (136092K) : dfpad_drw has 2 polygons
2026-08-20 17:24:58 +0000: Memory Usage (136092K) : dfpad_pillar has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (136092K) : dfpad_sbump has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (136092K) : thickgateox_drw has 1 polygons
2026-08-20 17:24:58 +0000: Memory Usage (136092K) : pldb_drw has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (136092K) : pwell_drw has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (136220K) : pwell_pin has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (136220K) : pwell_block has 2 polygons
2026-08-20 17:24:58 +0000: Memory Usage (136220K) : ic_drw has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (136220K) : via3_drw has 1033 polygons
2026-08-20 17:24:58 +0000: Memory Usage (136220K) : metal4_drw has 27 polygons
2026-08-20 17:24:58 +0000: Memory Usage (136348K) : metal4_filler has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (136348K) : metal4_slit has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (136348K) : metal4 has 27 polygons
2026-08-20 17:24:58 +0000: Memory Usage (136348K) : metal4_pin has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (136476K) : metal4_mask has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (136476K) : metal4_nofill has 2 polygons
2026-08-20 17:24:58 +0000: Memory Usage (136476K) : metal4_text has 3 polygons
2026-08-20 17:24:58 +0000: Memory Usage (136476K) : metal4_OPC has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (136476K) : metal4_noqrc has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (136476K) : metal4_res has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (136476K) : metal4_iprobe has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (136604K) : metal4_diffprb has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (136604K) : heattrans_drw has 123 polygons
2026-08-20 17:24:58 +0000: Memory Usage (136604K) : heatres_drw has 2 polygons
2026-08-20 17:24:58 +0000: Memory Usage (136604K) : fbe_drw has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (136604K) : empoly_drw has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (136732K) : digisub_drw has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (136732K) : text_drw has 655 polygons
2026-08-20 17:24:58 +0000: Memory Usage (136732K) : via4_drw has 1027 polygons
2026-08-20 17:24:58 +0000: Memory Usage (136732K) : metal5_drw has 54 polygons
2026-08-20 17:24:58 +0000: Memory Usage (136732K) : metal5_filler has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (136732K) : metal5_slit has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (136860K) : metal5 has 54 polygons
2026-08-20 17:24:58 +0000: Memory Usage (136860K) : metal5_pin has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (136860K) : metal5_mask has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (136860K) : metal5_nofill has 2 polygons
2026-08-20 17:24:58 +0000: Memory Usage (136860K) : metal5_text has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (136860K) : metal5_OPC has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (136988K) : metal5_noqrc has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (136988K) : metal5_res has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (136988K) : metal5_iprobe has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (136988K) : metal5_diffprb has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (136988K) : radhard_drw has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (136988K) : memcap_drw has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (137116K) : varicap_drw has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (137116K) : intbondvia_drw has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (137116K) : intbondmet_drw has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (137116K) : devbondvia_drw has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (137116K) : devbondmet_drw has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (137116K) : devtrench_drw has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (137244K) : redist_drw has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (137244K) : graphbot_drw has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (137244K) : graphtop_drw has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (137244K) : antvia1_drw has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (137244K) : antmetal2_drw has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (137244K) : graphcont_drw has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (137372K) : siwg_drw has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (137372K) : siwg_filler has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (137372K) : siwg_nofill has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (137372K) : sigrating_drw has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (137500K) : singrating_drw has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (137500K) : graphpas_drw has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (137500K) : emwind3_drw has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (137500K) : emwihv3_drw has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (137500K) : redbulay_drw has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (137628K) : smos_drw has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (137628K) : graphpad_drw has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (137628K) : polimide_drw has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (137628K) : polimide_pin has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (137628K) : recog_drw has 1 polygons
2026-08-20 17:24:58 +0000: Memory Usage (137628K) : recog_pin has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (137756K) : recog_esd has 5 polygons
2026-08-20 17:24:58 +0000: Memory Usage (137756K) : recog_diode has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (137756K) : recog_tsv has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (137756K) : recog_iprobe has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (137756K) : recog_diffprb has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (137756K) : recog_pillar has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (137884K) : recog_sbump has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (137884K) : recog_otp has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (137884K) : recog_pdiode has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (137884K) : recog_mom has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (138012K) : recog_momf has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (138012K) : recog_pcm has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (138012K) : colopen_drw has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (138012K) : graphmetal1_drw has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (138140K) : graphmetal1_filler has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (138140K) : graphmetal1_nofill has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (138140K) : graphmetal1_slit has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (138140K) : graphmetal1_OPC has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (138140K) : graphmet1l_drw has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (138268K) : graphmet1l_filler has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (138268K) : graphmet1l_nofill has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (138268K) : graphmet1l_slit has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (138268K) : graphmet1l_OPC has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (138396K) : extblock_drw has 6 polygons
2026-08-20 17:24:58 +0000: Memory Usage (138396K) : nldd_drw has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (138396K) : pldd_drw has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (138396K) : next_drw has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (138524K) : pext_drw has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (138524K) : nexthv_drw has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (138524K) : pexthv_drw has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (138652K) : graphgate_drw has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (138652K) : sinwg_drw has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (138652K) : sinwg_filler has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (138652K) : sinwg_nofill has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (138780K) : mempad_drw has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (138780K) : topvia1_drw has 479 polygons
2026-08-20 17:24:58 +0000: Memory Usage (138780K) : topmetal1_drw has 52 polygons
2026-08-20 17:24:58 +0000: Memory Usage (138780K) : topmetal1_filler has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (138908K) : topmetal1_slit has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (138908K) : topmetal1 has 52 polygons
2026-08-20 17:24:58 +0000: Memory Usage (138908K) : topmetal1_pin has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (138908K) : topmetal1_mask has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (139036K) : topmetal1_nofill has 2 polygons
2026-08-20 17:24:58 +0000: Memory Usage (139036K) : topmetal1_text has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (139036K) : topmetal1_noqrc has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (139036K) : topmetal1_res has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (139164K) : topmetal1_iprobe has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (139164K) : topmetal1_diffprb has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (139164K) : inldpwl_drw has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (139164K) : polyres_drw has 2 polygons
2026-08-20 17:24:58 +0000: Memory Usage (139292K) : polyres_pin has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (139292K) : vmim_drw has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (139420K) : nbulaycut_drw has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (139420K) : antmetal1_drw has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (139420K) : topvia2_drw has 233 polygons
2026-08-20 17:24:58 +0000: Memory Usage (139676K) : topmetal2_drw has 68 polygons
2026-08-20 17:24:58 +0000: Memory Usage (139676K) : topmetal2_filler has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (139676K) : topmetal2_slit has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (139804K) : topmetal2 has 68 polygons
2026-08-20 17:24:58 +0000: Memory Usage (139804K) : topmetal2_pin has 4 polygons
2026-08-20 17:24:58 +0000: Memory Usage (139804K) : topmetal2_mask has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (139804K) : topmetal2_nofill has 2 polygons
2026-08-20 17:24:58 +0000: Memory Usage (139932K) : topmetal2_text has 8 polygons
2026-08-20 17:24:58 +0000: Memory Usage (139932K) : topmetal2_noqrc has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (139932K) : topmetal2_res has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (140060K) : topmetal2_iprobe has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (140060K) : topmetal2_diffprb has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (140060K) : snsring_drw has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (140188K) : sensor_drw has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (140188K) : snsarms_drw has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (140188K) : snscmosvia_drw has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (140316K) : colwind_drw has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (140316K) : flm_drw has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (140316K) : hafniumox_drw has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (140316K) : memvia_drw has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (140316K) : thinfilmres_drw has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (140316K) : rfmem_drw has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (140316K) : norcx_drw has 2 polygons
2026-08-20 17:24:58 +0000: Memory Usage (140316K) : norcx_m2m3 has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (140316K) : norcx_m2m4 has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (140316K) : norcx_m2m5 has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (140316K) : norcx_m2tm1 has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (140316K) : norcx_m2tm2 has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (140316K) : norcx_m3m4 has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (140316K) : norcx_m3m5 has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (140316K) : norcx_m3tm1 has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (140316K) : norcx_m3tm2 has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (140316K) : norcx_m4m5 has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (140316K) : norcx_m4tm1 has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (140316K) : norcx_m4tm2 has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (140316K) : norcx_m5tm1 has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (140316K) : norcx_m5tm2 has 0 polygons
2026-08-20 17:24:58 +0000: Memory Usage (140316K) : norcx_tm1tm2 has 0 polygons
