$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/vga_stage/vga_dut.gds --netlist=/workspace/layout/blocks/out/vga_stage/probe_mos.cdl --run_dir=/workspace/layout/blocks/out/vga_stage/lvs_probe_mos --run_mode=deep --topcell=vga_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction
2026-08-20 14:29:30 +0000: Memory Usage (129620K) : deep  mode is enabled.
2026-08-20 14:29:30 +0000: Memory Usage (129620K) : Applying implicit connections (case-sensitive, pattern supported) for nets: sub, sub!
2026-08-20 14:29:30 +0000: Memory Usage (129876K) : Netlist file: /workspace/layout/blocks/out/vga_stage/probe_mos.cdl
2026-08-20 14:29:30 +0000: Memory Usage (129876K) : LVS extracted netlist at: /workspace/layout/blocks/out/vga_stage/lvs_probe_mos/vga_dut_extracted.cir
2026-08-20 14:29:30 +0000: Memory Usage (129876K) : Applying SRAM integration support.
2026-08-20 14:29:30 +0000: Memory Usage (129876K) : Starting SG13G2 LVS runset
2026-08-20 14:29:30 +0000: Memory Usage (129876K) : Read in polygons from layers.
2026-08-20 14:29:30 +0000: Memory Usage (130956K) : activ_drw has 1117 polygons
2026-08-20 14:29:30 +0000: Memory Usage (130956K) : activ_filler has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (131084K) : activ has 1117 polygons
2026-08-20 14:29:30 +0000: Memory Usage (131084K) : activ_pin has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (131084K) : activ_mask has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (131084K) : activ_nofill has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (131084K) : activ_OPC has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (131084K) : activ_iOPC has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (131084K) : activ_noqrc has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (131084K) : biwind_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (131084K) : biwind_OPC has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (131084K) : gatpoly_drw has 174 polygons
2026-08-20 14:29:30 +0000: Memory Usage (131084K) : gatpoly_filler has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (131084K) : gatpoly has 174 polygons
2026-08-20 14:29:30 +0000: Memory Usage (131084K) : gatpoly_pin has 155 polygons
2026-08-20 14:29:30 +0000: Memory Usage (131248K) : gatpoly_nofill has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (131632K) : gatpoly_OPC has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (131632K) : gatpoly_iOPC has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (131632K) : gatpoly_noqrc has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (131632K) : cont_drw has 11626 polygons
2026-08-20 14:29:30 +0000: Memory Usage (131632K) : cont_OPC has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (131632K) : nsd_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (131632K) : nsd_block has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (131632K) : metal1_drw has 1939 polygons
2026-08-20 14:29:30 +0000: Memory Usage (131632K) : metal1_filler has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (131632K) : metal1_slit has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (131632K) : metal1 has 1939 polygons
2026-08-20 14:29:30 +0000: Memory Usage (131632K) : metal1_pin has 962 polygons
2026-08-20 14:29:30 +0000: Memory Usage (131632K) : metal1_mask has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (131632K) : metal1_nofill has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (131888K) : metal1_text has 1 polygons
2026-08-20 14:29:30 +0000: Memory Usage (131888K) : metal1_OPC has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (131888K) : metal1_noqrc has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (131888K) : metal1_res has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (131888K) : metal1_iprobe has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (131888K) : metal1_diffprb has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (131888K) : passiv_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (132016K) : passiv_pin has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (132016K) : passiv_sbump has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (132016K) : passiv_pillar has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (132144K) : passiv_pdl has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (132144K) : metal2_drw has 664 polygons
2026-08-20 14:29:30 +0000: Memory Usage (132144K) : metal2_filler has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (132272K) : metal2_slit has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (132272K) : metal2 has 664 polygons
2026-08-20 14:29:30 +0000: Memory Usage (132400K) : metal2_pin has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (132400K) : metal2_mask has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (132528K) : metal2_nofill has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (132528K) : metal2_text has 1 polygons
2026-08-20 14:29:30 +0000: Memory Usage (132528K) : metal2_OPC has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (132656K) : metal2_noqrc has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (132656K) : metal2_res has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (132656K) : metal2_iprobe has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (132784K) : metal2_diffprb has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (132784K) : baspoly_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (132784K) : baspoly_pin has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (132784K) : psd_drw has 652 polygons
2026-08-20 14:29:30 +0000: Memory Usage (132912K) : nldb_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (132912K) : digibnd_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (132912K) : via1_drw has 7448 polygons
2026-08-20 14:29:30 +0000: Memory Usage (132912K) : backmetal1_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (132912K) : backmetal1_pin has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (133040K) : backmetal1_mask has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (133040K) : backmetal1_filler has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (133040K) : backmetal1_nofill has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (133040K) : backmetal1_slit has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (133168K) : backmetal1_text has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (133168K) : backmetal1_OPC has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (133168K) : backmetal1_noqrc has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (133168K) : backmetal1_res has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (133296K) : backmetal1_iprobe has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (133296K) : backmetal1_diffprb has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (133296K) : backpassiv_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (133296K) : res_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (133424K) : sram_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (133424K) : trans_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (133424K) : ind_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (133552K) : ind_pin has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (133552K) : ind_text has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (133552K) : salblock_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (133552K) : via2_drw has 17 polygons
2026-08-20 14:29:30 +0000: Memory Usage (133552K) : metal3_drw has 17 polygons
2026-08-20 14:29:30 +0000: Memory Usage (133680K) : metal3_filler has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (133680K) : metal3_slit has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (133680K) : metal3 has 17 polygons
2026-08-20 14:29:30 +0000: Memory Usage (133808K) : metal3_pin has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (133808K) : metal3_mask has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (133808K) : metal3_nofill has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (133808K) : metal3_text has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (133936K) : metal3_OPC has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (133936K) : metal3_noqrc has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (133936K) : metal3_res has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (134064K) : metal3_iprobe has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (134064K) : metal3_diffprb has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (134064K) : nwell_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (134064K) : nwell_pin has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (134064K) : nwell_text has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (134064K) : nbulay_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (134064K) : nbulay_pin has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (134064K) : nbulay_block has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (134064K) : emwind_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (134064K) : emwind_OPC has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (134064K) : deepco_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (134064K) : mim_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (134064K) : edgeseal_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (134064K) : substrate_drw has 652 polygons
2026-08-20 14:29:30 +0000: Memory Usage (134064K) : substrate_text has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (134064K) : dfpad_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (134192K) : dfpad_pillar has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (134192K) : dfpad_sbump has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (134192K) : thickgateox_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (134192K) : pldb_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (134192K) : pwell_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (134192K) : pwell_pin has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (134320K) : pwell_block has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (134320K) : ic_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (134320K) : via3_drw has 12 polygons
2026-08-20 14:29:30 +0000: Memory Usage (134320K) : metal4_drw has 6 polygons
2026-08-20 14:29:30 +0000: Memory Usage (134320K) : metal4_filler has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (134320K) : metal4_slit has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (134448K) : metal4 has 6 polygons
2026-08-20 14:29:30 +0000: Memory Usage (134448K) : metal4_pin has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (134448K) : metal4_mask has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (134448K) : metal4_nofill has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (134448K) : metal4_text has 1 polygons
2026-08-20 14:29:30 +0000: Memory Usage (134576K) : metal4_OPC has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (134576K) : metal4_noqrc has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (134576K) : metal4_res has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (134576K) : metal4_iprobe has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (134576K) : metal4_diffprb has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (134576K) : heattrans_drw has 155 polygons
2026-08-20 14:29:30 +0000: Memory Usage (134704K) : heatres_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (134704K) : fbe_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (134704K) : empoly_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (134704K) : digisub_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (134704K) : text_drw has 807 polygons
2026-08-20 14:29:30 +0000: Memory Usage (134704K) : via4_drw has 12 polygons
2026-08-20 14:29:30 +0000: Memory Usage (134832K) : metal5_drw has 8 polygons
2026-08-20 14:29:30 +0000: Memory Usage (134832K) : metal5_filler has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (134832K) : metal5_slit has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (134832K) : metal5 has 8 polygons
2026-08-20 14:29:30 +0000: Memory Usage (134832K) : metal5_pin has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (134832K) : metal5_mask has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (134960K) : metal5_nofill has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (134960K) : metal5_text has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (134960K) : metal5_OPC has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (134960K) : metal5_noqrc has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (134960K) : metal5_res has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (134960K) : metal5_iprobe has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (134960K) : metal5_diffprb has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (135088K) : radhard_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (135088K) : memcap_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (135088K) : varicap_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (135088K) : intbondvia_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (135088K) : intbondmet_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (135088K) : devbondvia_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (135216K) : devbondmet_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (135216K) : devtrench_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (135216K) : redist_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (135216K) : graphbot_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (135216K) : graphtop_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (135216K) : antvia1_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (135344K) : antmetal2_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (135344K) : graphcont_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (135344K) : siwg_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (135344K) : siwg_filler has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (135344K) : siwg_nofill has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (135472K) : sigrating_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (135472K) : singrating_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (135472K) : graphpas_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (135472K) : emwind3_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (135472K) : emwihv3_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (135600K) : redbulay_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (135600K) : smos_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (135600K) : graphpad_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (135600K) : polimide_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (135600K) : polimide_pin has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (135600K) : recog_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (135600K) : recog_pin has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (135600K) : recog_esd has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (135728K) : recog_diode has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (135728K) : recog_tsv has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (135728K) : recog_iprobe has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (135728K) : recog_diffprb has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (135728K) : recog_pillar has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (135856K) : recog_sbump has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (135856K) : recog_otp has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (135856K) : recog_pdiode has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (135856K) : recog_mom has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (135856K) : recog_momf has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (135856K) : recog_pcm has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (135984K) : colopen_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (135984K) : graphmetal1_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (135984K) : graphmetal1_filler has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (135984K) : graphmetal1_nofill has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (135984K) : graphmetal1_slit has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (136112K) : graphmetal1_OPC has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (136112K) : graphmet1l_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (136112K) : graphmet1l_filler has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (136112K) : graphmet1l_nofill has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (136112K) : graphmet1l_slit has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (136112K) : graphmet1l_OPC has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (136240K) : extblock_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (136240K) : nldd_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (136240K) : pldd_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (136240K) : next_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (136240K) : pext_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (136240K) : nexthv_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (136368K) : pexthv_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (136368K) : graphgate_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (136368K) : sinwg_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (136368K) : sinwg_filler has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (136368K) : sinwg_nofill has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (136368K) : mempad_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (136496K) : topvia1_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (136496K) : topmetal1_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (136496K) : topmetal1_filler has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (136496K) : topmetal1_slit has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (136496K) : topmetal1 has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (136624K) : topmetal1_pin has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (136624K) : topmetal1_mask has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (136624K) : topmetal1_nofill has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (136624K) : topmetal1_text has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (136624K) : topmetal1_noqrc has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (136624K) : topmetal1_res has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (136752K) : topmetal1_iprobe has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (136752K) : topmetal1_diffprb has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (136752K) : inldpwl_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (136752K) : polyres_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (136752K) : polyres_pin has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (136752K) : vmim_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (136880K) : nbulaycut_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (136880K) : antmetal1_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (136880K) : topvia2_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (136880K) : topmetal2_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (136880K) : topmetal2_filler has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (137008K) : topmetal2_slit has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (137008K) : topmetal2 has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (137008K) : topmetal2_pin has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (137008K) : topmetal2_mask has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (137136K) : topmetal2_nofill has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (137136K) : topmetal2_text has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (137136K) : topmetal2_noqrc has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (137136K) : topmetal2_res has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (137264K) : topmetal2_iprobe has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (137264K) : topmetal2_diffprb has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (137392K) : snsring_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (137392K) : sensor_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (137392K) : snsarms_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (137392K) : snscmosvia_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (137520K) : colwind_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (137520K) : flm_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (137520K) : hafniumox_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (137648K) : memvia_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (137648K) : thinfilmres_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (137648K) : rfmem_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (137648K) : norcx_drw has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (137776K) : norcx_m2m3 has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (137776K) : norcx_m2m4 has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (137776K) : norcx_m2m5 has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (137776K) : norcx_m2tm1 has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (137904K) : norcx_m2tm2 has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (137904K) : norcx_m3m4 has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (138032K) : norcx_m3m5 has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (138032K) : norcx_m3tm1 has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (138032K) : norcx_m3tm2 has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (138032K) : norcx_m4m5 has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (138160K) : norcx_m4tm1 has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (138160K) : norcx_m4tm2 has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (138160K) : norcx_m5tm1 has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (138160K) : norcx_m5tm2 has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (138160K) : norcx_tm1tm2 has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (138160K) : norcx_m1sub has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (138160K) : norcx_m2sub has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (138160K) : norcx_m3sub has 0 polygons
2026-08-20 14:29:30 +0000: Memory Usage (138160K) : norcx_m4sub has 0 polygons
