$ python3 /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/lvs_probe5/full/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/lvs_probe5/full/x.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/lvs_probe5/full/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction
2026-08-20 10:17:13 +0000: Memory Usage (130252K) : deep  mode is enabled.
2026-08-20 10:17:13 +0000: Memory Usage (130252K) : Applying implicit connections (case-sensitive, pattern supported) for nets: sub, sub!
2026-08-20 10:17:13 +0000: Memory Usage (131480K) : Netlist file: /workspace/layout/blocks/out/driver_stage/lvs_probe5/full/x.cdl
2026-08-20 10:17:13 +0000: Memory Usage (131480K) : LVS extracted netlist at: /workspace/layout/blocks/out/driver_stage/lvs_probe5/full/lvs/driver_dut_extracted.cir
2026-08-20 10:17:13 +0000: Memory Usage (131480K) : Applying SRAM integration support.
2026-08-20 10:17:13 +0000: Memory Usage (131480K) : Starting SG13G2 LVS runset
2026-08-20 10:17:13 +0000: Memory Usage (131480K) : Read in polygons from layers.
2026-08-20 10:17:13 +0000: Memory Usage (132656K) : activ_drw has 899 polygons
2026-08-20 10:17:13 +0000: Memory Usage (132656K) : activ_filler has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (132784K) : activ has 899 polygons
2026-08-20 10:17:13 +0000: Memory Usage (132872K) : activ_pin has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (133384K) : activ_mask has 4 polygons
2026-08-20 10:17:13 +0000: Memory Usage (133384K) : activ_nofill has 2 polygons
2026-08-20 10:17:13 +0000: Memory Usage (133384K) : activ_OPC has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (133384K) : activ_iOPC has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (133384K) : activ_noqrc has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (133384K) : biwind_drw has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (133384K) : biwind_OPC has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (133384K) : gatpoly_drw has 140 polygons
2026-08-20 10:17:13 +0000: Memory Usage (133384K) : gatpoly_filler has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (133384K) : gatpoly has 140 polygons
2026-08-20 10:17:13 +0000: Memory Usage (133384K) : gatpoly_pin has 119 polygons
2026-08-20 10:17:13 +0000: Memory Usage (133384K) : gatpoly_nofill has 2 polygons
2026-08-20 10:17:13 +0000: Memory Usage (133384K) : gatpoly_OPC has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (133384K) : gatpoly_iOPC has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (133384K) : gatpoly_noqrc has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (133512K) : cont_drw has 14577 polygons
2026-08-20 10:17:13 +0000: Memory Usage (133512K) : cont_OPC has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (133512K) : nsd_drw has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (133512K) : nsd_block has 4 polygons
2026-08-20 10:17:13 +0000: Memory Usage (133640K) : metal1_drw has 1550 polygons
2026-08-20 10:17:13 +0000: Memory Usage (133640K) : metal1_filler has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (133768K) : metal1_slit has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (133768K) : metal1 has 1550 polygons
2026-08-20 10:17:13 +0000: Memory Usage (133896K) : metal1_pin has 750 polygons
2026-08-20 10:17:13 +0000: Memory Usage (133896K) : metal1_mask has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (134024K) : metal1_nofill has 2 polygons
2026-08-20 10:17:13 +0000: Memory Usage (134280K) : metal1_text has 5 polygons
2026-08-20 10:17:13 +0000: Memory Usage (134280K) : metal1_OPC has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (134408K) : metal1_noqrc has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (134408K) : metal1_res has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (134408K) : metal1_iprobe has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (134536K) : metal1_diffprb has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (134536K) : passiv_drw has 2 polygons
2026-08-20 10:17:13 +0000: Memory Usage (134536K) : passiv_pin has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (134664K) : passiv_sbump has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (134664K) : passiv_pillar has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (134664K) : passiv_pdl has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (134792K) : metal2_drw has 570 polygons
2026-08-20 10:17:13 +0000: Memory Usage (134792K) : metal2_filler has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (134792K) : metal2_slit has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (134792K) : metal2 has 570 polygons
2026-08-20 10:17:13 +0000: Memory Usage (134920K) : metal2_pin has 10 polygons
2026-08-20 10:17:13 +0000: Memory Usage (134920K) : metal2_mask has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (134920K) : metal2_nofill has 2 polygons
2026-08-20 10:17:13 +0000: Memory Usage (134920K) : metal2_text has 3 polygons
2026-08-20 10:17:13 +0000: Memory Usage (135048K) : metal2_OPC has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (135048K) : metal2_noqrc has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (135048K) : metal2_res has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (135048K) : metal2_iprobe has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (135176K) : metal2_diffprb has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (135176K) : baspoly_drw has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (135176K) : baspoly_pin has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (135176K) : psd_drw has 515 polygons
2026-08-20 10:17:13 +0000: Memory Usage (135304K) : nldb_drw has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (135304K) : digibnd_drw has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (135304K) : via1_drw has 7634 polygons
2026-08-20 10:17:13 +0000: Memory Usage (135432K) : backmetal1_drw has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (135432K) : backmetal1_pin has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (135432K) : backmetal1_mask has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (135432K) : backmetal1_filler has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (135560K) : backmetal1_nofill has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (135560K) : backmetal1_slit has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (135560K) : backmetal1_text has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (135560K) : backmetal1_OPC has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (135688K) : backmetal1_noqrc has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (135688K) : backmetal1_res has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (135688K) : backmetal1_iprobe has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (135688K) : backmetal1_diffprb has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (135816K) : backpassiv_drw has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (135816K) : res_drw has 2 polygons
2026-08-20 10:17:13 +0000: Memory Usage (135816K) : sram_drw has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (135816K) : trans_drw has 2 polygons
2026-08-20 10:17:13 +0000: Memory Usage (135944K) : ind_drw has 2 polygons
2026-08-20 10:17:13 +0000: Memory Usage (135944K) : ind_pin has 4 polygons
2026-08-20 10:17:13 +0000: Memory Usage (135944K) : ind_text has 4 polygons
2026-08-20 10:17:13 +0000: Memory Usage (135944K) : salblock_drw has 12 polygons
2026-08-20 10:17:13 +0000: Memory Usage (136072K) : via2_drw has 840 polygons
2026-08-20 10:17:13 +0000: Memory Usage (136072K) : metal3_drw has 63 polygons
2026-08-20 10:17:13 +0000: Memory Usage (136072K) : metal3_filler has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (136072K) : metal3_slit has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (136072K) : metal3 has 63 polygons
2026-08-20 10:17:13 +0000: Memory Usage (136072K) : metal3_pin has 2 polygons
2026-08-20 10:17:13 +0000: Memory Usage (136072K) : metal3_mask has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (136072K) : metal3_nofill has 2 polygons
2026-08-20 10:17:13 +0000: Memory Usage (136072K) : metal3_text has 4 polygons
2026-08-20 10:17:13 +0000: Memory Usage (136072K) : metal3_OPC has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (136072K) : metal3_noqrc has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (136072K) : metal3_res has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (136072K) : metal3_iprobe has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (136072K) : metal3_diffprb has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (136200K) : nwell_drw has 14 polygons
2026-08-20 10:17:13 +0000: Memory Usage (136200K) : nwell_pin has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (136200K) : nwell_text has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (136200K) : nbulay_drw has 1 polygons
2026-08-20 10:17:13 +0000: Memory Usage (136200K) : nbulay_pin has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (136328K) : nbulay_block has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (136328K) : emwind_drw has 4 polygons
2026-08-20 10:17:13 +0000: Memory Usage (136328K) : emwind_OPC has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (136328K) : deepco_drw has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (136328K) : mim_drw has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (136328K) : edgeseal_drw has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (136456K) : substrate_drw has 500 polygons
2026-08-20 10:17:13 +0000: Memory Usage (136456K) : substrate_text has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (136456K) : dfpad_drw has 2 polygons
2026-08-20 10:17:13 +0000: Memory Usage (136456K) : dfpad_pillar has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (136456K) : dfpad_sbump has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (136584K) : thickgateox_drw has 1 polygons
2026-08-20 10:17:13 +0000: Memory Usage (136584K) : pldb_drw has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (136584K) : pwell_drw has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (136584K) : pwell_pin has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (136584K) : pwell_block has 2 polygons
2026-08-20 10:17:13 +0000: Memory Usage (136584K) : ic_drw has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (136712K) : via3_drw has 1036 polygons
2026-08-20 10:17:13 +0000: Memory Usage (136712K) : metal4_drw has 28 polygons
2026-08-20 10:17:13 +0000: Memory Usage (136712K) : metal4_filler has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (136712K) : metal4_slit has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (136712K) : metal4 has 28 polygons
2026-08-20 10:17:13 +0000: Memory Usage (136712K) : metal4_pin has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (136840K) : metal4_mask has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (136840K) : metal4_nofill has 2 polygons
2026-08-20 10:17:13 +0000: Memory Usage (136840K) : metal4_text has 1 polygons
2026-08-20 10:17:13 +0000: Memory Usage (136840K) : metal4_OPC has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (136840K) : metal4_noqrc has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (136840K) : metal4_res has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (136840K) : metal4_iprobe has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (136968K) : metal4_diffprb has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (136968K) : heattrans_drw has 123 polygons
2026-08-20 10:17:13 +0000: Memory Usage (136968K) : heatres_drw has 2 polygons
2026-08-20 10:17:13 +0000: Memory Usage (136968K) : fbe_drw has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (136968K) : empoly_drw has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (136968K) : digisub_drw has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (137096K) : text_drw has 655 polygons
2026-08-20 10:17:13 +0000: Memory Usage (137096K) : via4_drw has 1032 polygons
2026-08-20 10:17:13 +0000: Memory Usage (137096K) : metal5_drw has 55 polygons
2026-08-20 10:17:13 +0000: Memory Usage (137096K) : metal5_filler has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (137096K) : metal5_slit has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (137224K) : metal5 has 55 polygons
2026-08-20 10:17:13 +0000: Memory Usage (137224K) : metal5_pin has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (137224K) : metal5_mask has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (137224K) : metal5_nofill has 2 polygons
2026-08-20 10:17:13 +0000: Memory Usage (137224K) : metal5_text has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (137224K) : metal5_OPC has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (137224K) : metal5_noqrc has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (137352K) : metal5_res has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (137352K) : metal5_iprobe has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (137352K) : metal5_diffprb has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (137352K) : radhard_drw has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (137480K) : memcap_drw has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (137480K) : varicap_drw has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (137480K) : intbondvia_drw has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (137480K) : intbondmet_drw has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (137480K) : devbondvia_drw has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (137608K) : devbondmet_drw has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (137608K) : devtrench_drw has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (137608K) : redist_drw has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (137608K) : graphbot_drw has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (137608K) : graphtop_drw has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (137736K) : antvia1_drw has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (137736K) : antmetal2_drw has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (137736K) : graphcont_drw has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (137736K) : siwg_drw has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (137736K) : siwg_filler has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (137736K) : siwg_nofill has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (137864K) : sigrating_drw has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (137864K) : singrating_drw has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (137864K) : graphpas_drw has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (137864K) : emwind3_drw has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (137864K) : emwihv3_drw has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (137992K) : redbulay_drw has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (137992K) : smos_drw has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (137992K) : graphpad_drw has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (137992K) : polimide_drw has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (138120K) : polimide_pin has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (138120K) : recog_drw has 1 polygons
2026-08-20 10:17:13 +0000: Memory Usage (138120K) : recog_pin has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (138120K) : recog_esd has 5 polygons
2026-08-20 10:17:13 +0000: Memory Usage (138248K) : recog_diode has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (138248K) : recog_tsv has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (138248K) : recog_iprobe has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (138248K) : recog_diffprb has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (138376K) : recog_pillar has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (138376K) : recog_sbump has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (138376K) : recog_otp has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (138376K) : recog_pdiode has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (138504K) : recog_mom has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (138504K) : recog_momf has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (138504K) : recog_pcm has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (138504K) : colopen_drw has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (138632K) : graphmetal1_drw has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (138632K) : graphmetal1_filler has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (138632K) : graphmetal1_nofill has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (138632K) : graphmetal1_slit has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (138760K) : graphmetal1_OPC has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (138760K) : graphmet1l_drw has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (138760K) : graphmet1l_filler has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (138760K) : graphmet1l_nofill has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (138760K) : graphmet1l_slit has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (138888K) : graphmet1l_OPC has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (138888K) : extblock_drw has 6 polygons
2026-08-20 10:17:13 +0000: Memory Usage (138888K) : nldd_drw has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (138888K) : pldd_drw has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (138888K) : next_drw has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (139016K) : pext_drw has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (139016K) : nexthv_drw has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (139016K) : pexthv_drw has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (139016K) : graphgate_drw has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (139016K) : sinwg_drw has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (139016K) : sinwg_filler has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (139144K) : sinwg_nofill has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (139144K) : mempad_drw has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (139144K) : topvia1_drw has 484 polygons
2026-08-20 10:17:13 +0000: Memory Usage (139144K) : topmetal1_drw has 61 polygons
2026-08-20 10:17:13 +0000: Memory Usage (139144K) : topmetal1_filler has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (139272K) : topmetal1_slit has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (139272K) : topmetal1 has 61 polygons
2026-08-20 10:17:13 +0000: Memory Usage (139272K) : topmetal1_pin has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (139272K) : topmetal1_mask has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (139272K) : topmetal1_nofill has 2 polygons
2026-08-20 10:17:13 +0000: Memory Usage (139400K) : topmetal1_text has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (139400K) : topmetal1_noqrc has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (139400K) : topmetal1_res has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (139400K) : topmetal1_iprobe has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (139528K) : topmetal1_diffprb has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (139528K) : inldpwl_drw has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (139528K) : polyres_drw has 2 polygons
2026-08-20 10:17:13 +0000: Memory Usage (139528K) : polyres_pin has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (139656K) : vmim_drw has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (139656K) : nbulaycut_drw has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (139656K) : antmetal1_drw has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (139656K) : topvia2_drw has 234 polygons
2026-08-20 10:17:13 +0000: Memory Usage (139912K) : topmetal2_drw has 68 polygons
2026-08-20 10:17:13 +0000: Memory Usage (139912K) : topmetal2_filler has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (140040K) : topmetal2_slit has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (140040K) : topmetal2 has 68 polygons
2026-08-20 10:17:13 +0000: Memory Usage (140040K) : topmetal2_pin has 4 polygons
2026-08-20 10:17:13 +0000: Memory Usage (140040K) : topmetal2_mask has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (140168K) : topmetal2_nofill has 2 polygons
2026-08-20 10:17:13 +0000: Memory Usage (140168K) : topmetal2_text has 8 polygons
2026-08-20 10:17:13 +0000: Memory Usage (140168K) : topmetal2_noqrc has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (140168K) : topmetal2_res has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (140296K) : topmetal2_iprobe has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (140296K) : topmetal2_diffprb has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (140296K) : snsring_drw has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (140424K) : sensor_drw has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (140424K) : snsarms_drw has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (140424K) : snscmosvia_drw has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (140424K) : colwind_drw has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (140552K) : flm_drw has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (140680K) : hafniumox_drw has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (140680K) : memvia_drw has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (140680K) : thinfilmres_drw has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (140680K) : rfmem_drw has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (140680K) : norcx_drw has 2 polygons
2026-08-20 10:17:13 +0000: Memory Usage (140680K) : norcx_m2m3 has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (140680K) : norcx_m2m4 has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (140680K) : norcx_m2m5 has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (140680K) : norcx_m2tm1 has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (140680K) : norcx_m2tm2 has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (140680K) : norcx_m3m4 has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (140680K) : norcx_m3m5 has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (140680K) : norcx_m3tm1 has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (140680K) : norcx_m3tm2 has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (140680K) : norcx_m4m5 has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (140680K) : norcx_m4tm1 has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (140680K) : norcx_m4tm2 has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (140680K) : norcx_m5tm1 has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (140680K) : norcx_m5tm2 has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (140680K) : norcx_tm1tm2 has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (140680K) : norcx_m1sub has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (140680K) : norcx_m2sub has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (140680K) : norcx_m3sub has 0 polygons
2026-08-20 10:17:13 +0000: Memory Usage (140680K) : norcx_m4sub has 0 polygons
