$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/bisect_run/_probe_pads_esd_channel_no_ties/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/bisect_run/_probe_pads_esd_channel_no_ties/driver_dut.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/bisect_run/_probe_pads_esd_channel_no_ties/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction
2026-08-20 18:57:24 +0000: Memory Usage (129684K) : Selected PARALLEL_RES option: true
2026-08-20 18:57:24 +0000: Memory Usage (129684K) : Selected DISABLE_TAP_EXTRACTION option: true
2026-08-20 18:57:24 +0000: Memory Usage (129684K) : deep  mode is enabled.
2026-08-20 18:57:24 +0000: Memory Usage (129684K) : Applying implicit connections (case-sensitive, pattern supported) for nets: sub, sub!
2026-08-20 18:57:24 +0000: Memory Usage (131060K) : Netlist file: /workspace/layout/blocks/out/driver_stage/bisect_run/_probe_pads_esd_channel_no_ties/driver_dut.cdl
2026-08-20 18:57:24 +0000: Memory Usage (131060K) : LVS extracted netlist at: /workspace/layout/blocks/out/driver_stage/bisect_run/_probe_pads_esd_channel_no_ties/lvs/driver_dut_extracted.cir
2026-08-20 18:57:24 +0000: Memory Usage (131060K) : Applying SRAM integration support.
2026-08-20 18:57:24 +0000: Memory Usage (131060K) : Starting SG13G2 LVS runset
2026-08-20 18:57:24 +0000: Memory Usage (131060K) : Read in polygons from layers.
2026-08-20 18:57:24 +0000: Memory Usage (132268K) : activ_drw has 893 polygons
2026-08-20 18:57:24 +0000: Memory Usage (132268K) : activ_filler has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (132396K) : activ has 893 polygons
2026-08-20 18:57:24 +0000: Memory Usage (132396K) : activ_pin has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (132396K) : activ_mask has 4 polygons
2026-08-20 18:57:24 +0000: Memory Usage (132396K) : activ_nofill has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (132396K) : activ_OPC has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (132396K) : activ_iOPC has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (132396K) : activ_noqrc has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (132484K) : biwind_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (132996K) : biwind_OPC has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (132996K) : gatpoly_drw has 123 polygons
2026-08-20 18:57:24 +0000: Memory Usage (132996K) : gatpoly_filler has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (132996K) : gatpoly has 123 polygons
2026-08-20 18:57:24 +0000: Memory Usage (132996K) : gatpoly_pin has 119 polygons
2026-08-20 18:57:24 +0000: Memory Usage (132996K) : gatpoly_nofill has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (132996K) : gatpoly_OPC has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (132996K) : gatpoly_iOPC has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (132996K) : gatpoly_noqrc has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (133124K) : cont_drw has 13150 polygons
2026-08-20 18:57:24 +0000: Memory Usage (133124K) : cont_OPC has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (133124K) : nsd_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (133124K) : nsd_block has 4 polygons
2026-08-20 18:57:24 +0000: Memory Usage (133124K) : metal1_drw has 1515 polygons
2026-08-20 18:57:24 +0000: Memory Usage (133124K) : metal1_filler has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (133124K) : metal1_slit has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (133124K) : metal1 has 1515 polygons
2026-08-20 18:57:24 +0000: Memory Usage (133124K) : metal1_pin has 746 polygons
2026-08-20 18:57:24 +0000: Memory Usage (133124K) : metal1_mask has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (133124K) : metal1_nofill has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (133508K) : metal1_text has 3 polygons
2026-08-20 18:57:24 +0000: Memory Usage (133508K) : metal1_OPC has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (133508K) : metal1_noqrc has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (133636K) : metal1_res has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (133636K) : metal1_iprobe has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (133636K) : metal1_diffprb has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (133764K) : passiv_drw has 2 polygons
2026-08-20 18:57:24 +0000: Memory Usage (133764K) : passiv_pin has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (133892K) : passiv_sbump has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (133892K) : passiv_pillar has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (133892K) : passiv_pdl has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (134020K) : metal2_drw has 510 polygons
2026-08-20 18:57:24 +0000: Memory Usage (134020K) : metal2_filler has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (134020K) : metal2_slit has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (134148K) : metal2 has 510 polygons
2026-08-20 18:57:24 +0000: Memory Usage (134148K) : metal2_pin has 10 polygons
2026-08-20 18:57:24 +0000: Memory Usage (134276K) : metal2_mask has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (134276K) : metal2_nofill has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (134276K) : metal2_text has 3 polygons
2026-08-20 18:57:24 +0000: Memory Usage (134276K) : metal2_OPC has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (134276K) : metal2_noqrc has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (134404K) : metal2_res has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (134404K) : metal2_iprobe has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (134404K) : metal2_diffprb has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (134532K) : baspoly_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (134532K) : baspoly_pin has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (134532K) : psd_drw has 514 polygons
2026-08-20 18:57:24 +0000: Memory Usage (134532K) : nldb_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (134660K) : digibnd_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (134660K) : via1_drw has 6612 polygons
2026-08-20 18:57:24 +0000: Memory Usage (134660K) : backmetal1_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (134660K) : backmetal1_pin has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (134788K) : backmetal1_mask has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (134788K) : backmetal1_filler has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (134788K) : backmetal1_nofill has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (134788K) : backmetal1_slit has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (134916K) : backmetal1_text has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (134916K) : backmetal1_OPC has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (134916K) : backmetal1_noqrc has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (134916K) : backmetal1_res has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (135044K) : backmetal1_iprobe has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (135044K) : backmetal1_diffprb has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (135044K) : backpassiv_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (135044K) : res_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (135172K) : sram_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (135172K) : trans_drw has 2 polygons
2026-08-20 18:57:24 +0000: Memory Usage (135172K) : ind_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (135172K) : ind_pin has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (135300K) : ind_text has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (135300K) : salblock_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (135300K) : via2_drw has 12 polygons
2026-08-20 18:57:24 +0000: Memory Usage (135300K) : metal3_drw has 13 polygons
2026-08-20 18:57:24 +0000: Memory Usage (135428K) : metal3_filler has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (135428K) : metal3_slit has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (135428K) : metal3 has 13 polygons
2026-08-20 18:57:24 +0000: Memory Usage (135556K) : metal3_pin has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (135556K) : metal3_mask has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (135556K) : metal3_nofill has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (135556K) : metal3_text has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (135556K) : metal3_OPC has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (135556K) : metal3_noqrc has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (135556K) : metal3_res has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (135556K) : metal3_iprobe has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (135556K) : metal3_diffprb has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (135556K) : nwell_drw has 10 polygons
2026-08-20 18:57:24 +0000: Memory Usage (135556K) : nwell_pin has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (135684K) : nwell_text has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (135684K) : nbulay_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (135684K) : nbulay_pin has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (135684K) : nbulay_block has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (135684K) : emwind_drw has 4 polygons
2026-08-20 18:57:24 +0000: Memory Usage (135684K) : emwind_OPC has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (135812K) : deepco_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (135812K) : mim_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (135812K) : edgeseal_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (135812K) : substrate_drw has 500 polygons
2026-08-20 18:57:24 +0000: Memory Usage (135812K) : substrate_text has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (135812K) : dfpad_drw has 2 polygons
2026-08-20 18:57:24 +0000: Memory Usage (135940K) : dfpad_pillar has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (135940K) : dfpad_sbump has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (135940K) : thickgateox_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (135940K) : pldb_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (135940K) : pwell_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (135940K) : pwell_pin has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (136068K) : pwell_block has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (136068K) : ic_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (136068K) : via3_drw has 997 polygons
2026-08-20 18:57:24 +0000: Memory Usage (136068K) : metal4_drw has 15 polygons
2026-08-20 18:57:24 +0000: Memory Usage (136068K) : metal4_filler has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (136196K) : metal4_slit has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (136196K) : metal4 has 15 polygons
2026-08-20 18:57:24 +0000: Memory Usage (136196K) : metal4_pin has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (136196K) : metal4_mask has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (136196K) : metal4_nofill has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (136196K) : metal4_text has 3 polygons
2026-08-20 18:57:24 +0000: Memory Usage (136324K) : metal4_OPC has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (136324K) : metal4_noqrc has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (136324K) : metal4_res has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (136324K) : metal4_iprobe has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (136324K) : metal4_diffprb has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (136324K) : heattrans_drw has 123 polygons
2026-08-20 18:57:24 +0000: Memory Usage (136452K) : heatres_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (136452K) : fbe_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (136452K) : empoly_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (136452K) : digisub_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (136452K) : text_drw has 645 polygons
2026-08-20 18:57:24 +0000: Memory Usage (136452K) : via4_drw has 991 polygons
2026-08-20 18:57:24 +0000: Memory Usage (136452K) : metal5_drw has 16 polygons
2026-08-20 18:57:24 +0000: Memory Usage (136580K) : metal5_filler has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (136580K) : metal5_slit has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (136580K) : metal5 has 16 polygons
2026-08-20 18:57:24 +0000: Memory Usage (136580K) : metal5_pin has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (136580K) : metal5_mask has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (136708K) : metal5_nofill has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (136708K) : metal5_text has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (136708K) : metal5_OPC has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (136708K) : metal5_noqrc has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (136708K) : metal5_res has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (136708K) : metal5_iprobe has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (136708K) : metal5_diffprb has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (136836K) : radhard_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (136836K) : memcap_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (136836K) : varicap_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (136836K) : intbondvia_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (136836K) : intbondmet_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (136964K) : devbondvia_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (136964K) : devbondmet_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (136964K) : devtrench_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (136964K) : redist_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (136964K) : graphbot_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (137092K) : graphtop_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (137092K) : antvia1_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (137092K) : antmetal2_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (137092K) : graphcont_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (137220K) : siwg_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (137220K) : siwg_filler has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (137220K) : siwg_nofill has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (137220K) : sigrating_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (137220K) : singrating_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (137220K) : graphpas_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (137220K) : emwind3_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (137348K) : emwihv3_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (137348K) : redbulay_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (137348K) : smos_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (137348K) : graphpad_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (137348K) : polimide_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (137476K) : polimide_pin has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (137476K) : recog_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (137476K) : recog_pin has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (137476K) : recog_esd has 4 polygons
2026-08-20 18:57:24 +0000: Memory Usage (137476K) : recog_diode has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (137604K) : recog_tsv has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (137604K) : recog_iprobe has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (137604K) : recog_diffprb has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (137604K) : recog_pillar has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (137604K) : recog_sbump has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (137604K) : recog_otp has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (137732K) : recog_pdiode has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (137732K) : recog_mom has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (137732K) : recog_momf has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (137732K) : recog_pcm has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (137732K) : colopen_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (137732K) : graphmetal1_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (137860K) : graphmetal1_filler has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (137860K) : graphmetal1_nofill has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (137860K) : graphmetal1_slit has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (137860K) : graphmetal1_OPC has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (137860K) : graphmet1l_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (137988K) : graphmet1l_filler has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (137988K) : graphmet1l_nofill has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (137988K) : graphmet1l_slit has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (137988K) : graphmet1l_OPC has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (138116K) : extblock_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (138116K) : nldd_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (138116K) : pldd_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (138116K) : next_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (138116K) : pext_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (138244K) : nexthv_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (138244K) : pexthv_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (138244K) : graphgate_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (138244K) : sinwg_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (138244K) : sinwg_filler has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (138244K) : sinwg_nofill has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (138372K) : mempad_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (138372K) : topvia1_drw has 473 polygons
2026-08-20 18:57:24 +0000: Memory Usage (138372K) : topmetal1_drw has 47 polygons
2026-08-20 18:57:24 +0000: Memory Usage (138372K) : topmetal1_filler has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (138372K) : topmetal1_slit has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (138500K) : topmetal1 has 47 polygons
2026-08-20 18:57:24 +0000: Memory Usage (138500K) : topmetal1_pin has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (138500K) : topmetal1_mask has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (138500K) : topmetal1_nofill has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (138500K) : topmetal1_text has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (138500K) : topmetal1_noqrc has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (138628K) : topmetal1_res has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (138628K) : topmetal1_iprobe has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (138628K) : topmetal1_diffprb has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (138628K) : inldpwl_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (138756K) : polyres_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (138756K) : polyres_pin has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (138756K) : vmim_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (138756K) : nbulaycut_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (138756K) : antmetal1_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (138884K) : topvia2_drw has 227 polygons
2026-08-20 18:57:24 +0000: Memory Usage (138884K) : topmetal2_drw has 43 polygons
2026-08-20 18:57:24 +0000: Memory Usage (138884K) : topmetal2_filler has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (138884K) : topmetal2_slit has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (139012K) : topmetal2 has 43 polygons
2026-08-20 18:57:24 +0000: Memory Usage (139012K) : topmetal2_pin has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (139140K) : topmetal2_mask has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (139140K) : topmetal2_nofill has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (139140K) : topmetal2_text has 6 polygons
2026-08-20 18:57:24 +0000: Memory Usage (139140K) : topmetal2_noqrc has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (139268K) : topmetal2_res has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (139268K) : topmetal2_iprobe has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (139268K) : topmetal2_diffprb has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (139268K) : snsring_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (139396K) : sensor_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (139396K) : snsarms_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (139396K) : snscmosvia_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (139524K) : colwind_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (139524K) : flm_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (139524K) : hafniumox_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (139524K) : memvia_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (139652K) : thinfilmres_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (139652K) : rfmem_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (139780K) : norcx_drw has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (139780K) : norcx_m2m3 has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (139780K) : norcx_m2m4 has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (139780K) : norcx_m2m5 has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (139908K) : norcx_m2tm1 has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (139908K) : norcx_m2tm2 has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (139908K) : norcx_m3m4 has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (139908K) : norcx_m3m5 has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (139908K) : norcx_m3tm1 has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (139908K) : norcx_m3tm2 has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (139908K) : norcx_m4m5 has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (139908K) : norcx_m4tm1 has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (139908K) : norcx_m4tm2 has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (139908K) : norcx_m5tm1 has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (139908K) : norcx_m5tm2 has 0 polygons
2026-08-20 18:57:24 +0000: Memory Usage (139908K) : norcx_tm1tm2 has 0 polygons
