$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/bisect_run/_probe10_vdd_only/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/bisect_run/_probe10_vdd_only/driver_dut.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/bisect_run/_probe10_vdd_only/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction
2026-08-20 19:08:30 +0000: Memory Usage (130052K) : Selected DISABLE_TAP_EXTRACTION option: true
2026-08-20 19:08:30 +0000: Memory Usage (130052K) : deep  mode is enabled.
2026-08-20 19:08:30 +0000: Memory Usage (130052K) : Applying implicit connections (case-sensitive, pattern supported) for nets: sub, sub!
2026-08-20 19:08:30 +0000: Memory Usage (131172K) : Netlist file: /workspace/layout/blocks/out/driver_stage/bisect_run/_probe10_vdd_only/driver_dut.cdl
2026-08-20 19:08:30 +0000: Memory Usage (131172K) : LVS extracted netlist at: /workspace/layout/blocks/out/driver_stage/bisect_run/_probe10_vdd_only/lvs/driver_dut_extracted.cir
2026-08-20 19:08:30 +0000: Memory Usage (131172K) : Applying SRAM integration support.
2026-08-20 19:08:30 +0000: Memory Usage (131172K) : Starting SG13G2 LVS runset
2026-08-20 19:08:30 +0000: Memory Usage (131172K) : Read in polygons from layers.
2026-08-20 19:08:30 +0000: Memory Usage (132740K) : activ_drw has 893 polygons
2026-08-20 19:08:30 +0000: Memory Usage (132740K) : activ_filler has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (132996K) : activ has 893 polygons
2026-08-20 19:08:30 +0000: Memory Usage (132996K) : activ_pin has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (132996K) : activ_mask has 4 polygons
2026-08-20 19:08:30 +0000: Memory Usage (132996K) : activ_nofill has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (132996K) : activ_OPC has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (132996K) : activ_iOPC has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (132996K) : activ_noqrc has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (133052K) : biwind_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (133564K) : biwind_OPC has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (133564K) : gatpoly_drw has 123 polygons
2026-08-20 19:08:30 +0000: Memory Usage (133564K) : gatpoly_filler has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (133564K) : gatpoly has 123 polygons
2026-08-20 19:08:30 +0000: Memory Usage (133564K) : gatpoly_pin has 119 polygons
2026-08-20 19:08:30 +0000: Memory Usage (133564K) : gatpoly_nofill has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (133564K) : gatpoly_OPC has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (133564K) : gatpoly_iOPC has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (133564K) : gatpoly_noqrc has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (133564K) : cont_drw has 13150 polygons
2026-08-20 19:08:30 +0000: Memory Usage (133564K) : cont_OPC has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (133564K) : nsd_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (133564K) : nsd_block has 4 polygons
2026-08-20 19:08:30 +0000: Memory Usage (133564K) : metal1_drw has 1515 polygons
2026-08-20 19:08:30 +0000: Memory Usage (133564K) : metal1_filler has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (133564K) : metal1_slit has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (133692K) : metal1 has 1515 polygons
2026-08-20 19:08:30 +0000: Memory Usage (133692K) : metal1_pin has 746 polygons
2026-08-20 19:08:30 +0000: Memory Usage (133692K) : metal1_mask has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (133692K) : metal1_nofill has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (133948K) : metal1_text has 3 polygons
2026-08-20 19:08:30 +0000: Memory Usage (133948K) : metal1_OPC has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (134076K) : metal1_noqrc has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (134076K) : metal1_res has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (134076K) : metal1_iprobe has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (134204K) : metal1_diffprb has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (134204K) : passiv_drw has 2 polygons
2026-08-20 19:08:30 +0000: Memory Usage (134204K) : passiv_pin has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (134332K) : passiv_sbump has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (134332K) : passiv_pillar has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (134332K) : passiv_pdl has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (134460K) : metal2_drw has 521 polygons
2026-08-20 19:08:30 +0000: Memory Usage (134460K) : metal2_filler has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (134460K) : metal2_slit has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (134588K) : metal2 has 521 polygons
2026-08-20 19:08:30 +0000: Memory Usage (134588K) : metal2_pin has 10 polygons
2026-08-20 19:08:30 +0000: Memory Usage (134716K) : metal2_mask has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (134716K) : metal2_nofill has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (134716K) : metal2_text has 3 polygons
2026-08-20 19:08:30 +0000: Memory Usage (134716K) : metal2_OPC has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (134844K) : metal2_noqrc has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (134844K) : metal2_res has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (134844K) : metal2_iprobe has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (134844K) : metal2_diffprb has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (134972K) : baspoly_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (134972K) : baspoly_pin has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (134972K) : psd_drw has 514 polygons
2026-08-20 19:08:30 +0000: Memory Usage (134972K) : nldb_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (135100K) : digibnd_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (135100K) : via1_drw has 6612 polygons
2026-08-20 19:08:30 +0000: Memory Usage (135100K) : backmetal1_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (135100K) : backmetal1_pin has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (135228K) : backmetal1_mask has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (135228K) : backmetal1_filler has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (135228K) : backmetal1_nofill has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (135356K) : backmetal1_slit has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (135356K) : backmetal1_text has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (135356K) : backmetal1_OPC has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (135356K) : backmetal1_noqrc has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (135356K) : backmetal1_res has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (135484K) : backmetal1_iprobe has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (135484K) : backmetal1_diffprb has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (135484K) : backpassiv_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (135612K) : res_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (135612K) : sram_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (135612K) : trans_drw has 2 polygons
2026-08-20 19:08:30 +0000: Memory Usage (135612K) : ind_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (135740K) : ind_pin has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (135740K) : ind_text has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (135740K) : salblock_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (135740K) : via2_drw has 23 polygons
2026-08-20 19:08:30 +0000: Memory Usage (135740K) : metal3_drw has 13 polygons
2026-08-20 19:08:30 +0000: Memory Usage (135868K) : metal3_filler has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (135868K) : metal3_slit has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (135868K) : metal3 has 13 polygons
2026-08-20 19:08:30 +0000: Memory Usage (135996K) : metal3_pin has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (135996K) : metal3_mask has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (135996K) : metal3_nofill has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (136124K) : metal3_text has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (136124K) : metal3_OPC has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (136124K) : metal3_noqrc has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (136124K) : metal3_res has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (136124K) : metal3_iprobe has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (136124K) : metal3_diffprb has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (136124K) : nwell_drw has 10 polygons
2026-08-20 19:08:30 +0000: Memory Usage (136124K) : nwell_pin has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (136124K) : nwell_text has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (136124K) : nbulay_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (136124K) : nbulay_pin has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (136124K) : nbulay_block has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (136124K) : emwind_drw has 4 polygons
2026-08-20 19:08:30 +0000: Memory Usage (136252K) : emwind_OPC has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (136252K) : deepco_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (136252K) : mim_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (136252K) : edgeseal_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (136252K) : substrate_drw has 500 polygons
2026-08-20 19:08:30 +0000: Memory Usage (136252K) : substrate_text has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (136380K) : dfpad_drw has 2 polygons
2026-08-20 19:08:30 +0000: Memory Usage (136380K) : dfpad_pillar has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (136380K) : dfpad_sbump has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (136380K) : thickgateox_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (136380K) : pldb_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (136508K) : pwell_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (136508K) : pwell_pin has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (136508K) : pwell_block has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (136508K) : ic_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (136508K) : via3_drw has 999 polygons
2026-08-20 19:08:30 +0000: Memory Usage (136636K) : metal4_drw has 17 polygons
2026-08-20 19:08:30 +0000: Memory Usage (136636K) : metal4_filler has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (136636K) : metal4_slit has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (136636K) : metal4 has 17 polygons
2026-08-20 19:08:30 +0000: Memory Usage (136636K) : metal4_pin has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (136636K) : metal4_mask has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (136764K) : metal4_nofill has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (136764K) : metal4_text has 3 polygons
2026-08-20 19:08:30 +0000: Memory Usage (136764K) : metal4_OPC has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (136764K) : metal4_noqrc has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (136764K) : metal4_res has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (136764K) : metal4_iprobe has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (136892K) : metal4_diffprb has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (136892K) : heattrans_drw has 123 polygons
2026-08-20 19:08:30 +0000: Memory Usage (136892K) : heatres_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (136892K) : fbe_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (136892K) : empoly_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (136892K) : digisub_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (136892K) : text_drw has 645 polygons
2026-08-20 19:08:30 +0000: Memory Usage (136892K) : via4_drw has 993 polygons
2026-08-20 19:08:30 +0000: Memory Usage (137020K) : metal5_drw has 16 polygons
2026-08-20 19:08:30 +0000: Memory Usage (137020K) : metal5_filler has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (137020K) : metal5_slit has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (137020K) : metal5 has 16 polygons
2026-08-20 19:08:30 +0000: Memory Usage (137020K) : metal5_pin has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (137020K) : metal5_mask has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (137148K) : metal5_nofill has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (137148K) : metal5_text has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (137148K) : metal5_OPC has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (137148K) : metal5_noqrc has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (137148K) : metal5_res has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (137148K) : metal5_iprobe has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (137276K) : metal5_diffprb has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (137276K) : radhard_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (137276K) : memcap_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (137276K) : varicap_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (137276K) : intbondvia_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (137404K) : intbondmet_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (137404K) : devbondvia_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (137404K) : devbondmet_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (137404K) : devtrench_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (137404K) : redist_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (137404K) : graphbot_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (137404K) : graphtop_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (137532K) : antvia1_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (137532K) : antmetal2_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (137532K) : graphcont_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (137532K) : siwg_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (137532K) : siwg_filler has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (137532K) : siwg_nofill has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (137660K) : sigrating_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (137660K) : singrating_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (137660K) : graphpas_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (137660K) : emwind3_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (137660K) : emwihv3_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (137788K) : redbulay_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (137788K) : smos_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (137788K) : graphpad_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (137788K) : polimide_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (137788K) : polimide_pin has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (137916K) : recog_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (137916K) : recog_pin has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (137916K) : recog_esd has 4 polygons
2026-08-20 19:08:30 +0000: Memory Usage (137916K) : recog_diode has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (137916K) : recog_tsv has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (137916K) : recog_iprobe has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (137916K) : recog_diffprb has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (138044K) : recog_pillar has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (138044K) : recog_sbump has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (138044K) : recog_otp has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (138044K) : recog_pdiode has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (138044K) : recog_mom has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (138044K) : recog_momf has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (138172K) : recog_pcm has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (138172K) : colopen_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (138172K) : graphmetal1_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (138172K) : graphmetal1_filler has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (138172K) : graphmetal1_nofill has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (138300K) : graphmetal1_slit has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (138300K) : graphmetal1_OPC has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (138300K) : graphmet1l_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (138300K) : graphmet1l_filler has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (138300K) : graphmet1l_nofill has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (138300K) : graphmet1l_slit has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (138428K) : graphmet1l_OPC has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (138428K) : extblock_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (138428K) : nldd_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (138428K) : pldd_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (138428K) : next_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (138428K) : pext_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (138556K) : nexthv_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (138556K) : pexthv_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (138556K) : graphgate_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (138556K) : sinwg_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (138556K) : sinwg_filler has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (138684K) : sinwg_nofill has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (138684K) : mempad_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (138684K) : topvia1_drw has 475 polygons
2026-08-20 19:08:30 +0000: Memory Usage (138684K) : topmetal1_drw has 46 polygons
2026-08-20 19:08:30 +0000: Memory Usage (138684K) : topmetal1_filler has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (138812K) : topmetal1_slit has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (138812K) : topmetal1 has 46 polygons
2026-08-20 19:08:30 +0000: Memory Usage (138812K) : topmetal1_pin has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (138812K) : topmetal1_mask has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (138940K) : topmetal1_nofill has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (138940K) : topmetal1_text has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (138940K) : topmetal1_noqrc has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (138940K) : topmetal1_res has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (139068K) : topmetal1_iprobe has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (139068K) : topmetal1_diffprb has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (139068K) : inldpwl_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (139068K) : polyres_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (139196K) : polyres_pin has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (139196K) : vmim_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (139196K) : nbulaycut_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (139196K) : antmetal1_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (139324K) : topvia2_drw has 227 polygons
2026-08-20 19:08:30 +0000: Memory Usage (139324K) : topmetal2_drw has 43 polygons
2026-08-20 19:08:30 +0000: Memory Usage (139324K) : topmetal2_filler has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (139324K) : topmetal2_slit has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (139452K) : topmetal2 has 43 polygons
2026-08-20 19:08:30 +0000: Memory Usage (139452K) : topmetal2_pin has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (139580K) : topmetal2_mask has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (139580K) : topmetal2_nofill has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (139580K) : topmetal2_text has 6 polygons
2026-08-20 19:08:30 +0000: Memory Usage (139580K) : topmetal2_noqrc has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (139708K) : topmetal2_res has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (139708K) : topmetal2_iprobe has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (139708K) : topmetal2_diffprb has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (139708K) : snsring_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (139836K) : sensor_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (139836K) : snsarms_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (139836K) : snscmosvia_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (139836K) : colwind_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (139964K) : flm_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (139964K) : hafniumox_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (139964K) : memvia_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (140092K) : thinfilmres_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (140092K) : rfmem_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (140092K) : norcx_drw has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (140220K) : norcx_m2m3 has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (140220K) : norcx_m2m4 has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (140348K) : norcx_m2m5 has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (140348K) : norcx_m2tm1 has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (140348K) : norcx_m2tm2 has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (140348K) : norcx_m3m4 has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (140348K) : norcx_m3m5 has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (140348K) : norcx_m3tm1 has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (140348K) : norcx_m3tm2 has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (140348K) : norcx_m4m5 has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (140348K) : norcx_m4tm1 has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (140348K) : norcx_m4tm2 has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (140348K) : norcx_m5tm1 has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (140348K) : norcx_m5tm2 has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (140348K) : norcx_tm1tm2 has 0 polygons
2026-08-20 19:08:30 +0000: Memory Usage (140348K) : norcx_m1sub has 0 polygons
