$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/probe8/pads_no_esd/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/probe8/pads_no_esd/t.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/probe8/pads_no_esd/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction
2026-08-20 16:48:49 +0000: Memory Usage (130456K) : Selected DISABLE_TAP_EXTRACTION option: true
2026-08-20 16:48:49 +0000: Memory Usage (130456K) : deep  mode is enabled.
2026-08-20 16:48:49 +0000: Memory Usage (130456K) : Applying implicit connections (case-sensitive, pattern supported) for nets: sub, sub!
2026-08-20 16:48:49 +0000: Memory Usage (131752K) : Netlist file: /workspace/layout/blocks/out/driver_stage/probe8/pads_no_esd/t.cdl
2026-08-20 16:48:49 +0000: Memory Usage (131752K) : LVS extracted netlist at: /workspace/layout/blocks/out/driver_stage/probe8/pads_no_esd/lvs/driver_dut_extracted.cir
2026-08-20 16:48:49 +0000: Memory Usage (131752K) : Applying SRAM integration support.
2026-08-20 16:48:49 +0000: Memory Usage (131752K) : Starting SG13G2 LVS runset
2026-08-20 16:48:49 +0000: Memory Usage (131752K) : Read in polygons from layers.
2026-08-20 16:48:49 +0000: Memory Usage (132904K) : activ_drw has 875 polygons
2026-08-20 16:48:49 +0000: Memory Usage (132904K) : activ_filler has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (133032K) : activ has 875 polygons
2026-08-20 16:48:49 +0000: Memory Usage (133032K) : activ_pin has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (133032K) : activ_mask has 4 polygons
2026-08-20 16:48:49 +0000: Memory Usage (133032K) : activ_nofill has 2 polygons
2026-08-20 16:48:49 +0000: Memory Usage (133032K) : activ_OPC has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (133032K) : activ_iOPC has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (133032K) : activ_noqrc has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (133088K) : biwind_drw has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (133600K) : biwind_OPC has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (133600K) : gatpoly_drw has 140 polygons
2026-08-20 16:48:49 +0000: Memory Usage (133600K) : gatpoly_filler has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (133600K) : gatpoly has 140 polygons
2026-08-20 16:48:49 +0000: Memory Usage (133600K) : gatpoly_pin has 119 polygons
2026-08-20 16:48:49 +0000: Memory Usage (133600K) : gatpoly_nofill has 2 polygons
2026-08-20 16:48:49 +0000: Memory Usage (133600K) : gatpoly_OPC has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (133600K) : gatpoly_iOPC has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (133600K) : gatpoly_noqrc has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (133728K) : cont_drw has 10261 polygons
2026-08-20 16:48:49 +0000: Memory Usage (133728K) : cont_OPC has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (133728K) : nsd_drw has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (133728K) : nsd_block has 4 polygons
2026-08-20 16:48:49 +0000: Memory Usage (133728K) : metal1_drw has 1526 polygons
2026-08-20 16:48:49 +0000: Memory Usage (133728K) : metal1_filler has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (133728K) : metal1_slit has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (133728K) : metal1 has 1526 polygons
2026-08-20 16:48:49 +0000: Memory Usage (133728K) : metal1_pin has 746 polygons
2026-08-20 16:48:49 +0000: Memory Usage (133728K) : metal1_mask has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (133728K) : metal1_nofill has 2 polygons
2026-08-20 16:48:49 +0000: Memory Usage (133856K) : metal1_text has 5 polygons
2026-08-20 16:48:49 +0000: Memory Usage (133856K) : metal1_OPC has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (133984K) : metal1_noqrc has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (133984K) : metal1_res has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (134112K) : metal1_iprobe has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (134112K) : metal1_diffprb has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (134112K) : passiv_drw has 2 polygons
2026-08-20 16:48:49 +0000: Memory Usage (134240K) : passiv_pin has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (134240K) : passiv_sbump has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (134240K) : passiv_pillar has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (134368K) : passiv_pdl has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (134368K) : metal2_drw has 532 polygons
2026-08-20 16:48:49 +0000: Memory Usage (134368K) : metal2_filler has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (134496K) : metal2_slit has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (134496K) : metal2 has 532 polygons
2026-08-20 16:48:49 +0000: Memory Usage (134496K) : metal2_pin has 2 polygons
2026-08-20 16:48:49 +0000: Memory Usage (134496K) : metal2_mask has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (134624K) : metal2_nofill has 2 polygons
2026-08-20 16:48:49 +0000: Memory Usage (134624K) : metal2_text has 3 polygons
2026-08-20 16:48:49 +0000: Memory Usage (134624K) : metal2_OPC has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (134624K) : metal2_noqrc has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (134752K) : metal2_res has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (134752K) : metal2_iprobe has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (134752K) : metal2_diffprb has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (134752K) : baspoly_drw has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (134880K) : baspoly_pin has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (134880K) : psd_drw has 503 polygons
2026-08-20 16:48:49 +0000: Memory Usage (134880K) : nldb_drw has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (134880K) : digibnd_drw has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (135008K) : via1_drw has 6770 polygons
2026-08-20 16:48:49 +0000: Memory Usage (135008K) : backmetal1_drw has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (135008K) : backmetal1_pin has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (135136K) : backmetal1_mask has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (135136K) : backmetal1_filler has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (135136K) : backmetal1_nofill has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (135136K) : backmetal1_slit has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (135136K) : backmetal1_text has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (135264K) : backmetal1_OPC has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (135264K) : backmetal1_noqrc has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (135264K) : backmetal1_res has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (135392K) : backmetal1_iprobe has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (135392K) : backmetal1_diffprb has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (135392K) : backpassiv_drw has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (135392K) : res_drw has 2 polygons
2026-08-20 16:48:49 +0000: Memory Usage (135520K) : sram_drw has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (135520K) : trans_drw has 2 polygons
2026-08-20 16:48:49 +0000: Memory Usage (135520K) : ind_drw has 2 polygons
2026-08-20 16:48:49 +0000: Memory Usage (135520K) : ind_pin has 4 polygons
2026-08-20 16:48:49 +0000: Memory Usage (135648K) : ind_text has 4 polygons
2026-08-20 16:48:49 +0000: Memory Usage (135648K) : salblock_drw has 12 polygons
2026-08-20 16:48:49 +0000: Memory Usage (135648K) : via2_drw has 805 polygons
2026-08-20 16:48:49 +0000: Memory Usage (135776K) : metal3_drw has 49 polygons
2026-08-20 16:48:49 +0000: Memory Usage (135776K) : metal3_filler has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (135776K) : metal3_slit has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (135904K) : metal3 has 49 polygons
2026-08-20 16:48:49 +0000: Memory Usage (135904K) : metal3_pin has 2 polygons
2026-08-20 16:48:49 +0000: Memory Usage (135904K) : metal3_mask has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (135904K) : metal3_nofill has 2 polygons
2026-08-20 16:48:49 +0000: Memory Usage (135904K) : metal3_text has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (135904K) : metal3_OPC has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (135904K) : metal3_noqrc has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (135904K) : metal3_res has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (135904K) : metal3_iprobe has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (135904K) : metal3_diffprb has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (135904K) : nwell_drw has 4 polygons
2026-08-20 16:48:49 +0000: Memory Usage (135904K) : nwell_pin has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (135904K) : nwell_text has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (135904K) : nbulay_drw has 1 polygons
2026-08-20 16:48:49 +0000: Memory Usage (136032K) : nbulay_pin has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (136032K) : nbulay_block has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (136032K) : emwind_drw has 4 polygons
2026-08-20 16:48:49 +0000: Memory Usage (136032K) : emwind_OPC has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (136032K) : deepco_drw has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (136032K) : mim_drw has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (136160K) : edgeseal_drw has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (136160K) : substrate_drw has 500 polygons
2026-08-20 16:48:49 +0000: Memory Usage (136160K) : substrate_text has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (136160K) : dfpad_drw has 2 polygons
2026-08-20 16:48:49 +0000: Memory Usage (136160K) : dfpad_pillar has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (136160K) : dfpad_sbump has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (136288K) : thickgateox_drw has 1 polygons
2026-08-20 16:48:49 +0000: Memory Usage (136288K) : pldb_drw has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (136288K) : pwell_drw has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (136288K) : pwell_pin has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (136288K) : pwell_block has 2 polygons
2026-08-20 16:48:49 +0000: Memory Usage (136416K) : ic_drw has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (136416K) : via3_drw has 1014 polygons
2026-08-20 16:48:49 +0000: Memory Usage (136416K) : metal4_drw has 23 polygons
2026-08-20 16:48:49 +0000: Memory Usage (136416K) : metal4_filler has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (136416K) : metal4_slit has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (136416K) : metal4 has 23 polygons
2026-08-20 16:48:49 +0000: Memory Usage (136544K) : metal4_pin has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (136544K) : metal4_mask has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (136544K) : metal4_nofill has 2 polygons
2026-08-20 16:48:49 +0000: Memory Usage (136544K) : metal4_text has 3 polygons
2026-08-20 16:48:49 +0000: Memory Usage (136544K) : metal4_OPC has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (136672K) : metal4_noqrc has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (136672K) : metal4_res has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (136672K) : metal4_iprobe has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (136672K) : metal4_diffprb has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (136672K) : heattrans_drw has 123 polygons
2026-08-20 16:48:49 +0000: Memory Usage (136672K) : heatres_drw has 2 polygons
2026-08-20 16:48:49 +0000: Memory Usage (136672K) : fbe_drw has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (136672K) : empoly_drw has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (136800K) : digisub_drw has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (136800K) : text_drw has 639 polygons
2026-08-20 16:48:49 +0000: Memory Usage (136800K) : via4_drw has 1008 polygons
2026-08-20 16:48:49 +0000: Memory Usage (136800K) : metal5_drw has 28 polygons
2026-08-20 16:48:49 +0000: Memory Usage (136800K) : metal5_filler has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (136800K) : metal5_slit has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (136928K) : metal5 has 28 polygons
2026-08-20 16:48:49 +0000: Memory Usage (136928K) : metal5_pin has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (136928K) : metal5_mask has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (136928K) : metal5_nofill has 2 polygons
2026-08-20 16:48:49 +0000: Memory Usage (136928K) : metal5_text has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (136928K) : metal5_OPC has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (137056K) : metal5_noqrc has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (137056K) : metal5_res has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (137056K) : metal5_iprobe has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (137056K) : metal5_diffprb has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (137056K) : radhard_drw has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (137056K) : memcap_drw has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (137184K) : varicap_drw has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (137184K) : intbondvia_drw has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (137184K) : intbondmet_drw has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (137184K) : devbondvia_drw has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (137184K) : devbondmet_drw has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (137184K) : devtrench_drw has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (137312K) : redist_drw has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (137312K) : graphbot_drw has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (137312K) : graphtop_drw has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (137312K) : antvia1_drw has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (137312K) : antmetal2_drw has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (137440K) : graphcont_drw has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (137440K) : siwg_drw has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (137440K) : siwg_filler has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (137440K) : siwg_nofill has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (137568K) : sigrating_drw has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (137568K) : singrating_drw has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (137568K) : graphpas_drw has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (137568K) : emwind3_drw has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (137568K) : emwihv3_drw has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (137696K) : redbulay_drw has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (137696K) : smos_drw has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (137696K) : graphpad_drw has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (137696K) : polimide_drw has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (137696K) : polimide_pin has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (137696K) : recog_drw has 1 polygons
2026-08-20 16:48:49 +0000: Memory Usage (137824K) : recog_pin has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (137824K) : recog_esd has 1 polygons
2026-08-20 16:48:49 +0000: Memory Usage (137824K) : recog_diode has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (137824K) : recog_tsv has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (137824K) : recog_iprobe has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (137952K) : recog_diffprb has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (137952K) : recog_pillar has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (137952K) : recog_sbump has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (137952K) : recog_otp has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (137952K) : recog_pdiode has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (137952K) : recog_mom has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (138080K) : recog_momf has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (138080K) : recog_pcm has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (138080K) : colopen_drw has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (138080K) : graphmetal1_drw has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (138080K) : graphmetal1_filler has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (138208K) : graphmetal1_nofill has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (138208K) : graphmetal1_slit has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (138208K) : graphmetal1_OPC has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (138208K) : graphmet1l_drw has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (138208K) : graphmet1l_filler has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (138208K) : graphmet1l_nofill has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (138336K) : graphmet1l_slit has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (138336K) : graphmet1l_OPC has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (138336K) : extblock_drw has 6 polygons
2026-08-20 16:48:49 +0000: Memory Usage (138336K) : nldd_drw has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (138336K) : pldd_drw has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (138464K) : next_drw has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (138464K) : pext_drw has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (138464K) : nexthv_drw has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (138464K) : pexthv_drw has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (138592K) : graphgate_drw has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (138592K) : sinwg_drw has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (138592K) : sinwg_filler has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (138592K) : sinwg_nofill has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (138720K) : mempad_drw has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (138720K) : topvia1_drw has 477 polygons
2026-08-20 16:48:49 +0000: Memory Usage (138720K) : topmetal1_drw has 48 polygons
2026-08-20 16:48:49 +0000: Memory Usage (138720K) : topmetal1_filler has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (138848K) : topmetal1_slit has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (138848K) : topmetal1 has 48 polygons
2026-08-20 16:48:49 +0000: Memory Usage (138848K) : topmetal1_pin has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (138848K) : topmetal1_mask has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (138976K) : topmetal1_nofill has 2 polygons
2026-08-20 16:48:49 +0000: Memory Usage (138976K) : topmetal1_text has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (138976K) : topmetal1_noqrc has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (138976K) : topmetal1_res has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (139104K) : topmetal1_iprobe has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (139104K) : topmetal1_diffprb has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (139104K) : inldpwl_drw has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (139104K) : polyres_drw has 2 polygons
2026-08-20 16:48:49 +0000: Memory Usage (139232K) : polyres_pin has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (139232K) : vmim_drw has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (139232K) : nbulaycut_drw has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (139232K) : antmetal1_drw has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (139360K) : topvia2_drw has 231 polygons
2026-08-20 16:48:49 +0000: Memory Usage (139488K) : topmetal2_drw has 63 polygons
2026-08-20 16:48:49 +0000: Memory Usage (139616K) : topmetal2_filler has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (139616K) : topmetal2_slit has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (139616K) : topmetal2 has 63 polygons
2026-08-20 16:48:49 +0000: Memory Usage (139744K) : topmetal2_pin has 4 polygons
2026-08-20 16:48:49 +0000: Memory Usage (139744K) : topmetal2_mask has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (139744K) : topmetal2_nofill has 2 polygons
2026-08-20 16:48:49 +0000: Memory Usage (139744K) : topmetal2_text has 8 polygons
2026-08-20 16:48:49 +0000: Memory Usage (139872K) : topmetal2_noqrc has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (139872K) : topmetal2_res has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (139872K) : topmetal2_iprobe has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (139872K) : topmetal2_diffprb has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (140000K) : snsring_drw has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (140000K) : sensor_drw has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (140000K) : snsarms_drw has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (140128K) : snscmosvia_drw has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (140128K) : colwind_drw has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (140256K) : flm_drw has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (140256K) : hafniumox_drw has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (140256K) : memvia_drw has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (140256K) : thinfilmres_drw has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (140384K) : rfmem_drw has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (140384K) : norcx_drw has 2 polygons
2026-08-20 16:48:49 +0000: Memory Usage (140384K) : norcx_m2m3 has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (140384K) : norcx_m2m4 has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (140384K) : norcx_m2m5 has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (140384K) : norcx_m2tm1 has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (140384K) : norcx_m2tm2 has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (140384K) : norcx_m3m4 has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (140384K) : norcx_m3m5 has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (140384K) : norcx_m3tm1 has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (140384K) : norcx_m3tm2 has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (140384K) : norcx_m4m5 has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (140384K) : norcx_m4tm1 has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (140384K) : norcx_m4tm2 has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (140384K) : norcx_m5tm1 has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (140384K) : norcx_m5tm2 has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (140384K) : norcx_tm1tm2 has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (140384K) : norcx_m1sub has 0 polygons
2026-08-20 16:48:49 +0000: Memory Usage (140384K) : norcx_m2sub has 0 polygons
