$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/bisect_extra2/pads_no_esd/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/bisect_extra2/pads_no_esd/driver_dut.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/bisect_extra2/pads_no_esd/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction
2026-08-20 16:59:37 +0000: Memory Usage (130492K) : Selected DISABLE_TAP_EXTRACTION option: true
2026-08-20 16:59:37 +0000: Memory Usage (130492K) : deep  mode is enabled.
2026-08-20 16:59:37 +0000: Memory Usage (130492K) : Applying implicit connections (case-sensitive, pattern supported) for nets: sub, sub!
2026-08-20 16:59:37 +0000: Memory Usage (131724K) : Netlist file: /workspace/layout/blocks/out/driver_stage/bisect_extra2/pads_no_esd/driver_dut.cdl
2026-08-20 16:59:37 +0000: Memory Usage (131724K) : LVS extracted netlist at: /workspace/layout/blocks/out/driver_stage/bisect_extra2/pads_no_esd/lvs/driver_dut_extracted.cir
2026-08-20 16:59:37 +0000: Memory Usage (131724K) : Applying SRAM integration support.
2026-08-20 16:59:37 +0000: Memory Usage (131724K) : Starting SG13G2 LVS runset
2026-08-20 16:59:37 +0000: Memory Usage (131724K) : Read in polygons from layers.
2026-08-20 16:59:37 +0000: Memory Usage (132876K) : activ_drw has 875 polygons
2026-08-20 16:59:37 +0000: Memory Usage (132876K) : activ_filler has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (133004K) : activ has 875 polygons
2026-08-20 16:59:37 +0000: Memory Usage (133004K) : activ_pin has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (133004K) : activ_mask has 4 polygons
2026-08-20 16:59:37 +0000: Memory Usage (133004K) : activ_nofill has 2 polygons
2026-08-20 16:59:37 +0000: Memory Usage (133004K) : activ_OPC has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (133004K) : activ_iOPC has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (133004K) : activ_noqrc has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (133092K) : biwind_drw has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (133604K) : biwind_OPC has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (133604K) : gatpoly_drw has 140 polygons
2026-08-20 16:59:37 +0000: Memory Usage (133604K) : gatpoly_filler has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (133604K) : gatpoly has 140 polygons
2026-08-20 16:59:37 +0000: Memory Usage (133604K) : gatpoly_pin has 119 polygons
2026-08-20 16:59:37 +0000: Memory Usage (133604K) : gatpoly_nofill has 2 polygons
2026-08-20 16:59:37 +0000: Memory Usage (133604K) : gatpoly_OPC has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (133604K) : gatpoly_iOPC has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (133604K) : gatpoly_noqrc has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (133732K) : cont_drw has 10261 polygons
2026-08-20 16:59:37 +0000: Memory Usage (133732K) : cont_OPC has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (133732K) : nsd_drw has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (133732K) : nsd_block has 4 polygons
2026-08-20 16:59:37 +0000: Memory Usage (133732K) : metal1_drw has 1526 polygons
2026-08-20 16:59:37 +0000: Memory Usage (133732K) : metal1_filler has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (133732K) : metal1_slit has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (133732K) : metal1 has 1526 polygons
2026-08-20 16:59:37 +0000: Memory Usage (133732K) : metal1_pin has 746 polygons
2026-08-20 16:59:37 +0000: Memory Usage (133732K) : metal1_mask has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (133732K) : metal1_nofill has 2 polygons
2026-08-20 16:59:37 +0000: Memory Usage (133860K) : metal1_text has 5 polygons
2026-08-20 16:59:37 +0000: Memory Usage (133860K) : metal1_OPC has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (133988K) : metal1_noqrc has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (133988K) : metal1_res has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (134116K) : metal1_iprobe has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (134116K) : metal1_diffprb has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (134116K) : passiv_drw has 2 polygons
2026-08-20 16:59:37 +0000: Memory Usage (134244K) : passiv_pin has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (134244K) : passiv_sbump has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (134244K) : passiv_pillar has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (134372K) : passiv_pdl has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (134372K) : metal2_drw has 532 polygons
2026-08-20 16:59:37 +0000: Memory Usage (134372K) : metal2_filler has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (134500K) : metal2_slit has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (134500K) : metal2 has 532 polygons
2026-08-20 16:59:37 +0000: Memory Usage (134628K) : metal2_pin has 2 polygons
2026-08-20 16:59:37 +0000: Memory Usage (134628K) : metal2_mask has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (134628K) : metal2_nofill has 2 polygons
2026-08-20 16:59:37 +0000: Memory Usage (134628K) : metal2_text has 3 polygons
2026-08-20 16:59:37 +0000: Memory Usage (134628K) : metal2_OPC has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (134756K) : metal2_noqrc has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (134756K) : metal2_res has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (134756K) : metal2_iprobe has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (134756K) : metal2_diffprb has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (134884K) : baspoly_drw has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (134884K) : baspoly_pin has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (134884K) : psd_drw has 503 polygons
2026-08-20 16:59:37 +0000: Memory Usage (134884K) : nldb_drw has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (135012K) : digibnd_drw has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (135012K) : via1_drw has 6770 polygons
2026-08-20 16:59:37 +0000: Memory Usage (135012K) : backmetal1_drw has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (135140K) : backmetal1_pin has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (135140K) : backmetal1_mask has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (135140K) : backmetal1_filler has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (135140K) : backmetal1_nofill has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (135268K) : backmetal1_slit has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (135268K) : backmetal1_text has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (135268K) : backmetal1_OPC has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (135268K) : backmetal1_noqrc has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (135396K) : backmetal1_res has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (135396K) : backmetal1_iprobe has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (135396K) : backmetal1_diffprb has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (135396K) : backpassiv_drw has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (135524K) : res_drw has 2 polygons
2026-08-20 16:59:37 +0000: Memory Usage (135524K) : sram_drw has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (135524K) : trans_drw has 2 polygons
2026-08-20 16:59:37 +0000: Memory Usage (135524K) : ind_drw has 2 polygons
2026-08-20 16:59:37 +0000: Memory Usage (135652K) : ind_pin has 4 polygons
2026-08-20 16:59:37 +0000: Memory Usage (135652K) : ind_text has 4 polygons
2026-08-20 16:59:37 +0000: Memory Usage (135652K) : salblock_drw has 12 polygons
2026-08-20 16:59:37 +0000: Memory Usage (135652K) : via2_drw has 805 polygons
2026-08-20 16:59:37 +0000: Memory Usage (135780K) : metal3_drw has 49 polygons
2026-08-20 16:59:37 +0000: Memory Usage (135780K) : metal3_filler has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (135780K) : metal3_slit has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (135908K) : metal3 has 49 polygons
2026-08-20 16:59:37 +0000: Memory Usage (135908K) : metal3_pin has 2 polygons
2026-08-20 16:59:37 +0000: Memory Usage (135908K) : metal3_mask has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (135908K) : metal3_nofill has 2 polygons
2026-08-20 16:59:37 +0000: Memory Usage (135908K) : metal3_text has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (135908K) : metal3_OPC has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (135908K) : metal3_noqrc has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (135908K) : metal3_res has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (135908K) : metal3_iprobe has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (135908K) : metal3_diffprb has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (135908K) : nwell_drw has 4 polygons
2026-08-20 16:59:37 +0000: Memory Usage (135908K) : nwell_pin has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (135908K) : nwell_text has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (135908K) : nbulay_drw has 1 polygons
2026-08-20 16:59:37 +0000: Memory Usage (135908K) : nbulay_pin has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (135908K) : nbulay_block has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (136036K) : emwind_drw has 4 polygons
2026-08-20 16:59:37 +0000: Memory Usage (136036K) : emwind_OPC has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (136036K) : deepco_drw has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (136036K) : mim_drw has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (136036K) : edgeseal_drw has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (136164K) : substrate_drw has 500 polygons
2026-08-20 16:59:37 +0000: Memory Usage (136164K) : substrate_text has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (136164K) : dfpad_drw has 2 polygons
2026-08-20 16:59:37 +0000: Memory Usage (136164K) : dfpad_pillar has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (136164K) : dfpad_sbump has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (136164K) : thickgateox_drw has 1 polygons
2026-08-20 16:59:37 +0000: Memory Usage (136292K) : pldb_drw has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (136292K) : pwell_drw has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (136292K) : pwell_pin has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (136292K) : pwell_block has 2 polygons
2026-08-20 16:59:37 +0000: Memory Usage (136292K) : ic_drw has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (136292K) : via3_drw has 1014 polygons
2026-08-20 16:59:37 +0000: Memory Usage (136420K) : metal4_drw has 23 polygons
2026-08-20 16:59:37 +0000: Memory Usage (136420K) : metal4_filler has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (136420K) : metal4_slit has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (136420K) : metal4 has 23 polygons
2026-08-20 16:59:37 +0000: Memory Usage (136420K) : metal4_pin has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (136548K) : metal4_mask has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (136548K) : metal4_nofill has 2 polygons
2026-08-20 16:59:37 +0000: Memory Usage (136548K) : metal4_text has 3 polygons
2026-08-20 16:59:37 +0000: Memory Usage (136548K) : metal4_OPC has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (136548K) : metal4_noqrc has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (136548K) : metal4_res has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (136676K) : metal4_iprobe has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (136676K) : metal4_diffprb has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (136676K) : heattrans_drw has 123 polygons
2026-08-20 16:59:37 +0000: Memory Usage (136676K) : heatres_drw has 2 polygons
2026-08-20 16:59:37 +0000: Memory Usage (136676K) : fbe_drw has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (136676K) : empoly_drw has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (136676K) : digisub_drw has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (136804K) : text_drw has 639 polygons
2026-08-20 16:59:37 +0000: Memory Usage (136804K) : via4_drw has 1008 polygons
2026-08-20 16:59:37 +0000: Memory Usage (136804K) : metal5_drw has 28 polygons
2026-08-20 16:59:37 +0000: Memory Usage (136804K) : metal5_filler has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (136804K) : metal5_slit has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (136804K) : metal5 has 28 polygons
2026-08-20 16:59:37 +0000: Memory Usage (136932K) : metal5_pin has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (136932K) : metal5_mask has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (136932K) : metal5_nofill has 2 polygons
2026-08-20 16:59:37 +0000: Memory Usage (136932K) : metal5_text has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (136932K) : metal5_OPC has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (136932K) : metal5_noqrc has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (136932K) : metal5_res has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (137060K) : metal5_iprobe has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (137060K) : metal5_diffprb has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (137060K) : radhard_drw has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (137060K) : memcap_drw has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (137188K) : varicap_drw has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (137188K) : intbondvia_drw has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (137188K) : intbondmet_drw has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (137188K) : devbondvia_drw has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (137188K) : devbondmet_drw has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (137316K) : devtrench_drw has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (137316K) : redist_drw has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (137316K) : graphbot_drw has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (137316K) : graphtop_drw has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (137444K) : antvia1_drw has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (137444K) : antmetal2_drw has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (137444K) : graphcont_drw has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (137444K) : siwg_drw has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (137444K) : siwg_filler has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (137444K) : siwg_nofill has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (137572K) : sigrating_drw has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (137572K) : singrating_drw has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (137572K) : graphpas_drw has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (137572K) : emwind3_drw has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (137572K) : emwihv3_drw has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (137700K) : redbulay_drw has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (137700K) : smos_drw has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (137700K) : graphpad_drw has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (137700K) : polimide_drw has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (137700K) : polimide_pin has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (137828K) : recog_drw has 1 polygons
2026-08-20 16:59:37 +0000: Memory Usage (137828K) : recog_pin has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (137828K) : recog_esd has 1 polygons
2026-08-20 16:59:37 +0000: Memory Usage (137828K) : recog_diode has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (137828K) : recog_tsv has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (137828K) : recog_iprobe has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (137956K) : recog_diffprb has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (137956K) : recog_pillar has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (137956K) : recog_sbump has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (137956K) : recog_otp has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (138084K) : recog_pdiode has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (138084K) : recog_mom has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (138084K) : recog_momf has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (138084K) : recog_pcm has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (138084K) : colopen_drw has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (138212K) : graphmetal1_drw has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (138212K) : graphmetal1_filler has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (138212K) : graphmetal1_nofill has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (138212K) : graphmetal1_slit has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (138340K) : graphmetal1_OPC has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (138340K) : graphmet1l_drw has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (138340K) : graphmet1l_filler has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (138340K) : graphmet1l_nofill has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (138468K) : graphmet1l_slit has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (138468K) : graphmet1l_OPC has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (138468K) : extblock_drw has 6 polygons
2026-08-20 16:59:37 +0000: Memory Usage (138468K) : nldd_drw has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (138468K) : pldd_drw has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (138596K) : next_drw has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (138596K) : pext_drw has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (138596K) : nexthv_drw has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (138596K) : pexthv_drw has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (138596K) : graphgate_drw has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (138724K) : sinwg_drw has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (138724K) : sinwg_filler has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (138724K) : sinwg_nofill has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (138724K) : mempad_drw has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (138724K) : topvia1_drw has 477 polygons
2026-08-20 16:59:37 +0000: Memory Usage (138724K) : topmetal1_drw has 48 polygons
2026-08-20 16:59:37 +0000: Memory Usage (138852K) : topmetal1_filler has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (138852K) : topmetal1_slit has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (138852K) : topmetal1 has 48 polygons
2026-08-20 16:59:37 +0000: Memory Usage (138852K) : topmetal1_pin has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (138852K) : topmetal1_mask has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (138980K) : topmetal1_nofill has 2 polygons
2026-08-20 16:59:37 +0000: Memory Usage (138980K) : topmetal1_text has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (138980K) : topmetal1_noqrc has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (138980K) : topmetal1_res has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (138980K) : topmetal1_iprobe has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (139108K) : topmetal1_diffprb has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (139108K) : inldpwl_drw has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (139108K) : polyres_drw has 2 polygons
2026-08-20 16:59:37 +0000: Memory Usage (139108K) : polyres_pin has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (139236K) : vmim_drw has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (139236K) : nbulaycut_drw has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (139236K) : antmetal1_drw has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (139236K) : topvia2_drw has 231 polygons
2026-08-20 16:59:37 +0000: Memory Usage (139492K) : topmetal2_drw has 63 polygons
2026-08-20 16:59:37 +0000: Memory Usage (139492K) : topmetal2_filler has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (139620K) : topmetal2_slit has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (139620K) : topmetal2 has 63 polygons
2026-08-20 16:59:37 +0000: Memory Usage (139620K) : topmetal2_pin has 4 polygons
2026-08-20 16:59:37 +0000: Memory Usage (139620K) : topmetal2_mask has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (139748K) : topmetal2_nofill has 2 polygons
2026-08-20 16:59:37 +0000: Memory Usage (139748K) : topmetal2_text has 8 polygons
2026-08-20 16:59:37 +0000: Memory Usage (139748K) : topmetal2_noqrc has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (139876K) : topmetal2_res has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (139876K) : topmetal2_iprobe has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (139876K) : topmetal2_diffprb has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (139876K) : snsring_drw has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (140004K) : sensor_drw has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (140004K) : snsarms_drw has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (140004K) : snscmosvia_drw has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (140132K) : colwind_drw has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (140132K) : flm_drw has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (140132K) : hafniumox_drw has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (140260K) : memvia_drw has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (140260K) : thinfilmres_drw has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (140388K) : rfmem_drw has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (140388K) : norcx_drw has 2 polygons
2026-08-20 16:59:37 +0000: Memory Usage (140388K) : norcx_m2m3 has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (140388K) : norcx_m2m4 has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (140388K) : norcx_m2m5 has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (140388K) : norcx_m2tm1 has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (140388K) : norcx_m2tm2 has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (140388K) : norcx_m3m4 has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (140388K) : norcx_m3m5 has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (140388K) : norcx_m3tm1 has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (140388K) : norcx_m3tm2 has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (140388K) : norcx_m4m5 has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (140388K) : norcx_m4tm1 has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (140388K) : norcx_m4tm2 has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (140388K) : norcx_m5tm1 has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (140388K) : norcx_m5tm2 has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (140388K) : norcx_tm1tm2 has 0 polygons
2026-08-20 16:59:37 +0000: Memory Usage (140388K) : norcx_m1sub has 0 polygons
