$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/probe14/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/probe14/t.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/probe14/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction
2026-08-20 16:53:27 +0000: Memory Usage (130624K) : deep  mode is enabled.
2026-08-20 16:53:27 +0000: Memory Usage (130624K) : Applying implicit connections (case-sensitive, pattern supported) for nets: sub, sub!
2026-08-20 16:53:27 +0000: Memory Usage (131848K) : Netlist file: /workspace/layout/blocks/out/driver_stage/probe14/t.cdl
2026-08-20 16:53:27 +0000: Memory Usage (131848K) : LVS extracted netlist at: /workspace/layout/blocks/out/driver_stage/probe14/lvs/driver_dut_extracted.cir
2026-08-20 16:53:27 +0000: Memory Usage (131848K) : Applying SRAM integration support.
2026-08-20 16:53:27 +0000: Memory Usage (131848K) : Starting SG13G2 LVS runset
2026-08-20 16:53:27 +0000: Memory Usage (131848K) : Read in polygons from layers.
2026-08-20 16:53:27 +0000: Memory Usage (133000K) : activ_drw has 899 polygons
2026-08-20 16:53:27 +0000: Memory Usage (133000K) : activ_filler has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (133128K) : activ has 899 polygons
2026-08-20 16:53:27 +0000: Memory Usage (133220K) : activ_pin has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (133732K) : activ_mask has 4 polygons
2026-08-20 16:53:27 +0000: Memory Usage (133732K) : activ_nofill has 2 polygons
2026-08-20 16:53:27 +0000: Memory Usage (133732K) : activ_OPC has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (133732K) : activ_iOPC has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (133732K) : activ_noqrc has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (133732K) : biwind_drw has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (133732K) : biwind_OPC has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (133732K) : gatpoly_drw has 140 polygons
2026-08-20 16:53:27 +0000: Memory Usage (133732K) : gatpoly_filler has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (133732K) : gatpoly has 140 polygons
2026-08-20 16:53:27 +0000: Memory Usage (133732K) : gatpoly_pin has 119 polygons
2026-08-20 16:53:27 +0000: Memory Usage (133732K) : gatpoly_nofill has 2 polygons
2026-08-20 16:53:27 +0000: Memory Usage (133732K) : gatpoly_OPC has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (133732K) : gatpoly_iOPC has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (133732K) : gatpoly_noqrc has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (133732K) : cont_drw has 14577 polygons
2026-08-20 16:53:27 +0000: Memory Usage (133732K) : cont_OPC has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (133732K) : nsd_drw has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (133732K) : nsd_block has 4 polygons
2026-08-20 16:53:27 +0000: Memory Usage (133860K) : metal1_drw has 1558 polygons
2026-08-20 16:53:27 +0000: Memory Usage (133860K) : metal1_filler has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (133860K) : metal1_slit has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (134116K) : metal1 has 1558 polygons
2026-08-20 16:53:27 +0000: Memory Usage (134116K) : metal1_pin has 750 polygons
2026-08-20 16:53:27 +0000: Memory Usage (134244K) : metal1_mask has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (134244K) : metal1_nofill has 2 polygons
2026-08-20 16:53:27 +0000: Memory Usage (134500K) : metal1_text has 5 polygons
2026-08-20 16:53:27 +0000: Memory Usage (134500K) : metal1_OPC has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (134500K) : metal1_noqrc has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (134628K) : metal1_res has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (134628K) : metal1_iprobe has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (134628K) : metal1_diffprb has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (134756K) : passiv_drw has 2 polygons
2026-08-20 16:53:27 +0000: Memory Usage (134756K) : passiv_pin has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (134756K) : passiv_sbump has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (134756K) : passiv_pillar has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (134884K) : passiv_pdl has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (134884K) : metal2_drw has 560 polygons
2026-08-20 16:53:27 +0000: Memory Usage (134884K) : metal2_filler has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (134884K) : metal2_slit has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (135012K) : metal2 has 560 polygons
2026-08-20 16:53:27 +0000: Memory Usage (135012K) : metal2_pin has 10 polygons
2026-08-20 16:53:27 +0000: Memory Usage (135012K) : metal2_mask has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (135140K) : metal2_nofill has 2 polygons
2026-08-20 16:53:27 +0000: Memory Usage (135140K) : metal2_text has 3 polygons
2026-08-20 16:53:27 +0000: Memory Usage (135140K) : metal2_OPC has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (135140K) : metal2_noqrc has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (135140K) : metal2_res has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (135268K) : metal2_iprobe has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (135268K) : metal2_diffprb has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (135268K) : baspoly_drw has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (135396K) : baspoly_pin has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (135396K) : psd_drw has 515 polygons
2026-08-20 16:53:27 +0000: Memory Usage (135396K) : nldb_drw has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (135396K) : digibnd_drw has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (135524K) : via1_drw has 7650 polygons
2026-08-20 16:53:27 +0000: Memory Usage (135524K) : backmetal1_drw has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (135524K) : backmetal1_pin has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (135524K) : backmetal1_mask has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (135652K) : backmetal1_filler has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (135652K) : backmetal1_nofill has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (135652K) : backmetal1_slit has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (135652K) : backmetal1_text has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (135780K) : backmetal1_OPC has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (135780K) : backmetal1_noqrc has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (135780K) : backmetal1_res has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (135780K) : backmetal1_iprobe has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (135908K) : backmetal1_diffprb has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (135908K) : backpassiv_drw has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (135908K) : res_drw has 2 polygons
2026-08-20 16:53:27 +0000: Memory Usage (136036K) : sram_drw has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (136036K) : trans_drw has 2 polygons
2026-08-20 16:53:27 +0000: Memory Usage (136036K) : ind_drw has 2 polygons
2026-08-20 16:53:27 +0000: Memory Usage (136036K) : ind_pin has 4 polygons
2026-08-20 16:53:27 +0000: Memory Usage (136164K) : ind_text has 4 polygons
2026-08-20 16:53:27 +0000: Memory Usage (136164K) : salblock_drw has 12 polygons
2026-08-20 16:53:27 +0000: Memory Usage (136164K) : via2_drw has 821 polygons
2026-08-20 16:53:27 +0000: Memory Usage (136164K) : metal3_drw has 53 polygons
2026-08-20 16:53:27 +0000: Memory Usage (136164K) : metal3_filler has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (136164K) : metal3_slit has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (136164K) : metal3 has 53 polygons
2026-08-20 16:53:27 +0000: Memory Usage (136164K) : metal3_pin has 2 polygons
2026-08-20 16:53:27 +0000: Memory Usage (136164K) : metal3_mask has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (136164K) : metal3_nofill has 2 polygons
2026-08-20 16:53:27 +0000: Memory Usage (136164K) : metal3_text has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (136292K) : metal3_OPC has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (136292K) : metal3_noqrc has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (136292K) : metal3_res has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (136292K) : metal3_iprobe has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (136292K) : metal3_diffprb has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (136292K) : nwell_drw has 14 polygons
2026-08-20 16:53:27 +0000: Memory Usage (136420K) : nwell_pin has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (136420K) : nwell_text has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (136420K) : nbulay_drw has 1 polygons
2026-08-20 16:53:27 +0000: Memory Usage (136420K) : nbulay_pin has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (136420K) : nbulay_block has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (136420K) : emwind_drw has 4 polygons
2026-08-20 16:53:27 +0000: Memory Usage (136548K) : emwind_OPC has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (136548K) : deepco_drw has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (136548K) : mim_drw has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (136548K) : edgeseal_drw has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (136548K) : substrate_drw has 500 polygons
2026-08-20 16:53:27 +0000: Memory Usage (136548K) : substrate_text has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (136676K) : dfpad_drw has 2 polygons
2026-08-20 16:53:27 +0000: Memory Usage (136676K) : dfpad_pillar has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (136676K) : dfpad_sbump has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (136676K) : thickgateox_drw has 1 polygons
2026-08-20 16:53:27 +0000: Memory Usage (136676K) : pldb_drw has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (136804K) : pwell_drw has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (136804K) : pwell_pin has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (136804K) : pwell_block has 2 polygons
2026-08-20 16:53:27 +0000: Memory Usage (136804K) : ic_drw has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (136804K) : via3_drw has 1015 polygons
2026-08-20 16:53:27 +0000: Memory Usage (136932K) : metal4_drw has 24 polygons
2026-08-20 16:53:27 +0000: Memory Usage (136932K) : metal4_filler has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (136932K) : metal4_slit has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (136932K) : metal4 has 24 polygons
2026-08-20 16:53:27 +0000: Memory Usage (136932K) : metal4_pin has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (137060K) : metal4_mask has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (137060K) : metal4_nofill has 2 polygons
2026-08-20 16:53:27 +0000: Memory Usage (137060K) : metal4_text has 3 polygons
2026-08-20 16:53:27 +0000: Memory Usage (137060K) : metal4_OPC has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (137060K) : metal4_noqrc has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (137060K) : metal4_res has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (137188K) : metal4_iprobe has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (137188K) : metal4_diffprb has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (137188K) : heattrans_drw has 123 polygons
2026-08-20 16:53:27 +0000: Memory Usage (137188K) : heatres_drw has 2 polygons
2026-08-20 16:53:27 +0000: Memory Usage (137188K) : fbe_drw has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (137188K) : empoly_drw has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (137316K) : digisub_drw has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (137316K) : text_drw has 655 polygons
2026-08-20 16:53:27 +0000: Memory Usage (137316K) : via4_drw has 1009 polygons
2026-08-20 16:53:27 +0000: Memory Usage (137316K) : metal5_drw has 37 polygons
2026-08-20 16:53:27 +0000: Memory Usage (137316K) : metal5_filler has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (137316K) : metal5_slit has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (137444K) : metal5 has 37 polygons
2026-08-20 16:53:27 +0000: Memory Usage (137444K) : metal5_pin has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (137444K) : metal5_mask has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (137444K) : metal5_nofill has 2 polygons
2026-08-20 16:53:27 +0000: Memory Usage (137444K) : metal5_text has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (137572K) : metal5_OPC has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (137572K) : metal5_noqrc has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (137572K) : metal5_res has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (137572K) : metal5_iprobe has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (137700K) : metal5_diffprb has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (137700K) : radhard_drw has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (137700K) : memcap_drw has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (137700K) : varicap_drw has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (137700K) : intbondvia_drw has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (137828K) : intbondmet_drw has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (137828K) : devbondvia_drw has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (137828K) : devbondmet_drw has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (137828K) : devtrench_drw has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (137828K) : redist_drw has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (137956K) : graphbot_drw has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (137956K) : graphtop_drw has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (137956K) : antvia1_drw has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (137956K) : antmetal2_drw has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (137956K) : graphcont_drw has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (137956K) : siwg_drw has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (138084K) : siwg_filler has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (138084K) : siwg_nofill has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (138084K) : sigrating_drw has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (138084K) : singrating_drw has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (138084K) : graphpas_drw has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (138212K) : emwind3_drw has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (138212K) : emwihv3_drw has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (138212K) : redbulay_drw has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (138212K) : smos_drw has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (138340K) : graphpad_drw has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (138340K) : polimide_drw has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (138340K) : polimide_pin has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (138340K) : recog_drw has 1 polygons
2026-08-20 16:53:27 +0000: Memory Usage (138468K) : recog_pin has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (138468K) : recog_esd has 5 polygons
2026-08-20 16:53:27 +0000: Memory Usage (138468K) : recog_diode has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (138468K) : recog_tsv has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (138596K) : recog_iprobe has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (138596K) : recog_diffprb has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (138596K) : recog_pillar has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (138596K) : recog_sbump has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (138724K) : recog_otp has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (138724K) : recog_pdiode has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (138724K) : recog_mom has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (138724K) : recog_momf has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (138852K) : recog_pcm has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (138852K) : colopen_drw has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (138852K) : graphmetal1_drw has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (138852K) : graphmetal1_filler has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (138980K) : graphmetal1_nofill has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (138980K) : graphmetal1_slit has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (138980K) : graphmetal1_OPC has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (138980K) : graphmet1l_drw has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (138980K) : graphmet1l_filler has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (139108K) : graphmet1l_nofill has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (139108K) : graphmet1l_slit has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (139108K) : graphmet1l_OPC has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (139108K) : extblock_drw has 6 polygons
2026-08-20 16:53:27 +0000: Memory Usage (139108K) : nldd_drw has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (139108K) : pldd_drw has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (139236K) : next_drw has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (139236K) : pext_drw has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (139236K) : nexthv_drw has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (139236K) : pexthv_drw has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (139236K) : graphgate_drw has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (139364K) : sinwg_drw has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (139364K) : sinwg_filler has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (139364K) : sinwg_nofill has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (139364K) : mempad_drw has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (139364K) : topvia1_drw has 478 polygons
2026-08-20 16:53:27 +0000: Memory Usage (139492K) : topmetal1_drw has 49 polygons
2026-08-20 16:53:27 +0000: Memory Usage (139492K) : topmetal1_filler has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (139492K) : topmetal1_slit has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (139492K) : topmetal1 has 49 polygons
2026-08-20 16:53:27 +0000: Memory Usage (139620K) : topmetal1_pin has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (139620K) : topmetal1_mask has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (139620K) : topmetal1_nofill has 2 polygons
2026-08-20 16:53:27 +0000: Memory Usage (139620K) : topmetal1_text has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (139620K) : topmetal1_noqrc has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (139748K) : topmetal1_res has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (139748K) : topmetal1_iprobe has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (139748K) : topmetal1_diffprb has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (139748K) : inldpwl_drw has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (139876K) : polyres_drw has 2 polygons
2026-08-20 16:53:27 +0000: Memory Usage (139876K) : polyres_pin has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (140004K) : vmim_drw has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (140004K) : nbulaycut_drw has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (140004K) : antmetal1_drw has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (140132K) : topvia2_drw has 232 polygons
2026-08-20 16:53:27 +0000: Memory Usage (140260K) : topmetal2_drw has 64 polygons
2026-08-20 16:53:27 +0000: Memory Usage (140260K) : topmetal2_filler has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (140260K) : topmetal2_slit has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (140388K) : topmetal2 has 64 polygons
2026-08-20 16:53:27 +0000: Memory Usage (140388K) : topmetal2_pin has 4 polygons
2026-08-20 16:53:27 +0000: Memory Usage (140388K) : topmetal2_mask has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (140516K) : topmetal2_nofill has 2 polygons
2026-08-20 16:53:27 +0000: Memory Usage (140516K) : topmetal2_text has 8 polygons
2026-08-20 16:53:27 +0000: Memory Usage (140516K) : topmetal2_noqrc has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (140516K) : topmetal2_res has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (140644K) : topmetal2_iprobe has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (140644K) : topmetal2_diffprb has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (140772K) : snsring_drw has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (140772K) : sensor_drw has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (140772K) : snsarms_drw has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (140900K) : snscmosvia_drw has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (140900K) : colwind_drw has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (140900K) : flm_drw has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (140900K) : hafniumox_drw has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (140900K) : memvia_drw has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (140900K) : thinfilmres_drw has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (140900K) : rfmem_drw has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (140900K) : norcx_drw has 2 polygons
2026-08-20 16:53:27 +0000: Memory Usage (140900K) : norcx_m2m3 has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (140900K) : norcx_m2m4 has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (140900K) : norcx_m2m5 has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (140900K) : norcx_m2tm1 has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (140900K) : norcx_m2tm2 has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (140900K) : norcx_m3m4 has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (140900K) : norcx_m3m5 has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (140900K) : norcx_m3tm1 has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (140900K) : norcx_m3tm2 has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (140900K) : norcx_m4m5 has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (140900K) : norcx_m4tm1 has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (140900K) : norcx_m4tm2 has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (140900K) : norcx_m5tm1 has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (140900K) : norcx_m5tm2 has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (140900K) : norcx_tm1tm2 has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (140900K) : norcx_m1sub has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (140900K) : norcx_m2sub has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (140900K) : norcx_m3sub has 0 polygons
2026-08-20 16:53:27 +0000: Memory Usage (140900K) : norcx_m4sub has 0 polygons
