$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/bisect_extra10/both/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/bisect_extra10/both/x.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/bisect_extra10/both/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction
2026-08-20 17:11:30 +0000: Memory Usage (130080K) : Selected DISABLE_TAP_EXTRACTION option: true
2026-08-20 17:11:30 +0000: Memory Usage (130080K) : deep  mode is enabled.
2026-08-20 17:11:30 +0000: Memory Usage (130080K) : Applying implicit connections (case-sensitive, pattern supported) for nets: sub, sub!
2026-08-20 17:11:30 +0000: Memory Usage (131328K) : Netlist file: /workspace/layout/blocks/out/driver_stage/bisect_extra10/both/x.cdl
2026-08-20 17:11:30 +0000: Memory Usage (131328K) : LVS extracted netlist at: /workspace/layout/blocks/out/driver_stage/bisect_extra10/both/lvs/driver_dut_extracted.cir
2026-08-20 17:11:30 +0000: Memory Usage (131328K) : Applying SRAM integration support.
2026-08-20 17:11:30 +0000: Memory Usage (131328K) : Starting SG13G2 LVS runset
2026-08-20 17:11:30 +0000: Memory Usage (131328K) : Read in polygons from layers.
2026-08-20 17:11:30 +0000: Memory Usage (132504K) : activ_drw has 899 polygons
2026-08-20 17:11:30 +0000: Memory Usage (132504K) : activ_filler has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (132504K) : activ has 899 polygons
2026-08-20 17:11:30 +0000: Memory Usage (132504K) : activ_pin has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (132560K) : activ_mask has 4 polygons
2026-08-20 17:11:30 +0000: Memory Usage (133072K) : activ_nofill has 2 polygons
2026-08-20 17:11:30 +0000: Memory Usage (133072K) : activ_OPC has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (133072K) : activ_iOPC has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (133072K) : activ_noqrc has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (133072K) : biwind_drw has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (133072K) : biwind_OPC has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (133072K) : gatpoly_drw has 140 polygons
2026-08-20 17:11:30 +0000: Memory Usage (133072K) : gatpoly_filler has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (133072K) : gatpoly has 140 polygons
2026-08-20 17:11:30 +0000: Memory Usage (133072K) : gatpoly_pin has 119 polygons
2026-08-20 17:11:30 +0000: Memory Usage (133072K) : gatpoly_nofill has 2 polygons
2026-08-20 17:11:30 +0000: Memory Usage (133072K) : gatpoly_OPC has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (133072K) : gatpoly_iOPC has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (133072K) : gatpoly_noqrc has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (133200K) : cont_drw has 14577 polygons
2026-08-20 17:11:30 +0000: Memory Usage (133200K) : cont_OPC has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (133200K) : nsd_drw has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (133200K) : nsd_block has 4 polygons
2026-08-20 17:11:30 +0000: Memory Usage (133200K) : metal1_drw has 1550 polygons
2026-08-20 17:11:30 +0000: Memory Usage (133328K) : metal1_filler has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (133328K) : metal1_slit has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (133456K) : metal1 has 1550 polygons
2026-08-20 17:11:30 +0000: Memory Usage (133456K) : metal1_pin has 750 polygons
2026-08-20 17:11:30 +0000: Memory Usage (133584K) : metal1_mask has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (133584K) : metal1_nofill has 2 polygons
2026-08-20 17:11:30 +0000: Memory Usage (133840K) : metal1_text has 5 polygons
2026-08-20 17:11:30 +0000: Memory Usage (133968K) : metal1_OPC has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (133968K) : metal1_noqrc has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (133968K) : metal1_res has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (134096K) : metal1_iprobe has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (134096K) : metal1_diffprb has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (134096K) : passiv_drw has 2 polygons
2026-08-20 17:11:30 +0000: Memory Usage (134096K) : passiv_pin has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (134224K) : passiv_sbump has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (134224K) : passiv_pillar has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (134224K) : passiv_pdl has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (134224K) : metal2_drw has 541 polygons
2026-08-20 17:11:30 +0000: Memory Usage (134352K) : metal2_filler has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (134352K) : metal2_slit has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (134352K) : metal2 has 541 polygons
2026-08-20 17:11:30 +0000: Memory Usage (134480K) : metal2_pin has 10 polygons
2026-08-20 17:11:30 +0000: Memory Usage (134480K) : metal2_mask has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (134480K) : metal2_nofill has 2 polygons
2026-08-20 17:11:30 +0000: Memory Usage (134480K) : metal2_text has 3 polygons
2026-08-20 17:11:30 +0000: Memory Usage (134608K) : metal2_OPC has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (134608K) : metal2_noqrc has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (134608K) : metal2_res has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (134608K) : metal2_iprobe has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (134608K) : metal2_diffprb has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (134736K) : baspoly_drw has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (134736K) : baspoly_pin has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (134736K) : psd_drw has 515 polygons
2026-08-20 17:11:30 +0000: Memory Usage (134864K) : nldb_drw has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (134864K) : digibnd_drw has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (134864K) : via1_drw has 7634 polygons
2026-08-20 17:11:30 +0000: Memory Usage (134864K) : backmetal1_drw has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (134992K) : backmetal1_pin has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (134992K) : backmetal1_mask has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (134992K) : backmetal1_filler has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (134992K) : backmetal1_nofill has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (135120K) : backmetal1_slit has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (135120K) : backmetal1_text has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (135120K) : backmetal1_OPC has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (135120K) : backmetal1_noqrc has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (135248K) : backmetal1_res has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (135248K) : backmetal1_iprobe has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (135248K) : backmetal1_diffprb has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (135376K) : backpassiv_drw has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (135376K) : res_drw has 2 polygons
2026-08-20 17:11:30 +0000: Memory Usage (135376K) : sram_drw has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (135376K) : trans_drw has 2 polygons
2026-08-20 17:11:30 +0000: Memory Usage (135504K) : ind_drw has 2 polygons
2026-08-20 17:11:30 +0000: Memory Usage (135504K) : ind_pin has 4 polygons
2026-08-20 17:11:30 +0000: Memory Usage (135504K) : ind_text has 4 polygons
2026-08-20 17:11:30 +0000: Memory Usage (135504K) : salblock_drw has 12 polygons
2026-08-20 17:11:30 +0000: Memory Usage (135504K) : via2_drw has 804 polygons
2026-08-20 17:11:30 +0000: Memory Usage (135504K) : metal3_drw has 44 polygons
2026-08-20 17:11:30 +0000: Memory Usage (135632K) : metal3_filler has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (135632K) : metal3_slit has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (135632K) : metal3 has 44 polygons
2026-08-20 17:11:30 +0000: Memory Usage (135632K) : metal3_pin has 2 polygons
2026-08-20 17:11:30 +0000: Memory Usage (135632K) : metal3_mask has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (135632K) : metal3_nofill has 2 polygons
2026-08-20 17:11:30 +0000: Memory Usage (135760K) : metal3_text has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (135760K) : metal3_OPC has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (135760K) : metal3_noqrc has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (135760K) : metal3_res has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (135760K) : metal3_iprobe has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (135760K) : metal3_diffprb has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (135888K) : nwell_drw has 14 polygons
2026-08-20 17:11:30 +0000: Memory Usage (135888K) : nwell_pin has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (135888K) : nwell_text has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (135888K) : nbulay_drw has 1 polygons
2026-08-20 17:11:30 +0000: Memory Usage (135888K) : nbulay_pin has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (136016K) : nbulay_block has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (136016K) : emwind_drw has 4 polygons
2026-08-20 17:11:30 +0000: Memory Usage (136016K) : emwind_OPC has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (136016K) : deepco_drw has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (136016K) : mim_drw has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (136016K) : edgeseal_drw has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (136144K) : substrate_drw has 500 polygons
2026-08-20 17:11:30 +0000: Memory Usage (136144K) : substrate_text has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (136144K) : dfpad_drw has 2 polygons
2026-08-20 17:11:30 +0000: Memory Usage (136144K) : dfpad_pillar has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (136144K) : dfpad_sbump has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (136144K) : thickgateox_drw has 1 polygons
2026-08-20 17:11:30 +0000: Memory Usage (136144K) : pldb_drw has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (136272K) : pwell_drw has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (136272K) : pwell_pin has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (136272K) : pwell_block has 2 polygons
2026-08-20 17:11:30 +0000: Memory Usage (136272K) : ic_drw has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (136400K) : via3_drw has 1017 polygons
2026-08-20 17:11:30 +0000: Memory Usage (136400K) : metal4_drw has 23 polygons
2026-08-20 17:11:30 +0000: Memory Usage (136400K) : metal4_filler has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (136400K) : metal4_slit has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (136400K) : metal4 has 23 polygons
2026-08-20 17:11:30 +0000: Memory Usage (136528K) : metal4_pin has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (136528K) : metal4_mask has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (136528K) : metal4_nofill has 2 polygons
2026-08-20 17:11:30 +0000: Memory Usage (136528K) : metal4_text has 3 polygons
2026-08-20 17:11:30 +0000: Memory Usage (136528K) : metal4_OPC has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (136528K) : metal4_noqrc has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (136528K) : metal4_res has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (136656K) : metal4_iprobe has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (136656K) : metal4_diffprb has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (136656K) : heattrans_drw has 123 polygons
2026-08-20 17:11:30 +0000: Memory Usage (136656K) : heatres_drw has 2 polygons
2026-08-20 17:11:30 +0000: Memory Usage (136656K) : fbe_drw has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (136784K) : empoly_drw has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (136784K) : digisub_drw has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (136784K) : text_drw has 655 polygons
2026-08-20 17:11:30 +0000: Memory Usage (136784K) : via4_drw has 1011 polygons
2026-08-20 17:11:30 +0000: Memory Usage (136784K) : metal5_drw has 35 polygons
2026-08-20 17:11:30 +0000: Memory Usage (136784K) : metal5_filler has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (136912K) : metal5_slit has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (136912K) : metal5 has 35 polygons
2026-08-20 17:11:30 +0000: Memory Usage (136912K) : metal5_pin has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (136912K) : metal5_mask has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (136912K) : metal5_nofill has 2 polygons
2026-08-20 17:11:30 +0000: Memory Usage (136912K) : metal5_text has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (137040K) : metal5_OPC has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (137040K) : metal5_noqrc has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (137040K) : metal5_res has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (137040K) : metal5_iprobe has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (137040K) : metal5_diffprb has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (137040K) : radhard_drw has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (137168K) : memcap_drw has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (137168K) : varicap_drw has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (137168K) : intbondvia_drw has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (137168K) : intbondmet_drw has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (137168K) : devbondvia_drw has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (137296K) : devbondmet_drw has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (137296K) : devtrench_drw has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (137296K) : redist_drw has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (137296K) : graphbot_drw has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (137296K) : graphtop_drw has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (137424K) : antvia1_drw has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (137424K) : antmetal2_drw has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (137424K) : graphcont_drw has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (137424K) : siwg_drw has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (137424K) : siwg_filler has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (137552K) : siwg_nofill has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (137552K) : sigrating_drw has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (137552K) : singrating_drw has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (137552K) : graphpas_drw has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (137552K) : emwind3_drw has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (137552K) : emwihv3_drw has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (137680K) : redbulay_drw has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (137680K) : smos_drw has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (137680K) : graphpad_drw has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (137680K) : polimide_drw has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (137680K) : polimide_pin has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (137808K) : recog_drw has 1 polygons
2026-08-20 17:11:30 +0000: Memory Usage (137808K) : recog_pin has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (137808K) : recog_esd has 5 polygons
2026-08-20 17:11:30 +0000: Memory Usage (137808K) : recog_diode has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (137808K) : recog_tsv has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (137808K) : recog_iprobe has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (137936K) : recog_diffprb has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (137936K) : recog_pillar has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (137936K) : recog_sbump has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (137936K) : recog_otp has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (137936K) : recog_pdiode has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (138064K) : recog_mom has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (138064K) : recog_momf has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (138064K) : recog_pcm has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (138064K) : colopen_drw has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (138192K) : graphmetal1_drw has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (138192K) : graphmetal1_filler has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (138192K) : graphmetal1_nofill has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (138192K) : graphmetal1_slit has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (138320K) : graphmetal1_OPC has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (138320K) : graphmet1l_drw has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (138320K) : graphmet1l_filler has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (138320K) : graphmet1l_nofill has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (138448K) : graphmet1l_slit has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (138448K) : graphmet1l_OPC has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (138448K) : extblock_drw has 6 polygons
2026-08-20 17:11:30 +0000: Memory Usage (138448K) : nldd_drw has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (138576K) : pldd_drw has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (138576K) : next_drw has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (138576K) : pext_drw has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (138576K) : nexthv_drw has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (138704K) : pexthv_drw has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (138704K) : graphgate_drw has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (138704K) : sinwg_drw has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (138704K) : sinwg_filler has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (138832K) : sinwg_nofill has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (138832K) : mempad_drw has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (138832K) : topvia1_drw has 477 polygons
2026-08-20 17:11:30 +0000: Memory Usage (138960K) : topmetal1_drw has 48 polygons
2026-08-20 17:11:30 +0000: Memory Usage (138960K) : topmetal1_filler has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (138960K) : topmetal1_slit has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (138960K) : topmetal1 has 48 polygons
2026-08-20 17:11:30 +0000: Memory Usage (139088K) : topmetal1_pin has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (139088K) : topmetal1_mask has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (139088K) : topmetal1_nofill has 2 polygons
2026-08-20 17:11:30 +0000: Memory Usage (139088K) : topmetal1_text has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (139216K) : topmetal1_noqrc has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (139216K) : topmetal1_res has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (139216K) : topmetal1_iprobe has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (139344K) : topmetal1_diffprb has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (139344K) : inldpwl_drw has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (139344K) : polyres_drw has 2 polygons
2026-08-20 17:11:30 +0000: Memory Usage (139472K) : polyres_pin has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (139472K) : vmim_drw has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (139472K) : nbulaycut_drw has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (139600K) : antmetal1_drw has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (139600K) : topvia2_drw has 231 polygons
2026-08-20 17:11:30 +0000: Memory Usage (139600K) : topmetal2_drw has 63 polygons
2026-08-20 17:11:30 +0000: Memory Usage (139600K) : topmetal2_filler has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (139728K) : topmetal2_slit has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (139728K) : topmetal2 has 63 polygons
2026-08-20 17:11:30 +0000: Memory Usage (139728K) : topmetal2_pin has 4 polygons
2026-08-20 17:11:30 +0000: Memory Usage (139856K) : topmetal2_mask has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (139856K) : topmetal2_nofill has 2 polygons
2026-08-20 17:11:30 +0000: Memory Usage (139856K) : topmetal2_text has 8 polygons
2026-08-20 17:11:30 +0000: Memory Usage (139984K) : topmetal2_noqrc has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (139984K) : topmetal2_res has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (140112K) : topmetal2_iprobe has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (140112K) : topmetal2_diffprb has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (140112K) : snsring_drw has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (140240K) : sensor_drw has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (140240K) : snsarms_drw has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (140240K) : snscmosvia_drw has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (140240K) : colwind_drw has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (140240K) : flm_drw has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (140240K) : hafniumox_drw has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (140240K) : memvia_drw has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (140240K) : thinfilmres_drw has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (140240K) : rfmem_drw has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (140240K) : norcx_drw has 2 polygons
2026-08-20 17:11:30 +0000: Memory Usage (140240K) : norcx_m2m3 has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (140240K) : norcx_m2m4 has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (140240K) : norcx_m2m5 has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (140240K) : norcx_m2tm1 has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (140240K) : norcx_m2tm2 has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (140240K) : norcx_m3m4 has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (140240K) : norcx_m3m5 has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (140240K) : norcx_m3tm1 has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (140240K) : norcx_m3tm2 has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (140240K) : norcx_m4m5 has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (140240K) : norcx_m4tm1 has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (140240K) : norcx_m4tm2 has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (140240K) : norcx_m5tm1 has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (140240K) : norcx_m5tm2 has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (140240K) : norcx_tm1tm2 has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (140240K) : norcx_m1sub has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (140240K) : norcx_m2sub has 0 polygons
2026-08-20 17:11:30 +0000: Memory Usage (140240K) : norcx_m3sub has 0 polygons
