$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/check4/full_no_feed/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/check4/full_no_feed/x.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/check4/full_no_feed/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction
2026-08-20 17:32:29 +0000: Memory Usage (130216K) : Selected DISABLE_TAP_EXTRACTION option: true
2026-08-20 17:32:29 +0000: Memory Usage (130216K) : deep  mode is enabled.
2026-08-20 17:32:29 +0000: Memory Usage (130216K) : Applying implicit connections (case-sensitive, pattern supported) for nets: sub, sub!
2026-08-20 17:32:29 +0000: Memory Usage (131460K) : Netlist file: /workspace/layout/blocks/out/driver_stage/check4/full_no_feed/x.cdl
2026-08-20 17:32:29 +0000: Memory Usage (131460K) : LVS extracted netlist at: /workspace/layout/blocks/out/driver_stage/check4/full_no_feed/lvs/driver_dut_extracted.cir
2026-08-20 17:32:29 +0000: Memory Usage (131460K) : Applying SRAM integration support.
2026-08-20 17:32:29 +0000: Memory Usage (131460K) : Starting SG13G2 LVS runset
2026-08-20 17:32:29 +0000: Memory Usage (131460K) : Read in polygons from layers.
2026-08-20 17:32:29 +0000: Memory Usage (132504K) : activ_drw has 899 polygons
2026-08-20 17:32:29 +0000: Memory Usage (132504K) : activ_filler has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (132632K) : activ has 899 polygons
2026-08-20 17:32:29 +0000: Memory Usage (132724K) : activ_pin has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (133236K) : activ_mask has 4 polygons
2026-08-20 17:32:29 +0000: Memory Usage (133236K) : activ_nofill has 2 polygons
2026-08-20 17:32:29 +0000: Memory Usage (133236K) : activ_OPC has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (133236K) : activ_iOPC has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (133236K) : activ_noqrc has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (133236K) : biwind_drw has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (133236K) : biwind_OPC has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (133236K) : gatpoly_drw has 140 polygons
2026-08-20 17:32:29 +0000: Memory Usage (133236K) : gatpoly_filler has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (133236K) : gatpoly has 140 polygons
2026-08-20 17:32:29 +0000: Memory Usage (133236K) : gatpoly_pin has 119 polygons
2026-08-20 17:32:29 +0000: Memory Usage (133236K) : gatpoly_nofill has 2 polygons
2026-08-20 17:32:29 +0000: Memory Usage (133236K) : gatpoly_OPC has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (133236K) : gatpoly_iOPC has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (133236K) : gatpoly_noqrc has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (133364K) : cont_drw has 14577 polygons
2026-08-20 17:32:29 +0000: Memory Usage (133364K) : cont_OPC has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (133364K) : nsd_drw has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (133492K) : nsd_block has 4 polygons
2026-08-20 17:32:29 +0000: Memory Usage (133492K) : metal1_drw has 1566 polygons
2026-08-20 17:32:29 +0000: Memory Usage (133492K) : metal1_filler has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (133620K) : metal1_slit has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (133620K) : metal1 has 1566 polygons
2026-08-20 17:32:29 +0000: Memory Usage (133748K) : metal1_pin has 750 polygons
2026-08-20 17:32:29 +0000: Memory Usage (133748K) : metal1_mask has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (133876K) : metal1_nofill has 2 polygons
2026-08-20 17:32:29 +0000: Memory Usage (134132K) : metal1_text has 5 polygons
2026-08-20 17:32:29 +0000: Memory Usage (134132K) : metal1_OPC has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (134260K) : metal1_noqrc has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (134260K) : metal1_res has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (134260K) : metal1_iprobe has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (134388K) : metal1_diffprb has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (134388K) : passiv_drw has 2 polygons
2026-08-20 17:32:29 +0000: Memory Usage (134388K) : passiv_pin has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (134516K) : passiv_sbump has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (134516K) : passiv_pillar has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (134516K) : passiv_pdl has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (134644K) : metal2_drw has 579 polygons
2026-08-20 17:32:29 +0000: Memory Usage (134644K) : metal2_filler has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (134644K) : metal2_slit has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (134644K) : metal2 has 579 polygons
2026-08-20 17:32:29 +0000: Memory Usage (134772K) : metal2_pin has 10 polygons
2026-08-20 17:32:29 +0000: Memory Usage (134772K) : metal2_mask has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (134772K) : metal2_nofill has 2 polygons
2026-08-20 17:32:29 +0000: Memory Usage (134772K) : metal2_text has 3 polygons
2026-08-20 17:32:29 +0000: Memory Usage (134900K) : metal2_OPC has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (134900K) : metal2_noqrc has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (134900K) : metal2_res has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (134900K) : metal2_iprobe has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (135028K) : metal2_diffprb has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (135028K) : baspoly_drw has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (135028K) : baspoly_pin has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (135028K) : psd_drw has 515 polygons
2026-08-20 17:32:29 +0000: Memory Usage (135156K) : nldb_drw has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (135156K) : digibnd_drw has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (135156K) : via1_drw has 7666 polygons
2026-08-20 17:32:29 +0000: Memory Usage (135284K) : backmetal1_drw has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (135284K) : backmetal1_pin has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (135284K) : backmetal1_mask has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (135284K) : backmetal1_filler has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (135412K) : backmetal1_nofill has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (135412K) : backmetal1_slit has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (135412K) : backmetal1_text has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (135412K) : backmetal1_OPC has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (135412K) : backmetal1_noqrc has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (135540K) : backmetal1_res has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (135540K) : backmetal1_iprobe has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (135540K) : backmetal1_diffprb has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (135668K) : backpassiv_drw has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (135668K) : res_drw has 2 polygons
2026-08-20 17:32:29 +0000: Memory Usage (135668K) : sram_drw has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (135668K) : trans_drw has 2 polygons
2026-08-20 17:32:29 +0000: Memory Usage (135796K) : ind_drw has 2 polygons
2026-08-20 17:32:29 +0000: Memory Usage (135796K) : ind_pin has 4 polygons
2026-08-20 17:32:29 +0000: Memory Usage (135796K) : ind_text has 4 polygons
2026-08-20 17:32:29 +0000: Memory Usage (135796K) : salblock_drw has 12 polygons
2026-08-20 17:32:29 +0000: Memory Usage (135924K) : via2_drw has 840 polygons
2026-08-20 17:32:29 +0000: Memory Usage (135924K) : metal3_drw has 70 polygons
2026-08-20 17:32:29 +0000: Memory Usage (135924K) : metal3_filler has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (136052K) : metal3_slit has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (136052K) : metal3 has 70 polygons
2026-08-20 17:32:29 +0000: Memory Usage (136052K) : metal3_pin has 2 polygons
2026-08-20 17:32:29 +0000: Memory Usage (136052K) : metal3_mask has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (136052K) : metal3_nofill has 2 polygons
2026-08-20 17:32:29 +0000: Memory Usage (136052K) : metal3_text has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (136052K) : metal3_OPC has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (136052K) : metal3_noqrc has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (136052K) : metal3_res has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (136052K) : metal3_iprobe has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (136052K) : metal3_diffprb has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (136052K) : nwell_drw has 14 polygons
2026-08-20 17:32:29 +0000: Memory Usage (136052K) : nwell_pin has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (136052K) : nwell_text has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (136052K) : nbulay_drw has 1 polygons
2026-08-20 17:32:29 +0000: Memory Usage (136180K) : nbulay_pin has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (136180K) : nbulay_block has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (136180K) : emwind_drw has 4 polygons
2026-08-20 17:32:29 +0000: Memory Usage (136180K) : emwind_OPC has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (136180K) : deepco_drw has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (136180K) : mim_drw has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (136308K) : edgeseal_drw has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (136308K) : substrate_drw has 500 polygons
2026-08-20 17:32:29 +0000: Memory Usage (136308K) : substrate_text has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (136308K) : dfpad_drw has 2 polygons
2026-08-20 17:32:29 +0000: Memory Usage (136308K) : dfpad_pillar has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (136436K) : dfpad_sbump has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (136436K) : thickgateox_drw has 1 polygons
2026-08-20 17:32:29 +0000: Memory Usage (136436K) : pldb_drw has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (136436K) : pwell_drw has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (136436K) : pwell_pin has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (136436K) : pwell_block has 2 polygons
2026-08-20 17:32:29 +0000: Memory Usage (136564K) : ic_drw has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (136564K) : via3_drw has 1021 polygons
2026-08-20 17:32:29 +0000: Memory Usage (136564K) : metal4_drw has 27 polygons
2026-08-20 17:32:29 +0000: Memory Usage (136564K) : metal4_filler has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (136564K) : metal4_slit has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (136564K) : metal4 has 27 polygons
2026-08-20 17:32:29 +0000: Memory Usage (136692K) : metal4_pin has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (136692K) : metal4_mask has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (136692K) : metal4_nofill has 2 polygons
2026-08-20 17:32:29 +0000: Memory Usage (136692K) : metal4_text has 3 polygons
2026-08-20 17:32:29 +0000: Memory Usage (136692K) : metal4_OPC has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (136692K) : metal4_noqrc has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (136820K) : metal4_res has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (136820K) : metal4_iprobe has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (136820K) : metal4_diffprb has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (136820K) : heattrans_drw has 123 polygons
2026-08-20 17:32:29 +0000: Memory Usage (136820K) : heatres_drw has 2 polygons
2026-08-20 17:32:29 +0000: Memory Usage (136820K) : fbe_drw has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (136820K) : empoly_drw has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (136948K) : digisub_drw has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (136948K) : text_drw has 655 polygons
2026-08-20 17:32:29 +0000: Memory Usage (136948K) : via4_drw has 1015 polygons
2026-08-20 17:32:29 +0000: Memory Usage (136948K) : metal5_drw has 36 polygons
2026-08-20 17:32:29 +0000: Memory Usage (136948K) : metal5_filler has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (136948K) : metal5_slit has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (137076K) : metal5 has 36 polygons
2026-08-20 17:32:29 +0000: Memory Usage (137076K) : metal5_pin has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (137076K) : metal5_mask has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (137076K) : metal5_nofill has 2 polygons
2026-08-20 17:32:29 +0000: Memory Usage (137076K) : metal5_text has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (137076K) : metal5_OPC has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (137204K) : metal5_noqrc has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (137204K) : metal5_res has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (137204K) : metal5_iprobe has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (137204K) : metal5_diffprb has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (137204K) : radhard_drw has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (137332K) : memcap_drw has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (137332K) : varicap_drw has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (137332K) : intbondvia_drw has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (137332K) : intbondmet_drw has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (137332K) : devbondvia_drw has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (137460K) : devbondmet_drw has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (137460K) : devtrench_drw has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (137460K) : redist_drw has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (137460K) : graphbot_drw has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (137588K) : graphtop_drw has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (137588K) : antvia1_drw has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (137588K) : antmetal2_drw has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (137588K) : graphcont_drw has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (137588K) : siwg_drw has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (137588K) : siwg_filler has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (137716K) : siwg_nofill has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (137716K) : sigrating_drw has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (137716K) : singrating_drw has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (137716K) : graphpas_drw has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (137716K) : emwind3_drw has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (137844K) : emwihv3_drw has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (137844K) : redbulay_drw has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (137844K) : smos_drw has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (137844K) : graphpad_drw has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (137844K) : polimide_drw has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (137844K) : polimide_pin has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (137972K) : recog_drw has 1 polygons
2026-08-20 17:32:29 +0000: Memory Usage (137972K) : recog_pin has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (137972K) : recog_esd has 5 polygons
2026-08-20 17:32:29 +0000: Memory Usage (137972K) : recog_diode has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (138100K) : recog_tsv has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (138100K) : recog_iprobe has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (138100K) : recog_diffprb has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (138100K) : recog_pillar has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (138228K) : recog_sbump has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (138228K) : recog_otp has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (138228K) : recog_pdiode has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (138228K) : recog_mom has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (138356K) : recog_momf has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (138356K) : recog_pcm has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (138356K) : colopen_drw has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (138356K) : graphmetal1_drw has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (138484K) : graphmetal1_filler has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (138484K) : graphmetal1_nofill has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (138484K) : graphmetal1_slit has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (138484K) : graphmetal1_OPC has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (138612K) : graphmet1l_drw has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (138612K) : graphmet1l_filler has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (138612K) : graphmet1l_nofill has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (138740K) : graphmet1l_slit has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (138740K) : graphmet1l_OPC has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (138740K) : extblock_drw has 6 polygons
2026-08-20 17:32:29 +0000: Memory Usage (138740K) : nldd_drw has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (138740K) : pldd_drw has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (138740K) : next_drw has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (138868K) : pext_drw has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (138868K) : nexthv_drw has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (138868K) : pexthv_drw has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (138868K) : graphgate_drw has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (138868K) : sinwg_drw has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (138996K) : sinwg_filler has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (138996K) : sinwg_nofill has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (138996K) : mempad_drw has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (138996K) : topvia1_drw has 481 polygons
2026-08-20 17:32:29 +0000: Memory Usage (138996K) : topmetal1_drw has 52 polygons
2026-08-20 17:32:29 +0000: Memory Usage (138996K) : topmetal1_filler has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (139124K) : topmetal1_slit has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (139124K) : topmetal1 has 52 polygons
2026-08-20 17:32:29 +0000: Memory Usage (139124K) : topmetal1_pin has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (139124K) : topmetal1_mask has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (139252K) : topmetal1_nofill has 2 polygons
2026-08-20 17:32:29 +0000: Memory Usage (139252K) : topmetal1_text has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (139252K) : topmetal1_noqrc has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (139252K) : topmetal1_res has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (139252K) : topmetal1_iprobe has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (139380K) : topmetal1_diffprb has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (139380K) : inldpwl_drw has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (139380K) : polyres_drw has 2 polygons
2026-08-20 17:32:29 +0000: Memory Usage (139380K) : polyres_pin has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (139508K) : vmim_drw has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (139508K) : nbulaycut_drw has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (139508K) : antmetal1_drw has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (139636K) : topvia2_drw has 235 polygons
2026-08-20 17:32:29 +0000: Memory Usage (139636K) : topmetal2_drw has 68 polygons
2026-08-20 17:32:29 +0000: Memory Usage (139636K) : topmetal2_filler has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (139764K) : topmetal2_slit has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (139764K) : topmetal2 has 68 polygons
2026-08-20 17:32:29 +0000: Memory Usage (139764K) : topmetal2_pin has 4 polygons
2026-08-20 17:32:29 +0000: Memory Usage (139892K) : topmetal2_mask has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (139892K) : topmetal2_nofill has 2 polygons
2026-08-20 17:32:29 +0000: Memory Usage (139892K) : topmetal2_text has 8 polygons
2026-08-20 17:32:29 +0000: Memory Usage (139892K) : topmetal2_noqrc has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (140020K) : topmetal2_res has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (140020K) : topmetal2_iprobe has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (140020K) : topmetal2_diffprb has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (140020K) : snsring_drw has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (140148K) : sensor_drw has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (140148K) : snsarms_drw has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (140148K) : snscmosvia_drw has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (140276K) : colwind_drw has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (140276K) : flm_drw has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (140404K) : hafniumox_drw has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (140404K) : memvia_drw has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (140404K) : thinfilmres_drw has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (140404K) : rfmem_drw has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (140404K) : norcx_drw has 2 polygons
2026-08-20 17:32:29 +0000: Memory Usage (140404K) : norcx_m2m3 has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (140404K) : norcx_m2m4 has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (140404K) : norcx_m2m5 has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (140404K) : norcx_m2tm1 has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (140404K) : norcx_m2tm2 has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (140404K) : norcx_m3m4 has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (140404K) : norcx_m3m5 has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (140404K) : norcx_m3tm1 has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (140404K) : norcx_m3tm2 has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (140404K) : norcx_m4m5 has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (140404K) : norcx_m4tm1 has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (140404K) : norcx_m4tm2 has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (140404K) : norcx_m5tm1 has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (140404K) : norcx_m5tm2 has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (140404K) : norcx_tm1tm2 has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (140404K) : norcx_m1sub has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (140404K) : norcx_m2sub has 0 polygons
2026-08-20 17:32:29 +0000: Memory Usage (140404K) : norcx_m3sub has 0 polygons
