$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/bisect_extra5/no_esd/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/bisect_extra5/no_esd/driver_dut.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/bisect_extra5/no_esd/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction
2026-08-20 17:06:54 +0000: Memory Usage (130156K) : Selected DISABLE_TAP_EXTRACTION option: true
2026-08-20 17:06:54 +0000: Memory Usage (130156K) : deep  mode is enabled.
2026-08-20 17:06:54 +0000: Memory Usage (130156K) : Applying implicit connections (case-sensitive, pattern supported) for nets: sub, sub!
2026-08-20 17:06:54 +0000: Memory Usage (131400K) : Netlist file: /workspace/layout/blocks/out/driver_stage/bisect_extra5/no_esd/driver_dut.cdl
2026-08-20 17:06:54 +0000: Memory Usage (131400K) : LVS extracted netlist at: /workspace/layout/blocks/out/driver_stage/bisect_extra5/no_esd/lvs/driver_dut_extracted.cir
2026-08-20 17:06:54 +0000: Memory Usage (131400K) : Applying SRAM integration support.
2026-08-20 17:06:54 +0000: Memory Usage (131400K) : Starting SG13G2 LVS runset
2026-08-20 17:06:54 +0000: Memory Usage (131400K) : Read in polygons from layers.
2026-08-20 17:06:54 +0000: Memory Usage (132444K) : activ_drw has 875 polygons
2026-08-20 17:06:54 +0000: Memory Usage (132444K) : activ_filler has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (132572K) : activ has 875 polygons
2026-08-20 17:06:54 +0000: Memory Usage (132572K) : activ_pin has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (132572K) : activ_mask has 4 polygons
2026-08-20 17:06:54 +0000: Memory Usage (132572K) : activ_nofill has 2 polygons
2026-08-20 17:06:54 +0000: Memory Usage (132572K) : activ_OPC has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (132572K) : activ_iOPC has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (132572K) : activ_noqrc has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (132660K) : biwind_drw has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (133172K) : biwind_OPC has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (133172K) : gatpoly_drw has 140 polygons
2026-08-20 17:06:54 +0000: Memory Usage (133172K) : gatpoly_filler has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (133172K) : gatpoly has 140 polygons
2026-08-20 17:06:54 +0000: Memory Usage (133172K) : gatpoly_pin has 119 polygons
2026-08-20 17:06:54 +0000: Memory Usage (133172K) : gatpoly_nofill has 2 polygons
2026-08-20 17:06:54 +0000: Memory Usage (133172K) : gatpoly_OPC has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (133172K) : gatpoly_iOPC has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (133172K) : gatpoly_noqrc has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (133300K) : cont_drw has 10261 polygons
2026-08-20 17:06:54 +0000: Memory Usage (133300K) : cont_OPC has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (133300K) : nsd_drw has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (133300K) : nsd_block has 4 polygons
2026-08-20 17:06:54 +0000: Memory Usage (133300K) : metal1_drw has 1526 polygons
2026-08-20 17:06:54 +0000: Memory Usage (133300K) : metal1_filler has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (133300K) : metal1_slit has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (133300K) : metal1 has 1526 polygons
2026-08-20 17:06:54 +0000: Memory Usage (133300K) : metal1_pin has 746 polygons
2026-08-20 17:06:54 +0000: Memory Usage (133300K) : metal1_mask has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (133300K) : metal1_nofill has 2 polygons
2026-08-20 17:06:54 +0000: Memory Usage (133556K) : metal1_text has 5 polygons
2026-08-20 17:06:54 +0000: Memory Usage (133684K) : metal1_OPC has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (133684K) : metal1_noqrc has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (133684K) : metal1_res has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (133812K) : metal1_iprobe has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (133812K) : metal1_diffprb has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (133812K) : passiv_drw has 2 polygons
2026-08-20 17:06:54 +0000: Memory Usage (133940K) : passiv_pin has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (133940K) : passiv_sbump has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (133940K) : passiv_pillar has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (134068K) : passiv_pdl has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (134068K) : metal2_drw has 531 polygons
2026-08-20 17:06:54 +0000: Memory Usage (134068K) : metal2_filler has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (134196K) : metal2_slit has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (134196K) : metal2 has 531 polygons
2026-08-20 17:06:54 +0000: Memory Usage (134324K) : metal2_pin has 2 polygons
2026-08-20 17:06:54 +0000: Memory Usage (134324K) : metal2_mask has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (134324K) : metal2_nofill has 2 polygons
2026-08-20 17:06:54 +0000: Memory Usage (134324K) : metal2_text has 3 polygons
2026-08-20 17:06:54 +0000: Memory Usage (134324K) : metal2_OPC has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (134452K) : metal2_noqrc has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (134452K) : metal2_res has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (134452K) : metal2_iprobe has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (134580K) : metal2_diffprb has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (134580K) : baspoly_drw has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (134580K) : baspoly_pin has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (134580K) : psd_drw has 503 polygons
2026-08-20 17:06:54 +0000: Memory Usage (134708K) : nldb_drw has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (134708K) : digibnd_drw has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (134708K) : via1_drw has 6770 polygons
2026-08-20 17:06:54 +0000: Memory Usage (134708K) : backmetal1_drw has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (134836K) : backmetal1_pin has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (134836K) : backmetal1_mask has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (134836K) : backmetal1_filler has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (134836K) : backmetal1_nofill has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (134964K) : backmetal1_slit has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (134964K) : backmetal1_text has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (134964K) : backmetal1_OPC has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (134964K) : backmetal1_noqrc has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (135092K) : backmetal1_res has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (135092K) : backmetal1_iprobe has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (135092K) : backmetal1_diffprb has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (135092K) : backpassiv_drw has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (135220K) : res_drw has 2 polygons
2026-08-20 17:06:54 +0000: Memory Usage (135220K) : sram_drw has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (135220K) : trans_drw has 2 polygons
2026-08-20 17:06:54 +0000: Memory Usage (135348K) : ind_drw has 2 polygons
2026-08-20 17:06:54 +0000: Memory Usage (135348K) : ind_pin has 4 polygons
2026-08-20 17:06:54 +0000: Memory Usage (135348K) : ind_text has 4 polygons
2026-08-20 17:06:54 +0000: Memory Usage (135348K) : salblock_drw has 12 polygons
2026-08-20 17:06:54 +0000: Memory Usage (135476K) : via2_drw has 805 polygons
2026-08-20 17:06:54 +0000: Memory Usage (135476K) : metal3_drw has 47 polygons
2026-08-20 17:06:54 +0000: Memory Usage (135476K) : metal3_filler has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (135604K) : metal3_slit has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (135604K) : metal3 has 47 polygons
2026-08-20 17:06:54 +0000: Memory Usage (135604K) : metal3_pin has 2 polygons
2026-08-20 17:06:54 +0000: Memory Usage (135604K) : metal3_mask has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (135604K) : metal3_nofill has 2 polygons
2026-08-20 17:06:54 +0000: Memory Usage (135604K) : metal3_text has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (135604K) : metal3_OPC has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (135604K) : metal3_noqrc has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (135604K) : metal3_res has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (135604K) : metal3_iprobe has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (135604K) : metal3_diffprb has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (135604K) : nwell_drw has 4 polygons
2026-08-20 17:06:54 +0000: Memory Usage (135604K) : nwell_pin has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (135604K) : nwell_text has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (135604K) : nbulay_drw has 1 polygons
2026-08-20 17:06:54 +0000: Memory Usage (135732K) : nbulay_pin has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (135732K) : nbulay_block has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (135732K) : emwind_drw has 4 polygons
2026-08-20 17:06:54 +0000: Memory Usage (135732K) : emwind_OPC has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (135732K) : deepco_drw has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (135860K) : mim_drw has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (135860K) : edgeseal_drw has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (135860K) : substrate_drw has 500 polygons
2026-08-20 17:06:54 +0000: Memory Usage (135860K) : substrate_text has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (135860K) : dfpad_drw has 2 polygons
2026-08-20 17:06:54 +0000: Memory Usage (135860K) : dfpad_pillar has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (135988K) : dfpad_sbump has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (135988K) : thickgateox_drw has 1 polygons
2026-08-20 17:06:54 +0000: Memory Usage (135988K) : pldb_drw has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (135988K) : pwell_drw has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (135988K) : pwell_pin has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (135988K) : pwell_block has 2 polygons
2026-08-20 17:06:54 +0000: Memory Usage (136116K) : ic_drw has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (136116K) : via3_drw has 1016 polygons
2026-08-20 17:06:54 +0000: Memory Usage (136116K) : metal4_drw has 25 polygons
2026-08-20 17:06:54 +0000: Memory Usage (136116K) : metal4_filler has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (136116K) : metal4_slit has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (136116K) : metal4 has 25 polygons
2026-08-20 17:06:54 +0000: Memory Usage (136244K) : metal4_pin has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (136244K) : metal4_mask has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (136244K) : metal4_nofill has 2 polygons
2026-08-20 17:06:54 +0000: Memory Usage (136244K) : metal4_text has 3 polygons
2026-08-20 17:06:54 +0000: Memory Usage (136244K) : metal4_OPC has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (136244K) : metal4_noqrc has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (136372K) : metal4_res has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (136372K) : metal4_iprobe has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (136372K) : metal4_diffprb has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (136372K) : heattrans_drw has 123 polygons
2026-08-20 17:06:54 +0000: Memory Usage (136372K) : heatres_drw has 2 polygons
2026-08-20 17:06:54 +0000: Memory Usage (136372K) : fbe_drw has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (136500K) : empoly_drw has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (136500K) : digisub_drw has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (136500K) : text_drw has 639 polygons
2026-08-20 17:06:54 +0000: Memory Usage (136500K) : via4_drw has 1010 polygons
2026-08-20 17:06:54 +0000: Memory Usage (136500K) : metal5_drw has 32 polygons
2026-08-20 17:06:54 +0000: Memory Usage (136500K) : metal5_filler has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (136500K) : metal5_slit has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (136628K) : metal5 has 32 polygons
2026-08-20 17:06:54 +0000: Memory Usage (136628K) : metal5_pin has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (136628K) : metal5_mask has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (136628K) : metal5_nofill has 2 polygons
2026-08-20 17:06:54 +0000: Memory Usage (136628K) : metal5_text has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (136628K) : metal5_OPC has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (136756K) : metal5_noqrc has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (136756K) : metal5_res has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (136756K) : metal5_iprobe has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (136756K) : metal5_diffprb has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (136756K) : radhard_drw has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (136756K) : memcap_drw has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (136884K) : varicap_drw has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (136884K) : intbondvia_drw has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (136884K) : intbondmet_drw has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (136884K) : devbondvia_drw has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (137012K) : devbondmet_drw has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (137012K) : devtrench_drw has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (137012K) : redist_drw has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (137012K) : graphbot_drw has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (137140K) : graphtop_drw has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (137140K) : antvia1_drw has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (137140K) : antmetal2_drw has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (137140K) : graphcont_drw has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (137140K) : siwg_drw has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (137140K) : siwg_filler has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (137268K) : siwg_nofill has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (137268K) : sigrating_drw has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (137268K) : singrating_drw has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (137268K) : graphpas_drw has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (137268K) : emwind3_drw has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (137396K) : emwihv3_drw has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (137396K) : redbulay_drw has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (137396K) : smos_drw has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (137396K) : graphpad_drw has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (137396K) : polimide_drw has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (137524K) : polimide_pin has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (137524K) : recog_drw has 1 polygons
2026-08-20 17:06:54 +0000: Memory Usage (137524K) : recog_pin has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (137524K) : recog_esd has 1 polygons
2026-08-20 17:06:54 +0000: Memory Usage (137524K) : recog_diode has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (137524K) : recog_tsv has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (137652K) : recog_iprobe has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (137652K) : recog_diffprb has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (137652K) : recog_pillar has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (137652K) : recog_sbump has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (137652K) : recog_otp has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (137780K) : recog_pdiode has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (137780K) : recog_mom has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (137780K) : recog_momf has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (137780K) : recog_pcm has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (137908K) : colopen_drw has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (137908K) : graphmetal1_drw has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (137908K) : graphmetal1_filler has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (137908K) : graphmetal1_nofill has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (138036K) : graphmetal1_slit has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (138036K) : graphmetal1_OPC has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (138036K) : graphmet1l_drw has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (138036K) : graphmet1l_filler has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (138164K) : graphmet1l_nofill has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (138164K) : graphmet1l_slit has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (138164K) : graphmet1l_OPC has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (138164K) : extblock_drw has 6 polygons
2026-08-20 17:06:54 +0000: Memory Usage (138292K) : nldd_drw has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (138292K) : pldd_drw has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (138292K) : next_drw has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (138292K) : pext_drw has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (138292K) : nexthv_drw has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (138292K) : pexthv_drw has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (138420K) : graphgate_drw has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (138420K) : sinwg_drw has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (138420K) : sinwg_filler has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (138420K) : sinwg_nofill has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (138420K) : mempad_drw has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (138420K) : topvia1_drw has 477 polygons
2026-08-20 17:06:54 +0000: Memory Usage (138548K) : topmetal1_drw has 48 polygons
2026-08-20 17:06:54 +0000: Memory Usage (138548K) : topmetal1_filler has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (138548K) : topmetal1_slit has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (138548K) : topmetal1 has 48 polygons
2026-08-20 17:06:54 +0000: Memory Usage (138548K) : topmetal1_pin has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (138676K) : topmetal1_mask has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (138676K) : topmetal1_nofill has 2 polygons
2026-08-20 17:06:54 +0000: Memory Usage (138676K) : topmetal1_text has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (138676K) : topmetal1_noqrc has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (138676K) : topmetal1_res has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (138804K) : topmetal1_iprobe has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (138804K) : topmetal1_diffprb has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (138804K) : inldpwl_drw has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (138804K) : polyres_drw has 2 polygons
2026-08-20 17:06:54 +0000: Memory Usage (138932K) : polyres_pin has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (138932K) : vmim_drw has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (138932K) : nbulaycut_drw has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (138932K) : antmetal1_drw has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (139060K) : topvia2_drw has 231 polygons
2026-08-20 17:06:54 +0000: Memory Usage (139060K) : topmetal2_drw has 63 polygons
2026-08-20 17:06:54 +0000: Memory Usage (139060K) : topmetal2_filler has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (139188K) : topmetal2_slit has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (139188K) : topmetal2 has 63 polygons
2026-08-20 17:06:54 +0000: Memory Usage (139188K) : topmetal2_pin has 4 polygons
2026-08-20 17:06:54 +0000: Memory Usage (139316K) : topmetal2_mask has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (139316K) : topmetal2_nofill has 2 polygons
2026-08-20 17:06:54 +0000: Memory Usage (139316K) : topmetal2_text has 8 polygons
2026-08-20 17:06:54 +0000: Memory Usage (139316K) : topmetal2_noqrc has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (139444K) : topmetal2_res has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (139444K) : topmetal2_iprobe has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (139444K) : topmetal2_diffprb has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (139444K) : snsring_drw has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (139572K) : sensor_drw has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (139572K) : snsarms_drw has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (139572K) : snscmosvia_drw has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (139700K) : colwind_drw has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (139700K) : flm_drw has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (139700K) : hafniumox_drw has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (139700K) : memvia_drw has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (139828K) : thinfilmres_drw has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (139828K) : rfmem_drw has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (139956K) : norcx_drw has 2 polygons
2026-08-20 17:06:54 +0000: Memory Usage (139956K) : norcx_m2m3 has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (139956K) : norcx_m2m4 has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (139956K) : norcx_m2m5 has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (139956K) : norcx_m2tm1 has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (139956K) : norcx_m2tm2 has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (139956K) : norcx_m3m4 has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (139956K) : norcx_m3m5 has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (139956K) : norcx_m3tm1 has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (139956K) : norcx_m3tm2 has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (139956K) : norcx_m4m5 has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (139956K) : norcx_m4tm1 has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (139956K) : norcx_m4tm2 has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (139956K) : norcx_m5tm1 has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (139956K) : norcx_m5tm2 has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (139956K) : norcx_tm1tm2 has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (139956K) : norcx_m1sub has 0 polygons
2026-08-20 17:06:54 +0000: Memory Usage (139956K) : norcx_m2sub has 0 polygons
