$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/bisect_extra2/esd_nofeed/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/bisect_extra2/esd_nofeed/driver_dut.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/bisect_extra2/esd_nofeed/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction
2026-08-20 17:00:09 +0000: Memory Usage (130008K) : Selected DISABLE_TAP_EXTRACTION option: true
2026-08-20 17:00:09 +0000: Memory Usage (130008K) : deep  mode is enabled.
2026-08-20 17:00:09 +0000: Memory Usage (130008K) : Applying implicit connections (case-sensitive, pattern supported) for nets: sub, sub!
2026-08-20 17:00:09 +0000: Memory Usage (131264K) : Netlist file: /workspace/layout/blocks/out/driver_stage/bisect_extra2/esd_nofeed/driver_dut.cdl
2026-08-20 17:00:09 +0000: Memory Usage (131264K) : LVS extracted netlist at: /workspace/layout/blocks/out/driver_stage/bisect_extra2/esd_nofeed/lvs/driver_dut_extracted.cir
2026-08-20 17:00:09 +0000: Memory Usage (131264K) : Applying SRAM integration support.
2026-08-20 17:00:09 +0000: Memory Usage (131264K) : Starting SG13G2 LVS runset
2026-08-20 17:00:09 +0000: Memory Usage (131264K) : Read in polygons from layers.
2026-08-20 17:00:09 +0000: Memory Usage (132316K) : activ_drw has 899 polygons
2026-08-20 17:00:09 +0000: Memory Usage (132316K) : activ_filler has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (132532K) : activ has 899 polygons
2026-08-20 17:00:09 +0000: Memory Usage (133044K) : activ_pin has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (133044K) : activ_mask has 4 polygons
2026-08-20 17:00:09 +0000: Memory Usage (133044K) : activ_nofill has 2 polygons
2026-08-20 17:00:09 +0000: Memory Usage (133044K) : activ_OPC has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (133044K) : activ_iOPC has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (133044K) : activ_noqrc has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (133044K) : biwind_drw has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (133044K) : biwind_OPC has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (133044K) : gatpoly_drw has 140 polygons
2026-08-20 17:00:09 +0000: Memory Usage (133044K) : gatpoly_filler has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (133044K) : gatpoly has 140 polygons
2026-08-20 17:00:09 +0000: Memory Usage (133044K) : gatpoly_pin has 119 polygons
2026-08-20 17:00:09 +0000: Memory Usage (133044K) : gatpoly_nofill has 2 polygons
2026-08-20 17:00:09 +0000: Memory Usage (133044K) : gatpoly_OPC has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (133044K) : gatpoly_iOPC has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (133044K) : gatpoly_noqrc has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (133044K) : cont_drw has 14577 polygons
2026-08-20 17:00:09 +0000: Memory Usage (133044K) : cont_OPC has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (133044K) : nsd_drw has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (133172K) : nsd_block has 4 polygons
2026-08-20 17:00:09 +0000: Memory Usage (133172K) : metal1_drw has 1566 polygons
2026-08-20 17:00:09 +0000: Memory Usage (133300K) : metal1_filler has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (133300K) : metal1_slit has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (133556K) : metal1 has 1566 polygons
2026-08-20 17:00:09 +0000: Memory Usage (133556K) : metal1_pin has 750 polygons
2026-08-20 17:00:09 +0000: Memory Usage (133684K) : metal1_mask has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (133684K) : metal1_nofill has 2 polygons
2026-08-20 17:00:09 +0000: Memory Usage (133812K) : metal1_text has 5 polygons
2026-08-20 17:00:09 +0000: Memory Usage (133812K) : metal1_OPC has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (133940K) : metal1_noqrc has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (133940K) : metal1_res has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (133940K) : metal1_iprobe has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (134068K) : metal1_diffprb has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (134068K) : passiv_drw has 2 polygons
2026-08-20 17:00:09 +0000: Memory Usage (134196K) : passiv_pin has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (134196K) : passiv_sbump has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (134196K) : passiv_pillar has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (134324K) : passiv_pdl has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (134324K) : metal2_drw has 586 polygons
2026-08-20 17:00:09 +0000: Memory Usage (134324K) : metal2_filler has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (134324K) : metal2_slit has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (134452K) : metal2 has 586 polygons
2026-08-20 17:00:09 +0000: Memory Usage (134452K) : metal2_pin has 10 polygons
2026-08-20 17:00:09 +0000: Memory Usage (134452K) : metal2_mask has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (134580K) : metal2_nofill has 2 polygons
2026-08-20 17:00:09 +0000: Memory Usage (134580K) : metal2_text has 3 polygons
2026-08-20 17:00:09 +0000: Memory Usage (134580K) : metal2_OPC has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (134580K) : metal2_noqrc has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (134708K) : metal2_res has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (134708K) : metal2_iprobe has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (134708K) : metal2_diffprb has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (134708K) : baspoly_drw has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (134836K) : baspoly_pin has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (134836K) : psd_drw has 515 polygons
2026-08-20 17:00:09 +0000: Memory Usage (134836K) : nldb_drw has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (134836K) : digibnd_drw has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (134964K) : via1_drw has 7666 polygons
2026-08-20 17:00:09 +0000: Memory Usage (134964K) : backmetal1_drw has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (134964K) : backmetal1_pin has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (135092K) : backmetal1_mask has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (135092K) : backmetal1_filler has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (135092K) : backmetal1_nofill has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (135092K) : backmetal1_slit has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (135092K) : backmetal1_text has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (135220K) : backmetal1_OPC has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (135220K) : backmetal1_noqrc has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (135220K) : backmetal1_res has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (135220K) : backmetal1_iprobe has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (135348K) : backmetal1_diffprb has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (135348K) : backpassiv_drw has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (135348K) : res_drw has 2 polygons
2026-08-20 17:00:09 +0000: Memory Usage (135476K) : sram_drw has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (135476K) : trans_drw has 2 polygons
2026-08-20 17:00:09 +0000: Memory Usage (135476K) : ind_drw has 2 polygons
2026-08-20 17:00:09 +0000: Memory Usage (135476K) : ind_pin has 4 polygons
2026-08-20 17:00:09 +0000: Memory Usage (135604K) : ind_text has 4 polygons
2026-08-20 17:00:09 +0000: Memory Usage (135604K) : salblock_drw has 12 polygons
2026-08-20 17:00:09 +0000: Memory Usage (135604K) : via2_drw has 853 polygons
2026-08-20 17:00:09 +0000: Memory Usage (135732K) : metal3_drw has 77 polygons
2026-08-20 17:00:09 +0000: Memory Usage (135732K) : metal3_filler has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (135732K) : metal3_slit has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (135732K) : metal3 has 77 polygons
2026-08-20 17:00:09 +0000: Memory Usage (135732K) : metal3_pin has 2 polygons
2026-08-20 17:00:09 +0000: Memory Usage (135732K) : metal3_mask has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (135732K) : metal3_nofill has 2 polygons
2026-08-20 17:00:09 +0000: Memory Usage (135732K) : metal3_text has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (135732K) : metal3_OPC has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (135732K) : metal3_noqrc has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (135732K) : metal3_res has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (135732K) : metal3_iprobe has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (135732K) : metal3_diffprb has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (135732K) : nwell_drw has 14 polygons
2026-08-20 17:00:09 +0000: Memory Usage (135732K) : nwell_pin has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (135732K) : nwell_text has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (135732K) : nbulay_drw has 1 polygons
2026-08-20 17:00:09 +0000: Memory Usage (135860K) : nbulay_pin has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (135860K) : nbulay_block has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (135860K) : emwind_drw has 4 polygons
2026-08-20 17:00:09 +0000: Memory Usage (135860K) : emwind_OPC has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (135860K) : deepco_drw has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (135860K) : mim_drw has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (135988K) : edgeseal_drw has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (135988K) : substrate_drw has 500 polygons
2026-08-20 17:00:09 +0000: Memory Usage (135988K) : substrate_text has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (135988K) : dfpad_drw has 2 polygons
2026-08-20 17:00:09 +0000: Memory Usage (135988K) : dfpad_pillar has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (136116K) : dfpad_sbump has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (136116K) : thickgateox_drw has 1 polygons
2026-08-20 17:00:09 +0000: Memory Usage (136116K) : pldb_drw has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (136116K) : pwell_drw has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (136116K) : pwell_pin has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (136116K) : pwell_block has 2 polygons
2026-08-20 17:00:09 +0000: Memory Usage (136244K) : ic_drw has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (136244K) : via3_drw has 1047 polygons
2026-08-20 17:00:09 +0000: Memory Usage (136244K) : metal4_drw has 32 polygons
2026-08-20 17:00:09 +0000: Memory Usage (136244K) : metal4_filler has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (136244K) : metal4_slit has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (136372K) : metal4 has 32 polygons
2026-08-20 17:00:09 +0000: Memory Usage (136372K) : metal4_pin has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (136372K) : metal4_mask has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (136372K) : metal4_nofill has 2 polygons
2026-08-20 17:00:09 +0000: Memory Usage (136372K) : metal4_text has 3 polygons
2026-08-20 17:00:09 +0000: Memory Usage (136500K) : metal4_OPC has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (136500K) : metal4_noqrc has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (136500K) : metal4_res has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (136500K) : metal4_iprobe has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (136500K) : metal4_diffprb has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (136500K) : heattrans_drw has 123 polygons
2026-08-20 17:00:09 +0000: Memory Usage (136628K) : heatres_drw has 2 polygons
2026-08-20 17:00:09 +0000: Memory Usage (136628K) : fbe_drw has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (136628K) : empoly_drw has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (136628K) : digisub_drw has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (136628K) : text_drw has 655 polygons
2026-08-20 17:00:09 +0000: Memory Usage (136628K) : via4_drw has 1041 polygons
2026-08-20 17:00:09 +0000: Memory Usage (136756K) : metal5_drw has 47 polygons
2026-08-20 17:00:09 +0000: Memory Usage (136756K) : metal5_filler has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (136756K) : metal5_slit has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (136756K) : metal5 has 47 polygons
2026-08-20 17:00:09 +0000: Memory Usage (136756K) : metal5_pin has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (136884K) : metal5_mask has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (136884K) : metal5_nofill has 2 polygons
2026-08-20 17:00:09 +0000: Memory Usage (136884K) : metal5_text has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (136884K) : metal5_OPC has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (136884K) : metal5_noqrc has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (136884K) : metal5_res has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (136884K) : metal5_iprobe has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (137012K) : metal5_diffprb has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (137012K) : radhard_drw has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (137012K) : memcap_drw has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (137012K) : varicap_drw has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (137012K) : intbondvia_drw has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (137140K) : intbondmet_drw has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (137140K) : devbondvia_drw has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (137140K) : devbondmet_drw has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (137140K) : devtrench_drw has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (137268K) : redist_drw has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (137268K) : graphbot_drw has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (137268K) : graphtop_drw has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (137268K) : antvia1_drw has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (137268K) : antmetal2_drw has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (137396K) : graphcont_drw has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (137396K) : siwg_drw has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (137396K) : siwg_filler has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (137396K) : siwg_nofill has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (137396K) : sigrating_drw has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (137396K) : singrating_drw has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (137524K) : graphpas_drw has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (137524K) : emwind3_drw has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (137524K) : emwihv3_drw has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (137524K) : redbulay_drw has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (137524K) : smos_drw has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (137524K) : graphpad_drw has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (137652K) : polimide_drw has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (137652K) : polimide_pin has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (137652K) : recog_drw has 1 polygons
2026-08-20 17:00:09 +0000: Memory Usage (137652K) : recog_pin has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (137780K) : recog_esd has 5 polygons
2026-08-20 17:00:09 +0000: Memory Usage (137780K) : recog_diode has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (137780K) : recog_tsv has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (137780K) : recog_iprobe has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (137908K) : recog_diffprb has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (137908K) : recog_pillar has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (137908K) : recog_sbump has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (137908K) : recog_otp has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (138036K) : recog_pdiode has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (138036K) : recog_mom has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (138036K) : recog_momf has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (138036K) : recog_pcm has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (138164K) : colopen_drw has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (138164K) : graphmetal1_drw has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (138164K) : graphmetal1_filler has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (138164K) : graphmetal1_nofill has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (138292K) : graphmetal1_slit has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (138292K) : graphmetal1_OPC has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (138292K) : graphmet1l_drw has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (138292K) : graphmet1l_filler has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (138420K) : graphmet1l_nofill has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (138420K) : graphmet1l_slit has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (138420K) : graphmet1l_OPC has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (138420K) : extblock_drw has 6 polygons
2026-08-20 17:00:09 +0000: Memory Usage (138548K) : nldd_drw has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (138548K) : pldd_drw has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (138548K) : next_drw has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (138548K) : pext_drw has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (138548K) : nexthv_drw has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (138676K) : pexthv_drw has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (138676K) : graphgate_drw has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (138676K) : sinwg_drw has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (138676K) : sinwg_filler has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (138676K) : sinwg_nofill has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (138676K) : mempad_drw has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (138804K) : topvia1_drw has 486 polygons
2026-08-20 17:00:09 +0000: Memory Usage (138804K) : topmetal1_drw has 57 polygons
2026-08-20 17:00:09 +0000: Memory Usage (138804K) : topmetal1_filler has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (138804K) : topmetal1_slit has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (138804K) : topmetal1 has 57 polygons
2026-08-20 17:00:09 +0000: Memory Usage (138932K) : topmetal1_pin has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (138932K) : topmetal1_mask has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (138932K) : topmetal1_nofill has 2 polygons
2026-08-20 17:00:09 +0000: Memory Usage (138932K) : topmetal1_text has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (138932K) : topmetal1_noqrc has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (139060K) : topmetal1_res has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (139060K) : topmetal1_iprobe has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (139060K) : topmetal1_diffprb has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (139060K) : inldpwl_drw has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (139188K) : polyres_drw has 2 polygons
2026-08-20 17:00:09 +0000: Memory Usage (139188K) : polyres_pin has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (139188K) : vmim_drw has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (139188K) : nbulaycut_drw has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (139316K) : antmetal1_drw has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (139316K) : topvia2_drw has 232 polygons
2026-08-20 17:00:09 +0000: Memory Usage (139444K) : topmetal2_drw has 64 polygons
2026-08-20 17:00:09 +0000: Memory Usage (139444K) : topmetal2_filler has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (139444K) : topmetal2_slit has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (139444K) : topmetal2 has 64 polygons
2026-08-20 17:00:09 +0000: Memory Usage (139572K) : topmetal2_pin has 4 polygons
2026-08-20 17:00:09 +0000: Memory Usage (139572K) : topmetal2_mask has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (139572K) : topmetal2_nofill has 2 polygons
2026-08-20 17:00:09 +0000: Memory Usage (139572K) : topmetal2_text has 8 polygons
2026-08-20 17:00:09 +0000: Memory Usage (139700K) : topmetal2_noqrc has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (139700K) : topmetal2_res has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (139700K) : topmetal2_iprobe has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (139700K) : topmetal2_diffprb has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (139828K) : snsring_drw has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (139828K) : sensor_drw has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (139828K) : snsarms_drw has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (139956K) : snscmosvia_drw has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (139956K) : colwind_drw has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (140084K) : flm_drw has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (140084K) : hafniumox_drw has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (140084K) : memvia_drw has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (140212K) : thinfilmres_drw has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (140212K) : rfmem_drw has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (140212K) : norcx_drw has 2 polygons
2026-08-20 17:00:09 +0000: Memory Usage (140212K) : norcx_m2m3 has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (140212K) : norcx_m2m4 has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (140212K) : norcx_m2m5 has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (140212K) : norcx_m2tm1 has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (140212K) : norcx_m2tm2 has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (140212K) : norcx_m3m4 has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (140212K) : norcx_m3m5 has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (140212K) : norcx_m3tm1 has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (140212K) : norcx_m3tm2 has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (140212K) : norcx_m4m5 has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (140212K) : norcx_m4tm1 has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (140212K) : norcx_m4tm2 has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (140212K) : norcx_m5tm1 has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (140212K) : norcx_m5tm2 has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (140212K) : norcx_tm1tm2 has 0 polygons
2026-08-20 17:00:09 +0000: Memory Usage (140212K) : norcx_m1sub has 0 polygons
