$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/bisect_run/_probe6_ties/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/bisect_run/_probe6_ties/driver_dut.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/bisect_run/_probe6_ties/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction
2026-08-20 19:05:00 +0000: Memory Usage (130568K) : Selected DISABLE_TAP_EXTRACTION option: true
2026-08-20 19:05:00 +0000: Memory Usage (130568K) : deep  mode is enabled.
2026-08-20 19:05:00 +0000: Memory Usage (130568K) : Applying implicit connections (case-sensitive, pattern supported) for nets: sub, sub!
2026-08-20 19:05:00 +0000: Memory Usage (131856K) : Netlist file: /workspace/layout/blocks/out/driver_stage/bisect_run/_probe6_ties/driver_dut.cdl
2026-08-20 19:05:00 +0000: Memory Usage (131856K) : LVS extracted netlist at: /workspace/layout/blocks/out/driver_stage/bisect_run/_probe6_ties/lvs/driver_dut_extracted.cir
2026-08-20 19:05:00 +0000: Memory Usage (131856K) : Applying SRAM integration support.
2026-08-20 19:05:00 +0000: Memory Usage (131856K) : Starting SG13G2 LVS runset
2026-08-20 19:05:00 +0000: Memory Usage (131856K) : Read in polygons from layers.
2026-08-20 19:05:00 +0000: Memory Usage (133136K) : activ_drw has 893 polygons
2026-08-20 19:05:00 +0000: Memory Usage (133136K) : activ_filler has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (133264K) : activ has 893 polygons
2026-08-20 19:05:00 +0000: Memory Usage (133264K) : activ_pin has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (133264K) : activ_mask has 4 polygons
2026-08-20 19:05:00 +0000: Memory Usage (133264K) : activ_nofill has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (133264K) : activ_OPC has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (133264K) : activ_iOPC has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (133264K) : activ_noqrc has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (133320K) : biwind_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (133832K) : biwind_OPC has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (133832K) : gatpoly_drw has 123 polygons
2026-08-20 19:05:00 +0000: Memory Usage (133832K) : gatpoly_filler has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (133832K) : gatpoly has 123 polygons
2026-08-20 19:05:00 +0000: Memory Usage (133832K) : gatpoly_pin has 119 polygons
2026-08-20 19:05:00 +0000: Memory Usage (133832K) : gatpoly_nofill has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (133832K) : gatpoly_OPC has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (133832K) : gatpoly_iOPC has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (133832K) : gatpoly_noqrc has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (133832K) : cont_drw has 13150 polygons
2026-08-20 19:05:00 +0000: Memory Usage (133832K) : cont_OPC has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (133832K) : nsd_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (133832K) : nsd_block has 4 polygons
2026-08-20 19:05:00 +0000: Memory Usage (133832K) : metal1_drw has 1515 polygons
2026-08-20 19:05:00 +0000: Memory Usage (133832K) : metal1_filler has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (133832K) : metal1_slit has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (133960K) : metal1 has 1515 polygons
2026-08-20 19:05:00 +0000: Memory Usage (133960K) : metal1_pin has 746 polygons
2026-08-20 19:05:00 +0000: Memory Usage (133960K) : metal1_mask has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (134088K) : metal1_nofill has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (134216K) : metal1_text has 3 polygons
2026-08-20 19:05:00 +0000: Memory Usage (134216K) : metal1_OPC has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (134344K) : metal1_noqrc has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (134344K) : metal1_res has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (134344K) : metal1_iprobe has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (134472K) : metal1_diffprb has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (134472K) : passiv_drw has 2 polygons
2026-08-20 19:05:00 +0000: Memory Usage (134472K) : passiv_pin has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (134600K) : passiv_sbump has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (134600K) : passiv_pillar has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (134600K) : passiv_pdl has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (134728K) : metal2_drw has 525 polygons
2026-08-20 19:05:00 +0000: Memory Usage (134728K) : metal2_filler has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (134856K) : metal2_slit has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (134856K) : metal2 has 525 polygons
2026-08-20 19:05:00 +0000: Memory Usage (134984K) : metal2_pin has 10 polygons
2026-08-20 19:05:00 +0000: Memory Usage (134984K) : metal2_mask has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (134984K) : metal2_nofill has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (134984K) : metal2_text has 3 polygons
2026-08-20 19:05:00 +0000: Memory Usage (135112K) : metal2_OPC has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (135112K) : metal2_noqrc has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (135112K) : metal2_res has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (135112K) : metal2_iprobe has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (135240K) : metal2_diffprb has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (135240K) : baspoly_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (135240K) : baspoly_pin has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (135240K) : psd_drw has 514 polygons
2026-08-20 19:05:00 +0000: Memory Usage (135368K) : nldb_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (135368K) : digibnd_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (135368K) : via1_drw has 6612 polygons
2026-08-20 19:05:00 +0000: Memory Usage (135368K) : backmetal1_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (135496K) : backmetal1_pin has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (135496K) : backmetal1_mask has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (135496K) : backmetal1_filler has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (135496K) : backmetal1_nofill has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (135624K) : backmetal1_slit has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (135624K) : backmetal1_text has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (135624K) : backmetal1_OPC has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (135624K) : backmetal1_noqrc has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (135752K) : backmetal1_res has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (135752K) : backmetal1_iprobe has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (135752K) : backmetal1_diffprb has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (135752K) : backpassiv_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (135880K) : res_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (135880K) : sram_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (135880K) : trans_drw has 2 polygons
2026-08-20 19:05:00 +0000: Memory Usage (135880K) : ind_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (136008K) : ind_pin has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (136008K) : ind_text has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (136008K) : salblock_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (136008K) : via2_drw has 25 polygons
2026-08-20 19:05:00 +0000: Memory Usage (136136K) : metal3_drw has 19 polygons
2026-08-20 19:05:00 +0000: Memory Usage (136136K) : metal3_filler has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (136136K) : metal3_slit has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (136264K) : metal3 has 19 polygons
2026-08-20 19:05:00 +0000: Memory Usage (136264K) : metal3_pin has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (136264K) : metal3_mask has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (136392K) : metal3_nofill has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (136392K) : metal3_text has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (136392K) : metal3_OPC has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (136392K) : metal3_noqrc has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (136520K) : metal3_res has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (136520K) : metal3_iprobe has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (136520K) : metal3_diffprb has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (136520K) : nwell_drw has 10 polygons
2026-08-20 19:05:00 +0000: Memory Usage (136520K) : nwell_pin has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (136520K) : nwell_text has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (136520K) : nbulay_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (136520K) : nbulay_pin has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (136520K) : nbulay_block has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (136520K) : emwind_drw has 4 polygons
2026-08-20 19:05:00 +0000: Memory Usage (136520K) : emwind_OPC has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (136520K) : deepco_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (136520K) : mim_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (136648K) : edgeseal_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (136648K) : substrate_drw has 500 polygons
2026-08-20 19:05:00 +0000: Memory Usage (136648K) : substrate_text has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (136648K) : dfpad_drw has 2 polygons
2026-08-20 19:05:00 +0000: Memory Usage (136648K) : dfpad_pillar has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (136648K) : dfpad_sbump has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (136776K) : thickgateox_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (136776K) : pldb_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (136776K) : pwell_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (136776K) : pwell_pin has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (136776K) : pwell_block has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (136904K) : ic_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (136904K) : via3_drw has 1001 polygons
2026-08-20 19:05:00 +0000: Memory Usage (136904K) : metal4_drw has 19 polygons
2026-08-20 19:05:00 +0000: Memory Usage (136904K) : metal4_filler has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (136904K) : metal4_slit has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (137032K) : metal4 has 19 polygons
2026-08-20 19:05:00 +0000: Memory Usage (137032K) : metal4_pin has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (137032K) : metal4_mask has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (137032K) : metal4_nofill has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (137032K) : metal4_text has 3 polygons
2026-08-20 19:05:00 +0000: Memory Usage (137032K) : metal4_OPC has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (137032K) : metal4_noqrc has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (137160K) : metal4_res has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (137160K) : metal4_iprobe has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (137160K) : metal4_diffprb has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (137160K) : heattrans_drw has 123 polygons
2026-08-20 19:05:00 +0000: Memory Usage (137160K) : heatres_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (137160K) : fbe_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (137288K) : empoly_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (137288K) : digisub_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (137288K) : text_drw has 645 polygons
2026-08-20 19:05:00 +0000: Memory Usage (137288K) : via4_drw has 995 polygons
2026-08-20 19:05:00 +0000: Memory Usage (137288K) : metal5_drw has 18 polygons
2026-08-20 19:05:00 +0000: Memory Usage (137288K) : metal5_filler has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (137416K) : metal5_slit has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (137416K) : metal5 has 18 polygons
2026-08-20 19:05:00 +0000: Memory Usage (137416K) : metal5_pin has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (137416K) : metal5_mask has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (137416K) : metal5_nofill has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (137416K) : metal5_text has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (137416K) : metal5_OPC has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (137544K) : metal5_noqrc has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (137544K) : metal5_res has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (137544K) : metal5_iprobe has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (137544K) : metal5_diffprb has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (137544K) : radhard_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (137672K) : memcap_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (137672K) : varicap_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (137672K) : intbondvia_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (137672K) : intbondmet_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (137672K) : devbondvia_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (137672K) : devbondmet_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (137800K) : devtrench_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (137800K) : redist_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (137800K) : graphbot_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (137800K) : graphtop_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (137800K) : antvia1_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (137800K) : antmetal2_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (137928K) : graphcont_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (137928K) : siwg_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (137928K) : siwg_filler has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (137928K) : siwg_nofill has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (137928K) : sigrating_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (137928K) : singrating_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (138056K) : graphpas_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (138056K) : emwind3_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (138056K) : emwihv3_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (138056K) : redbulay_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (138056K) : smos_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (138056K) : graphpad_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (138184K) : polimide_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (138184K) : polimide_pin has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (138184K) : recog_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (138184K) : recog_pin has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (138184K) : recog_esd has 4 polygons
2026-08-20 19:05:00 +0000: Memory Usage (138184K) : recog_diode has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (138312K) : recog_tsv has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (138312K) : recog_iprobe has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (138312K) : recog_diffprb has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (138312K) : recog_pillar has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (138312K) : recog_sbump has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (138312K) : recog_otp has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (138440K) : recog_pdiode has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (138440K) : recog_mom has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (138440K) : recog_momf has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (138440K) : recog_pcm has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (138440K) : colopen_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (138440K) : graphmetal1_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (138568K) : graphmetal1_filler has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (138568K) : graphmetal1_nofill has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (138568K) : graphmetal1_slit has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (138568K) : graphmetal1_OPC has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (138568K) : graphmet1l_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (138696K) : graphmet1l_filler has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (138696K) : graphmet1l_nofill has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (138696K) : graphmet1l_slit has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (138696K) : graphmet1l_OPC has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (138696K) : extblock_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (138696K) : nldd_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (138824K) : pldd_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (138824K) : next_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (138824K) : pext_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (138824K) : nexthv_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (138824K) : pexthv_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (138824K) : graphgate_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (138952K) : sinwg_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (138952K) : sinwg_filler has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (138952K) : sinwg_nofill has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (138952K) : mempad_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (138952K) : topvia1_drw has 477 polygons
2026-08-20 19:05:00 +0000: Memory Usage (139080K) : topmetal1_drw has 48 polygons
2026-08-20 19:05:00 +0000: Memory Usage (139080K) : topmetal1_filler has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (139080K) : topmetal1_slit has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (139080K) : topmetal1 has 48 polygons
2026-08-20 19:05:00 +0000: Memory Usage (139208K) : topmetal1_pin has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (139208K) : topmetal1_mask has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (139208K) : topmetal1_nofill has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (139208K) : topmetal1_text has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (139336K) : topmetal1_noqrc has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (139336K) : topmetal1_res has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (139336K) : topmetal1_iprobe has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (139336K) : topmetal1_diffprb has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (139464K) : inldpwl_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (139464K) : polyres_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (139464K) : polyres_pin has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (139464K) : vmim_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (139592K) : nbulaycut_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (139592K) : antmetal1_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (139592K) : topvia2_drw has 231 polygons
2026-08-20 19:05:00 +0000: Memory Usage (139592K) : topmetal2_drw has 47 polygons
2026-08-20 19:05:00 +0000: Memory Usage (139720K) : topmetal2_filler has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (139720K) : topmetal2_slit has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (139720K) : topmetal2 has 47 polygons
2026-08-20 19:05:00 +0000: Memory Usage (139720K) : topmetal2_pin has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (139848K) : topmetal2_mask has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (139848K) : topmetal2_nofill has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (139976K) : topmetal2_text has 6 polygons
2026-08-20 19:05:00 +0000: Memory Usage (139976K) : topmetal2_noqrc has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (139976K) : topmetal2_res has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (139976K) : topmetal2_iprobe has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (140104K) : topmetal2_diffprb has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (140104K) : snsring_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (140104K) : sensor_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (140232K) : snsarms_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (140232K) : snscmosvia_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (140232K) : colwind_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (140232K) : flm_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (140360K) : hafniumox_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (140360K) : memvia_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (140360K) : thinfilmres_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (140360K) : rfmem_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (140488K) : norcx_drw has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (140488K) : norcx_m2m3 has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (140616K) : norcx_m2m4 has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (140616K) : norcx_m2m5 has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (140616K) : norcx_m2tm1 has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (140744K) : norcx_m2tm2 has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (140744K) : norcx_m3m4 has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (140744K) : norcx_m3m5 has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (140744K) : norcx_m3tm1 has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (140744K) : norcx_m3tm2 has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (140744K) : norcx_m4m5 has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (140744K) : norcx_m4tm1 has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (140744K) : norcx_m4tm2 has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (140744K) : norcx_m5tm1 has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (140744K) : norcx_m5tm2 has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (140744K) : norcx_tm1tm2 has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (140744K) : norcx_m1sub has 0 polygons
2026-08-20 19:05:00 +0000: Memory Usage (140744K) : norcx_m2sub has 0 polygons
