$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/bisect_run/_probe2_esd_ties/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/bisect_run/_probe2_esd_ties/driver_dut.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/bisect_run/_probe2_esd_ties/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction
2026-08-20 19:00:14 +0000: Memory Usage (129924K) : Selected DISABLE_TAP_EXTRACTION option: true
2026-08-20 19:00:14 +0000: Memory Usage (129924K) : deep  mode is enabled.
2026-08-20 19:00:14 +0000: Memory Usage (129924K) : Applying implicit connections (case-sensitive, pattern supported) for nets: sub, sub!
2026-08-20 19:00:14 +0000: Memory Usage (131168K) : Netlist file: /workspace/layout/blocks/out/driver_stage/bisect_run/_probe2_esd_ties/driver_dut.cdl
2026-08-20 19:00:14 +0000: Memory Usage (131168K) : LVS extracted netlist at: /workspace/layout/blocks/out/driver_stage/bisect_run/_probe2_esd_ties/lvs/driver_dut_extracted.cir
2026-08-20 19:00:14 +0000: Memory Usage (131168K) : Applying SRAM integration support.
2026-08-20 19:00:14 +0000: Memory Usage (131168K) : Starting SG13G2 LVS runset
2026-08-20 19:00:14 +0000: Memory Usage (131168K) : Read in polygons from layers.
2026-08-20 19:00:14 +0000: Memory Usage (132372K) : activ_drw has 893 polygons
2026-08-20 19:00:14 +0000: Memory Usage (132372K) : activ_filler has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (132500K) : activ has 893 polygons
2026-08-20 19:00:14 +0000: Memory Usage (132500K) : activ_pin has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (132500K) : activ_mask has 4 polygons
2026-08-20 19:00:14 +0000: Memory Usage (132500K) : activ_nofill has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (132500K) : activ_OPC has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (132500K) : activ_iOPC has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (132500K) : activ_noqrc has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (132592K) : biwind_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (133104K) : biwind_OPC has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (133104K) : gatpoly_drw has 123 polygons
2026-08-20 19:00:14 +0000: Memory Usage (133104K) : gatpoly_filler has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (133104K) : gatpoly has 123 polygons
2026-08-20 19:00:14 +0000: Memory Usage (133104K) : gatpoly_pin has 119 polygons
2026-08-20 19:00:14 +0000: Memory Usage (133104K) : gatpoly_nofill has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (133104K) : gatpoly_OPC has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (133104K) : gatpoly_iOPC has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (133104K) : gatpoly_noqrc has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (133104K) : cont_drw has 13150 polygons
2026-08-20 19:00:14 +0000: Memory Usage (133104K) : cont_OPC has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (133104K) : nsd_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (133104K) : nsd_block has 4 polygons
2026-08-20 19:00:14 +0000: Memory Usage (133104K) : metal1_drw has 1515 polygons
2026-08-20 19:00:14 +0000: Memory Usage (133104K) : metal1_filler has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (133104K) : metal1_slit has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (133104K) : metal1 has 1515 polygons
2026-08-20 19:00:14 +0000: Memory Usage (133104K) : metal1_pin has 746 polygons
2026-08-20 19:00:14 +0000: Memory Usage (133104K) : metal1_mask has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (133232K) : metal1_nofill has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (133488K) : metal1_text has 3 polygons
2026-08-20 19:00:14 +0000: Memory Usage (133488K) : metal1_OPC has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (133616K) : metal1_noqrc has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (133616K) : metal1_res has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (133616K) : metal1_iprobe has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (133744K) : metal1_diffprb has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (133744K) : passiv_drw has 2 polygons
2026-08-20 19:00:14 +0000: Memory Usage (133744K) : passiv_pin has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (133872K) : passiv_sbump has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (133872K) : passiv_pillar has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (133872K) : passiv_pdl has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (134000K) : metal2_drw has 524 polygons
2026-08-20 19:00:14 +0000: Memory Usage (134000K) : metal2_filler has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (134128K) : metal2_slit has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (134128K) : metal2 has 524 polygons
2026-08-20 19:00:14 +0000: Memory Usage (134128K) : metal2_pin has 10 polygons
2026-08-20 19:00:14 +0000: Memory Usage (134256K) : metal2_mask has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (134256K) : metal2_nofill has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (134256K) : metal2_text has 3 polygons
2026-08-20 19:00:14 +0000: Memory Usage (134384K) : metal2_OPC has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (134384K) : metal2_noqrc has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (134384K) : metal2_res has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (134512K) : metal2_iprobe has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (134512K) : metal2_diffprb has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (134512K) : baspoly_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (134512K) : baspoly_pin has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (134640K) : psd_drw has 514 polygons
2026-08-20 19:00:14 +0000: Memory Usage (134640K) : nldb_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (134640K) : digibnd_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (134640K) : via1_drw has 6612 polygons
2026-08-20 19:00:14 +0000: Memory Usage (134768K) : backmetal1_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (134768K) : backmetal1_pin has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (134768K) : backmetal1_mask has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (134896K) : backmetal1_filler has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (134896K) : backmetal1_nofill has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (134896K) : backmetal1_slit has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (134896K) : backmetal1_text has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (134896K) : backmetal1_OPC has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (135024K) : backmetal1_noqrc has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (135024K) : backmetal1_res has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (135024K) : backmetal1_iprobe has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (135024K) : backmetal1_diffprb has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (135152K) : backpassiv_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (135152K) : res_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (135152K) : sram_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (135280K) : trans_drw has 2 polygons
2026-08-20 19:00:14 +0000: Memory Usage (135280K) : ind_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (135280K) : ind_pin has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (135280K) : ind_text has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (135280K) : salblock_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (135408K) : via2_drw has 16 polygons
2026-08-20 19:00:14 +0000: Memory Usage (135408K) : metal3_drw has 21 polygons
2026-08-20 19:00:14 +0000: Memory Usage (135408K) : metal3_filler has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (135536K) : metal3_slit has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (135536K) : metal3 has 21 polygons
2026-08-20 19:00:14 +0000: Memory Usage (135536K) : metal3_pin has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (135536K) : metal3_mask has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (135664K) : metal3_nofill has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (135664K) : metal3_text has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (135664K) : metal3_OPC has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (135792K) : metal3_noqrc has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (135792K) : metal3_res has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (135792K) : metal3_iprobe has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (135792K) : metal3_diffprb has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (135792K) : nwell_drw has 10 polygons
2026-08-20 19:00:14 +0000: Memory Usage (135792K) : nwell_pin has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (135792K) : nwell_text has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (135792K) : nbulay_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (135792K) : nbulay_pin has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (135792K) : nbulay_block has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (135792K) : emwind_drw has 4 polygons
2026-08-20 19:00:14 +0000: Memory Usage (135792K) : emwind_OPC has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (135792K) : deepco_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (135792K) : mim_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (135792K) : edgeseal_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (135792K) : substrate_drw has 500 polygons
2026-08-20 19:00:14 +0000: Memory Usage (135920K) : substrate_text has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (135920K) : dfpad_drw has 2 polygons
2026-08-20 19:00:14 +0000: Memory Usage (135920K) : dfpad_pillar has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (135920K) : dfpad_sbump has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (135920K) : thickgateox_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (135920K) : pldb_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (136048K) : pwell_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (136048K) : pwell_pin has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (136048K) : pwell_block has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (136048K) : ic_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (136048K) : via3_drw has 1001 polygons
2026-08-20 19:00:14 +0000: Memory Usage (136176K) : metal4_drw has 19 polygons
2026-08-20 19:00:14 +0000: Memory Usage (136176K) : metal4_filler has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (136176K) : metal4_slit has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (136176K) : metal4 has 19 polygons
2026-08-20 19:00:14 +0000: Memory Usage (136176K) : metal4_pin has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (136304K) : metal4_mask has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (136304K) : metal4_nofill has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (136304K) : metal4_text has 3 polygons
2026-08-20 19:00:14 +0000: Memory Usage (136304K) : metal4_OPC has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (136304K) : metal4_noqrc has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (136304K) : metal4_res has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (136304K) : metal4_iprobe has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (136432K) : metal4_diffprb has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (136432K) : heattrans_drw has 123 polygons
2026-08-20 19:00:14 +0000: Memory Usage (136432K) : heatres_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (136432K) : fbe_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (136432K) : empoly_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (136432K) : digisub_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (136560K) : text_drw has 645 polygons
2026-08-20 19:00:14 +0000: Memory Usage (136560K) : via4_drw has 995 polygons
2026-08-20 19:00:14 +0000: Memory Usage (136560K) : metal5_drw has 18 polygons
2026-08-20 19:00:14 +0000: Memory Usage (136560K) : metal5_filler has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (136560K) : metal5_slit has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (136560K) : metal5 has 18 polygons
2026-08-20 19:00:14 +0000: Memory Usage (136688K) : metal5_pin has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (136688K) : metal5_mask has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (136688K) : metal5_nofill has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (136688K) : metal5_text has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (136688K) : metal5_OPC has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (136688K) : metal5_noqrc has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (136816K) : metal5_res has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (136816K) : metal5_iprobe has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (136816K) : metal5_diffprb has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (136816K) : radhard_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (136816K) : memcap_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (136816K) : varicap_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (136944K) : intbondvia_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (136944K) : intbondmet_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (136944K) : devbondvia_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (136944K) : devbondmet_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (136944K) : devtrench_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (136944K) : redist_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (137072K) : graphbot_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (137072K) : graphtop_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (137072K) : antvia1_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (137072K) : antmetal2_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (137072K) : graphcont_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (137072K) : siwg_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (137200K) : siwg_filler has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (137200K) : siwg_nofill has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (137200K) : sigrating_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (137200K) : singrating_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (137328K) : graphpas_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (137328K) : emwind3_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (137328K) : emwihv3_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (137328K) : redbulay_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (137328K) : smos_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (137328K) : graphpad_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (137456K) : polimide_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (137456K) : polimide_pin has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (137456K) : recog_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (137456K) : recog_pin has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (137456K) : recog_esd has 4 polygons
2026-08-20 19:00:14 +0000: Memory Usage (137456K) : recog_diode has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (137584K) : recog_tsv has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (137584K) : recog_iprobe has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (137584K) : recog_diffprb has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (137584K) : recog_pillar has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (137584K) : recog_sbump has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (137584K) : recog_otp has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (137712K) : recog_pdiode has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (137712K) : recog_mom has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (137712K) : recog_momf has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (137712K) : recog_pcm has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (137712K) : colopen_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (137712K) : graphmetal1_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (137840K) : graphmetal1_filler has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (137840K) : graphmetal1_nofill has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (137840K) : graphmetal1_slit has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (137840K) : graphmetal1_OPC has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (137840K) : graphmet1l_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (137840K) : graphmet1l_filler has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (137968K) : graphmet1l_nofill has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (137968K) : graphmet1l_slit has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (137968K) : graphmet1l_OPC has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (137968K) : extblock_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (137968K) : nldd_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (138096K) : pldd_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (138096K) : next_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (138096K) : pext_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (138096K) : nexthv_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (138096K) : pexthv_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (138224K) : graphgate_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (138224K) : sinwg_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (138224K) : sinwg_filler has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (138224K) : sinwg_nofill has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (138352K) : mempad_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (138352K) : topvia1_drw has 477 polygons
2026-08-20 19:00:14 +0000: Memory Usage (138352K) : topmetal1_drw has 48 polygons
2026-08-20 19:00:14 +0000: Memory Usage (138352K) : topmetal1_filler has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (138352K) : topmetal1_slit has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (138480K) : topmetal1 has 48 polygons
2026-08-20 19:00:14 +0000: Memory Usage (138480K) : topmetal1_pin has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (138480K) : topmetal1_mask has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (138480K) : topmetal1_nofill has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (138480K) : topmetal1_text has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (138480K) : topmetal1_noqrc has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (138608K) : topmetal1_res has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (138608K) : topmetal1_iprobe has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (138608K) : topmetal1_diffprb has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (138608K) : inldpwl_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (138608K) : polyres_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (138608K) : polyres_pin has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (138736K) : vmim_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (138736K) : nbulaycut_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (138736K) : antmetal1_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (138736K) : topvia2_drw has 227 polygons
2026-08-20 19:00:14 +0000: Memory Usage (138864K) : topmetal2_drw has 41 polygons
2026-08-20 19:00:14 +0000: Memory Usage (138864K) : topmetal2_filler has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (138864K) : topmetal2_slit has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (138864K) : topmetal2 has 41 polygons
2026-08-20 19:00:14 +0000: Memory Usage (138992K) : topmetal2_pin has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (138992K) : topmetal2_mask has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (138992K) : topmetal2_nofill has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (138992K) : topmetal2_text has 6 polygons
2026-08-20 19:00:14 +0000: Memory Usage (139120K) : topmetal2_noqrc has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (139120K) : topmetal2_res has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (139120K) : topmetal2_iprobe has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (139248K) : topmetal2_diffprb has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (139248K) : snsring_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (139248K) : sensor_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (139376K) : snsarms_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (139376K) : snscmosvia_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (139376K) : colwind_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (139376K) : flm_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (139504K) : hafniumox_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (139504K) : memvia_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (139504K) : thinfilmres_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (139504K) : rfmem_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (139632K) : norcx_drw has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (139632K) : norcx_m2m3 has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (139632K) : norcx_m2m4 has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (139632K) : norcx_m2m5 has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (139760K) : norcx_m2tm1 has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (139760K) : norcx_m2tm2 has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (139888K) : norcx_m3m4 has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (139888K) : norcx_m3m5 has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (139888K) : norcx_m3tm1 has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (140016K) : norcx_m3tm2 has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (140016K) : norcx_m4m5 has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (140016K) : norcx_m4tm1 has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (140016K) : norcx_m4tm2 has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (140016K) : norcx_m5tm1 has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (140016K) : norcx_m5tm2 has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (140016K) : norcx_tm1tm2 has 0 polygons
2026-08-20 19:00:14 +0000: Memory Usage (140016K) : norcx_m1sub has 0 polygons
