$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/bisect_extra15/no_ties/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/bisect_extra15/no_ties/x.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/bisect_extra15/no_ties/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction
2026-08-20 17:13:53 +0000: Memory Usage (129920K) : Selected DISABLE_TAP_EXTRACTION option: true
2026-08-20 17:13:53 +0000: Memory Usage (129920K) : deep  mode is enabled.
2026-08-20 17:13:53 +0000: Memory Usage (129920K) : Applying implicit connections (case-sensitive, pattern supported) for nets: sub, sub!
2026-08-20 17:13:53 +0000: Memory Usage (131020K) : Netlist file: /workspace/layout/blocks/out/driver_stage/bisect_extra15/no_ties/x.cdl
2026-08-20 17:13:53 +0000: Memory Usage (131020K) : LVS extracted netlist at: /workspace/layout/blocks/out/driver_stage/bisect_extra15/no_ties/lvs/driver_dut_extracted.cir
2026-08-20 17:13:53 +0000: Memory Usage (131020K) : Applying SRAM integration support.
2026-08-20 17:13:53 +0000: Memory Usage (131020K) : Starting SG13G2 LVS runset
2026-08-20 17:13:53 +0000: Memory Usage (131020K) : Read in polygons from layers.
2026-08-20 17:13:53 +0000: Memory Usage (132232K) : activ_drw has 899 polygons
2026-08-20 17:13:53 +0000: Memory Usage (132232K) : activ_filler has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (132360K) : activ has 899 polygons
2026-08-20 17:13:53 +0000: Memory Usage (132360K) : activ_pin has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (132448K) : activ_mask has 4 polygons
2026-08-20 17:13:53 +0000: Memory Usage (132960K) : activ_nofill has 2 polygons
2026-08-20 17:13:53 +0000: Memory Usage (132960K) : activ_OPC has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (132960K) : activ_iOPC has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (132960K) : activ_noqrc has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (132960K) : biwind_drw has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (132960K) : biwind_OPC has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (132960K) : gatpoly_drw has 140 polygons
2026-08-20 17:13:53 +0000: Memory Usage (132960K) : gatpoly_filler has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (132960K) : gatpoly has 140 polygons
2026-08-20 17:13:53 +0000: Memory Usage (132960K) : gatpoly_pin has 119 polygons
2026-08-20 17:13:53 +0000: Memory Usage (132960K) : gatpoly_nofill has 2 polygons
2026-08-20 17:13:53 +0000: Memory Usage (132960K) : gatpoly_OPC has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (132960K) : gatpoly_iOPC has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (132960K) : gatpoly_noqrc has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (132960K) : cont_drw has 14577 polygons
2026-08-20 17:13:53 +0000: Memory Usage (132960K) : cont_OPC has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (132960K) : nsd_drw has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (132960K) : nsd_block has 4 polygons
2026-08-20 17:13:53 +0000: Memory Usage (132960K) : metal1_drw has 1550 polygons
2026-08-20 17:13:53 +0000: Memory Usage (133088K) : metal1_filler has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (133088K) : metal1_slit has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (133216K) : metal1 has 1550 polygons
2026-08-20 17:13:53 +0000: Memory Usage (133216K) : metal1_pin has 750 polygons
2026-08-20 17:13:53 +0000: Memory Usage (133344K) : metal1_mask has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (133344K) : metal1_nofill has 2 polygons
2026-08-20 17:13:53 +0000: Memory Usage (133600K) : metal1_text has 5 polygons
2026-08-20 17:13:53 +0000: Memory Usage (133728K) : metal1_OPC has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (133728K) : metal1_noqrc has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (133728K) : metal1_res has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (133856K) : metal1_iprobe has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (133856K) : metal1_diffprb has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (133856K) : passiv_drw has 2 polygons
2026-08-20 17:13:53 +0000: Memory Usage (133984K) : passiv_pin has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (133984K) : passiv_sbump has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (133984K) : passiv_pillar has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (134112K) : passiv_pdl has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (134112K) : metal2_drw has 541 polygons
2026-08-20 17:13:53 +0000: Memory Usage (134112K) : metal2_filler has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (134240K) : metal2_slit has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (134240K) : metal2 has 541 polygons
2026-08-20 17:13:53 +0000: Memory Usage (134240K) : metal2_pin has 10 polygons
2026-08-20 17:13:53 +0000: Memory Usage (134240K) : metal2_mask has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (134240K) : metal2_nofill has 2 polygons
2026-08-20 17:13:53 +0000: Memory Usage (134368K) : metal2_text has 3 polygons
2026-08-20 17:13:53 +0000: Memory Usage (134368K) : metal2_OPC has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (134368K) : metal2_noqrc has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (134368K) : metal2_res has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (134496K) : metal2_iprobe has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (134496K) : metal2_diffprb has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (134496K) : baspoly_drw has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (134496K) : baspoly_pin has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (134624K) : psd_drw has 515 polygons
2026-08-20 17:13:53 +0000: Memory Usage (134624K) : nldb_drw has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (134624K) : digibnd_drw has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (134624K) : via1_drw has 7634 polygons
2026-08-20 17:13:53 +0000: Memory Usage (134752K) : backmetal1_drw has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (134752K) : backmetal1_pin has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (134752K) : backmetal1_mask has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (134880K) : backmetal1_filler has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (134880K) : backmetal1_nofill has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (134880K) : backmetal1_slit has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (134880K) : backmetal1_text has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (135008K) : backmetal1_OPC has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (135008K) : backmetal1_noqrc has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (135008K) : backmetal1_res has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (135008K) : backmetal1_iprobe has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (135136K) : backmetal1_diffprb has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (135136K) : backpassiv_drw has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (135136K) : res_drw has 2 polygons
2026-08-20 17:13:53 +0000: Memory Usage (135136K) : sram_drw has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (135264K) : trans_drw has 2 polygons
2026-08-20 17:13:53 +0000: Memory Usage (135264K) : ind_drw has 2 polygons
2026-08-20 17:13:53 +0000: Memory Usage (135264K) : ind_pin has 4 polygons
2026-08-20 17:13:53 +0000: Memory Usage (135392K) : ind_text has 4 polygons
2026-08-20 17:13:53 +0000: Memory Usage (135392K) : salblock_drw has 12 polygons
2026-08-20 17:13:53 +0000: Memory Usage (135392K) : via2_drw has 804 polygons
2026-08-20 17:13:53 +0000: Memory Usage (135520K) : metal3_drw has 44 polygons
2026-08-20 17:13:53 +0000: Memory Usage (135520K) : metal3_filler has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (135520K) : metal3_slit has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (135520K) : metal3 has 44 polygons
2026-08-20 17:13:53 +0000: Memory Usage (135520K) : metal3_pin has 2 polygons
2026-08-20 17:13:53 +0000: Memory Usage (135520K) : metal3_mask has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (135520K) : metal3_nofill has 2 polygons
2026-08-20 17:13:53 +0000: Memory Usage (135520K) : metal3_text has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (135520K) : metal3_OPC has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (135520K) : metal3_noqrc has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (135520K) : metal3_res has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (135520K) : metal3_iprobe has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (135520K) : metal3_diffprb has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (135520K) : nwell_drw has 14 polygons
2026-08-20 17:13:53 +0000: Memory Usage (135520K) : nwell_pin has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (135520K) : nwell_text has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (135520K) : nbulay_drw has 1 polygons
2026-08-20 17:13:53 +0000: Memory Usage (135648K) : nbulay_pin has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (135648K) : nbulay_block has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (135648K) : emwind_drw has 4 polygons
2026-08-20 17:13:53 +0000: Memory Usage (135648K) : emwind_OPC has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (135648K) : deepco_drw has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (135776K) : mim_drw has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (135776K) : edgeseal_drw has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (135776K) : substrate_drw has 500 polygons
2026-08-20 17:13:53 +0000: Memory Usage (135776K) : substrate_text has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (135776K) : dfpad_drw has 2 polygons
2026-08-20 17:13:53 +0000: Memory Usage (135776K) : dfpad_pillar has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (135904K) : dfpad_sbump has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (135904K) : thickgateox_drw has 1 polygons
2026-08-20 17:13:53 +0000: Memory Usage (135904K) : pldb_drw has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (135904K) : pwell_drw has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (135904K) : pwell_pin has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (136032K) : pwell_block has 2 polygons
2026-08-20 17:13:53 +0000: Memory Usage (136032K) : ic_drw has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (136032K) : via3_drw has 1017 polygons
2026-08-20 17:13:53 +0000: Memory Usage (136032K) : metal4_drw has 23 polygons
2026-08-20 17:13:53 +0000: Memory Usage (136032K) : metal4_filler has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (136032K) : metal4_slit has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (136160K) : metal4 has 23 polygons
2026-08-20 17:13:53 +0000: Memory Usage (136160K) : metal4_pin has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (136160K) : metal4_mask has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (136160K) : metal4_nofill has 2 polygons
2026-08-20 17:13:53 +0000: Memory Usage (136160K) : metal4_text has 3 polygons
2026-08-20 17:13:53 +0000: Memory Usage (136160K) : metal4_OPC has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (136160K) : metal4_noqrc has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (136288K) : metal4_res has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (136288K) : metal4_iprobe has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (136288K) : metal4_diffprb has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (136288K) : heattrans_drw has 123 polygons
2026-08-20 17:13:53 +0000: Memory Usage (136288K) : heatres_drw has 2 polygons
2026-08-20 17:13:53 +0000: Memory Usage (136288K) : fbe_drw has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (136416K) : empoly_drw has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (136416K) : digisub_drw has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (136416K) : text_drw has 655 polygons
2026-08-20 17:13:53 +0000: Memory Usage (136416K) : via4_drw has 1011 polygons
2026-08-20 17:13:53 +0000: Memory Usage (136416K) : metal5_drw has 35 polygons
2026-08-20 17:13:53 +0000: Memory Usage (136416K) : metal5_filler has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (136544K) : metal5_slit has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (136544K) : metal5 has 35 polygons
2026-08-20 17:13:53 +0000: Memory Usage (136544K) : metal5_pin has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (136544K) : metal5_mask has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (136544K) : metal5_nofill has 2 polygons
2026-08-20 17:13:53 +0000: Memory Usage (136544K) : metal5_text has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (136672K) : metal5_OPC has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (136672K) : metal5_noqrc has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (136672K) : metal5_res has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (136672K) : metal5_iprobe has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (136672K) : metal5_diffprb has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (136800K) : radhard_drw has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (136800K) : memcap_drw has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (136800K) : varicap_drw has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (136800K) : intbondvia_drw has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (136928K) : intbondmet_drw has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (136928K) : devbondvia_drw has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (136928K) : devbondmet_drw has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (136928K) : devtrench_drw has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (137056K) : redist_drw has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (137056K) : graphbot_drw has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (137056K) : graphtop_drw has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (137056K) : antvia1_drw has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (137056K) : antmetal2_drw has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (137056K) : graphcont_drw has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (137184K) : siwg_drw has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (137184K) : siwg_filler has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (137184K) : siwg_nofill has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (137184K) : sigrating_drw has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (137184K) : singrating_drw has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (137184K) : graphpas_drw has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (137312K) : emwind3_drw has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (137312K) : emwihv3_drw has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (137312K) : redbulay_drw has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (137312K) : smos_drw has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (137440K) : graphpad_drw has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (137440K) : polimide_drw has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (137440K) : polimide_pin has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (137440K) : recog_drw has 1 polygons
2026-08-20 17:13:53 +0000: Memory Usage (137568K) : recog_pin has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (137568K) : recog_esd has 5 polygons
2026-08-20 17:13:53 +0000: Memory Usage (137568K) : recog_diode has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (137568K) : recog_tsv has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (137696K) : recog_iprobe has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (137696K) : recog_diffprb has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (137696K) : recog_pillar has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (137696K) : recog_sbump has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (137824K) : recog_otp has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (137824K) : recog_pdiode has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (137824K) : recog_mom has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (137824K) : recog_momf has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (137952K) : recog_pcm has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (137952K) : colopen_drw has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (137952K) : graphmetal1_drw has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (137952K) : graphmetal1_filler has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (138080K) : graphmetal1_nofill has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (138080K) : graphmetal1_slit has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (138080K) : graphmetal1_OPC has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (138080K) : graphmet1l_drw has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (138080K) : graphmet1l_filler has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (138208K) : graphmet1l_nofill has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (138208K) : graphmet1l_slit has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (138208K) : graphmet1l_OPC has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (138208K) : extblock_drw has 6 polygons
2026-08-20 17:13:53 +0000: Memory Usage (138208K) : nldd_drw has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (138208K) : pldd_drw has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (138336K) : next_drw has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (138336K) : pext_drw has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (138336K) : nexthv_drw has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (138336K) : pexthv_drw has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (138336K) : graphgate_drw has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (138464K) : sinwg_drw has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (138464K) : sinwg_filler has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (138464K) : sinwg_nofill has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (138464K) : mempad_drw has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (138464K) : topvia1_drw has 477 polygons
2026-08-20 17:13:53 +0000: Memory Usage (138592K) : topmetal1_drw has 48 polygons
2026-08-20 17:13:53 +0000: Memory Usage (138592K) : topmetal1_filler has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (138592K) : topmetal1_slit has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (138592K) : topmetal1 has 48 polygons
2026-08-20 17:13:53 +0000: Memory Usage (138592K) : topmetal1_pin has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (138720K) : topmetal1_mask has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (138720K) : topmetal1_nofill has 2 polygons
2026-08-20 17:13:53 +0000: Memory Usage (138720K) : topmetal1_text has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (138720K) : topmetal1_noqrc has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (138848K) : topmetal1_res has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (138848K) : topmetal1_iprobe has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (138848K) : topmetal1_diffprb has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (138848K) : inldpwl_drw has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (138976K) : polyres_drw has 2 polygons
2026-08-20 17:13:53 +0000: Memory Usage (138976K) : polyres_pin has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (138976K) : vmim_drw has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (138976K) : nbulaycut_drw has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (139104K) : antmetal1_drw has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (139104K) : topvia2_drw has 231 polygons
2026-08-20 17:13:53 +0000: Memory Usage (139360K) : topmetal2_drw has 63 polygons
2026-08-20 17:13:53 +0000: Memory Usage (139360K) : topmetal2_filler has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (139360K) : topmetal2_slit has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (139360K) : topmetal2 has 63 polygons
2026-08-20 17:13:53 +0000: Memory Usage (139488K) : topmetal2_pin has 4 polygons
2026-08-20 17:13:53 +0000: Memory Usage (139488K) : topmetal2_mask has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (139488K) : topmetal2_nofill has 2 polygons
2026-08-20 17:13:53 +0000: Memory Usage (139488K) : topmetal2_text has 8 polygons
2026-08-20 17:13:53 +0000: Memory Usage (139616K) : topmetal2_noqrc has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (139616K) : topmetal2_res has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (139616K) : topmetal2_iprobe has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (139616K) : topmetal2_diffprb has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (139744K) : snsring_drw has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (139744K) : sensor_drw has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (139744K) : snsarms_drw has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (139744K) : snscmosvia_drw has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (139872K) : colwind_drw has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (140000K) : flm_drw has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (140000K) : hafniumox_drw has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (140000K) : memvia_drw has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (140000K) : thinfilmres_drw has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (140000K) : rfmem_drw has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (140000K) : norcx_drw has 2 polygons
2026-08-20 17:13:53 +0000: Memory Usage (140000K) : norcx_m2m3 has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (140000K) : norcx_m2m4 has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (140000K) : norcx_m2m5 has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (140000K) : norcx_m2tm1 has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (140000K) : norcx_m2tm2 has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (140000K) : norcx_m3m4 has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (140000K) : norcx_m3m5 has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (140000K) : norcx_m3tm1 has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (140000K) : norcx_m3tm2 has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (140000K) : norcx_m4m5 has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (140000K) : norcx_m4tm1 has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (140000K) : norcx_m4tm2 has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (140000K) : norcx_m5tm1 has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (140000K) : norcx_m5tm2 has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (140000K) : norcx_tm1tm2 has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (140000K) : norcx_m1sub has 0 polygons
2026-08-20 17:13:53 +0000: Memory Usage (140000K) : norcx_m2sub has 0 polygons
