$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/bisect_run/_probe10_both/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/bisect_run/_probe10_both/driver_dut.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/bisect_run/_probe10_both/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction
2026-08-20 19:08:28 +0000: Memory Usage (129744K) : Selected DISABLE_TAP_EXTRACTION option: true
2026-08-20 19:08:28 +0000: Memory Usage (129744K) : deep  mode is enabled.
2026-08-20 19:08:28 +0000: Memory Usage (129744K) : Applying implicit connections (case-sensitive, pattern supported) for nets: sub, sub!
2026-08-20 19:08:28 +0000: Memory Usage (130972K) : Netlist file: /workspace/layout/blocks/out/driver_stage/bisect_run/_probe10_both/driver_dut.cdl
2026-08-20 19:08:28 +0000: Memory Usage (130972K) : LVS extracted netlist at: /workspace/layout/blocks/out/driver_stage/bisect_run/_probe10_both/lvs/driver_dut_extracted.cir
2026-08-20 19:08:28 +0000: Memory Usage (130972K) : Applying SRAM integration support.
2026-08-20 19:08:28 +0000: Memory Usage (130972K) : Starting SG13G2 LVS runset
2026-08-20 19:08:28 +0000: Memory Usage (130972K) : Read in polygons from layers.
2026-08-20 19:08:28 +0000: Memory Usage (132328K) : activ_drw has 893 polygons
2026-08-20 19:08:28 +0000: Memory Usage (132328K) : activ_filler has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (132456K) : activ has 893 polygons
2026-08-20 19:08:28 +0000: Memory Usage (132456K) : activ_pin has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (132456K) : activ_mask has 4 polygons
2026-08-20 19:08:28 +0000: Memory Usage (132456K) : activ_nofill has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (132456K) : activ_OPC has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (132456K) : activ_iOPC has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (132456K) : activ_noqrc has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (132544K) : biwind_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (133056K) : biwind_OPC has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (133056K) : gatpoly_drw has 123 polygons
2026-08-20 19:08:28 +0000: Memory Usage (133056K) : gatpoly_filler has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (133056K) : gatpoly has 123 polygons
2026-08-20 19:08:28 +0000: Memory Usage (133056K) : gatpoly_pin has 119 polygons
2026-08-20 19:08:28 +0000: Memory Usage (133056K) : gatpoly_nofill has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (133056K) : gatpoly_OPC has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (133056K) : gatpoly_iOPC has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (133056K) : gatpoly_noqrc has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (133056K) : cont_drw has 13150 polygons
2026-08-20 19:08:28 +0000: Memory Usage (133056K) : cont_OPC has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (133056K) : nsd_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (133056K) : nsd_block has 4 polygons
2026-08-20 19:08:28 +0000: Memory Usage (133056K) : metal1_drw has 1515 polygons
2026-08-20 19:08:28 +0000: Memory Usage (133056K) : metal1_filler has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (133056K) : metal1_slit has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (133184K) : metal1 has 1515 polygons
2026-08-20 19:08:28 +0000: Memory Usage (133184K) : metal1_pin has 746 polygons
2026-08-20 19:08:28 +0000: Memory Usage (133184K) : metal1_mask has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (133312K) : metal1_nofill has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (133568K) : metal1_text has 3 polygons
2026-08-20 19:08:28 +0000: Memory Usage (133568K) : metal1_OPC has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (133696K) : metal1_noqrc has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (133696K) : metal1_res has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (133696K) : metal1_iprobe has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (133824K) : metal1_diffprb has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (133824K) : passiv_drw has 2 polygons
2026-08-20 19:08:28 +0000: Memory Usage (133824K) : passiv_pin has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (133952K) : passiv_sbump has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (133952K) : passiv_pillar has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (133952K) : passiv_pdl has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (134080K) : metal2_drw has 529 polygons
2026-08-20 19:08:28 +0000: Memory Usage (134080K) : metal2_filler has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (134208K) : metal2_slit has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (134208K) : metal2 has 529 polygons
2026-08-20 19:08:28 +0000: Memory Usage (134336K) : metal2_pin has 10 polygons
2026-08-20 19:08:28 +0000: Memory Usage (134336K) : metal2_mask has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (134336K) : metal2_nofill has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (134464K) : metal2_text has 3 polygons
2026-08-20 19:08:28 +0000: Memory Usage (134464K) : metal2_OPC has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (134464K) : metal2_noqrc has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (134464K) : metal2_res has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (134592K) : metal2_iprobe has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (134592K) : metal2_diffprb has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (134592K) : baspoly_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (134592K) : baspoly_pin has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (134720K) : psd_drw has 514 polygons
2026-08-20 19:08:28 +0000: Memory Usage (134720K) : nldb_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (134720K) : digibnd_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (134720K) : via1_drw has 6612 polygons
2026-08-20 19:08:28 +0000: Memory Usage (134848K) : backmetal1_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (134848K) : backmetal1_pin has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (134848K) : backmetal1_mask has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (134848K) : backmetal1_filler has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (134976K) : backmetal1_nofill has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (134976K) : backmetal1_slit has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (134976K) : backmetal1_text has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (134976K) : backmetal1_OPC has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (135104K) : backmetal1_noqrc has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (135104K) : backmetal1_res has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (135104K) : backmetal1_iprobe has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (135104K) : backmetal1_diffprb has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (135232K) : backpassiv_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (135232K) : res_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (135232K) : sram_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (135232K) : trans_drw has 2 polygons
2026-08-20 19:08:28 +0000: Memory Usage (135360K) : ind_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (135360K) : ind_pin has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (135360K) : ind_text has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (135360K) : salblock_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (135488K) : via2_drw has 25 polygons
2026-08-20 19:08:28 +0000: Memory Usage (135488K) : metal3_drw has 19 polygons
2026-08-20 19:08:28 +0000: Memory Usage (135488K) : metal3_filler has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (135488K) : metal3_slit has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (135616K) : metal3 has 19 polygons
2026-08-20 19:08:28 +0000: Memory Usage (135616K) : metal3_pin has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (135616K) : metal3_mask has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (135744K) : metal3_nofill has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (135744K) : metal3_text has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (135744K) : metal3_OPC has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (135744K) : metal3_noqrc has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (135872K) : metal3_res has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (135872K) : metal3_iprobe has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (135872K) : metal3_diffprb has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (135872K) : nwell_drw has 10 polygons
2026-08-20 19:08:28 +0000: Memory Usage (135872K) : nwell_pin has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (135872K) : nwell_text has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (135872K) : nbulay_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (135872K) : nbulay_pin has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (135872K) : nbulay_block has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (135872K) : emwind_drw has 4 polygons
2026-08-20 19:08:28 +0000: Memory Usage (135872K) : emwind_OPC has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (135872K) : deepco_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (135872K) : mim_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (135872K) : edgeseal_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (136000K) : substrate_drw has 500 polygons
2026-08-20 19:08:28 +0000: Memory Usage (136000K) : substrate_text has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (136000K) : dfpad_drw has 2 polygons
2026-08-20 19:08:28 +0000: Memory Usage (136000K) : dfpad_pillar has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (136000K) : dfpad_sbump has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (136000K) : thickgateox_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (136128K) : pldb_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (136128K) : pwell_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (136128K) : pwell_pin has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (136128K) : pwell_block has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (136128K) : ic_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (136128K) : via3_drw has 1001 polygons
2026-08-20 19:08:28 +0000: Memory Usage (136256K) : metal4_drw has 19 polygons
2026-08-20 19:08:28 +0000: Memory Usage (136256K) : metal4_filler has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (136256K) : metal4_slit has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (136256K) : metal4 has 19 polygons
2026-08-20 19:08:28 +0000: Memory Usage (136256K) : metal4_pin has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (136384K) : metal4_mask has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (136384K) : metal4_nofill has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (136384K) : metal4_text has 3 polygons
2026-08-20 19:08:28 +0000: Memory Usage (136384K) : metal4_OPC has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (136384K) : metal4_noqrc has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (136384K) : metal4_res has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (136512K) : metal4_iprobe has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (136512K) : metal4_diffprb has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (136512K) : heattrans_drw has 123 polygons
2026-08-20 19:08:28 +0000: Memory Usage (136512K) : heatres_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (136512K) : fbe_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (136512K) : empoly_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (136640K) : digisub_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (136640K) : text_drw has 645 polygons
2026-08-20 19:08:28 +0000: Memory Usage (136640K) : via4_drw has 995 polygons
2026-08-20 19:08:28 +0000: Memory Usage (136640K) : metal5_drw has 18 polygons
2026-08-20 19:08:28 +0000: Memory Usage (136640K) : metal5_filler has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (136640K) : metal5_slit has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (136640K) : metal5 has 18 polygons
2026-08-20 19:08:28 +0000: Memory Usage (136768K) : metal5_pin has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (136768K) : metal5_mask has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (136768K) : metal5_nofill has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (136768K) : metal5_text has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (136768K) : metal5_OPC has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (136768K) : metal5_noqrc has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (136896K) : metal5_res has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (136896K) : metal5_iprobe has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (136896K) : metal5_diffprb has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (136896K) : radhard_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (136896K) : memcap_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (136896K) : varicap_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (137024K) : intbondvia_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (137024K) : intbondmet_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (137024K) : devbondvia_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (137024K) : devbondmet_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (137024K) : devtrench_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (137024K) : redist_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (137152K) : graphbot_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (137152K) : graphtop_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (137152K) : antvia1_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (137152K) : antmetal2_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (137152K) : graphcont_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (137152K) : siwg_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (137280K) : siwg_filler has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (137280K) : siwg_nofill has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (137280K) : sigrating_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (137280K) : singrating_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (137280K) : graphpas_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (137408K) : emwind3_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (137408K) : emwihv3_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (137408K) : redbulay_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (137408K) : smos_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (137408K) : graphpad_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (137408K) : polimide_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (137536K) : polimide_pin has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (137536K) : recog_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (137536K) : recog_pin has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (137536K) : recog_esd has 4 polygons
2026-08-20 19:08:28 +0000: Memory Usage (137536K) : recog_diode has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (137536K) : recog_tsv has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (137664K) : recog_iprobe has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (137664K) : recog_diffprb has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (137664K) : recog_pillar has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (137664K) : recog_sbump has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (137664K) : recog_otp has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (137664K) : recog_pdiode has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (137792K) : recog_mom has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (137792K) : recog_momf has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (137792K) : recog_pcm has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (137792K) : colopen_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (137792K) : graphmetal1_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (137920K) : graphmetal1_filler has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (137920K) : graphmetal1_nofill has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (137920K) : graphmetal1_slit has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (137920K) : graphmetal1_OPC has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (137920K) : graphmet1l_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (137920K) : graphmet1l_filler has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (138048K) : graphmet1l_nofill has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (138048K) : graphmet1l_slit has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (138048K) : graphmet1l_OPC has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (138048K) : extblock_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (138048K) : nldd_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (138048K) : pldd_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (138176K) : next_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (138176K) : pext_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (138176K) : nexthv_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (138176K) : pexthv_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (138304K) : graphgate_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (138304K) : sinwg_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (138304K) : sinwg_filler has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (138304K) : sinwg_nofill has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (138304K) : mempad_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (138432K) : topvia1_drw has 477 polygons
2026-08-20 19:08:28 +0000: Memory Usage (138432K) : topmetal1_drw has 48 polygons
2026-08-20 19:08:28 +0000: Memory Usage (138432K) : topmetal1_filler has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (138432K) : topmetal1_slit has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (138432K) : topmetal1 has 48 polygons
2026-08-20 19:08:28 +0000: Memory Usage (138432K) : topmetal1_pin has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (138560K) : topmetal1_mask has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (138560K) : topmetal1_nofill has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (138560K) : topmetal1_text has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (138560K) : topmetal1_noqrc has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (138560K) : topmetal1_res has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (138688K) : topmetal1_iprobe has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (138688K) : topmetal1_diffprb has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (138688K) : inldpwl_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (138688K) : polyres_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (138688K) : polyres_pin has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (138688K) : vmim_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (138816K) : nbulaycut_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (138816K) : antmetal1_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (138816K) : topvia2_drw has 229 polygons
2026-08-20 19:08:28 +0000: Memory Usage (138816K) : topmetal2_drw has 45 polygons
2026-08-20 19:08:28 +0000: Memory Usage (138944K) : topmetal2_filler has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (138944K) : topmetal2_slit has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (138944K) : topmetal2 has 45 polygons
2026-08-20 19:08:28 +0000: Memory Usage (138944K) : topmetal2_pin has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (139072K) : topmetal2_mask has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (139072K) : topmetal2_nofill has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (139072K) : topmetal2_text has 6 polygons
2026-08-20 19:08:28 +0000: Memory Usage (139072K) : topmetal2_noqrc has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (139200K) : topmetal2_res has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (139200K) : topmetal2_iprobe has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (139328K) : topmetal2_diffprb has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (139328K) : snsring_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (139328K) : sensor_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (139328K) : snsarms_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (139456K) : snscmosvia_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (139456K) : colwind_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (139456K) : flm_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (139584K) : hafniumox_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (139584K) : memvia_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (139584K) : thinfilmres_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (139584K) : rfmem_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (139712K) : norcx_drw has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (139712K) : norcx_m2m3 has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (139712K) : norcx_m2m4 has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (139712K) : norcx_m2m5 has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (139840K) : norcx_m2tm1 has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (139840K) : norcx_m2tm2 has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (139968K) : norcx_m3m4 has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (139968K) : norcx_m3m5 has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (139968K) : norcx_m3tm1 has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (139968K) : norcx_m3tm2 has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (139968K) : norcx_m4m5 has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (139968K) : norcx_m4tm1 has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (139968K) : norcx_m4tm2 has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (139968K) : norcx_m5tm1 has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (139968K) : norcx_m5tm2 has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (139968K) : norcx_tm1tm2 has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (139968K) : norcx_m1sub has 0 polygons
2026-08-20 19:08:28 +0000: Memory Usage (139968K) : norcx_m2sub has 0 polygons
