$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/probe8/full_esd/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/probe8/full_esd/t.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/probe8/full_esd/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction
2026-08-20 16:48:52 +0000: Memory Usage (130276K) : Selected DISABLE_TAP_EXTRACTION option: true
2026-08-20 16:48:52 +0000: Memory Usage (130276K) : deep  mode is enabled.
2026-08-20 16:48:52 +0000: Memory Usage (130276K) : Applying implicit connections (case-sensitive, pattern supported) for nets: sub, sub!
2026-08-20 16:48:52 +0000: Memory Usage (131532K) : Netlist file: /workspace/layout/blocks/out/driver_stage/probe8/full_esd/t.cdl
2026-08-20 16:48:52 +0000: Memory Usage (131532K) : LVS extracted netlist at: /workspace/layout/blocks/out/driver_stage/probe8/full_esd/lvs/driver_dut_extracted.cir
2026-08-20 16:48:52 +0000: Memory Usage (131532K) : Applying SRAM integration support.
2026-08-20 16:48:52 +0000: Memory Usage (131532K) : Starting SG13G2 LVS runset
2026-08-20 16:48:52 +0000: Memory Usage (131532K) : Read in polygons from layers.
2026-08-20 16:48:52 +0000: Memory Usage (132684K) : activ_drw has 899 polygons
2026-08-20 16:48:52 +0000: Memory Usage (132684K) : activ_filler has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (133032K) : activ has 899 polygons
2026-08-20 16:48:52 +0000: Memory Usage (133544K) : activ_pin has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (133544K) : activ_mask has 4 polygons
2026-08-20 16:48:52 +0000: Memory Usage (133544K) : activ_nofill has 2 polygons
2026-08-20 16:48:52 +0000: Memory Usage (133544K) : activ_OPC has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (133544K) : activ_iOPC has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (133544K) : activ_noqrc has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (133544K) : biwind_drw has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (133544K) : biwind_OPC has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (133544K) : gatpoly_drw has 140 polygons
2026-08-20 16:48:52 +0000: Memory Usage (133544K) : gatpoly_filler has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (133544K) : gatpoly has 140 polygons
2026-08-20 16:48:52 +0000: Memory Usage (133544K) : gatpoly_pin has 119 polygons
2026-08-20 16:48:52 +0000: Memory Usage (133544K) : gatpoly_nofill has 2 polygons
2026-08-20 16:48:52 +0000: Memory Usage (133544K) : gatpoly_OPC has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (133544K) : gatpoly_iOPC has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (133544K) : gatpoly_noqrc has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (133544K) : cont_drw has 14577 polygons
2026-08-20 16:48:52 +0000: Memory Usage (133544K) : cont_OPC has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (133672K) : nsd_drw has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (133672K) : nsd_block has 4 polygons
2026-08-20 16:48:52 +0000: Memory Usage (133672K) : metal1_drw has 1566 polygons
2026-08-20 16:48:52 +0000: Memory Usage (133800K) : metal1_filler has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (133800K) : metal1_slit has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (134056K) : metal1 has 1566 polygons
2026-08-20 16:48:52 +0000: Memory Usage (134056K) : metal1_pin has 750 polygons
2026-08-20 16:48:52 +0000: Memory Usage (134184K) : metal1_mask has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (134184K) : metal1_nofill has 2 polygons
2026-08-20 16:48:52 +0000: Memory Usage (134312K) : metal1_text has 5 polygons
2026-08-20 16:48:52 +0000: Memory Usage (134440K) : metal1_OPC has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (134440K) : metal1_noqrc has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (134568K) : metal1_res has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (134568K) : metal1_iprobe has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (134568K) : metal1_diffprb has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (134696K) : passiv_drw has 2 polygons
2026-08-20 16:48:52 +0000: Memory Usage (134696K) : passiv_pin has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (134696K) : passiv_sbump has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (134824K) : passiv_pillar has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (134824K) : passiv_pdl has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (134824K) : metal2_drw has 596 polygons
2026-08-20 16:48:52 +0000: Memory Usage (134952K) : metal2_filler has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (134952K) : metal2_slit has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (134952K) : metal2 has 596 polygons
2026-08-20 16:48:52 +0000: Memory Usage (134952K) : metal2_pin has 10 polygons
2026-08-20 16:48:52 +0000: Memory Usage (135080K) : metal2_mask has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (135080K) : metal2_nofill has 2 polygons
2026-08-20 16:48:52 +0000: Memory Usage (135080K) : metal2_text has 3 polygons
2026-08-20 16:48:52 +0000: Memory Usage (135080K) : metal2_OPC has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (135208K) : metal2_noqrc has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (135208K) : metal2_res has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (135208K) : metal2_iprobe has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (135208K) : metal2_diffprb has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (135336K) : baspoly_drw has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (135336K) : baspoly_pin has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (135336K) : psd_drw has 515 polygons
2026-08-20 16:48:52 +0000: Memory Usage (135464K) : nldb_drw has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (135464K) : digibnd_drw has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (135464K) : via1_drw has 7666 polygons
2026-08-20 16:48:52 +0000: Memory Usage (135464K) : backmetal1_drw has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (135592K) : backmetal1_pin has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (135592K) : backmetal1_mask has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (135592K) : backmetal1_filler has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (135592K) : backmetal1_nofill has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (135720K) : backmetal1_slit has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (135720K) : backmetal1_text has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (135720K) : backmetal1_OPC has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (135720K) : backmetal1_noqrc has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (135848K) : backmetal1_res has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (135848K) : backmetal1_iprobe has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (135848K) : backmetal1_diffprb has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (135848K) : backpassiv_drw has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (135976K) : res_drw has 2 polygons
2026-08-20 16:48:52 +0000: Memory Usage (135976K) : sram_drw has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (135976K) : trans_drw has 2 polygons
2026-08-20 16:48:52 +0000: Memory Usage (136104K) : ind_drw has 2 polygons
2026-08-20 16:48:52 +0000: Memory Usage (136104K) : ind_pin has 4 polygons
2026-08-20 16:48:52 +0000: Memory Usage (136104K) : ind_text has 4 polygons
2026-08-20 16:48:52 +0000: Memory Usage (136104K) : salblock_drw has 12 polygons
2026-08-20 16:48:52 +0000: Memory Usage (136232K) : via2_drw has 869 polygons
2026-08-20 16:48:52 +0000: Memory Usage (136232K) : metal3_drw has 86 polygons
2026-08-20 16:48:52 +0000: Memory Usage (136232K) : metal3_filler has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (136360K) : metal3_slit has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (136360K) : metal3 has 86 polygons
2026-08-20 16:48:52 +0000: Memory Usage (136360K) : metal3_pin has 2 polygons
2026-08-20 16:48:52 +0000: Memory Usage (136360K) : metal3_mask has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (136360K) : metal3_nofill has 2 polygons
2026-08-20 16:48:52 +0000: Memory Usage (136360K) : metal3_text has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (136360K) : metal3_OPC has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (136360K) : metal3_noqrc has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (136360K) : metal3_res has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (136360K) : metal3_iprobe has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (136360K) : metal3_diffprb has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (136360K) : nwell_drw has 14 polygons
2026-08-20 16:48:52 +0000: Memory Usage (136360K) : nwell_pin has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (136360K) : nwell_text has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (136360K) : nbulay_drw has 1 polygons
2026-08-20 16:48:52 +0000: Memory Usage (136360K) : nbulay_pin has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (136360K) : nbulay_block has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (136360K) : emwind_drw has 4 polygons
2026-08-20 16:48:52 +0000: Memory Usage (136488K) : emwind_OPC has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (136488K) : deepco_drw has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (136488K) : mim_drw has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (136488K) : edgeseal_drw has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (136488K) : substrate_drw has 500 polygons
2026-08-20 16:48:52 +0000: Memory Usage (136488K) : substrate_text has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (136616K) : dfpad_drw has 2 polygons
2026-08-20 16:48:52 +0000: Memory Usage (136616K) : dfpad_pillar has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (136616K) : dfpad_sbump has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (136616K) : thickgateox_drw has 1 polygons
2026-08-20 16:48:52 +0000: Memory Usage (136616K) : pldb_drw has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (136744K) : pwell_drw has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (136744K) : pwell_pin has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (136744K) : pwell_block has 2 polygons
2026-08-20 16:48:52 +0000: Memory Usage (136744K) : ic_drw has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (136744K) : via3_drw has 1063 polygons
2026-08-20 16:48:52 +0000: Memory Usage (136744K) : metal4_drw has 36 polygons
2026-08-20 16:48:52 +0000: Memory Usage (136872K) : metal4_filler has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (136872K) : metal4_slit has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (136872K) : metal4 has 36 polygons
2026-08-20 16:48:52 +0000: Memory Usage (136872K) : metal4_pin has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (136872K) : metal4_mask has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (137000K) : metal4_nofill has 2 polygons
2026-08-20 16:48:52 +0000: Memory Usage (137000K) : metal4_text has 3 polygons
2026-08-20 16:48:52 +0000: Memory Usage (137000K) : metal4_OPC has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (137000K) : metal4_noqrc has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (137000K) : metal4_res has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (137128K) : metal4_iprobe has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (137128K) : metal4_diffprb has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (137128K) : heattrans_drw has 123 polygons
2026-08-20 16:48:52 +0000: Memory Usage (137128K) : heatres_drw has 2 polygons
2026-08-20 16:48:52 +0000: Memory Usage (137128K) : fbe_drw has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (137128K) : empoly_drw has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (137256K) : digisub_drw has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (137256K) : text_drw has 655 polygons
2026-08-20 16:48:52 +0000: Memory Usage (137256K) : via4_drw has 1057 polygons
2026-08-20 16:48:52 +0000: Memory Usage (137256K) : metal5_drw has 64 polygons
2026-08-20 16:48:52 +0000: Memory Usage (137256K) : metal5_filler has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (137256K) : metal5_slit has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (137384K) : metal5 has 64 polygons
2026-08-20 16:48:52 +0000: Memory Usage (137384K) : metal5_pin has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (137384K) : metal5_mask has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (137384K) : metal5_nofill has 2 polygons
2026-08-20 16:48:52 +0000: Memory Usage (137384K) : metal5_text has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (137384K) : metal5_OPC has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (137512K) : metal5_noqrc has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (137512K) : metal5_res has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (137512K) : metal5_iprobe has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (137512K) : metal5_diffprb has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (137512K) : radhard_drw has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (137512K) : memcap_drw has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (137640K) : varicap_drw has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (137640K) : intbondvia_drw has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (137640K) : intbondmet_drw has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (137640K) : devbondvia_drw has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (137768K) : devbondmet_drw has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (137768K) : devtrench_drw has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (137768K) : redist_drw has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (137768K) : graphbot_drw has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (137768K) : graphtop_drw has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (137896K) : antvia1_drw has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (137896K) : antmetal2_drw has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (137896K) : graphcont_drw has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (137896K) : siwg_drw has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (137896K) : siwg_filler has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (137896K) : siwg_nofill has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (138024K) : sigrating_drw has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (138024K) : singrating_drw has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (138024K) : graphpas_drw has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (138024K) : emwind3_drw has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (138024K) : emwihv3_drw has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (138024K) : redbulay_drw has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (138152K) : smos_drw has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (138152K) : graphpad_drw has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (138152K) : polimide_drw has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (138152K) : polimide_pin has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (138152K) : recog_drw has 1 polygons
2026-08-20 16:48:52 +0000: Memory Usage (138280K) : recog_pin has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (138280K) : recog_esd has 5 polygons
2026-08-20 16:48:52 +0000: Memory Usage (138280K) : recog_diode has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (138280K) : recog_tsv has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (138408K) : recog_iprobe has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (138408K) : recog_diffprb has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (138408K) : recog_pillar has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (138408K) : recog_sbump has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (138536K) : recog_otp has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (138536K) : recog_pdiode has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (138536K) : recog_mom has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (138536K) : recog_momf has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (138664K) : recog_pcm has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (138664K) : colopen_drw has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (138664K) : graphmetal1_drw has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (138664K) : graphmetal1_filler has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (138792K) : graphmetal1_nofill has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (138792K) : graphmetal1_slit has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (138792K) : graphmetal1_OPC has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (138792K) : graphmet1l_drw has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (138920K) : graphmet1l_filler has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (138920K) : graphmet1l_nofill has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (138920K) : graphmet1l_slit has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (138920K) : graphmet1l_OPC has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (139048K) : extblock_drw has 6 polygons
2026-08-20 16:48:52 +0000: Memory Usage (139048K) : nldd_drw has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (139048K) : pldd_drw has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (139048K) : next_drw has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (139048K) : pext_drw has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (139176K) : nexthv_drw has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (139176K) : pexthv_drw has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (139176K) : graphgate_drw has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (139176K) : sinwg_drw has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (139176K) : sinwg_filler has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (139304K) : sinwg_nofill has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (139304K) : mempad_drw has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (139304K) : topvia1_drw has 490 polygons
2026-08-20 16:48:52 +0000: Memory Usage (139304K) : topmetal1_drw has 63 polygons
2026-08-20 16:48:52 +0000: Memory Usage (139304K) : topmetal1_filler has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (139304K) : topmetal1_slit has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (139432K) : topmetal1 has 63 polygons
2026-08-20 16:48:52 +0000: Memory Usage (139432K) : topmetal1_pin has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (139432K) : topmetal1_mask has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (139432K) : topmetal1_nofill has 2 polygons
2026-08-20 16:48:52 +0000: Memory Usage (139432K) : topmetal1_text has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (139560K) : topmetal1_noqrc has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (139560K) : topmetal1_res has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (139560K) : topmetal1_iprobe has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (139560K) : topmetal1_diffprb has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (139688K) : inldpwl_drw has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (139688K) : polyres_drw has 2 polygons
2026-08-20 16:48:52 +0000: Memory Usage (139688K) : polyres_pin has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (139688K) : vmim_drw has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (139816K) : nbulaycut_drw has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (139816K) : antmetal1_drw has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (139944K) : topvia2_drw has 236 polygons
2026-08-20 16:48:52 +0000: Memory Usage (140072K) : topmetal2_drw has 72 polygons
2026-08-20 16:48:52 +0000: Memory Usage (140072K) : topmetal2_filler has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (140072K) : topmetal2_slit has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (140200K) : topmetal2 has 72 polygons
2026-08-20 16:48:52 +0000: Memory Usage (140200K) : topmetal2_pin has 4 polygons
2026-08-20 16:48:52 +0000: Memory Usage (140200K) : topmetal2_mask has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (140200K) : topmetal2_nofill has 2 polygons
2026-08-20 16:48:52 +0000: Memory Usage (140328K) : topmetal2_text has 8 polygons
2026-08-20 16:48:52 +0000: Memory Usage (140328K) : topmetal2_noqrc has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (140328K) : topmetal2_res has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (140328K) : topmetal2_iprobe has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (140456K) : topmetal2_diffprb has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (140456K) : snsring_drw has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (140456K) : sensor_drw has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (140584K) : snsarms_drw has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (140584K) : snscmosvia_drw has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (140584K) : colwind_drw has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (140712K) : flm_drw has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (140712K) : hafniumox_drw has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (140840K) : memvia_drw has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (140840K) : thinfilmres_drw has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (140840K) : rfmem_drw has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (140840K) : norcx_drw has 2 polygons
2026-08-20 16:48:52 +0000: Memory Usage (140840K) : norcx_m2m3 has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (140840K) : norcx_m2m4 has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (140840K) : norcx_m2m5 has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (140840K) : norcx_m2tm1 has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (140840K) : norcx_m2tm2 has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (140840K) : norcx_m3m4 has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (140840K) : norcx_m3m5 has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (140840K) : norcx_m3tm1 has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (140840K) : norcx_m3tm2 has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (140840K) : norcx_m4m5 has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (140840K) : norcx_m4tm1 has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (140840K) : norcx_m4tm2 has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (140840K) : norcx_m5tm1 has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (140840K) : norcx_m5tm2 has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (140840K) : norcx_tm1tm2 has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (140840K) : norcx_m1sub has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (140840K) : norcx_m2sub has 0 polygons
2026-08-20 16:48:52 +0000: Memory Usage (140840K) : norcx_m3sub has 0 polygons
