$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/bisect_extra20/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/bisect_extra20/x.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/bisect_extra20/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction
2026-08-20 17:17:38 +0000: Memory Usage (130500K) : deep  mode is enabled.
2026-08-20 17:17:38 +0000: Memory Usage (130500K) : Applying implicit connections (case-sensitive, pattern supported) for nets: sub, sub!
2026-08-20 17:17:38 +0000: Memory Usage (131796K) : Netlist file: /workspace/layout/blocks/out/driver_stage/bisect_extra20/x.cdl
2026-08-20 17:17:38 +0000: Memory Usage (131796K) : LVS extracted netlist at: /workspace/layout/blocks/out/driver_stage/bisect_extra20/lvs/driver_dut_extracted.cir
2026-08-20 17:17:38 +0000: Memory Usage (131796K) : Applying SRAM integration support.
2026-08-20 17:17:38 +0000: Memory Usage (131796K) : Starting SG13G2 LVS runset
2026-08-20 17:17:38 +0000: Memory Usage (131796K) : Read in polygons from layers.
2026-08-20 17:17:38 +0000: Memory Usage (132948K) : activ_drw has 899 polygons
2026-08-20 17:17:38 +0000: Memory Usage (132948K) : activ_filler has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (133104K) : activ has 899 polygons
2026-08-20 17:17:38 +0000: Memory Usage (133616K) : activ_pin has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (133616K) : activ_mask has 4 polygons
2026-08-20 17:17:38 +0000: Memory Usage (133616K) : activ_nofill has 2 polygons
2026-08-20 17:17:38 +0000: Memory Usage (133616K) : activ_OPC has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (133616K) : activ_iOPC has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (133616K) : activ_noqrc has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (133616K) : biwind_drw has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (133616K) : biwind_OPC has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (133616K) : gatpoly_drw has 140 polygons
2026-08-20 17:17:38 +0000: Memory Usage (133616K) : gatpoly_filler has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (133616K) : gatpoly has 140 polygons
2026-08-20 17:17:38 +0000: Memory Usage (133616K) : gatpoly_pin has 119 polygons
2026-08-20 17:17:38 +0000: Memory Usage (133616K) : gatpoly_nofill has 2 polygons
2026-08-20 17:17:38 +0000: Memory Usage (133616K) : gatpoly_OPC has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (133616K) : gatpoly_iOPC has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (133616K) : gatpoly_noqrc has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (133744K) : cont_drw has 14577 polygons
2026-08-20 17:17:38 +0000: Memory Usage (133744K) : cont_OPC has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (133744K) : nsd_drw has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (133872K) : nsd_block has 4 polygons
2026-08-20 17:17:38 +0000: Memory Usage (133872K) : metal1_drw has 1566 polygons
2026-08-20 17:17:38 +0000: Memory Usage (133872K) : metal1_filler has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (134000K) : metal1_slit has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (134000K) : metal1 has 1566 polygons
2026-08-20 17:17:38 +0000: Memory Usage (134128K) : metal1_pin has 750 polygons
2026-08-20 17:17:38 +0000: Memory Usage (134128K) : metal1_mask has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (134256K) : metal1_nofill has 2 polygons
2026-08-20 17:17:38 +0000: Memory Usage (134384K) : metal1_text has 5 polygons
2026-08-20 17:17:38 +0000: Memory Usage (134384K) : metal1_OPC has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (134512K) : metal1_noqrc has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (134512K) : metal1_res has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (134512K) : metal1_iprobe has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (134640K) : metal1_diffprb has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (134640K) : passiv_drw has 2 polygons
2026-08-20 17:17:38 +0000: Memory Usage (134640K) : passiv_pin has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (134768K) : passiv_sbump has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (134768K) : passiv_pillar has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (134768K) : passiv_pdl has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (134896K) : metal2_drw has 573 polygons
2026-08-20 17:17:38 +0000: Memory Usage (134896K) : metal2_filler has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (134896K) : metal2_slit has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (135024K) : metal2 has 573 polygons
2026-08-20 17:17:38 +0000: Memory Usage (135024K) : metal2_pin has 10 polygons
2026-08-20 17:17:38 +0000: Memory Usage (135024K) : metal2_mask has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (135024K) : metal2_nofill has 2 polygons
2026-08-20 17:17:38 +0000: Memory Usage (135152K) : metal2_text has 3 polygons
2026-08-20 17:17:38 +0000: Memory Usage (135152K) : metal2_OPC has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (135152K) : metal2_noqrc has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (135152K) : metal2_res has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (135280K) : metal2_iprobe has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (135280K) : metal2_diffprb has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (135280K) : baspoly_drw has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (135280K) : baspoly_pin has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (135408K) : psd_drw has 515 polygons
2026-08-20 17:17:38 +0000: Memory Usage (135408K) : nldb_drw has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (135408K) : digibnd_drw has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (135408K) : via1_drw has 7666 polygons
2026-08-20 17:17:38 +0000: Memory Usage (135536K) : backmetal1_drw has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (135536K) : backmetal1_pin has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (135536K) : backmetal1_mask has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (135664K) : backmetal1_filler has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (135664K) : backmetal1_nofill has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (135664K) : backmetal1_slit has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (135664K) : backmetal1_text has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (135664K) : backmetal1_OPC has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (135792K) : backmetal1_noqrc has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (135792K) : backmetal1_res has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (135792K) : backmetal1_iprobe has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (135792K) : backmetal1_diffprb has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (135920K) : backpassiv_drw has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (135920K) : res_drw has 2 polygons
2026-08-20 17:17:38 +0000: Memory Usage (135920K) : sram_drw has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (136048K) : trans_drw has 2 polygons
2026-08-20 17:17:38 +0000: Memory Usage (136048K) : ind_drw has 2 polygons
2026-08-20 17:17:38 +0000: Memory Usage (136048K) : ind_pin has 4 polygons
2026-08-20 17:17:38 +0000: Memory Usage (136048K) : ind_text has 4 polygons
2026-08-20 17:17:38 +0000: Memory Usage (136176K) : salblock_drw has 12 polygons
2026-08-20 17:17:38 +0000: Memory Usage (136176K) : via2_drw has 852 polygons
2026-08-20 17:17:38 +0000: Memory Usage (136176K) : metal3_drw has 72 polygons
2026-08-20 17:17:38 +0000: Memory Usage (136304K) : metal3_filler has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (136304K) : metal3_slit has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (136304K) : metal3 has 72 polygons
2026-08-20 17:17:38 +0000: Memory Usage (136304K) : metal3_pin has 2 polygons
2026-08-20 17:17:38 +0000: Memory Usage (136304K) : metal3_mask has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (136304K) : metal3_nofill has 2 polygons
2026-08-20 17:17:38 +0000: Memory Usage (136304K) : metal3_text has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (136304K) : metal3_OPC has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (136304K) : metal3_noqrc has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (136304K) : metal3_res has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (136304K) : metal3_iprobe has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (136304K) : metal3_diffprb has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (136304K) : nwell_drw has 14 polygons
2026-08-20 17:17:38 +0000: Memory Usage (136304K) : nwell_pin has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (136304K) : nwell_text has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (136304K) : nbulay_drw has 1 polygons
2026-08-20 17:17:38 +0000: Memory Usage (136432K) : nbulay_pin has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (136432K) : nbulay_block has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (136432K) : emwind_drw has 4 polygons
2026-08-20 17:17:38 +0000: Memory Usage (136432K) : emwind_OPC has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (136432K) : deepco_drw has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (136560K) : mim_drw has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (136560K) : edgeseal_drw has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (136560K) : substrate_drw has 500 polygons
2026-08-20 17:17:38 +0000: Memory Usage (136560K) : substrate_text has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (136560K) : dfpad_drw has 2 polygons
2026-08-20 17:17:38 +0000: Memory Usage (136560K) : dfpad_pillar has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (136688K) : dfpad_sbump has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (136688K) : thickgateox_drw has 1 polygons
2026-08-20 17:17:38 +0000: Memory Usage (136688K) : pldb_drw has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (136688K) : pwell_drw has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (136688K) : pwell_pin has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (136816K) : pwell_block has 2 polygons
2026-08-20 17:17:38 +0000: Memory Usage (136816K) : ic_drw has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (136816K) : via3_drw has 1029 polygons
2026-08-20 17:17:38 +0000: Memory Usage (136816K) : metal4_drw has 29 polygons
2026-08-20 17:17:38 +0000: Memory Usage (136816K) : metal4_filler has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (136816K) : metal4_slit has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (136944K) : metal4 has 29 polygons
2026-08-20 17:17:38 +0000: Memory Usage (136944K) : metal4_pin has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (136944K) : metal4_mask has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (136944K) : metal4_nofill has 2 polygons
2026-08-20 17:17:38 +0000: Memory Usage (136944K) : metal4_text has 3 polygons
2026-08-20 17:17:38 +0000: Memory Usage (136944K) : metal4_OPC has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (137072K) : metal4_noqrc has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (137072K) : metal4_res has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (137072K) : metal4_iprobe has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (137072K) : metal4_diffprb has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (137072K) : heattrans_drw has 123 polygons
2026-08-20 17:17:38 +0000: Memory Usage (137072K) : heatres_drw has 2 polygons
2026-08-20 17:17:38 +0000: Memory Usage (137072K) : fbe_drw has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (137200K) : empoly_drw has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (137200K) : digisub_drw has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (137200K) : text_drw has 655 polygons
2026-08-20 17:17:38 +0000: Memory Usage (137200K) : via4_drw has 1023 polygons
2026-08-20 17:17:38 +0000: Memory Usage (137200K) : metal5_drw has 34 polygons
2026-08-20 17:17:38 +0000: Memory Usage (137200K) : metal5_filler has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (137328K) : metal5_slit has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (137328K) : metal5 has 34 polygons
2026-08-20 17:17:38 +0000: Memory Usage (137328K) : metal5_pin has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (137328K) : metal5_mask has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (137328K) : metal5_nofill has 2 polygons
2026-08-20 17:17:38 +0000: Memory Usage (137328K) : metal5_text has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (137456K) : metal5_OPC has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (137456K) : metal5_noqrc has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (137456K) : metal5_res has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (137456K) : metal5_iprobe has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (137456K) : metal5_diffprb has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (137584K) : radhard_drw has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (137584K) : memcap_drw has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (137584K) : varicap_drw has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (137584K) : intbondvia_drw has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (137584K) : intbondmet_drw has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (137712K) : devbondvia_drw has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (137712K) : devbondmet_drw has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (137712K) : devtrench_drw has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (137712K) : redist_drw has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (137840K) : graphbot_drw has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (137840K) : graphtop_drw has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (137840K) : antvia1_drw has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (137840K) : antmetal2_drw has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (137840K) : graphcont_drw has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (137840K) : siwg_drw has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (137968K) : siwg_filler has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (137968K) : siwg_nofill has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (137968K) : sigrating_drw has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (137968K) : singrating_drw has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (137968K) : graphpas_drw has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (138096K) : emwind3_drw has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (138096K) : emwihv3_drw has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (138096K) : redbulay_drw has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (138096K) : smos_drw has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (138096K) : graphpad_drw has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (138096K) : polimide_drw has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (138224K) : polimide_pin has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (138224K) : recog_drw has 1 polygons
2026-08-20 17:17:38 +0000: Memory Usage (138224K) : recog_pin has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (138224K) : recog_esd has 5 polygons
2026-08-20 17:17:38 +0000: Memory Usage (138352K) : recog_diode has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (138352K) : recog_tsv has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (138352K) : recog_iprobe has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (138352K) : recog_diffprb has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (138480K) : recog_pillar has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (138480K) : recog_sbump has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (138480K) : recog_otp has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (138480K) : recog_pdiode has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (138608K) : recog_mom has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (138608K) : recog_momf has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (138608K) : recog_pcm has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (138608K) : colopen_drw has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (138736K) : graphmetal1_drw has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (138736K) : graphmetal1_filler has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (138736K) : graphmetal1_nofill has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (138736K) : graphmetal1_slit has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (138864K) : graphmetal1_OPC has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (138864K) : graphmet1l_drw has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (138864K) : graphmet1l_filler has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (138864K) : graphmet1l_nofill has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (138992K) : graphmet1l_slit has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (138992K) : graphmet1l_OPC has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (138992K) : extblock_drw has 6 polygons
2026-08-20 17:17:38 +0000: Memory Usage (138992K) : nldd_drw has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (139120K) : pldd_drw has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (139120K) : next_drw has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (139120K) : pext_drw has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (139120K) : nexthv_drw has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (139120K) : pexthv_drw has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (139120K) : graphgate_drw has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (139248K) : sinwg_drw has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (139248K) : sinwg_filler has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (139248K) : sinwg_nofill has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (139248K) : mempad_drw has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (139248K) : topvia1_drw has 483 polygons
2026-08-20 17:17:38 +0000: Memory Usage (139376K) : topmetal1_drw has 86 polygons
2026-08-20 17:17:38 +0000: Memory Usage (139376K) : topmetal1_filler has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (139376K) : topmetal1_slit has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (139376K) : topmetal1 has 86 polygons
2026-08-20 17:17:38 +0000: Memory Usage (139376K) : topmetal1_pin has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (139504K) : topmetal1_mask has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (139504K) : topmetal1_nofill has 2 polygons
2026-08-20 17:17:38 +0000: Memory Usage (139504K) : topmetal1_text has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (139504K) : topmetal1_noqrc has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (139504K) : topmetal1_res has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (139632K) : topmetal1_iprobe has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (139632K) : topmetal1_diffprb has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (139632K) : inldpwl_drw has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (139632K) : polyres_drw has 2 polygons
2026-08-20 17:17:38 +0000: Memory Usage (139760K) : polyres_pin has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (139760K) : vmim_drw has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (139760K) : nbulaycut_drw has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (139760K) : antmetal1_drw has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (139888K) : topvia2_drw has 233 polygons
2026-08-20 17:17:38 +0000: Memory Usage (140016K) : topmetal2_drw has 64 polygons
2026-08-20 17:17:38 +0000: Memory Usage (140144K) : topmetal2_filler has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (140144K) : topmetal2_slit has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (140144K) : topmetal2 has 64 polygons
2026-08-20 17:17:38 +0000: Memory Usage (140144K) : topmetal2_pin has 4 polygons
2026-08-20 17:17:38 +0000: Memory Usage (140272K) : topmetal2_mask has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (140272K) : topmetal2_nofill has 2 polygons
2026-08-20 17:17:38 +0000: Memory Usage (140272K) : topmetal2_text has 8 polygons
2026-08-20 17:17:38 +0000: Memory Usage (140272K) : topmetal2_noqrc has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (140400K) : topmetal2_res has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (140400K) : topmetal2_iprobe has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (140400K) : topmetal2_diffprb has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (140400K) : snsring_drw has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (140528K) : sensor_drw has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (140528K) : snsarms_drw has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (140528K) : snscmosvia_drw has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (140656K) : colwind_drw has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (140784K) : flm_drw has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (140784K) : hafniumox_drw has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (140784K) : memvia_drw has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (140784K) : thinfilmres_drw has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (140784K) : rfmem_drw has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (140784K) : norcx_drw has 2 polygons
2026-08-20 17:17:38 +0000: Memory Usage (140784K) : norcx_m2m3 has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (140784K) : norcx_m2m4 has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (140784K) : norcx_m2m5 has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (140784K) : norcx_m2tm1 has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (140784K) : norcx_m2tm2 has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (140784K) : norcx_m3m4 has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (140784K) : norcx_m3m5 has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (140784K) : norcx_m3tm1 has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (140784K) : norcx_m3tm2 has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (140784K) : norcx_m4m5 has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (140784K) : norcx_m4tm1 has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (140784K) : norcx_m4tm2 has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (140784K) : norcx_m5tm1 has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (140784K) : norcx_m5tm2 has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (140784K) : norcx_tm1tm2 has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (140784K) : norcx_m1sub has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (140784K) : norcx_m2sub has 0 polygons
2026-08-20 17:17:38 +0000: Memory Usage (140784K) : norcx_m3sub has 0 polygons
