$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/bisect_extra15/ties/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/bisect_extra15/ties/x.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/bisect_extra15/ties/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction
2026-08-20 17:13:56 +0000: Memory Usage (129892K) : Selected DISABLE_TAP_EXTRACTION option: true
2026-08-20 17:13:56 +0000: Memory Usage (129892K) : deep  mode is enabled.
2026-08-20 17:13:56 +0000: Memory Usage (129892K) : Applying implicit connections (case-sensitive, pattern supported) for nets: sub, sub!
2026-08-20 17:13:56 +0000: Memory Usage (131056K) : Netlist file: /workspace/layout/blocks/out/driver_stage/bisect_extra15/ties/x.cdl
2026-08-20 17:13:56 +0000: Memory Usage (131056K) : LVS extracted netlist at: /workspace/layout/blocks/out/driver_stage/bisect_extra15/ties/lvs/driver_dut_extracted.cir
2026-08-20 17:13:56 +0000: Memory Usage (131056K) : Applying SRAM integration support.
2026-08-20 17:13:56 +0000: Memory Usage (131056K) : Starting SG13G2 LVS runset
2026-08-20 17:13:56 +0000: Memory Usage (131056K) : Read in polygons from layers.
2026-08-20 17:13:56 +0000: Memory Usage (132268K) : activ_drw has 899 polygons
2026-08-20 17:13:56 +0000: Memory Usage (132268K) : activ_filler has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (132396K) : activ has 899 polygons
2026-08-20 17:13:56 +0000: Memory Usage (132492K) : activ_pin has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (133004K) : activ_mask has 4 polygons
2026-08-20 17:13:56 +0000: Memory Usage (133004K) : activ_nofill has 2 polygons
2026-08-20 17:13:56 +0000: Memory Usage (133004K) : activ_OPC has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (133004K) : activ_iOPC has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (133004K) : activ_noqrc has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (133004K) : biwind_drw has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (133004K) : biwind_OPC has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (133004K) : gatpoly_drw has 140 polygons
2026-08-20 17:13:56 +0000: Memory Usage (133004K) : gatpoly_filler has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (133004K) : gatpoly has 140 polygons
2026-08-20 17:13:56 +0000: Memory Usage (133004K) : gatpoly_pin has 119 polygons
2026-08-20 17:13:56 +0000: Memory Usage (133004K) : gatpoly_nofill has 2 polygons
2026-08-20 17:13:56 +0000: Memory Usage (133004K) : gatpoly_OPC has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (133004K) : gatpoly_iOPC has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (133004K) : gatpoly_noqrc has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (133004K) : cont_drw has 14577 polygons
2026-08-20 17:13:56 +0000: Memory Usage (133004K) : cont_OPC has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (133004K) : nsd_drw has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (133004K) : nsd_block has 4 polygons
2026-08-20 17:13:56 +0000: Memory Usage (133132K) : metal1_drw has 1558 polygons
2026-08-20 17:13:56 +0000: Memory Usage (133132K) : metal1_filler has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (133260K) : metal1_slit has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (133260K) : metal1 has 1558 polygons
2026-08-20 17:13:56 +0000: Memory Usage (133388K) : metal1_pin has 750 polygons
2026-08-20 17:13:56 +0000: Memory Usage (133388K) : metal1_mask has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (133516K) : metal1_nofill has 2 polygons
2026-08-20 17:13:56 +0000: Memory Usage (133772K) : metal1_text has 5 polygons
2026-08-20 17:13:56 +0000: Memory Usage (133772K) : metal1_OPC has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (133900K) : metal1_noqrc has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (133900K) : metal1_res has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (133900K) : metal1_iprobe has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (134028K) : metal1_diffprb has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (134028K) : passiv_drw has 2 polygons
2026-08-20 17:13:56 +0000: Memory Usage (134028K) : passiv_pin has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (134156K) : passiv_sbump has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (134156K) : passiv_pillar has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (134156K) : passiv_pdl has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (134284K) : metal2_drw has 569 polygons
2026-08-20 17:13:56 +0000: Memory Usage (134284K) : metal2_filler has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (134284K) : metal2_slit has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (134284K) : metal2 has 569 polygons
2026-08-20 17:13:56 +0000: Memory Usage (134412K) : metal2_pin has 10 polygons
2026-08-20 17:13:56 +0000: Memory Usage (134412K) : metal2_mask has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (134412K) : metal2_nofill has 2 polygons
2026-08-20 17:13:56 +0000: Memory Usage (134412K) : metal2_text has 3 polygons
2026-08-20 17:13:56 +0000: Memory Usage (134540K) : metal2_OPC has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (134540K) : metal2_noqrc has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (134540K) : metal2_res has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (134540K) : metal2_iprobe has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (134668K) : metal2_diffprb has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (134668K) : baspoly_drw has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (134668K) : baspoly_pin has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (134668K) : psd_drw has 515 polygons
2026-08-20 17:13:56 +0000: Memory Usage (134796K) : nldb_drw has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (134796K) : digibnd_drw has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (134796K) : via1_drw has 7650 polygons
2026-08-20 17:13:56 +0000: Memory Usage (134796K) : backmetal1_drw has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (134924K) : backmetal1_pin has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (134924K) : backmetal1_mask has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (134924K) : backmetal1_filler has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (134924K) : backmetal1_nofill has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (135052K) : backmetal1_slit has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (135052K) : backmetal1_text has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (135052K) : backmetal1_OPC has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (135052K) : backmetal1_noqrc has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (135180K) : backmetal1_res has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (135180K) : backmetal1_iprobe has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (135180K) : backmetal1_diffprb has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (135180K) : backpassiv_drw has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (135308K) : res_drw has 2 polygons
2026-08-20 17:13:56 +0000: Memory Usage (135308K) : sram_drw has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (135308K) : trans_drw has 2 polygons
2026-08-20 17:13:56 +0000: Memory Usage (135436K) : ind_drw has 2 polygons
2026-08-20 17:13:56 +0000: Memory Usage (135436K) : ind_pin has 4 polygons
2026-08-20 17:13:56 +0000: Memory Usage (135436K) : ind_text has 4 polygons
2026-08-20 17:13:56 +0000: Memory Usage (135436K) : salblock_drw has 12 polygons
2026-08-20 17:13:56 +0000: Memory Usage (135564K) : via2_drw has 824 polygons
2026-08-20 17:13:56 +0000: Memory Usage (135564K) : metal3_drw has 68 polygons
2026-08-20 17:13:56 +0000: Memory Usage (135564K) : metal3_filler has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (135692K) : metal3_slit has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (135692K) : metal3 has 68 polygons
2026-08-20 17:13:56 +0000: Memory Usage (135692K) : metal3_pin has 2 polygons
2026-08-20 17:13:56 +0000: Memory Usage (135692K) : metal3_mask has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (135692K) : metal3_nofill has 2 polygons
2026-08-20 17:13:56 +0000: Memory Usage (135692K) : metal3_text has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (135692K) : metal3_OPC has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (135692K) : metal3_noqrc has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (135692K) : metal3_res has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (135692K) : metal3_iprobe has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (135692K) : metal3_diffprb has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (135692K) : nwell_drw has 14 polygons
2026-08-20 17:13:56 +0000: Memory Usage (135692K) : nwell_pin has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (135692K) : nwell_text has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (135692K) : nbulay_drw has 1 polygons
2026-08-20 17:13:56 +0000: Memory Usage (135692K) : nbulay_pin has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (135820K) : nbulay_block has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (135820K) : emwind_drw has 4 polygons
2026-08-20 17:13:56 +0000: Memory Usage (135820K) : emwind_OPC has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (135820K) : deepco_drw has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (135820K) : mim_drw has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (135820K) : edgeseal_drw has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (135948K) : substrate_drw has 500 polygons
2026-08-20 17:13:56 +0000: Memory Usage (135948K) : substrate_text has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (135948K) : dfpad_drw has 2 polygons
2026-08-20 17:13:56 +0000: Memory Usage (135948K) : dfpad_pillar has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (135948K) : dfpad_sbump has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (136076K) : thickgateox_drw has 1 polygons
2026-08-20 17:13:56 +0000: Memory Usage (136076K) : pldb_drw has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (136076K) : pwell_drw has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (136076K) : pwell_pin has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (136076K) : pwell_block has 2 polygons
2026-08-20 17:13:56 +0000: Memory Usage (136076K) : ic_drw has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (136204K) : via3_drw has 1025 polygons
2026-08-20 17:13:56 +0000: Memory Usage (136204K) : metal4_drw has 31 polygons
2026-08-20 17:13:56 +0000: Memory Usage (136204K) : metal4_filler has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (136204K) : metal4_slit has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (136204K) : metal4 has 31 polygons
2026-08-20 17:13:56 +0000: Memory Usage (136204K) : metal4_pin has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (136332K) : metal4_mask has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (136332K) : metal4_nofill has 2 polygons
2026-08-20 17:13:56 +0000: Memory Usage (136332K) : metal4_text has 3 polygons
2026-08-20 17:13:56 +0000: Memory Usage (136332K) : metal4_OPC has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (136332K) : metal4_noqrc has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (136460K) : metal4_res has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (136460K) : metal4_iprobe has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (136460K) : metal4_diffprb has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (136460K) : heattrans_drw has 123 polygons
2026-08-20 17:13:56 +0000: Memory Usage (136460K) : heatres_drw has 2 polygons
2026-08-20 17:13:56 +0000: Memory Usage (136460K) : fbe_drw has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (136460K) : empoly_drw has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (136588K) : digisub_drw has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (136588K) : text_drw has 655 polygons
2026-08-20 17:13:56 +0000: Memory Usage (136588K) : via4_drw has 1019 polygons
2026-08-20 17:13:56 +0000: Memory Usage (136588K) : metal5_drw has 43 polygons
2026-08-20 17:13:56 +0000: Memory Usage (136588K) : metal5_filler has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (136588K) : metal5_slit has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (136716K) : metal5 has 43 polygons
2026-08-20 17:13:56 +0000: Memory Usage (136716K) : metal5_pin has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (136716K) : metal5_mask has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (136716K) : metal5_nofill has 2 polygons
2026-08-20 17:13:56 +0000: Memory Usage (136716K) : metal5_text has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (136716K) : metal5_OPC has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (136844K) : metal5_noqrc has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (136844K) : metal5_res has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (136844K) : metal5_iprobe has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (136844K) : metal5_diffprb has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (136844K) : radhard_drw has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (136972K) : memcap_drw has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (136972K) : varicap_drw has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (136972K) : intbondvia_drw has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (136972K) : intbondmet_drw has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (136972K) : devbondvia_drw has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (137100K) : devbondmet_drw has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (137100K) : devtrench_drw has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (137100K) : redist_drw has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (137100K) : graphbot_drw has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (137228K) : graphtop_drw has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (137228K) : antvia1_drw has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (137228K) : antmetal2_drw has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (137228K) : graphcont_drw has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (137228K) : siwg_drw has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (137228K) : siwg_filler has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (137356K) : siwg_nofill has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (137356K) : sigrating_drw has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (137356K) : singrating_drw has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (137356K) : graphpas_drw has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (137356K) : emwind3_drw has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (137484K) : emwihv3_drw has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (137484K) : redbulay_drw has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (137484K) : smos_drw has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (137484K) : graphpad_drw has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (137484K) : polimide_drw has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (137484K) : polimide_pin has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (137612K) : recog_drw has 1 polygons
2026-08-20 17:13:56 +0000: Memory Usage (137612K) : recog_pin has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (137612K) : recog_esd has 5 polygons
2026-08-20 17:13:56 +0000: Memory Usage (137612K) : recog_diode has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (137740K) : recog_tsv has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (137740K) : recog_iprobe has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (137740K) : recog_diffprb has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (137740K) : recog_pillar has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (137868K) : recog_sbump has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (137868K) : recog_otp has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (137868K) : recog_pdiode has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (137868K) : recog_mom has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (137996K) : recog_momf has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (137996K) : recog_pcm has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (137996K) : colopen_drw has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (137996K) : graphmetal1_drw has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (137996K) : graphmetal1_filler has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (138124K) : graphmetal1_nofill has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (138124K) : graphmetal1_slit has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (138124K) : graphmetal1_OPC has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (138252K) : graphmet1l_drw has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (138252K) : graphmet1l_filler has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (138252K) : graphmet1l_nofill has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (138252K) : graphmet1l_slit has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (138380K) : graphmet1l_OPC has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (138380K) : extblock_drw has 6 polygons
2026-08-20 17:13:56 +0000: Memory Usage (138380K) : nldd_drw has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (138380K) : pldd_drw has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (138380K) : next_drw has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (138508K) : pext_drw has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (138508K) : nexthv_drw has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (138508K) : pexthv_drw has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (138508K) : graphgate_drw has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (138508K) : sinwg_drw has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (138508K) : sinwg_filler has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (138636K) : sinwg_nofill has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (138636K) : mempad_drw has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (138636K) : topvia1_drw has 485 polygons
2026-08-20 17:13:56 +0000: Memory Usage (138636K) : topmetal1_drw has 72 polygons
2026-08-20 17:13:56 +0000: Memory Usage (138636K) : topmetal1_filler has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (138636K) : topmetal1_slit has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (138764K) : topmetal1 has 72 polygons
2026-08-20 17:13:56 +0000: Memory Usage (138764K) : topmetal1_pin has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (138764K) : topmetal1_mask has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (138764K) : topmetal1_nofill has 2 polygons
2026-08-20 17:13:56 +0000: Memory Usage (138764K) : topmetal1_text has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (138892K) : topmetal1_noqrc has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (138892K) : topmetal1_res has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (138892K) : topmetal1_iprobe has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (138892K) : topmetal1_diffprb has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (139020K) : inldpwl_drw has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (139020K) : polyres_drw has 2 polygons
2026-08-20 17:13:56 +0000: Memory Usage (139020K) : polyres_pin has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (139020K) : vmim_drw has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (139148K) : nbulaycut_drw has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (139148K) : antmetal1_drw has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (139148K) : topvia2_drw has 231 polygons
2026-08-20 17:13:56 +0000: Memory Usage (139404K) : topmetal2_drw has 63 polygons
2026-08-20 17:13:56 +0000: Memory Usage (139404K) : topmetal2_filler has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (139404K) : topmetal2_slit has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (139532K) : topmetal2 has 63 polygons
2026-08-20 17:13:56 +0000: Memory Usage (139532K) : topmetal2_pin has 4 polygons
2026-08-20 17:13:56 +0000: Memory Usage (139532K) : topmetal2_mask has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (139660K) : topmetal2_nofill has 2 polygons
2026-08-20 17:13:56 +0000: Memory Usage (139660K) : topmetal2_text has 8 polygons
2026-08-20 17:13:56 +0000: Memory Usage (139660K) : topmetal2_noqrc has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (139660K) : topmetal2_res has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (139788K) : topmetal2_iprobe has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (139788K) : topmetal2_diffprb has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (139788K) : snsring_drw has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (139916K) : sensor_drw has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (139916K) : snsarms_drw has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (139916K) : snscmosvia_drw has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (139916K) : colwind_drw has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (140044K) : flm_drw has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (140172K) : hafniumox_drw has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (140172K) : memvia_drw has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (140172K) : thinfilmres_drw has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (140172K) : rfmem_drw has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (140172K) : norcx_drw has 2 polygons
2026-08-20 17:13:56 +0000: Memory Usage (140172K) : norcx_m2m3 has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (140172K) : norcx_m2m4 has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (140172K) : norcx_m2m5 has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (140172K) : norcx_m2tm1 has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (140172K) : norcx_m2tm2 has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (140172K) : norcx_m3m4 has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (140172K) : norcx_m3m5 has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (140172K) : norcx_m3tm1 has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (140172K) : norcx_m3tm2 has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (140172K) : norcx_m4m5 has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (140172K) : norcx_m4tm1 has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (140172K) : norcx_m4tm2 has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (140172K) : norcx_m5tm1 has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (140172K) : norcx_m5tm2 has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (140172K) : norcx_tm1tm2 has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (140172K) : norcx_m1sub has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (140172K) : norcx_m2sub has 0 polygons
2026-08-20 17:13:56 +0000: Memory Usage (140172K) : norcx_m3sub has 0 polygons
