$ python3 /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/lvs_probe9/clamp_esd/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/lvs_probe9/clamp_esd/x.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/lvs_probe9/clamp_esd/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction
2026-08-20 10:20:18 +0000: Memory Usage (130132K) : Selected DISABLE_TAP_EXTRACTION option: true
2026-08-20 10:20:18 +0000: Memory Usage (130132K) : deep  mode is enabled.
2026-08-20 10:20:18 +0000: Memory Usage (130132K) : Applying implicit connections (case-sensitive, pattern supported) for nets: sub, sub!
2026-08-20 10:20:18 +0000: Memory Usage (131216K) : Netlist file: /workspace/layout/blocks/out/driver_stage/lvs_probe9/clamp_esd/x.cdl
2026-08-20 10:20:18 +0000: Memory Usage (131216K) : LVS extracted netlist at: /workspace/layout/blocks/out/driver_stage/lvs_probe9/clamp_esd/lvs/driver_dut_extracted.cir
2026-08-20 10:20:18 +0000: Memory Usage (131216K) : Applying SRAM integration support.
2026-08-20 10:20:18 +0000: Memory Usage (131216K) : Starting SG13G2 LVS runset
2026-08-20 10:20:18 +0000: Memory Usage (131216K) : Read in polygons from layers.
2026-08-20 10:20:18 +0000: Memory Usage (132440K) : activ_drw has 899 polygons
2026-08-20 10:20:18 +0000: Memory Usage (132440K) : activ_filler has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (132440K) : activ has 899 polygons
2026-08-20 10:20:18 +0000: Memory Usage (132440K) : activ_pin has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (132600K) : activ_mask has 4 polygons
2026-08-20 10:20:18 +0000: Memory Usage (132984K) : activ_nofill has 2 polygons
2026-08-20 10:20:18 +0000: Memory Usage (132984K) : activ_OPC has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (132984K) : activ_iOPC has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (132984K) : activ_noqrc has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (132984K) : biwind_drw has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (132984K) : biwind_OPC has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (132984K) : gatpoly_drw has 140 polygons
2026-08-20 10:20:18 +0000: Memory Usage (132984K) : gatpoly_filler has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (132984K) : gatpoly has 140 polygons
2026-08-20 10:20:18 +0000: Memory Usage (132984K) : gatpoly_pin has 119 polygons
2026-08-20 10:20:18 +0000: Memory Usage (132984K) : gatpoly_nofill has 2 polygons
2026-08-20 10:20:18 +0000: Memory Usage (132984K) : gatpoly_OPC has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (132984K) : gatpoly_iOPC has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (132984K) : gatpoly_noqrc has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (133112K) : cont_drw has 14577 polygons
2026-08-20 10:20:18 +0000: Memory Usage (133112K) : cont_OPC has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (133112K) : nsd_drw has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (133112K) : nsd_block has 4 polygons
2026-08-20 10:20:18 +0000: Memory Usage (133240K) : metal1_drw has 1542 polygons
2026-08-20 10:20:18 +0000: Memory Usage (133240K) : metal1_filler has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (133368K) : metal1_slit has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (133368K) : metal1 has 1542 polygons
2026-08-20 10:20:18 +0000: Memory Usage (133496K) : metal1_pin has 750 polygons
2026-08-20 10:20:18 +0000: Memory Usage (133496K) : metal1_mask has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (133496K) : metal1_nofill has 2 polygons
2026-08-20 10:20:18 +0000: Memory Usage (133752K) : metal1_text has 5 polygons
2026-08-20 10:20:18 +0000: Memory Usage (133752K) : metal1_OPC has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (133752K) : metal1_noqrc has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (133880K) : metal1_res has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (133880K) : metal1_iprobe has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (133880K) : metal1_diffprb has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (134008K) : passiv_drw has 2 polygons
2026-08-20 10:20:18 +0000: Memory Usage (134008K) : passiv_pin has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (134008K) : passiv_sbump has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (134136K) : passiv_pillar has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (134136K) : passiv_pdl has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (134136K) : metal2_drw has 547 polygons
2026-08-20 10:20:18 +0000: Memory Usage (134264K) : metal2_filler has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (134264K) : metal2_slit has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (134264K) : metal2 has 547 polygons
2026-08-20 10:20:18 +0000: Memory Usage (134264K) : metal2_pin has 10 polygons
2026-08-20 10:20:18 +0000: Memory Usage (134392K) : metal2_mask has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (134392K) : metal2_nofill has 2 polygons
2026-08-20 10:20:18 +0000: Memory Usage (134392K) : metal2_text has 3 polygons
2026-08-20 10:20:18 +0000: Memory Usage (134392K) : metal2_OPC has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (134520K) : metal2_noqrc has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (134520K) : metal2_res has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (134520K) : metal2_iprobe has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (134520K) : metal2_diffprb has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (134648K) : baspoly_drw has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (134648K) : baspoly_pin has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (134648K) : psd_drw has 515 polygons
2026-08-20 10:20:18 +0000: Memory Usage (134776K) : nldb_drw has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (134776K) : digibnd_drw has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (134776K) : via1_drw has 7630 polygons
2026-08-20 10:20:18 +0000: Memory Usage (134776K) : backmetal1_drw has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (134904K) : backmetal1_pin has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (134904K) : backmetal1_mask has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (134904K) : backmetal1_filler has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (134904K) : backmetal1_nofill has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (135032K) : backmetal1_slit has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (135032K) : backmetal1_text has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (135032K) : backmetal1_OPC has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (135032K) : backmetal1_noqrc has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (135160K) : backmetal1_res has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (135160K) : backmetal1_iprobe has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (135160K) : backmetal1_diffprb has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (135160K) : backpassiv_drw has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (135288K) : res_drw has 2 polygons
2026-08-20 10:20:18 +0000: Memory Usage (135288K) : sram_drw has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (135288K) : trans_drw has 2 polygons
2026-08-20 10:20:18 +0000: Memory Usage (135416K) : ind_drw has 2 polygons
2026-08-20 10:20:18 +0000: Memory Usage (135416K) : ind_pin has 4 polygons
2026-08-20 10:20:18 +0000: Memory Usage (135416K) : ind_text has 4 polygons
2026-08-20 10:20:18 +0000: Memory Usage (135416K) : salblock_drw has 12 polygons
2026-08-20 10:20:18 +0000: Memory Usage (135544K) : via2_drw has 819 polygons
2026-08-20 10:20:18 +0000: Memory Usage (135544K) : metal3_drw has 54 polygons
2026-08-20 10:20:18 +0000: Memory Usage (135544K) : metal3_filler has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (135544K) : metal3_slit has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (135544K) : metal3 has 54 polygons
2026-08-20 10:20:18 +0000: Memory Usage (135544K) : metal3_pin has 2 polygons
2026-08-20 10:20:18 +0000: Memory Usage (135544K) : metal3_mask has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (135544K) : metal3_nofill has 2 polygons
2026-08-20 10:20:18 +0000: Memory Usage (135544K) : metal3_text has 2 polygons
2026-08-20 10:20:18 +0000: Memory Usage (135544K) : metal3_OPC has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (135544K) : metal3_noqrc has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (135544K) : metal3_res has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (135544K) : metal3_iprobe has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (135544K) : metal3_diffprb has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (135672K) : nwell_drw has 14 polygons
2026-08-20 10:20:18 +0000: Memory Usage (135672K) : nwell_pin has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (135672K) : nwell_text has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (135672K) : nbulay_drw has 1 polygons
2026-08-20 10:20:18 +0000: Memory Usage (135672K) : nbulay_pin has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (135672K) : nbulay_block has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (135800K) : emwind_drw has 4 polygons
2026-08-20 10:20:18 +0000: Memory Usage (135800K) : emwind_OPC has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (135800K) : deepco_drw has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (135800K) : mim_drw has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (135800K) : edgeseal_drw has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (135928K) : substrate_drw has 500 polygons
2026-08-20 10:20:18 +0000: Memory Usage (135928K) : substrate_text has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (135928K) : dfpad_drw has 2 polygons
2026-08-20 10:20:18 +0000: Memory Usage (135928K) : dfpad_pillar has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (135928K) : dfpad_sbump has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (135928K) : thickgateox_drw has 1 polygons
2026-08-20 10:20:18 +0000: Memory Usage (136056K) : pldb_drw has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (136056K) : pwell_drw has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (136056K) : pwell_pin has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (136056K) : pwell_block has 2 polygons
2026-08-20 10:20:18 +0000: Memory Usage (136056K) : ic_drw has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (136184K) : via3_drw has 1015 polygons
2026-08-20 10:20:18 +0000: Memory Usage (136184K) : metal4_drw has 20 polygons
2026-08-20 10:20:18 +0000: Memory Usage (136184K) : metal4_filler has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (136184K) : metal4_slit has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (136184K) : metal4 has 20 polygons
2026-08-20 10:20:18 +0000: Memory Usage (136184K) : metal4_pin has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (136312K) : metal4_mask has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (136312K) : metal4_nofill has 2 polygons
2026-08-20 10:20:18 +0000: Memory Usage (136312K) : metal4_text has 1 polygons
2026-08-20 10:20:18 +0000: Memory Usage (136312K) : metal4_OPC has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (136312K) : metal4_noqrc has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (136312K) : metal4_res has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (136312K) : metal4_iprobe has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (136312K) : metal4_diffprb has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (136440K) : heattrans_drw has 123 polygons
2026-08-20 10:20:18 +0000: Memory Usage (136440K) : heatres_drw has 2 polygons
2026-08-20 10:20:18 +0000: Memory Usage (136440K) : fbe_drw has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (136440K) : empoly_drw has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (136440K) : digisub_drw has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (136440K) : text_drw has 655 polygons
2026-08-20 10:20:18 +0000: Memory Usage (136568K) : via4_drw has 1011 polygons
2026-08-20 10:20:18 +0000: Memory Usage (136568K) : metal5_drw has 23 polygons
2026-08-20 10:20:18 +0000: Memory Usage (136568K) : metal5_filler has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (136568K) : metal5_slit has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (136568K) : metal5 has 23 polygons
2026-08-20 10:20:18 +0000: Memory Usage (136696K) : metal5_pin has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (136696K) : metal5_mask has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (136696K) : metal5_nofill has 2 polygons
2026-08-20 10:20:18 +0000: Memory Usage (136696K) : metal5_text has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (136696K) : metal5_OPC has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (136696K) : metal5_noqrc has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (136696K) : metal5_res has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (136824K) : metal5_iprobe has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (136824K) : metal5_diffprb has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (136824K) : radhard_drw has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (136824K) : memcap_drw has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (136952K) : varicap_drw has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (136952K) : intbondvia_drw has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (136952K) : intbondmet_drw has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (136952K) : devbondvia_drw has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (136952K) : devbondmet_drw has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (137080K) : devtrench_drw has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (137080K) : redist_drw has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (137080K) : graphbot_drw has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (137080K) : graphtop_drw has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (137080K) : antvia1_drw has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (137080K) : antmetal2_drw has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (137208K) : graphcont_drw has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (137208K) : siwg_drw has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (137208K) : siwg_filler has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (137208K) : siwg_nofill has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (137208K) : sigrating_drw has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (137336K) : singrating_drw has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (137336K) : graphpas_drw has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (137336K) : emwind3_drw has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (137336K) : emwihv3_drw has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (137336K) : redbulay_drw has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (137464K) : smos_drw has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (137464K) : graphpad_drw has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (137464K) : polimide_drw has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (137464K) : polimide_pin has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (137592K) : recog_drw has 1 polygons
2026-08-20 10:20:18 +0000: Memory Usage (137592K) : recog_pin has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (137592K) : recog_esd has 5 polygons
2026-08-20 10:20:18 +0000: Memory Usage (137592K) : recog_diode has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (137720K) : recog_tsv has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (137720K) : recog_iprobe has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (137720K) : recog_diffprb has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (137720K) : recog_pillar has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (137848K) : recog_sbump has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (137848K) : recog_otp has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (137848K) : recog_pdiode has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (137848K) : recog_mom has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (137976K) : recog_momf has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (137976K) : recog_pcm has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (137976K) : colopen_drw has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (137976K) : graphmetal1_drw has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (138104K) : graphmetal1_filler has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (138104K) : graphmetal1_nofill has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (138104K) : graphmetal1_slit has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (138104K) : graphmetal1_OPC has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (138232K) : graphmet1l_drw has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (138232K) : graphmet1l_filler has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (138232K) : graphmet1l_nofill has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (138232K) : graphmet1l_slit has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (138232K) : graphmet1l_OPC has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (138232K) : extblock_drw has 6 polygons
2026-08-20 10:20:18 +0000: Memory Usage (138360K) : nldd_drw has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (138360K) : pldd_drw has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (138360K) : next_drw has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (138360K) : pext_drw has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (138360K) : nexthv_drw has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (138488K) : pexthv_drw has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (138488K) : graphgate_drw has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (138488K) : sinwg_drw has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (138488K) : sinwg_filler has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (138488K) : sinwg_nofill has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (138616K) : mempad_drw has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (138616K) : topvia1_drw has 481 polygons
2026-08-20 10:20:18 +0000: Memory Usage (138616K) : topmetal1_drw has 57 polygons
2026-08-20 10:20:18 +0000: Memory Usage (138616K) : topmetal1_filler has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (138616K) : topmetal1_slit has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (138744K) : topmetal1 has 57 polygons
2026-08-20 10:20:18 +0000: Memory Usage (138744K) : topmetal1_pin has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (138744K) : topmetal1_mask has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (138744K) : topmetal1_nofill has 2 polygons
2026-08-20 10:20:18 +0000: Memory Usage (138744K) : topmetal1_text has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (138872K) : topmetal1_noqrc has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (138872K) : topmetal1_res has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (138872K) : topmetal1_iprobe has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (138872K) : topmetal1_diffprb has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (139000K) : inldpwl_drw has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (139000K) : polyres_drw has 2 polygons
2026-08-20 10:20:18 +0000: Memory Usage (139000K) : polyres_pin has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (139000K) : vmim_drw has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (139128K) : nbulaycut_drw has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (139128K) : antmetal1_drw has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (139256K) : topvia2_drw has 231 polygons
2026-08-20 10:20:18 +0000: Memory Usage (139384K) : topmetal2_drw has 62 polygons
2026-08-20 10:20:18 +0000: Memory Usage (139384K) : topmetal2_filler has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (139384K) : topmetal2_slit has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (139512K) : topmetal2 has 62 polygons
2026-08-20 10:20:18 +0000: Memory Usage (139512K) : topmetal2_pin has 4 polygons
2026-08-20 10:20:18 +0000: Memory Usage (139512K) : topmetal2_mask has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (139640K) : topmetal2_nofill has 2 polygons
2026-08-20 10:20:18 +0000: Memory Usage (139640K) : topmetal2_text has 8 polygons
2026-08-20 10:20:18 +0000: Memory Usage (139640K) : topmetal2_noqrc has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (139640K) : topmetal2_res has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (139640K) : topmetal2_iprobe has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (139768K) : topmetal2_diffprb has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (139768K) : snsring_drw has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (139768K) : sensor_drw has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (139896K) : snsarms_drw has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (139896K) : snscmosvia_drw has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (139896K) : colwind_drw has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (140024K) : flm_drw has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (140024K) : hafniumox_drw has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (140152K) : memvia_drw has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (140152K) : thinfilmres_drw has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (140152K) : rfmem_drw has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (140152K) : norcx_drw has 2 polygons
2026-08-20 10:20:18 +0000: Memory Usage (140152K) : norcx_m2m3 has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (140152K) : norcx_m2m4 has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (140152K) : norcx_m2m5 has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (140152K) : norcx_m2tm1 has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (140152K) : norcx_m2tm2 has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (140152K) : norcx_m3m4 has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (140152K) : norcx_m3m5 has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (140152K) : norcx_m3tm1 has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (140152K) : norcx_m3tm2 has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (140152K) : norcx_m4m5 has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (140152K) : norcx_m4tm1 has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (140152K) : norcx_m4tm2 has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (140152K) : norcx_m5tm1 has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (140152K) : norcx_m5tm2 has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (140152K) : norcx_tm1tm2 has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (140152K) : norcx_m1sub has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (140152K) : norcx_m2sub has 0 polygons
2026-08-20 10:20:18 +0000: Memory Usage (140152K) : norcx_m3sub has 0 polygons
