$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/bisect_run/_probe6_channel_esd/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/bisect_run/_probe6_channel_esd/driver_dut.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/bisect_run/_probe6_channel_esd/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction
2026-08-20 19:05:02 +0000: Memory Usage (129904K) : Selected DISABLE_TAP_EXTRACTION option: true
2026-08-20 19:05:02 +0000: Memory Usage (129904K) : deep  mode is enabled.
2026-08-20 19:05:02 +0000: Memory Usage (129904K) : Applying implicit connections (case-sensitive, pattern supported) for nets: sub, sub!
2026-08-20 19:05:02 +0000: Memory Usage (131000K) : Netlist file: /workspace/layout/blocks/out/driver_stage/bisect_run/_probe6_channel_esd/driver_dut.cdl
2026-08-20 19:05:02 +0000: Memory Usage (131000K) : LVS extracted netlist at: /workspace/layout/blocks/out/driver_stage/bisect_run/_probe6_channel_esd/lvs/driver_dut_extracted.cir
2026-08-20 19:05:02 +0000: Memory Usage (131000K) : Applying SRAM integration support.
2026-08-20 19:05:02 +0000: Memory Usage (131000K) : Starting SG13G2 LVS runset
2026-08-20 19:05:02 +0000: Memory Usage (131000K) : Read in polygons from layers.
2026-08-20 19:05:02 +0000: Memory Usage (132360K) : activ_drw has 893 polygons
2026-08-20 19:05:02 +0000: Memory Usage (132360K) : activ_filler has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (132488K) : activ has 893 polygons
2026-08-20 19:05:02 +0000: Memory Usage (132488K) : activ_pin has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (132488K) : activ_mask has 4 polygons
2026-08-20 19:05:02 +0000: Memory Usage (132488K) : activ_nofill has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (132488K) : activ_OPC has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (132488K) : activ_iOPC has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (132488K) : activ_noqrc has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (132576K) : biwind_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (133088K) : biwind_OPC has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (133088K) : gatpoly_drw has 123 polygons
2026-08-20 19:05:02 +0000: Memory Usage (133088K) : gatpoly_filler has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (133088K) : gatpoly has 123 polygons
2026-08-20 19:05:02 +0000: Memory Usage (133088K) : gatpoly_pin has 119 polygons
2026-08-20 19:05:02 +0000: Memory Usage (133088K) : gatpoly_nofill has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (133088K) : gatpoly_OPC has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (133088K) : gatpoly_iOPC has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (133088K) : gatpoly_noqrc has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (133088K) : cont_drw has 13150 polygons
2026-08-20 19:05:02 +0000: Memory Usage (133088K) : cont_OPC has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (133088K) : nsd_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (133088K) : nsd_block has 4 polygons
2026-08-20 19:05:02 +0000: Memory Usage (133088K) : metal1_drw has 1515 polygons
2026-08-20 19:05:02 +0000: Memory Usage (133088K) : metal1_filler has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (133088K) : metal1_slit has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (133088K) : metal1 has 1515 polygons
2026-08-20 19:05:02 +0000: Memory Usage (133088K) : metal1_pin has 746 polygons
2026-08-20 19:05:02 +0000: Memory Usage (133088K) : metal1_mask has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (133216K) : metal1_nofill has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (133472K) : metal1_text has 3 polygons
2026-08-20 19:05:02 +0000: Memory Usage (133472K) : metal1_OPC has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (133600K) : metal1_noqrc has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (133600K) : metal1_res has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (133600K) : metal1_iprobe has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (133728K) : metal1_diffprb has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (133728K) : passiv_drw has 2 polygons
2026-08-20 19:05:02 +0000: Memory Usage (133728K) : passiv_pin has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (133856K) : passiv_sbump has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (133856K) : passiv_pillar has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (133856K) : passiv_pdl has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (133984K) : metal2_drw has 525 polygons
2026-08-20 19:05:02 +0000: Memory Usage (133984K) : metal2_filler has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (134112K) : metal2_slit has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (134112K) : metal2 has 525 polygons
2026-08-20 19:05:02 +0000: Memory Usage (134240K) : metal2_pin has 10 polygons
2026-08-20 19:05:02 +0000: Memory Usage (134240K) : metal2_mask has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (134240K) : metal2_nofill has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (134368K) : metal2_text has 3 polygons
2026-08-20 19:05:02 +0000: Memory Usage (134368K) : metal2_OPC has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (134368K) : metal2_noqrc has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (134496K) : metal2_res has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (134496K) : metal2_iprobe has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (134496K) : metal2_diffprb has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (134496K) : baspoly_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (134496K) : baspoly_pin has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (134624K) : psd_drw has 514 polygons
2026-08-20 19:05:02 +0000: Memory Usage (134624K) : nldb_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (134624K) : digibnd_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (134752K) : via1_drw has 6612 polygons
2026-08-20 19:05:02 +0000: Memory Usage (134752K) : backmetal1_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (134752K) : backmetal1_pin has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (134752K) : backmetal1_mask has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (134880K) : backmetal1_filler has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (134880K) : backmetal1_nofill has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (134880K) : backmetal1_slit has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (134880K) : backmetal1_text has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (135008K) : backmetal1_OPC has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (135008K) : backmetal1_noqrc has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (135008K) : backmetal1_res has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (135008K) : backmetal1_iprobe has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (135136K) : backmetal1_diffprb has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (135136K) : backpassiv_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (135136K) : res_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (135136K) : sram_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (135264K) : trans_drw has 2 polygons
2026-08-20 19:05:02 +0000: Memory Usage (135264K) : ind_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (135264K) : ind_pin has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (135264K) : ind_text has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (135392K) : salblock_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (135392K) : via2_drw has 25 polygons
2026-08-20 19:05:02 +0000: Memory Usage (135392K) : metal3_drw has 19 polygons
2026-08-20 19:05:02 +0000: Memory Usage (135392K) : metal3_filler has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (135520K) : metal3_slit has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (135520K) : metal3 has 19 polygons
2026-08-20 19:05:02 +0000: Memory Usage (135520K) : metal3_pin has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (135520K) : metal3_mask has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (135648K) : metal3_nofill has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (135648K) : metal3_text has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (135648K) : metal3_OPC has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (135776K) : metal3_noqrc has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (135776K) : metal3_res has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (135776K) : metal3_iprobe has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (135776K) : metal3_diffprb has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (135776K) : nwell_drw has 10 polygons
2026-08-20 19:05:02 +0000: Memory Usage (135776K) : nwell_pin has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (135776K) : nwell_text has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (135776K) : nbulay_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (135776K) : nbulay_pin has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (135776K) : nbulay_block has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (135776K) : emwind_drw has 4 polygons
2026-08-20 19:05:02 +0000: Memory Usage (135776K) : emwind_OPC has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (135776K) : deepco_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (135776K) : mim_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (135904K) : edgeseal_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (135904K) : substrate_drw has 500 polygons
2026-08-20 19:05:02 +0000: Memory Usage (135904K) : substrate_text has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (135904K) : dfpad_drw has 2 polygons
2026-08-20 19:05:02 +0000: Memory Usage (135904K) : dfpad_pillar has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (135904K) : dfpad_sbump has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (136032K) : thickgateox_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (136032K) : pldb_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (136032K) : pwell_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (136032K) : pwell_pin has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (136032K) : pwell_block has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (136032K) : ic_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (136160K) : via3_drw has 1001 polygons
2026-08-20 19:05:02 +0000: Memory Usage (136160K) : metal4_drw has 19 polygons
2026-08-20 19:05:02 +0000: Memory Usage (136160K) : metal4_filler has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (136160K) : metal4_slit has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (136160K) : metal4 has 19 polygons
2026-08-20 19:05:02 +0000: Memory Usage (136288K) : metal4_pin has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (136288K) : metal4_mask has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (136288K) : metal4_nofill has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (136288K) : metal4_text has 3 polygons
2026-08-20 19:05:02 +0000: Memory Usage (136288K) : metal4_OPC has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (136288K) : metal4_noqrc has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (136416K) : metal4_res has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (136416K) : metal4_iprobe has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (136416K) : metal4_diffprb has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (136416K) : heattrans_drw has 123 polygons
2026-08-20 19:05:02 +0000: Memory Usage (136416K) : heatres_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (136416K) : fbe_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (136544K) : empoly_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (136544K) : digisub_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (136544K) : text_drw has 645 polygons
2026-08-20 19:05:02 +0000: Memory Usage (136544K) : via4_drw has 995 polygons
2026-08-20 19:05:02 +0000: Memory Usage (136544K) : metal5_drw has 20 polygons
2026-08-20 19:05:02 +0000: Memory Usage (136544K) : metal5_filler has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (136672K) : metal5_slit has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (136672K) : metal5 has 20 polygons
2026-08-20 19:05:02 +0000: Memory Usage (136672K) : metal5_pin has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (136672K) : metal5_mask has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (136672K) : metal5_nofill has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (136672K) : metal5_text has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (136800K) : metal5_OPC has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (136800K) : metal5_noqrc has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (136800K) : metal5_res has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (136800K) : metal5_iprobe has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (136800K) : metal5_diffprb has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (136800K) : radhard_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (136928K) : memcap_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (136928K) : varicap_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (136928K) : intbondvia_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (136928K) : intbondmet_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (136928K) : devbondvia_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (136928K) : devbondmet_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (137056K) : devtrench_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (137056K) : redist_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (137056K) : graphbot_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (137056K) : graphtop_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (137056K) : antvia1_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (137056K) : antmetal2_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (137184K) : graphcont_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (137184K) : siwg_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (137184K) : siwg_filler has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (137184K) : siwg_nofill has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (137184K) : sigrating_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (137184K) : singrating_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (137312K) : graphpas_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (137312K) : emwind3_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (137312K) : emwihv3_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (137312K) : redbulay_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (137312K) : smos_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (137312K) : graphpad_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (137312K) : polimide_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (137440K) : polimide_pin has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (137440K) : recog_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (137440K) : recog_pin has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (137440K) : recog_esd has 4 polygons
2026-08-20 19:05:02 +0000: Memory Usage (137440K) : recog_diode has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (137440K) : recog_tsv has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (137568K) : recog_iprobe has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (137568K) : recog_diffprb has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (137568K) : recog_pillar has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (137568K) : recog_sbump has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (137568K) : recog_otp has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (137568K) : recog_pdiode has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (137696K) : recog_mom has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (137696K) : recog_momf has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (137696K) : recog_pcm has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (137696K) : colopen_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (137696K) : graphmetal1_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (137824K) : graphmetal1_filler has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (137824K) : graphmetal1_nofill has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (137824K) : graphmetal1_slit has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (137824K) : graphmetal1_OPC has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (137824K) : graphmet1l_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (137824K) : graphmet1l_filler has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (137952K) : graphmet1l_nofill has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (137952K) : graphmet1l_slit has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (137952K) : graphmet1l_OPC has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (137952K) : extblock_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (137952K) : nldd_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (138080K) : pldd_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (138080K) : next_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (138080K) : pext_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (138080K) : nexthv_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (138208K) : pexthv_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (138208K) : graphgate_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (138208K) : sinwg_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (138208K) : sinwg_filler has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (138208K) : sinwg_nofill has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (138336K) : mempad_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (138336K) : topvia1_drw has 477 polygons
2026-08-20 19:05:02 +0000: Memory Usage (138336K) : topmetal1_drw has 51 polygons
2026-08-20 19:05:02 +0000: Memory Usage (138336K) : topmetal1_filler has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (138336K) : topmetal1_slit has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (138336K) : topmetal1 has 51 polygons
2026-08-20 19:05:02 +0000: Memory Usage (138464K) : topmetal1_pin has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (138464K) : topmetal1_mask has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (138464K) : topmetal1_nofill has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (138464K) : topmetal1_text has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (138464K) : topmetal1_noqrc has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (138464K) : topmetal1_res has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (138592K) : topmetal1_iprobe has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (138592K) : topmetal1_diffprb has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (138592K) : inldpwl_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (138592K) : polyres_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (138592K) : polyres_pin has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (138720K) : vmim_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (138720K) : nbulaycut_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (138720K) : antmetal1_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (138720K) : topvia2_drw has 231 polygons
2026-08-20 19:05:02 +0000: Memory Usage (138848K) : topmetal2_drw has 49 polygons
2026-08-20 19:05:02 +0000: Memory Usage (138848K) : topmetal2_filler has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (138848K) : topmetal2_slit has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (138848K) : topmetal2 has 49 polygons
2026-08-20 19:05:02 +0000: Memory Usage (138976K) : topmetal2_pin has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (138976K) : topmetal2_mask has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (138976K) : topmetal2_nofill has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (138976K) : topmetal2_text has 6 polygons
2026-08-20 19:05:02 +0000: Memory Usage (138976K) : topmetal2_noqrc has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (139104K) : topmetal2_res has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (139104K) : topmetal2_iprobe has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (139232K) : topmetal2_diffprb has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (139232K) : snsring_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (139232K) : sensor_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (139360K) : snsarms_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (139360K) : snscmosvia_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (139360K) : colwind_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (139360K) : flm_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (139488K) : hafniumox_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (139488K) : memvia_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (139488K) : thinfilmres_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (139488K) : rfmem_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (139616K) : norcx_drw has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (139616K) : norcx_m2m3 has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (139616K) : norcx_m2m4 has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (139616K) : norcx_m2m5 has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (139744K) : norcx_m2tm1 has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (139744K) : norcx_m2tm2 has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (139872K) : norcx_m3m4 has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (139872K) : norcx_m3m5 has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (139872K) : norcx_m3tm1 has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (140000K) : norcx_m3tm2 has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (140000K) : norcx_m4m5 has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (140000K) : norcx_m4tm1 has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (140000K) : norcx_m4tm2 has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (140000K) : norcx_m5tm1 has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (140000K) : norcx_m5tm2 has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (140000K) : norcx_tm1tm2 has 0 polygons
2026-08-20 19:05:02 +0000: Memory Usage (140000K) : norcx_m1sub has 0 polygons
