$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/probe5/esd_place/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/probe5/esd_place/t.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/probe5/esd_place/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction
2026-08-20 16:40:58 +0000: Memory Usage (130076K) : Selected DISABLE_TAP_EXTRACTION option: true
2026-08-20 16:40:58 +0000: Memory Usage (130076K) : deep  mode is enabled.
2026-08-20 16:40:58 +0000: Memory Usage (130076K) : Applying implicit connections (case-sensitive, pattern supported) for nets: sub, sub!
2026-08-20 16:40:58 +0000: Memory Usage (131320K) : Netlist file: /workspace/layout/blocks/out/driver_stage/probe5/esd_place/t.cdl
2026-08-20 16:40:58 +0000: Memory Usage (131320K) : LVS extracted netlist at: /workspace/layout/blocks/out/driver_stage/probe5/esd_place/lvs/driver_dut_extracted.cir
2026-08-20 16:40:58 +0000: Memory Usage (131320K) : Applying SRAM integration support.
2026-08-20 16:40:58 +0000: Memory Usage (131320K) : Starting SG13G2 LVS runset
2026-08-20 16:40:58 +0000: Memory Usage (131320K) : Read in polygons from layers.
2026-08-20 16:40:58 +0000: Memory Usage (132472K) : activ_drw has 899 polygons
2026-08-20 16:40:58 +0000: Memory Usage (132472K) : activ_filler has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (132688K) : activ has 899 polygons
2026-08-20 16:40:58 +0000: Memory Usage (133200K) : activ_pin has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (133200K) : activ_mask has 4 polygons
2026-08-20 16:40:58 +0000: Memory Usage (133200K) : activ_nofill has 2 polygons
2026-08-20 16:40:58 +0000: Memory Usage (133200K) : activ_OPC has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (133200K) : activ_iOPC has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (133200K) : activ_noqrc has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (133200K) : biwind_drw has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (133200K) : biwind_OPC has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (133200K) : gatpoly_drw has 140 polygons
2026-08-20 16:40:58 +0000: Memory Usage (133200K) : gatpoly_filler has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (133200K) : gatpoly has 140 polygons
2026-08-20 16:40:58 +0000: Memory Usage (133200K) : gatpoly_pin has 119 polygons
2026-08-20 16:40:58 +0000: Memory Usage (133200K) : gatpoly_nofill has 2 polygons
2026-08-20 16:40:58 +0000: Memory Usage (133200K) : gatpoly_OPC has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (133200K) : gatpoly_iOPC has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (133200K) : gatpoly_noqrc has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (133200K) : cont_drw has 14577 polygons
2026-08-20 16:40:58 +0000: Memory Usage (133200K) : cont_OPC has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (133200K) : nsd_drw has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (133328K) : nsd_block has 4 polygons
2026-08-20 16:40:58 +0000: Memory Usage (133328K) : metal1_drw has 1566 polygons
2026-08-20 16:40:58 +0000: Memory Usage (133328K) : metal1_filler has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (133456K) : metal1_slit has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (133584K) : metal1 has 1566 polygons
2026-08-20 16:40:58 +0000: Memory Usage (133584K) : metal1_pin has 750 polygons
2026-08-20 16:40:58 +0000: Memory Usage (133712K) : metal1_mask has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (133712K) : metal1_nofill has 2 polygons
2026-08-20 16:40:58 +0000: Memory Usage (133968K) : metal1_text has 5 polygons
2026-08-20 16:40:58 +0000: Memory Usage (133968K) : metal1_OPC has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (134096K) : metal1_noqrc has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (134096K) : metal1_res has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (134096K) : metal1_iprobe has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (134224K) : metal1_diffprb has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (134224K) : passiv_drw has 2 polygons
2026-08-20 16:40:58 +0000: Memory Usage (134352K) : passiv_pin has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (134352K) : passiv_sbump has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (134352K) : passiv_pillar has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (134480K) : passiv_pdl has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (134480K) : metal2_drw has 588 polygons
2026-08-20 16:40:58 +0000: Memory Usage (134480K) : metal2_filler has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (134480K) : metal2_slit has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (134608K) : metal2 has 588 polygons
2026-08-20 16:40:58 +0000: Memory Usage (134608K) : metal2_pin has 10 polygons
2026-08-20 16:40:58 +0000: Memory Usage (134608K) : metal2_mask has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (134736K) : metal2_nofill has 2 polygons
2026-08-20 16:40:58 +0000: Memory Usage (134736K) : metal2_text has 3 polygons
2026-08-20 16:40:58 +0000: Memory Usage (134736K) : metal2_OPC has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (134736K) : metal2_noqrc has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (134864K) : metal2_res has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (134864K) : metal2_iprobe has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (134864K) : metal2_diffprb has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (134864K) : baspoly_drw has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (134992K) : baspoly_pin has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (134992K) : psd_drw has 515 polygons
2026-08-20 16:40:58 +0000: Memory Usage (134992K) : nldb_drw has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (134992K) : digibnd_drw has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (135120K) : via1_drw has 7666 polygons
2026-08-20 16:40:58 +0000: Memory Usage (135120K) : backmetal1_drw has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (135120K) : backmetal1_pin has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (135120K) : backmetal1_mask has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (135248K) : backmetal1_filler has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (135248K) : backmetal1_nofill has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (135248K) : backmetal1_slit has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (135248K) : backmetal1_text has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (135376K) : backmetal1_OPC has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (135376K) : backmetal1_noqrc has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (135376K) : backmetal1_res has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (135376K) : backmetal1_iprobe has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (135504K) : backmetal1_diffprb has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (135504K) : backpassiv_drw has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (135504K) : res_drw has 2 polygons
2026-08-20 16:40:58 +0000: Memory Usage (135632K) : sram_drw has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (135632K) : trans_drw has 2 polygons
2026-08-20 16:40:58 +0000: Memory Usage (135632K) : ind_drw has 2 polygons
2026-08-20 16:40:58 +0000: Memory Usage (135632K) : ind_pin has 4 polygons
2026-08-20 16:40:58 +0000: Memory Usage (135760K) : ind_text has 4 polygons
2026-08-20 16:40:58 +0000: Memory Usage (135760K) : salblock_drw has 12 polygons
2026-08-20 16:40:58 +0000: Memory Usage (135760K) : via2_drw has 853 polygons
2026-08-20 16:40:58 +0000: Memory Usage (135888K) : metal3_drw has 79 polygons
2026-08-20 16:40:58 +0000: Memory Usage (135888K) : metal3_filler has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (135888K) : metal3_slit has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (135888K) : metal3 has 79 polygons
2026-08-20 16:40:58 +0000: Memory Usage (135888K) : metal3_pin has 2 polygons
2026-08-20 16:40:58 +0000: Memory Usage (135888K) : metal3_mask has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (135888K) : metal3_nofill has 2 polygons
2026-08-20 16:40:58 +0000: Memory Usage (135888K) : metal3_text has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (135888K) : metal3_OPC has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (135888K) : metal3_noqrc has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (135888K) : metal3_res has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (135888K) : metal3_iprobe has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (135888K) : metal3_diffprb has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (135888K) : nwell_drw has 14 polygons
2026-08-20 16:40:58 +0000: Memory Usage (135888K) : nwell_pin has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (135888K) : nwell_text has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (136016K) : nbulay_drw has 1 polygons
2026-08-20 16:40:58 +0000: Memory Usage (136016K) : nbulay_pin has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (136016K) : nbulay_block has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (136016K) : emwind_drw has 4 polygons
2026-08-20 16:40:58 +0000: Memory Usage (136016K) : emwind_OPC has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (136144K) : deepco_drw has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (136144K) : mim_drw has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (136144K) : edgeseal_drw has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (136144K) : substrate_drw has 500 polygons
2026-08-20 16:40:58 +0000: Memory Usage (136144K) : substrate_text has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (136144K) : dfpad_drw has 2 polygons
2026-08-20 16:40:58 +0000: Memory Usage (136272K) : dfpad_pillar has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (136272K) : dfpad_sbump has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (136272K) : thickgateox_drw has 1 polygons
2026-08-20 16:40:58 +0000: Memory Usage (136272K) : pldb_drw has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (136272K) : pwell_drw has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (136400K) : pwell_pin has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (136400K) : pwell_block has 2 polygons
2026-08-20 16:40:58 +0000: Memory Usage (136400K) : ic_drw has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (136400K) : via3_drw has 1047 polygons
2026-08-20 16:40:58 +0000: Memory Usage (136400K) : metal4_drw has 32 polygons
2026-08-20 16:40:58 +0000: Memory Usage (136400K) : metal4_filler has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (136528K) : metal4_slit has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (136528K) : metal4 has 32 polygons
2026-08-20 16:40:58 +0000: Memory Usage (136528K) : metal4_pin has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (136528K) : metal4_mask has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (136528K) : metal4_nofill has 2 polygons
2026-08-20 16:40:58 +0000: Memory Usage (136528K) : metal4_text has 3 polygons
2026-08-20 16:40:58 +0000: Memory Usage (136656K) : metal4_OPC has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (136656K) : metal4_noqrc has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (136656K) : metal4_res has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (136656K) : metal4_iprobe has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (136656K) : metal4_diffprb has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (136656K) : heattrans_drw has 123 polygons
2026-08-20 16:40:58 +0000: Memory Usage (136784K) : heatres_drw has 2 polygons
2026-08-20 16:40:58 +0000: Memory Usage (136784K) : fbe_drw has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (136784K) : empoly_drw has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (136784K) : digisub_drw has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (136784K) : text_drw has 655 polygons
2026-08-20 16:40:58 +0000: Memory Usage (136784K) : via4_drw has 1041 polygons
2026-08-20 16:40:58 +0000: Memory Usage (136912K) : metal5_drw has 43 polygons
2026-08-20 16:40:58 +0000: Memory Usage (136912K) : metal5_filler has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (136912K) : metal5_slit has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (136912K) : metal5 has 43 polygons
2026-08-20 16:40:58 +0000: Memory Usage (136912K) : metal5_pin has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (136912K) : metal5_mask has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (137040K) : metal5_nofill has 2 polygons
2026-08-20 16:40:58 +0000: Memory Usage (137040K) : metal5_text has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (137040K) : metal5_OPC has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (137040K) : metal5_noqrc has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (137040K) : metal5_res has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (137040K) : metal5_iprobe has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (137168K) : metal5_diffprb has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (137168K) : radhard_drw has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (137168K) : memcap_drw has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (137168K) : varicap_drw has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (137296K) : intbondvia_drw has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (137296K) : intbondmet_drw has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (137296K) : devbondvia_drw has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (137296K) : devbondmet_drw has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (137296K) : devtrench_drw has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (137424K) : redist_drw has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (137424K) : graphbot_drw has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (137424K) : graphtop_drw has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (137424K) : antvia1_drw has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (137424K) : antmetal2_drw has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (137552K) : graphcont_drw has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (137552K) : siwg_drw has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (137552K) : siwg_filler has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (137552K) : siwg_nofill has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (137552K) : sigrating_drw has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (137552K) : singrating_drw has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (137680K) : graphpas_drw has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (137680K) : emwind3_drw has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (137680K) : emwihv3_drw has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (137680K) : redbulay_drw has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (137680K) : smos_drw has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (137808K) : graphpad_drw has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (137808K) : polimide_drw has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (137808K) : polimide_pin has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (137808K) : recog_drw has 1 polygons
2026-08-20 16:40:58 +0000: Memory Usage (137808K) : recog_pin has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (137936K) : recog_esd has 5 polygons
2026-08-20 16:40:58 +0000: Memory Usage (137936K) : recog_diode has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (137936K) : recog_tsv has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (137936K) : recog_iprobe has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (138064K) : recog_diffprb has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (138064K) : recog_pillar has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (138064K) : recog_sbump has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (138064K) : recog_otp has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (138192K) : recog_pdiode has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (138192K) : recog_mom has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (138192K) : recog_momf has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (138192K) : recog_pcm has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (138320K) : colopen_drw has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (138320K) : graphmetal1_drw has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (138320K) : graphmetal1_filler has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (138320K) : graphmetal1_nofill has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (138448K) : graphmetal1_slit has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (138448K) : graphmetal1_OPC has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (138448K) : graphmet1l_drw has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (138448K) : graphmet1l_filler has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (138576K) : graphmet1l_nofill has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (138576K) : graphmet1l_slit has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (138576K) : graphmet1l_OPC has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (138576K) : extblock_drw has 6 polygons
2026-08-20 16:40:58 +0000: Memory Usage (138704K) : nldd_drw has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (138704K) : pldd_drw has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (138704K) : next_drw has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (138704K) : pext_drw has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (138704K) : nexthv_drw has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (138832K) : pexthv_drw has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (138832K) : graphgate_drw has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (138832K) : sinwg_drw has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (138832K) : sinwg_filler has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (138832K) : sinwg_nofill has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (138832K) : mempad_drw has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (138960K) : topvia1_drw has 486 polygons
2026-08-20 16:40:58 +0000: Memory Usage (138960K) : topmetal1_drw has 57 polygons
2026-08-20 16:40:58 +0000: Memory Usage (138960K) : topmetal1_filler has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (138960K) : topmetal1_slit has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (138960K) : topmetal1 has 57 polygons
2026-08-20 16:40:58 +0000: Memory Usage (139088K) : topmetal1_pin has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (139088K) : topmetal1_mask has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (139088K) : topmetal1_nofill has 2 polygons
2026-08-20 16:40:58 +0000: Memory Usage (139088K) : topmetal1_text has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (139088K) : topmetal1_noqrc has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (139216K) : topmetal1_res has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (139216K) : topmetal1_iprobe has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (139216K) : topmetal1_diffprb has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (139216K) : inldpwl_drw has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (139344K) : polyres_drw has 2 polygons
2026-08-20 16:40:58 +0000: Memory Usage (139344K) : polyres_pin has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (139344K) : vmim_drw has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (139344K) : nbulaycut_drw has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (139472K) : antmetal1_drw has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (139472K) : topvia2_drw has 232 polygons
2026-08-20 16:40:58 +0000: Memory Usage (139728K) : topmetal2_drw has 64 polygons
2026-08-20 16:40:58 +0000: Memory Usage (139728K) : topmetal2_filler has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (139728K) : topmetal2_slit has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (139728K) : topmetal2 has 64 polygons
2026-08-20 16:40:58 +0000: Memory Usage (139856K) : topmetal2_pin has 4 polygons
2026-08-20 16:40:58 +0000: Memory Usage (139856K) : topmetal2_mask has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (139856K) : topmetal2_nofill has 2 polygons
2026-08-20 16:40:58 +0000: Memory Usage (139856K) : topmetal2_text has 8 polygons
2026-08-20 16:40:58 +0000: Memory Usage (139984K) : topmetal2_noqrc has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (139984K) : topmetal2_res has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (139984K) : topmetal2_iprobe has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (139984K) : topmetal2_diffprb has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (140112K) : snsring_drw has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (140112K) : sensor_drw has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (140112K) : snsarms_drw has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (140240K) : snscmosvia_drw has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (140240K) : colwind_drw has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (140368K) : flm_drw has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (140368K) : hafniumox_drw has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (140368K) : memvia_drw has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (140368K) : thinfilmres_drw has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (140368K) : rfmem_drw has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (140368K) : norcx_drw has 2 polygons
2026-08-20 16:40:58 +0000: Memory Usage (140368K) : norcx_m2m3 has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (140368K) : norcx_m2m4 has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (140368K) : norcx_m2m5 has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (140368K) : norcx_m2tm1 has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (140368K) : norcx_m2tm2 has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (140368K) : norcx_m3m4 has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (140368K) : norcx_m3m5 has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (140368K) : norcx_m3tm1 has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (140368K) : norcx_m3tm2 has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (140368K) : norcx_m4m5 has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (140368K) : norcx_m4tm1 has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (140368K) : norcx_m4tm2 has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (140368K) : norcx_m5tm1 has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (140368K) : norcx_m5tm2 has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (140368K) : norcx_tm1tm2 has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (140368K) : norcx_m1sub has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (140368K) : norcx_m2sub has 0 polygons
2026-08-20 16:40:58 +0000: Memory Usage (140368K) : norcx_m3sub has 0 polygons
